T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
913.2056561	96	4	0	0	98.72216223	1.277837767	96	4			0.001963265188	-0.001963265189	-913.2056561	0	6.90068866129864	
913.1956561	96	4	0.0007187913074	0.0007209398986	98.72154102	1.278458976	95.99803673	4.001963271			0	0	-913.1956561	0.0007209398986	20.8408748713167	
913.1756561	96	4	0.002154018206	0.00144044061	98.72029859	1.279701408	95.99411027	4.005889726			0	0	-913.1756561	0.00144044061	27.8227329630058	
913.1356561	96	4	0.005014973395	0.002875472266	98.71781357	1.282186434	95.98625758	4.013742417			0	0	-913.1356561	0.002875472266	27.926647653914	
913.0556561	96	4	0.01069913613	0.005729409373	98.71284407	1.287155931	95.97055312	4.029446884			0	0	-913.0556561	0.005729409373	-3166.0656364555	
912.9756561	96	4	0.01632508007	0.005703911599	98.70787502	1.292124978	95.95485011	4.045149892			0	0	-912.9756561	0.005703911599	-3347.48182999807	
912.8956561	96	4	0.02189676384	0.005681273635	98.70290642	1.297093576	95.93914845	4.060851554			0	0	-912.8956561	0.005681273635	-3548.28321077149	
912.8156561	96	4	0.02741492607	0.005658817897	98.69793827	1.302061735	95.92344811	4.076551885			0	0	-912.8156561	0.005658817897	-3576.40106151626	
912.7356561	96	4	0.03288028546	0.005636534594	98.69297054	1.307029456	95.90774912	4.092250879			0	0	-912.7356561	0.005636534594	-3604.01963908428	
912.6556561	96	4	0.03829354827	0.005614421714	98.68800326	1.311996742	95.89205147	4.107948528			0	0	-912.6556561	0.005614421714	-3631.74179037864	
912.5756561	96	4	0.04365540868	0.00559247731	98.68303641	1.316963594	95.87635517	4.123644826			0	0	-912.5756561	0.00559247731	-3659.56962152772	
912.4956561	96	4	0.04896654902	0.005570699457	98.67806999	1.321930013	95.86066023	4.139339765			0	0	-912.4956561	0.005570699457	-3687.50256066022	
