T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
908.2292168	95	4	1	0	0	98.70720059	1.204828821	0.08797059314	95	4	1							0.00203827207	-0.001536783112	-0.0005014889585	-908.2292168	0	9.05468737163113	
908.2192168	95	4	1	0.0005482013632	0.0005496854097	98.70674333	1.205250126	0.08800654766	94.99796172	4.001536816	1.000501469							0	0	0	-908.2192168	0.0005496854097	27.3297602543248	
908.1992168	95	4	1	0.001643087757	0.001098371857	98.70582866	1.206092879	0.08807846374	94.99388502	4.004610353	1.00150463							0	0	0	-908.1992168	0.001098371857	36.4767432830629	
908.1592168	95	4	1	0.00382713871	0.002193400134	98.70399996	1.207777767	0.08822227011	94.98573094	4.010757313	1.003511746							0	0	0	-908.1592168	0.002193400134	36.5847433514018	
908.0792168	95	4	1	0.008172455382	0.004373459723	98.70034442	1.211145782	0.08850980267	94.96942017	4.023050704	1.007529128							0	0	0	-908.0792168	0.004373459723	-5183.97288258279	
907.9992168	95	4	1	0.01248299267	0.004357915932	98.69669125	1.214511546	0.08879719996	94.95310593	4.035343656	1.011550412							0	0	0	-907.9992168	0.004357915932	-5498.62231992927	
907.9192168	95	4	1	0.01676120102	0.004344147303	98.69304037	1.217875202	0.08908442635	94.93678821	4.04763656	1.015575227							0	0	0	-907.9192168	0.004344147303	-5829.87013964291	
907.8392168	95	4	1	0.02100742871	0.004330470453	98.68939176	1.221236756	0.08937148142	94.92046699	4.059929438	1.019603573							0	0	0	-907.8392168	0.004330470453	-5867.85696156395	
907.7592168	95	4	1	0.02522201455	0.004316879566	98.68574542	1.224596212	0.08965836439	94.90414226	4.0722223	1.023635443							0	0	0	-907.7592168	0.004316879566	-5904.91633092104	
907.6792168	95	4	1	0.02940529277	0.004303373852	98.68210135	1.227953573	0.08994507449	94.88781401	4.084515155	1.02767083							0	0	0	-907.6792168	0.004303373852	-5942.09898079653	
907.5992168	95	4	1	0.03355759302	0.004289952525	98.67845955	1.231308841	0.09023161097	94.87148226	4.096808014	1.031709729							0	0	0	-907.5992168	0.004289952525	-5979.40179394293	
907.5192168	95	4	1	0.03767924048	0.0042766148	98.67482001	1.234662019	0.09051797305	94.85514698	4.109100885	1.035752135							0	0	0	-907.5192168	0.0042766148	-6016.82317979232	
907.4392168	95	4	1	0.0417705559	0.004263359903	98.67118273	1.23801311	0.09080415998	94.83880818	4.121393777	1.03979804							0	0	0	-907.4392168	0.004263359903	-6054.36333243376	
907.3592168	95	4	1	0.04583185574	0.004250187069	98.66754771	1.241362117	0.09109017103	94.82246586	4.133686701	1.04384744							0	0	0	-907.3592168	0.004250187069	-6092.02183019043	
907.2792168	95	4	1	0.04986345214	0.004237095541	98.66391495	1.244709043	0.09137600543	94.80612001	4.145979665	1.047900328							0	0	0	-907.2792168	0.004237095541	-6129.79901630373	
907.1992168	95	4	1	0.0538656531	0.004224084574	98.66028445	1.24805389	0.09166166246	94.78977062	4.158272678	1.051956698							0	0	0	-907.1992168	0.004224084574	-6167.69505378608	
907.1192168	95	4	1	0.05783876245	0.00421115343	98.6566562	1.251396661	0.09194714137	94.7734177	4.17056575	1.056016546							0	0	0	-907.1192168	0.00421115343	-6205.70972227433	
907.0392168	95	4	1	0.06178307999	0.004198301381	98.6530302	1.254737359	0.09223244145	94.75706125	4.18285889	1.060079864							0	0	0	-907.0392168	0.004198301381	-6243.84308477033	
906.9592168	95	4	1	0.06569890153	0.004185527707	98.64940645	1.258075987	0.09251756196	94.74070125	4.195152106	1.064146647							0	0	0	-906.9592168	0.004185527707	-6282.09503530498	
906.8792168	95	4	1	0.06958651894	0.004172831697	98.64578495	1.261412547	0.09280250219	94.7243377	4.207445409	1.06821689							0	0	0	-906.8792168	0.004172831697	-6320.46577432465	
906.7992168	95	4	1	0.07344622024	0.004160212649	98.6421657	1.264747042	0.09308726141	94.70797061	4.219738806	1.072290587							0	0	0	-906.7992168	0.004160212649	-6358.95532101983	
906.7192168	95	4	1	0.07727828964	0.004147669869	98.63854869	1.268079475	0.09337183893	94.69159996	4.232032307	1.076367733							0	0	0	-906.7192168	0.004147669869	-6397.56324812445	
906.6392168	95	4	1	0.08108300762	0.00413520267	98.63493392	1.271409849	0.09365623404	94.67522576	4.244325921	1.080448321							0	0	0	-906.6392168	0.00413520267	-6436.2902258027	
906.5592168	95	4	1	0.08486065099	0.004122810377	98.63132139	1.274738165	0.09394044603	94.658848	4.256619656	1.084532347							0	0	0	-906.5592168	0.004122810377	-6475.13619326588	
906.4792168	95	4	1	0.08861149292	0.004110492319	98.6277111	1.278064428	0.09422447421	94.64246667	4.268913521	1.088619804							0	0	0	-906.4792168	0.004110492319	-6514.10039556583	
906.3992168	95	4	1	0.09233580304	0.004098247834	98.62410304	1.281388639	0.09450831788	94.62608179	4.281207525	1.092710688							0	0	0	-906.3992168	0.004098247834	-6553.18370130567	
906.3192168	95	4	1	0.09603384747	0.00408607627	98.62049722	1.284710801	0.09479197637	94.60969333	4.293501677	1.096804992							0	0	0	-906.3192168	0.00408607627	-6592.38597778825	
906.2392168	95	4	1	0.09970588886	0.00407397698	98.61689363	1.288030917	0.09507544899	94.5933013	4.305795986	1.100902713							0	0	0	-906.2392168	0.00407397698	-6631.70690232798	
906.1592168	95	4	1	0.1033521865	0.004061949326	98.61329228	1.291348989	0.09535873506	94.5769057	4.318090459	1.105003843							0	0	0	-906.1592168	0.004061949326	-6671.14645323057	
906.0792168	95	4	1	0.1069729964	0.004049992676	98.60969315	1.29466502	0.0956418339	94.56050652	4.330385107	1.109108378							0	0	0	-906.0792168	0.004049992676	-6710.70497410506	
905.9992168	95	4	1	0.110568571	0.004038106408	98.60609624	1.297979012	0.09592474486	94.54410375	4.342679936	1.113216313							0	0	0	-905.9992168	0.004038106408	-6750.38257085027	
905.9192168	95	4	1	0.1141391599	0.004026289905	98.60250156	1.301290969	0.09620746726	94.5276974	4.354974956	1.117327642							0	0	0	-905.9192168	0.004026289905	-6790.17886571367	
905.8392168	95	4	1	0.1176850093	0.004014542558	98.59890911	1.304600892	0.09649000044	94.51128747	4.367270175	1.121442359							0	0	0	-905.8392168	0.004014542558	-6830.09409251322	
905.7592168	95	4	1	0.1212063623	0.004002863765	98.59531887	1.307908785	0.09677234375	94.49487394	4.379565602	1.125560461							0	0	0	-905.7592168	0.004002863765	-6870.12826458801	
905.6792168	95	4	1	0.1247034588	0.003991252931	98.59173085	1.311214649	0.09705449653	94.47845681	4.391861245	1.129681942							0	0	0	-905.6792168	0.003991252931	-6910.28115343709	
905.5992168	95	4	1	0.1281765359	0.003979709467	98.58814505	1.314518488	0.09733645815	94.46203609	4.404157112	1.133806795							0	0	0	-905.5992168	0.003979709467	-6950.55258609159	
905.5192168	95	4	1	0.1316258276	0.003968232791	98.58456147	1.317820304	0.09761822795	94.44561177	4.416453212	1.137935018							0	0	0	-905.5192168	0.003968232791	-6990.94366942517	
905.4392168	95	4	1	0.1350515647	0.003956822331	98.5809801	1.321120099	0.0978998053	94.42918384	4.428749552	1.142066603							0	0	0	-905.4392168	0.003956822331	-7031.45341110213	
905.3592168	95	4	1	0.1384539756	0.003945477515	98.57740093	1.324417876	0.09818118956	94.41275231	4.441046142	1.146201547							0	0	0	-905.3592168	0.003945477515	-7072.08185116391	
905.2792168	95	4	1	0.1418332854	0.003934197784	98.57382398	1.327713637	0.0984623801	94.39631717	4.453342989	1.150339844							0	0	0	-905.2792168	0.003934197784	-7112.8299542662	
905.1992168	95	4	1	0.1451897167	0.003922982582	98.57024924	1.331007385	0.09874337629	94.37987841	4.465640102	1.154481489							0	0	0	-905.1992168	0.003922982582	-7153.69627286877	
905.1192168	95	4	1	0.1485234891	0.003911831358	98.5666767	1.334299122	0.09902417752	94.36343603	4.477937488	1.158626478							0	0	0	-905.1192168	0.003911831358	-7194.68162506965	
905.0392168	95	4	1	0.1518348196	0.003900743571	98.56310637	1.337588851	0.09930478315	94.34699004	4.490235156	1.162774805							0	0	0	-905.0392168	0.003900743571	-7235.78655569507	
904.9592168	95	4	1	0.1551239225	0.003889718684	98.55953823	1.340876575	0.09958519259	94.33054042	4.502533113	1.166926465							0	0	0	-904.9592168	0.003889718684	-7277.01006270087	
904.8792168	95	4	1	0.1583910095	0.003878756165	98.5559723	1.344162295	0.09986540522	94.31408718	4.514831369	1.171081454							0	0	0	-904.8792168	0.003878756165	-7318.35250055555	
904.7992168	95	4	1	0.1616362895	0.00386785549	98.55240857	1.347446014	0.1001454204	94.2976303	4.52712993	1.175239766							0	0	0	-904.7992168	0.00386785549	-7359.81393077625	
904.7192168	95	4	1	0.1648599691	0.003857016139	98.54884703	1.350727734	0.1004252376	94.2811698	4.539428804	1.179401398							0	0	0	-904.7192168	0.003857016139	-7401.39485064929	
904.6392168	95	4	1	0.1680622522	0.003846237601	98.54528768	1.354007459	0.1007048562	94.26470566	4.551728	1.183566344							0	0	0	-904.6392168	0.003846237601	-7443.09439566511	
904.5592168	95	4	1	0.1712433403	0.003835519365	98.54173053	1.35728519	0.1009842755	94.24823788	4.564027526	1.187734599							0	0	0	-904.5592168	0.003835519365	-7484.91285006515	
904.4792168	95	4	1	0.1744034324	0.003824860932	98.53817558	1.360560929	0.1012634951	94.23176645	4.576327388	1.191906158							0	0	0	-904.4792168	0.003824860932	-7526.85118675903	
904.3992168	95	4	1	0.177542725	0.003814261805	98.53462281	1.36383468	0.1015425142	94.21529139	4.588627596	1.196081018							0	0	0	-904.3992168	0.003814261805	-7568.9076606062	
904.3192168	95	4	1	0.1806614124	0.003803721491	98.53107222	1.367106444	0.1018213324	94.19881267	4.600928156	1.200259172							0	0	0	-904.3192168	0.003803721491	-7611.08341428675	
904.2392168	95	4	1	0.1837596864	0.003793239507	98.52752383	1.370376223	0.102099949	94.18233031	4.613229076	1.204440617							0	0	0	-904.2392168	0.003793239507	-7653.37890696717	
904.1592168	95	4	1	0.1868377367	0.003782815372	98.52397762	1.373644021	0.1023783635	94.16584429	4.625530365	1.208625349							0	0	0	-904.1592168	0.003782815372	-7695.79286605826	
904.0792168	95	4	1	0.1898957505	0.00377244861	98.52043359	1.37690984	0.1026565753	94.14935461	4.637832029	1.212813361							0	0	0	-904.0792168	0.00377244861	-7738.32588232566	
903.9992168	95	4	1	0.1929339129	0.003762138752	98.51689174	1.380173681	0.1029345838	94.13286127	4.650134077	1.21700465							0	0	0	-903.9992168	0.003762138752	-7780.97822694077	
903.9192168	95	4	1	0.1959524066	0.003751885333	98.51335206	1.383435547	0.1032123884	94.11636427	4.662436516	1.221199212							0	0	0	-903.9192168	0.003751885333	-7823.74987426449	
903.8392168	95	4	1	0.1989514124	0.003741687894	98.50981457	1.386695441	0.1034899887	94.09986361	4.674739353	1.225397041							0	0	0	-903.8392168	0.003741687894	-7866.64044179833	
903.7592168	95	4	1	0.2019311088	0.003731545979	98.50627925	1.389953364	0.103767384	94.08335927	4.687042596	1.229598133							0	0	0	-903.7592168	0.003731545979	-7909.6500031968	
903.6792168	95	4	1	0.2048916721	0.003721459139	98.50274611	1.39320932	0.1040445737	94.06685126	4.699346252	1.233802484							0	0	0	-903.6792168	0.003721459139	-7952.77905243513	
903.5992168	95	4	1	0.2078332767	0.003711426929	98.49921513	1.396463309	0.1043215574	94.05033958	4.71165033	1.238010089							0	0	0	-903.5992168	0.003711426929	-7996.0273750288	
903.5192168	95	4	1	0.2107560949	0.003701448909	98.49568633	1.399715336	0.1045983345	94.03382422	4.723954835	1.242220944							0	0	0	-903.5192168	0.003701448909	-8039.39438106023	
903.4392168	95	4	1	0.2136602969	0.003691524642	98.49215969	1.402965401	0.1048749045	94.01730518	4.736259777	1.246435045							0	0	0	-903.4392168	0.003691524642	-8082.88076187096	
903.3592168	95	4	1	0.2165460509	0.003681653699	98.48863523	1.406213507	0.1051512667	94.00078245	4.748565161	1.250652386							0	0	0	-903.3592168	0.003681653699	-8126.48682815083	
903.2792168	95	4	1	0.2194135233	0.003671835653	98.48511292	1.409459657	0.1054274207	93.98425604	4.760870996	1.254872964							0	0	0	-903.2792168	0.003671835653	-8170.21132153856	
903.1992168	95	4	1	0.2222628783	0.003662070081	98.48159278	1.412703852	0.105703366	93.96772594	4.773177288	1.259096775							0	0	0	-903.1992168	0.003662070081	-8214.05509225746	
903.1192168	95	4	1	0.2250942785	0.003652356567	98.4780748	1.415946095	0.1059791019	93.95119214	4.785484045	1.263323814							0	0	0	-903.1192168	0.003652356567	-8258.01861949118	
903.0392168	95	4	1	0.2279078843	0.003642694698	98.47455898	1.419186388	0.106254628	93.93465465	4.797791274	1.267554076							0	0	0	-903.0392168	0.003642694698	-8302.1007479553	
902.9592168	95	4	1	0.2307038546	0.003633084064	98.47104532	1.422424733	0.1065299438	93.91811346	4.810098982	1.271787558							0	0	0	-902.9592168	0.003633084064	-8346.30252208277	
902.8792168	95	4	1	0.233482346	0.003623524263	98.46753382	1.425661133	0.1068050487	93.90156857	4.822407177	1.276024255							0	0	0	-902.8792168	0.003623524263	-8390.62369969656	
902.7992168	95	4	1	0.2362435138	0.003614014893	98.46402447	1.428895589	0.1070799422	93.88501997	4.834715865	1.280264163							0	0	0	-902.7992168	0.003614014893	-8435.06370299567	
902.7192168	95	4	1	0.2389875111	0.003604555559	98.46051727	1.432128105	0.1073546238	93.86846767	4.847025054	1.284507279							0	0	0	-902.7192168	0.003604555559	-8479.62327415221	
902.6392168	95	4	1	0.2417144896	0.003595145869	98.45701223	1.435358681	0.107629093	93.85191165	4.85933475	1.288753597							0	0	0	-902.6392168	0.003595145869	-8524.30143814696	
902.5592168	95	4	1	0.244424599	0.003585785434	98.45350933	1.43858732	0.1079033492	93.83535193	4.871644961	1.293003113							0	0	0	-902.5592168	0.003585785434	-8569.09954551816	
902.4792168	95	4	1	0.2471179875	0.003576473873	98.45000858	1.441814025	0.1081773921	93.81878848	4.883955694	1.297255824							0	0	0	-902.4792168	0.003576473873	-8614.01712903668	
902.3992168	95	4	1	0.2497948013	0.003567210804	98.44650998	1.445038797	0.108451221	93.80222132	4.896266955	1.301511726							0	0	0	-902.3992168	0.003567210804	-8659.0533638231	
902.3192168	95	4	1	0.2524551854	0.003557995852	98.44301353	1.448261639	0.1087248355	93.78565043	4.908578752	1.305770813							0	0	0	-902.3192168	0.003557995852	-8704.2087940424	
