T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
918.287355	97	3	0	0	99.03883934	0.9611606575	97	3	0.001971797478	-0.001971797478	-918.287355	0	5.14076268241403	
918.277355	97	3	0.0009643919743	0.0009665525251	99.03821416	0.9617858357	96.9980282	3.001971803	0	0	-918.277355	0.0009665525251	15.5513357611134	
918.257355	97	3	0.002889073085	0.001930701652	99.03696371	0.9630362921	96.99408463	3.00591537	0	0	-918.257355	0.001930701652	20.7697550537526	
918.217355	97	3	0.006721445067	0.003851773299	99.03446298	0.9655370192	96.98619765	3.013802345	0	0	-918.217355	0.003851773299	20.8738180438706	
918.137355	97	3	0.01431897673	0.007665427117	99.02946193	0.9705380714	96.97042438	3.029575624	0	0	-918.137355	0.007665427117	21.1012923281837	
917.977355	97	3	0.02922956419	0.01516129753	99.01946154	0.9805384555	96.93887994	3.061120058	0	0	-917.977355	0.01516129753	21.5703133564229	
917.657355	97	3	0.05799814316	0.02970198344	98.99946726	1.000532745	96.87580203	3.124197966	0	0	-917.657355	0.02970198344	22.4863464413254	
917.017355	97	3	0.1116317989	0.05706640401	98.95950444	1.040495559	96.74969002	3.250309975	0	0	-917.017355	0.05706640401	24.4211992074719	
915.737355	97	3	0.2054077036	0.1058070651	98.87967904	1.120320957	96.49765502	3.502344984	0	0	-915.737355	0.1058070651	28.6420193483454	
913.177355	97	3	0.351731428	0.1845996097	98.72040382	1.279596182	95.99444323	4.005556774	0	0	-913.177355	0.1845996097	-177.719344706102	
910.617355	97	3	0.4574455973	0.1635319232	98.56158483	1.438415171	95.49256978	4.507430222	0	0	-910.617355	0.1635319232	-138.416200805317	
908.057355	97	3	0.5367750147	0.1466825918	98.40316684	1.596833162	94.99225279	5.007747213	0	0	-908.057355	0.1466825918	-170.51936915481	
905.497355	97	3	0.5981176215	0.1328986148	98.24509602	1.754903982	94.49370028	5.506299716	0	0	-905.497355	0.1328986148	-205.970211707568	
902.937355	97	3	0.6467185176	0.1214107942	98.08731891	1.912681092	93.99710603	6.002893966	0	0	-902.937355	0.1214107942	-244.746848023873	
900.377355	97	3	0.6860058505	0.1116874852	97.92978263	2.070217369	93.50265209	6.49734791	0	0	-900.377355	0.1116874852	-286.854396131287	
897.817355	97	3	0.7183057577	0.1033504495	97.77243491	2.227565091	93.01050528	6.989494716	0	0	-897.817355	0.1033504495	-332.299857068806	
895.257355	97	3	0.7452466241	0.09612246643	97.61522409	2.384775914	92.52081903	7.479180968	0	0	-895.257355	0.09612246643	-381.093009402247	
892.697355	97	3	0.7679990785	0.08979601265	97.45809913	2.541900872	92.03373295	7.966267048	0	0	-892.697355	0.08979601265	-433.254672982727	
890.137355	97	3	0.7874241157	0.08421258517	97.30100963	2.698990373	91.54937304	8.450626964	0	0	-890.137355	0.08421258517	-488.811441301822	
887.577355	97	3	0.8041676964	0.07924901712	97.14390579	2.856094207	91.06785194	8.93214806	0	0	-887.577355	0.07924901712	-547.796885740503	
885.017355	97	3	0.818722971	0.07480813407	96.98673844	3.01326156	90.58926937	9.410730634	0	0	-885.017355	0.07480813407	-610.251474278588	
882.457355	97	3	0.8314722789	0.07081222565	96.82945897	3.170541031	90.11371253	9.886287473	0	0	-882.457355	0.07081222565	-676.222395285831	
879.897355	97	3	0.8427161476	0.06719839039	96.67201934	3.327980656	89.64125668	10.35874332	0	0	-879.897355	0.06719839039	-745.763330838449	
877.337355	97	3	0.8526937263	0.06391515577	96.51437206	3.485627939	89.1719657	10.8280343	0	0	-877.337355	0.06391515577	-818.93417397208	
874.777355	97	3	0.8615974472	0.0609199837	96.35647012	3.643529879	88.7058927	11.2941073	0	0	-874.777355	0.0609199837	-895.800753288817	
872.217355	97	3	0.8695837183	0.05817740264	96.19826699	3.801733011	88.24308067	11.75691933	0	0	-872.217355	0.05817740264	-976.434541960767	
869.657355	97	3	0.8767808383	0.05565758987	96.03971656	3.960283441	87.7835631	12.2164369	0	0	-869.657355	0.05565758987	-1060.91239608614	
867.097355	97	3	0.883294934	0.05333528261	95.88077311	4.11922689	87.32736467	12.67263533	0	0	-867.097355	0.05333528261	-1149.31632492547	
864.537355	97	3	0.8892144703	0.05118893215	95.72139126	4.27860874	86.87450187	13.12549813	0	0	-864.537355	0.05118893215	-1241.73329487482	
861.977355	97	3	0.8946137138	0.04920004014	95.56152592	4.438474075	86.42498364	13.57501636	0	0	-861.977355	0.04920004014	-1338.25510576712	
