T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
893.4822645	92	5	3	0	0	98.41213227	1.331512062	0.2563556676	92	5	3							0.00212661493	-0.001216648911	-0.0009099660189	-893.4822645	0	15.0085098416832	
893.4722645	92	5	3	0.0003307278674	0.0003316962245	98.41182544	1.331756894	0.2564176621	91.99787336	5.00121672	3.000909925							0	0	0	-893.4722645	0.0003316962245	45.2876241590275	
893.4522645	92	5	3	0.000991426641	0.0006628170237	98.41121188	1.332246465	0.2565416541	91.99361992	5.003650057	3.002730018							0	0	0	-893.4522645	0.0006628170237	60.4223120320167	
893.4122645	92	5	3	0.002310682875	0.001324356143	98.40998495	1.333225426	0.2567896203	91.98511214	5.008516928	3.006370933							0	0	0	-893.4122645	0.001324356143	60.5239496106117	
893.3322645	92	5	3	0.004940632055	0.00264358703	98.40753318	1.335181443	0.2572853759	91.96809304	5.018251357	3.013655606							0	0	0	-893.3322645	0.00264358703	-13658.9145572145	
893.2522645	92	5	3	0.007557538711	0.002637703695	98.40508384	1.33713524	0.257780917	91.95106925	5.027986733	3.020944016							0	0	0	-893.2522645	0.002637703695	-14520.9292984882	
893.1722645	92	5	3	0.01016238734	0.002632488337	98.40263687	1.339086914	0.2582762155	91.93404074	5.037723354	3.028235906							0	0	0	-893.1722645	0.002632488337	-15373.1049899422	
893.0922645	92	5	3	0.01275525931	0.002627295808	98.40019226	1.341036469	0.2587712716	91.91700749	5.047461232	3.03553128							0	0	0	-893.0922645	0.002627295808	-15437.9314974112	
893.0122645	92	5	3	0.01533623359	0.00262212417	98.39775001	1.342983907	0.2592660851	91.89996949	5.057200372	3.042830134							0	0	0	-893.0122645	0.00262212417	-15500.2678668832	
892.9322645	92	5	3	0.01790538853	0.002616973322	98.39531011	1.34492923	0.2597606556	91.88292675	5.06694078	3.050132467							0	0	0	-892.9322645	0.002616973322	-15562.7749098314	
892.8522645	92	5	3	0.02046280177	0.002611843144	98.39287258	1.346872438	0.260254983	91.86587926	5.076682462	3.057438275							0	0	0	-892.8522645	0.002611843144	-15625.4157368408	
892.7722645	92	5	3	0.02300855031	0.002606733512	98.3904374	1.348813534	0.2607490669	91.84882702	5.086425424	3.064747556							0	0	0	-892.7722645	0.002606733512	-15688.1829204633	
892.6922645	92	5	3	0.02554271049	0.002601644303	98.38800457	1.35075252	0.2612429072	91.83177002	5.09616967	3.072060307							0	0	0	-892.6922645	0.002601644303	-15751.0796381548	
892.6122645	92	5	3	0.02806535799	0.002596575397	98.3855741	1.352689396	0.2617365035	91.81470827	5.105915207	3.079376525							0	0	0	-892.6122645	0.002596575397	-15814.107574247	
892.5322645	92	5	3	0.03057656787	0.002591526674	98.38314598	1.354624165	0.2622298557	91.79764175	5.115662041	3.086696209							0	0	0	-892.5322645	0.002591526674	-15877.263807061	
892.4522645	92	5	3	0.03307641452	0.002586498014	98.38072021	1.356556828	0.2627229636	91.78057047	5.125410176	3.094019356							0	0	0	-892.4522645	0.002586498014	-15940.5485510171	
892.3722645	92	5	3	0.03556497174	0.002581489299	98.37829679	1.358487386	0.2632158268	91.76349442	5.135159618	3.101345962							0	0	0	-892.3722645	0.002581489299	-16003.9620056897	
892.2922645	92	5	3	0.03804231268	0.002576500411	98.37587571	1.360415842	0.2637084451	91.7464136	5.144910373	3.108676026							0	0	0	-892.2922645	0.002576500411	-16067.5060836168	
892.2122645	92	5	3	0.04050850988	0.002571531235	98.37345698	1.362342197	0.2642008183	91.72932801	5.154662447	3.116009545							0	0	0	-892.2122645	0.002571531235	-16131.1810702691	
892.1322645	92	5	3	0.04296363527	0.002566581655	98.3710406	1.364266452	0.2646929462	91.71223764	5.164415844	3.123346517							0	0	0	-892.1322645	0.002566581655	-16194.9824353718	
892.0522645	92	5	3	0.04540776018	0.002561651555	98.36862656	1.36618861	0.2651848285	91.69514249	5.17417057	3.130686939							0	0	0	-892.0522645	0.002561651555	-16258.912167623	
891.9722645	92	5	3	0.04784095533	0.002556740822	98.36621486	1.368108671	0.2656764649	91.67804256	5.183926631	3.138030809							0	0	0	-891.9722645	0.002556740822	-16322.9739477015	
891.8922645	92	5	3	0.05026329086	0.002551849344	98.36380551	1.370026637	0.2661678554	91.66093784	5.193684032	3.145378123							0	0	0	-891.8922645	0.002551849344	-16387.1648875712	
891.8122645	92	5	3	0.05267483633	0.002546977008	98.36139849	1.37194251	0.2666589996	91.64382834	5.203442778	3.152728881							0	0	0	-891.8122645	0.002546977008	-16451.4837930541	
891.7322645	92	5	3	0.0550756607	0.002542123703	98.35899381	1.373856291	0.2671498973	91.62671405	5.213202876	3.160083079							0	0	0	-891.7322645	0.002542123703	-16515.9328167141	
891.6522645	92	5	3	0.05746583239	0.002537289319	98.35659147	1.375767982	0.2676405482	91.60959496	5.222964329	3.167440715							0	0	0	-891.6522645	0.002537289319	-16580.510770676	
891.5722645	92	5	3	0.05984541921	0.002532473746	98.35419146	1.377677585	0.2681309523	91.59247107	5.232727145	3.174801786							0	0	0	-891.5722645	0.002532473746	-16645.2164843093	
