T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
875.0657018	88	7	5	0	0	97.97096001	1.637952868	0.3910871244	88	7	5	0.002257448591	-0.001213969201	-0.00104347939	-875.0657018	0	21.9765393699712	
875.0557018	88	7	5	0.0002256015993	0.0002265078432	97.97072788	1.638125262	0.3911468624	87.99774249	7.001214079	5.001043431	0	0	0	-875.0557018	0.0002265078432	66.3206238437094	
875.0357018	88	7	5	0.0006762716031	0.0004526153906	97.97026371	1.638469942	0.3912663461	87.99322737	7.003642091	5.003130541	0	0	0	-875.0357018	0.0004526153906	88.4721089306822	
874.9957018	88	7	5	0.001576604793	0.0009045451059	97.96933554	1.639159173	0.3915052871	87.98419609	7.008498553	5.007305358	0	0	0	-874.9957018	0.0009045451059	88.5655706280454	
874.9157018	88	7	5	0.003373274702	0.001806687246	97.96748099	1.640536044	0.3919829633	87.96612969	7.018212945	5.015657367	0	0	0	-874.9157018	0.001806687246	88.7961448646326	
874.7557018	88	7	5	0.006950702641	0.003603796935	97.9637782	1.643284225	0.3929375759	87.92998151	7.037647618	5.032370874	0	0	0	-874.7557018	0.003603796935	89.269946820302	
874.4357018	88	7	5	0.01404250198	0.007169559662	97.95639779	1.648758377	0.394843838	87.85762361	7.076540602	5.065835788	0	0	0	-874.4357018	0.007169559662	90.3043627989898	
873.7957018	88	7	5	0.02795724729	0.01417114515	97.94174033	1.659614019	0.3986456549	87.71266522	7.154408465	5.13292632	0	0	0	-873.7957018	0.01417114515	92.4326320250844	
872.5157018	88	7	5	0.05479830269	0.02772804818	97.91283045	1.680965633	0.406203916	87.4217634	7.310507088	5.267729514	0	0	0	-872.5157018	0.02772804818	96.6051386794039	
869.9557018	88	7	5	0.1048213971	0.05314799546	97.85661314	1.722249864	0.4211369992	86.8360041	7.624201425	5.539794475	0	0	0	-869.9557018	0.05314799546	-1396.36907901205	
867.3957018	88	7	5	0.1504032843	0.05114555109	97.80245133	1.761748013	0.4358006623	86.24488614	7.940201813	5.814912051	0	0	0	-867.3957018	0.05114555109	-1331.46359958441	
864.8357018	88	7	5	0.1920872814	0.04929124051	97.75031225	1.799493619	0.4501941322	85.64836627	8.258578066	6.09305566	0	0	0	-864.8357018	0.04929124051	-1436.46875421799	
862.2757018	88	7	5	0.2303350286	0.04757118396	97.70016332	1.835520157	0.4643165277	85.04641242	8.579392007	6.374195571	0	0	0	-862.2757018	0.04757118396	-1545.99931985384	
859.7157018	88	7	5	0.2655389425	0.04597084505	97.651972	1.869860892	0.4781671063	84.43900103	8.902697421	6.658301545	0	0	0	-859.7157018	0.04597084505	-1658.98499211688	
