T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
876.4882021	91	9	0	0	98.85226051	1.147739489	91	9	0.001432275874	-0.001432275874	-876.4882021	0	27.1759922148102	
876.4782021	91	9	0.0001831643771	0.0001825857781	98.85204851	1.147951492	90.99856735	9.00143265	0	0	-876.4782021	0.0001825857781	82.3615643687483	
876.4582021	91	9	0.0005488439761	0.00036461795	98.85162449	1.148375505	90.99570332	9.004296684	0	0	-876.4582021	0.00036461795	109.862551309139	
876.4182021	91	9	0.001279526622	0.0007287632102	98.85077641	1.149223587	90.98997507	9.010024932	0	0	-876.4182021	0.0007287632102	109.922831736821	
876.3382021	91	9	0.002737841342	0.001455536259	98.84908003	1.15091997	90.97852083	9.021479166	0	0	-876.3382021	0.001455536259	110.226604265399	
876.1782021	91	9	0.005642324866	0.002903142126	98.84568652	1.154313478	90.95562142	9.044378578	0	0	-876.1782021	0.002903142126	110.83111895023	
875.8582021	91	9	0.01140315519	0.00577480302	98.83889598	1.16110402	90.90985877	9.090141227	0	0	-875.8582021	0.00577480302	112.136261999844	
875.2182021	91	9	0.02272104191	0.01141280057	98.82530123	1.174698772	90.81847819	9.181521808	0	0	-875.2182021	0.01141280057	114.816988529274	
873.9382021	91	9	0.04460423436	0.02232171187	98.79805657	1.201943429	90.63629143	9.363708566	0	0	-873.9382021	0.02232171187	120.107200126816	
871.3782021	91	9	0.08558068523	0.04275288545	98.74334426	1.256655745	90.27419577	9.725804234	0	0	-871.3782021	0.04275288545	-1555.30450423648	
868.8182021	91	9	0.1231334526	0.0409314415	98.68832995	1.311670045	89.91509462	10.08490538	0	0	-868.8182021	0.0409314415	-1466.37904406931	
866.2582021	91	9	0.1576689645	0.03925010177	98.63300804	1.36699196	89.5589364	10.4410636	0	0	-866.2582021	0.03925010177	-1586.82180603329	
863.6982021	91	9	0.1895336792	0.03769502876	98.57737302	1.422626983	89.20566979	10.79433021	0	0	-863.6982021	0.03769502876	-1713.08633299918	
861.1382021	91	9	0.2190234433	0.03625285136	98.52141943	1.478580567	88.85524335	11.14475665	0	0	-861.1382021	0.03625285136	-1844.61291443419	
858.5782021	91	9	0.2463923507	0.03491200886	98.46514189	1.534858111	88.50760577	11.49239423	0	0	-858.5782021	0.03491200886	-1981.45376357768	
856.0182021	91	9	0.2718598174	0.03366246263	98.40853504	1.591464963	88.16270594	11.83729406	0	0	-856.0182021	0.03366246263	-2123.66709554716	
853.4582021	91	9	0.2956162698	0.03249545335	98.35159357	1.648406426	87.82049306	12.17950694	0	0	-853.4582021	0.03249545335	-2271.31196231249	
850.8982021	91	9	0.3178277524	0.03140330325	98.29431224	1.705687763	87.48091673	12.51908327	0	0	-850.8982021	0.03140330325	-2424.44827509331	
848.3382021	91	9	0.3386396875	0.03037925412	98.2366858	1.7633142	87.14392699	12.85607301	0	0	-848.3382021	0.03037925412	-2584.60653004177	
845.7782021	91	9	0.3581805567	0.02941833284	98.17870791	1.821292094	86.80946899	13.19053101	0	0	-845.7782021	0.02941833284	-2747.78739382078	
843.2182021	91	9	0.3765622654	0.02851266809	98.1203758	1.879624202	86.4775052	13.5224948	0	0	-843.2182021	0.02851266809	-2916.48660303747	
840.6582021	91	9	0.3938852153	0.02765964708	98.06168309	1.938316915	86.14798146	13.85201854	0	0	-840.6582021	0.02765964708	-3092.97563233903	
838.0982021	91	9	0.4102383567	0.02685453775	98.00262465	1.997375354	85.82085014	14.17914986	0	0	-838.0982021	0.02685453775	-3274.49988495139	
835.5382021	91	9	0.4257010304	0.02609356385	97.94319538	2.056804618	85.49606435	14.50393565	0	0	-835.5382021	0.02609356385	-3461.88678928582	
832.9782021	91	9	0.4403442252	0.02537333547	97.88339021	2.116609794	85.1735779	14.8264221	0	0	-832.9782021	0.02537333547	-3655.20603389893	
830.4182021	91	9	0.4542316422	0.02469079804	97.82320404	2.176795958	84.8533453	15.1466547	0	0	-830.4182021	0.02469079804	-3854.52275215259	
827.8582021	91	9	0.467420601	0.0240431923	97.76263183	2.237368174	84.53532183	15.46467817	0	0	-827.8582021	0.0240431923	-4059.90362190635	
825.2982021	91	9	0.4799628148	0.02342801946	97.70166849	2.298331506	84.21946351	15.78053649	0	0	-825.2982021	0.02342801946	-4271.41614412869	
822.7382021	91	9	0.4919050552	0.02284301128	97.64030899	2.359691012	83.9057271	16.0942729	0	0	-822.7382021	0.02284301128	-4489.12895145868	
820.1782021	91	9	0.5032897254	0.02228610417	97.57854825	2.421451751	83.59407016	16.40592984	0	0	-820.1782021	0.02228610417	-4713.11133762946	
817.6182021	91	9	0.5141553556	0.0217554166	97.51638121	2.483618785	83.284451	16.715549	0	0	-817.6182021	0.0217554166	-4943.43377901772	
815.0582021	91	9	0.5245370326	0.02124922963	97.45380282	2.546197182	82.97682869	17.02317131	0	0	-815.0582021	0.02124922963	-5180.16780443582	
812.4982021	91	9	0.5344667741	0.02076596969	97.39080798	2.609192015	82.67116306	17.32883694	0	0	-812.4982021	0.02076596969	-5423.38607352971	
809.9382021	91	9	0.5439738547	0.02030419367	97.32739163	2.672608371	82.36741473	17.63258527	0	0	-809.9382021	0.02030419367	-5673.16258099081	
807.3782021	91	9	0.5530850925	0.01986257569	97.26354865	2.736451347	82.06554503	17.93445497	0	0	-807.3782021	0.01986257569	-5929.57240903574	
804.8182021	91	9	0.5618250992	0.0194398955	97.19927395	2.800726053	81.76551607	18.23448393	0	0	-804.8182021	0.0194398955	-6192.6922808249	
802.2582021	91	9	0.5702165021	0.01903502825	97.13456238	2.865437618	81.46729067	18.53270933	0	0	-802.2582021	0.01903502825	-6462.60044226282	
