T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
925.7908736	96	3	1	0	0	99.02983539	0.1713259976	0.7988386169	96	3	1													0.003996433768	-0.003731164434	-0.0002652693346	-925.7908736	0	7.58536367735564	
925.7708736	96	3	1	0.0026588759	0.002631640118	99.0292992	0.1717237424	0.7989770589	95.9920071	3.007462485	1.000530417													0	0	0	-925.7708736	0.002631640118	7.61428300936164	
925.7508736	96	3	1	0.005307700023	0.005253322915	99.02876325	0.172121371	0.7991153763	95.98401415	3.014925016	1.00106083													0	0	0	-925.7508736	0.005253322915	7.65211781904445	
925.7108736	96	3	1	0.0105572986	0.010449105	99.02769392	0.1729166946	0.7993893857	95.96802914	3.029852525	1.002118339													0	0	0	-925.7108736	0.010449105	7.73517815805223	
925.6308736	96	3	1	0.02091020759	0.02069578276	99.025561	0.1745066548	0.7999323445	95.93605957	3.059712345	1.004228081													0	0	0	-925.6308736	0.02069578276	7.88538535810462	
925.4708736	96	3	1	0.04102518006	0.04060399113	99.02132016	0.1776843665	0.8009954688	95.87212429	3.119453199	1.008422511													0	0	0	-925.4708736	0.04060399113	8.1981991858931	
925.1508736	96	3	1	0.07905046075	0.07823716901	99.01293319	0.1840307282	0.8030360804	95.74426892	3.239013212	1.016717864													0	0	0	-925.1508736	0.07823716901	8.85102705801762	
924.5108736	96	3	1	0.1473009882	0.1457803792	98.99650661	0.1966874046	0.8068059902	95.48861803	3.478411549	1.032970419													0	0	0	-924.5108736	0.1457803792	10.269095693564	
923.2308736	96	3	1	0.2591048093	0.2564191738	98.96482556	0.2218546436	0.8133197962	94.97758267	3.958040221	1.06437711													0	0	0	-923.2308736	0.2564191738	13.5545818305279	
920.6708736	96	3	1	0.4172041252	0.4128772746	98.90495309	0.2715979932	0.823448914	93.95717225	4.91867245	1.124155305													0	0	0	-920.6708736	0.4128772746	21.1647543527579	
918.1108736	96	3	1	0.5232475511	0.5178513364	98.84832231	0.3205527333	0.8311249547	92.94076013	5.877859244	1.181380622													0	0	0	-918.1108736	0.5178513364	30.0608153211914	
915.5508736	96	3	1	0.5990085655	0.5928882265	98.79395576	0.3687329678	0.8373112732	91.93108364	6.831988075	1.236928281													0	0	0	-915.5508736	0.5928882265	40.6981074359162	
912.9908736	96	3	1	0.6556254431	0.6490038867	98.74128648	0.4161654214	0.8425480996	90.93122448	7.777638125	1.2911374													0	0	0	-912.9908736	0.6490038867	53.143432015348	
910.4308736	96	3	1	0.6993916821	0.6924200657	98.68995547	0.4628859216	0.8471586034	89.94438125	8.711542433	1.344076315													0	0	0	-910.4308736	0.6924200657	67.4694276274547	
907.8708736	96	3	1	0.7341247425	0.7269093804	98.63971414	0.5089384687	0.8513473889	88.97362475	9.630692605	1.395682646													0	0	0	-907.8708736	0.7269093804	83.7413208676221	
905.3108736	96	3	1	0.7622808194	0.7548987063	98.59038036	0.5543728845	0.8552467551	88.02175897	10.5324084	1.445832634													0	0	0	-905.3108736	0.7548987063	102.009765965042	
902.7508736	96	3	1	0.7855114838	0.778019733	98.54181227	0.5992434997	0.8589442322	87.09118313	11.41442954	1.494387328													0	0	0	-902.7508736	0.778019733	122.306721415427	
900.1908736	96	3	1	0.8049684945	0.7974103576	98.4938941	0.6436076501	0.8624982456	86.18381266	12.27496838	1.541218958													0	0	0	-900.1908736	0.7974103576	144.638787685659	
897.6308736	96	3	1	0.8214793789	0.8138882292	98.44652787	0.6875242642	0.8659478702	85.30104856	13.11272593	1.586225513													0	0	0	-897.6308736	0.8138882292	168.983634122749	
895.0708736	96	3	1	0.8356535383	0.8280555857	98.39962823	0.7310526014	0.869319165	84.443789	13.92687386	1.629337138													0	0	0	-895.0708736	0.8280555857	195.288652490287	
892.5108736	96	3	1	0.8479490516	0.8403652374	98.3531194	0.7742511912	0.8726294077	83.61247263	14.71701036	1.670517013													0	0	0	-892.5108736	0.8403652374	223.471700764947	
889.9508736	96	3	1	0.8587162581	0.8511636016	98.30693302	0.817177001	0.8758899744	82.8071412	15.48310002	1.709758777													0	0	0	-889.9508736	0.8511636016	253.423596213446	
887.3908736	96	3	1	0.8682270799	0.86071965	98.26100685	0.8598848349	0.8791083107	82.02751109	16.22540682	1.74708209													0	0	0	-887.3908736	0.86071965	285.011716076787	
