T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
929.8364768	98	0	2	0	0	98.49875898	0	1.501241019	98	0	2				0.002123547691		-0.002123547691	-929.8364768	0	2.34883356467889	
929.8164768	98	0	2	0.008363200037	0.008478099399	98.49648194	0	1.503518058	97.99575478	0	2.004245219				0		0	-929.8164768	0.008478099399	2.36920500947155	
929.7964768	98	0	2	0.01665614876	0.01688391929	98.49421051	0	1.505789489	97.99151643	0	2.008483575				0		0	-929.7964768	0.01688391929	2.39192972494845	
929.7564768	98	0	2	0.03298787935	0.03343480069	98.48968483	0	1.51031517	97.98306108	0	2.016938917				0		0	-929.7564768	0.03343480069	2.43979629452267	
929.6764768	98	0	2	0.06477250594	0.06563373258	98.48070031	0	1.519299691	97.96623328	0	2.033766722				0		0	-929.6764768	0.06563373258	2.53322887716131	
929.5164768	98	0	2	0.1249781003	0.1265778316	98.46299018	0	1.53700982	97.93290024	0	2.067099759				0		0	-929.5164768	0.1265778316	2.73026903245912	
929.1964768	98	0	2	0.2334417241	0.2362049141	98.4285415	0	1.571458495	97.86745545	0	2.132544548				0		0	-929.1964768	0.2362049141	3.15869187577258	
928.5564768	98	0	2	0.4122280909	0.4163547377	98.36309277	0	1.636907232	97.74097991	0	2.259020091				0		0	-928.5564768	0.4163547377	4.1595595719591	
927.2764768	98	0	2	0.6669342177	0.671393865	98.24333077	0	1.756669229	97.50281913	0	2.497180871				0		0	-927.2764768	0.671393865	6.76149181238351	
924.7164768	98	0	2	0.9627560864	0.9636770141	98.03500731	0	1.96499269	97.07118533	0	2.928814666				0		0	-924.7164768	0.9636770141	12.4432657601303	
924.3964768	98	0	2	0.9884559134	0.9887565089	98.01113641	0	1.988863595	97.02058684	0	2.97941316				0		0	-924.3964768	0.9887565089	13.2124042859044	
924.3164768	98	0	2	0.9946202898	0.9947621202	98.00523069	0	1.994769311	97.00803853	0	2.991961474				0		0	-924.3164768	0.9947621202	13.4691877034739	
924.2764768	98	0	2	0.9976536255	0.9977158648	98.00228718	0	1.99771282	97.00177986	0	2.998220138				0		0	-924.2764768	0.9977158648	13.5920426428058	
924.2564768	98	0	2	0.999162345	0.9991846321	98.0008176	0	1.999182397	96.9986541	0	3.001345904				0		0	-924.2564768	0.9991846321	20.6335673815633	
924.2364768	98	0	2	1	1	97.99999217	0	2.000007825										-924.2364768	1	24.5288047272661	
924.2264768	98	0	2	1	1	98.00000013	0	1.999999866										-924.2264768	1	NaN	
924.2064768	98	0	2	1	1	97.99999999	0	2.000000008										-924.2064768	1	NaN	
924.1664768	98	0	2	1	1	98	0	2										-924.1664768	1	NaN	
924.0864768	98	0	2	1	1	98	0	2										-924.0864768	1	NaN	
923.9264768	98	0	2	1	1	98	0	2										-923.9264768	1	NaN	
923.6064768	98	0	2	1	1	98	0	2										-923.6064768	1	NaN	
922.9664768	98	0	2	1	1	98	0	1.999999999										-922.9664768	1	NaN	
921.6864768	98	0	2	1	1	98	0	1.999999996										-921.6864768	1	NaN	
919.1264768	98	0	2	1	1	98.00000002	0	1.999999983										-919.1264768	1	NaN	
916.5664768	98	0	2	1	1	98.00000002	0	1.999999977										-916.5664768	1	NaN	
914.0064768	98	0	2	1	1	98.00000002	0	1.999999977										-914.0064768	1	NaN	
911.4464768	98	0	2	1	1	98.00000002	0	1.999999977										-911.4464768	1	NaN	
908.8864768	98	0	2	1	1	98.00000002	0	1.999999976										-908.8864768	1	NaN	
906.3264768	98	0	2	1	1	98.00000002	0	1.999999976										-906.3264768	1	NaN	
903.7664768	98	0	2	1	1	98.00000002	0	1.999999976										-903.7664768	1	NaN	
901.2064768	98	0	2	1	1	98.00000002	0	1.999999976										-901.2064768	1	NaN	
898.6464768	98	0	2	1	1	98.00000002	0	1.999999976										-898.6464768	1	NaN	
896.0864768	98	0	2	1	1	98.00000002	0	1.999999976										-896.0864768	1	NaN	
893.5264768	98	0	2	1	1	98.00000002	0	1.999999975										-893.5264768	1	NaN	
890.9664768	98	0	2	1	1	98.00000002	0	1.999999975										-890.9664768	1	NaN	
888.4064768	98	0	2	1	1	98.00000002	0	1.999999975										-888.4064768	1	NaN	
885.8464768	98	0	2	1	1	98.00000003	0	1.999999975										-885.8464768	1	NaN	
883.2864768	98	0	2	1	1	98.00000003	0	1.999999975										-883.2864768	1	NaN	
880.7264768	98	0	2	1	1	98.00000003	0	1.999999975										-880.7264768	1	NaN	
878.1664768	98	0	2	1	1	98.00000003	0	1.999999974										-878.1664768	1	NaN	
875.6064768	98	0	2	1	1	98.00000003	0	1.999999974										-875.6064768	1	NaN	
873.0464768	98	0	2	1	1	98.00000003	0	1.999999974										-873.0464768	1	NaN	
870.4864768	98	0	2	1	1	98.00000003	0	1.999999974										-870.4864768	1	NaN	
867.9264768	98	0	2	1	1	98.00000003	0	1.999999974										-867.9264768	1	NaN	
865.3664768	98	0	2	1	1	98.00000003	0	1.999999973										-865.3664768	1	NaN	
862.8064768	98	0	2	1	1	98.00000003	0	1.999999973										-862.8064768	1	NaN	
860.2464768	98	0	2	1	1	98.00000003	0	1.999999973										-860.2464768	1	NaN	
857.6864768	98	0	2	1	1	98.00000003	0	1.999999973										-857.6864768	1	NaN	
855.1264768	98	0	2	1	1	98.00000003	0	1.999999973										-855.1264768	1	NaN	
852.5664768	98	0	2	1	1	98.00000003	0	1.999999972										-852.5664768	1	NaN	
850.0064768	98	0	2	1	1	98.00000003	0	1.999999972										-850.0064768	1	NaN	
847.4464768	98	0	2	1	1	98.00000003	0	1.999999972										-847.4464768	1	NaN	
844.8864768	98	0	2	1	1	98.00000003	0	1.999999972										-844.8864768	1	NaN	
842.3264768	98	0	2	1	1	98.00000003	0	1.999999972										-842.3264768	1	NaN	
839.7664768	98	0	2	1	1	98.00000003	0	1.999999971										-839.7664768	1	NaN	
837.2064768	98	0	2	1	1	98.00000003	0	1.999999971										-837.2064768	1	NaN	
834.6464768	98	0	2	1	1	98.00000003	0	1.999999971										-834.6464768	1	NaN	
832.0864768	98	0	2	1	1	98.00000003	0	1.999999971										-832.0864768	1	NaN	
829.5264768	98	0	2	1	1	98.00000003	0	1.999999971										-829.5264768	1	NaN	
826.9664768	98	0	2	1	1	98.00000003	0	1.99999997										-826.9664768	1	NaN	
824.4064768	98	0	2	1	1	98.00000003	0	1.99999997										-824.4064768	1	NaN	
821.8464768	98	0	2	1	1	98.00000003	0	1.99999997										-821.8464768	1	NaN	
819.2864768	98	0	2	1	1	98.00000003	0	1.99999997										-819.2864768	1	NaN	
816.7264768	98	0	2	1	1	98.00000003	0	1.999999969										-816.7264768	1	NaN	
814.1664768	98	0	2	1	1	98.00000003	0	1.999999969										-814.1664768	1	NaN	
811.6064768	98	0	2	1	1	98.00000003	0	1.999999969										-811.6064768	1	NaN	
809.0464768	98	0	2	1	1	98.00000003	0	1.999999969										-809.0464768	1	NaN	
806.4864768	98	0	2	1	1	98.00000003	0	1.999999969										-806.4864768	1	NaN	
803.9264768	98	0	2	1	1	98.00000003	0	1.999999968										-803.9264768	1	NaN	
801.3664768	98	0	2	1	1	98.00000003	0	1.999999968										-801.3664768	1	NaN	
798.8064768	98	0	2	1	1	98.00000003	0	1.999999968										-798.8064768	1	NaN	
796.2464768	98	0	2	1	1	98.00000003	0	1.999999968										-796.2464768	1	NaN	
793.6864768	98	0	2	1	1	98.00000003	0	1.999999967										-793.6864768	1	NaN	
791.1264768	98	0	2	1	1	98.00000003	0	1.999999967										-791.1264768	1	NaN	
788.5664768	98	0	2	1	1	98.00000003	0	1.999999967										-788.5664768	1	NaN	
786.0064768	98	0	2	1	1	98.00000003	0	1.999999967										-786.0064768	1	NaN	
783.4464768	98	0	2	1	1	98.00000003	0	1.999999966										-783.4464768	1	NaN	
780.8864768	98	0	2	1	1	98.00000003	0	1.999999966										-780.8864768	1	NaN	
778.3264768	98	0	2	1	1	98.00000003	0	1.999999966										-778.3264768	1	NaN	
775.7664768	98	0	2	1	1	98.00000003	0	1.999999965										-775.7664768	1	NaN	
773.2064768	98	0	2	1	1	98.00000003	0	1.999999965										-773.2064768	1	NaN	
770.6464768	98	0	2	1	1	98.00000004	0	1.999999965										-770.6464768	1	NaN	
768.0864768	98	0	2	1	1	98.00000004	0	1.999999965										-768.0864768	1	NaN	
765.5264768	98	0	2	1	1	98.00000004	0	1.999999964										-765.5264768	1	NaN	
762.9664768	98	0	2	1	1	98.00000004	0	1.999999964										-762.9664768	1	NaN	
760.4064768	98	0	2	1	1	98.00000004	0	1.999999964										-760.4064768	1	NaN	
757.8464768	98	0	2	1	1	98.00000004	0	1.999999963										-757.8464768	1	NaN	
755.2864768	98	0	2	1	1	98.00000004	0	1.999999963										-755.2864768	1	NaN	
752.7264768	98	0	2	1	1	98.00000004	0	1.999999963										-752.7264768	1	NaN	
750.1664768	98	0	2	1	1	98.00000004	0	1.999999963										-750.1664768	1	NaN	
747.6064768	98	0	2	1	1	98.00000004	0	1.999999962										-747.6064768	1	NaN	
745.0464768	98	0	2	1	1	98.00000004	0	1.999999962										-745.0464768	1	NaN	
742.4864768	98	0	2	1	1	98.00000004	0	1.999999962										-742.4864768	1	NaN	
739.9264768	98	0	2	1	1	98.00000004	0	1.999999961										-739.9264768	1	NaN	
737.3664768	98	0	2	1	1	98.00000004	0	1.999999961										-737.3664768	1	NaN	
734.8064768	98	0	2	1	1	98.00000004	0	1.999999961										-734.8064768	1	NaN	
732.2464768	98	0	2	1	1	98.00000004	0	1.99999996										-732.2464768	1	NaN	
729.6864768	98	0	2	1	1	98.00000004	0	1.99999996										-729.6864768	1	NaN	
727.1264768	98	0	2	1	1	98.00000004	0	1.99999996										-727.1264768	1	NaN	
724.5664768	98	0	2	1	1	98.00000004	0	1.999999959										-724.5664768	1	NaN	
722.0064768	98	0	2	1	1	98.00000004	0	1.999999959										-722.0064768	1	NaN	
719.4464768	98	0	2	1	1	98.00000004	0	1.999999959										-719.4464768	1	NaN	
716.8864768	98	0	2	1	1	98.00000004	0	1.999999958										-716.8864768	1	NaN	
714.3264768	98	0	2	1	1	98.00000004	0	1.999999958										-714.3264768	1	NaN	
711.7664768	98	0	2	1	1	98.00000004	0	1.999999957										-711.7664768	1	NaN	
709.2064768	98	0	2	1	1	98.00000004	0	1.999999957										-709.2064768	1	NaN	
706.6464768	98	0	2	1	1	98.00000004	0	1.999999957										-706.6464768	1	NaN	
704.0864768	98	0	2	1	1	98.00000004	0	1.999999956										-704.0864768	1	NaN	
701.5264768	98	0	2	1	1	98.00000004	0	1.999999956										-701.5264768	1	NaN	
698.9664768	98	0	2	1	1	98.00000004	0	1.999999956										-698.9664768	1	NaN	
696.4064768	98	0	2	1	1	98.00000004	0	1.999999955										-696.4064768	1	NaN	
693.8464768	98	0	2	1	1	98.00000005	0	1.999999955										-693.8464768	1	NaN	
691.2864768	98	0	2	1	1	98.00000005	0	1.999999954										-691.2864768	1	NaN	
688.7264768	98	0	2	1	1	98.00000005	0	1.999999954										-688.7264768	1	NaN	
686.1664768	98	0	2	1	1	98.00000005	0	1.999999954										-686.1664768	1	NaN	
683.6064768	98	0	2	1	1	98.00000005	0	1.999999953										-683.6064768	1	NaN	
