T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
896.8539207	88	8	4	0	0	97.5886803	0.1687479064	2.242571796	88	8	4							0.002384698363	-0.001947664449	-0.000437033914	-896.8539207	0	40.1973416945686	
896.8339207	88	8	4	0.0004945866541	0.0004972235599	97.58824274	0.1688049739	2.242952282	87.9952311	8.003894883	4.000874016							0	0	0	-896.8339207	0.0004972235599	40.2493692537386	
896.8139207	88	8	4	0.0009885447139	0.0009938052227	97.58780536	0.1688620475	2.24333259	87.990463	8.007789522	4.001747475							0	0	0	-896.8139207	0.0009938052227	40.2950070027663	
896.7739207	88	8	4	0.001975047438	0.00198551786	97.58693093	0.1689761438	2.244092925	87.98093067	8.015576191	4.003493135							0	0	0	-896.7739207	0.00198551786	40.3768644563415	
896.6939207	88	8	4	0.003941952296	0.003962691613	97.58518358	0.1692042028	2.245612217	87.96188	8.031140988	4.006979014							0	0	0	-896.6939207	0.003962691613	40.5473717737122	
896.5339207	88	8	4	0.007851531481	0.007892210798	97.5816949	0.1696597912	2.24864531	87.92383444	8.062236493	4.013929071							0	0	0	-896.5339207	0.007892210798	40.9229732517712	
896.2139207	88	8	4	0.0155570385	0.01563515507	97.57475129	0.1705716467	2.254677065	87.84791878	8.124359364	4.027721861							0	0	0	-896.2139207	0.01563515507	41.6956506726219	
895.5739207	88	8	4	0.03058124934	0.03072513344	97.56096783	0.1723899769	2.266642191	87.69692072	8.248133158	4.054946127							0	0	0	-895.5739207	0.03072513344	43.1905882128745	
894.2939207	88	8	4	0.05913907781	0.05938059461	97.53382358	0.1760123635	2.290164053	87.39809734	8.49396009	4.10794257							0	0	0	-894.2939207	0.05938059461	46.3207751743678	
891.7339207	88	8	4	0.110972757	0.1112930154	97.48112313	0.1832089529	2.335667916	86.81267591	8.978899242	4.208424852							0	0	0	-891.7339207	0.1112930154	52.8183427540717	
889.1739207	88	8	4	0.1568081045	0.1570813517	97.4303895	0.1903625036	2.379247992	86.24260779	9.455358335	4.302033874							0	0	0	-889.1739207	0.1570813517	59.5985624022638	
886.6139207	88	8	4	0.1976661891	0.1977946004	97.38145444	0.197491959	2.421053599	85.68687511	9.923814218	4.389310674							0	0	0	-886.6139207	0.1977946004	66.749862189193	
884.0539207	88	8	4	0.2343462406	0.2342533176	97.33417412	0.2046134816	2.461212403	85.14453685	10.38472505	4.470738102							0	0	0	-884.0539207	0.2342533176	74.265587647419	
881.4939207	88	8	4	0.2674840125	0.2671097637	97.28842298	0.2117405971	2.499836426	84.61473372	10.83851542	4.546750864							0	0	0	-881.4939207	0.2671097637	82.1385932473105	
878.9339207	88	8	4	0.2975913237	0.2968886823	97.24409043	0.2188846779	2.537024895	84.0966836	11.28557527	4.617741126							0	0	0	-878.9339207	0.2968886823	90.3624465359044	
876.3739207	88	8	4	0.3250847557	0.3240168757	97.20107824	0.2260553266	2.57286643	83.58967583	11.72626067	4.6840635							0	0	0	-876.3739207	0.3240168757	98.9313649694041	
873.8139207	88	8	4	0.3503067924	0.3488449831	97.15929855	0.2332606865	2.60744076	83.09306488	12.16089568	4.746039437							0	0	0	-873.8139207	0.3488449831	107.850286474971	
871.2539207	88	8	4	0.3735378457	0.3716599227	97.11867691	0.2405090695	2.640814019	82.60624475	12.58980385	4.803951399							0	0	0	-871.2539207	0.3716599227	117.091116184616	
868.6939207	88	8	4	0.3950237321	0.3927129214	97.07913178	0.2478034944	2.673064725	82.12872356	13.01319076	4.858085677							0	0	0	-868.6939207	0.3927129214	126.656228448307	
866.1339207	88	8	4	0.4149606149	0.4122044073	97.0406031	0.2551505433	2.704246356	81.65999371	13.43133168	4.908674605							0	0	0	-866.1339207	0.4122044073	136.55855761652	
863.5739207	88	8	4	0.4335188672	0.4303082857	97.00303115	0.2625545582	2.734414295	81.19961218	13.84444716	4.955940668							0	0	0	-863.5739207	0.4303082857	146.784515180608	
861.0139207	88	8	4	0.4508441939	0.4471731608	96.96636105	0.2700192749	2.763619679	80.7471739	14.2527381	5.000088005							0	0	0	-861.0139207	0.4471731608	157.330821270661	
