T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
899.4028245	87	10	3	0	0	98.02827597	0.3006877488	1.671036286	87	10	3							0.002900682483	-0.002551160136	-0.0003495223472	-899.4028245	0	38.0046386669281	
899.3828245	87	10	3	0.0005347710033	0.000525857383	98.0279189	0.3008135722	1.671267526	86.99419918	10.00510179	3.000699029							0	0	0	-899.3828245	0.000525857383	38.0616129311095	
899.3628245	87	10	3	0.001068748781	0.001050928788	98.02756198	0.3009393912	1.671498632	86.98839986	10.01020255	3.001397588							0	0	0	-899.3628245	0.001050928788	38.1104069738342	
899.3228245	87	10	3	0.002135015399	0.002099392973	98.02684836	0.3011909219	1.671960721	86.97680653	10.02039969	3.00279378							0	0	0	-899.3228245	0.002099392973	38.1959425638109	
899.2428245	87	10	3	0.004260135303	0.004188960691	98.02542222	0.3016936494	1.672884131	86.9536403	10.04077772	3.005581976							0	0	0	-899.2428245	0.004188960691	38.3757096619235	
899.0828245	87	10	3	0.008480943986	0.008338875837	98.02257434	0.302697778	1.67472788	86.90738943	10.08146892	3.011141653							0	0	0	-899.0828245	0.008338875837	38.7771865265174	
898.7628245	87	10	3	0.01678182034	0.01649920993	98.01690517	0.3047051375	1.678389692	86.81517919	10.16264944	3.022171372							0	0	0	-898.7628245	0.01649920993	39.6063001518803	
898.1228245	87	10	3	0.03291327021	0.0323532301	98.00564392	0.3087036089	1.685652476	86.63201768	10.32403685	3.043945464							0	0	0	-898.1228245	0.0323532301	41.2062164038241	
896.8428245	87	10	3	0.06336870883	0.06226865779	97.98343625	0.3166475569	1.69991619	86.27059392	10.64307364	3.086332436							0	0	0	-896.8428245	0.06226865779	44.5826476622266	
894.2828245	87	10	3	0.1179541158	0.1158284871	97.94017959	0.3323413173	1.727479095	85.56681042	11.2664863	3.166703274							0	0	0	-894.2828245	0.1158284871	51.6478691064547	
891.7228245	87	10	3	0.1654644188	0.1623784079	97.8983245	0.3478190659	1.753856429	84.8872879	11.87113894	3.241573161							0	0	0	-891.7228245	0.1623784079	59.0851756621678	
889.1628245	87	10	3	0.2072136409	0.203224423	97.85771328	0.3631208167	1.779165905	84.23064679	12.45796896	3.31138425							0	0	0	-889.1628245	0.203224423	66.998392346942	
886.6028245	87	10	3	0.2442118698	0.2393699653	97.81821445	0.3782818936	1.803503653	83.59551182	13.0279512	3.376536977							0	0	0	-886.6028245	0.2393699653	75.3737535398815	
884.0428245	87	10	3	0.2772492977	0.2715996377	97.77971586	0.393332869	1.82695127	82.98055228	13.58205139	3.437396328							0	0	0	-884.0428245	0.2715996377	84.1955021560644	
881.4828245	87	10	3	0.3069519121	0.3005347108	97.74212081	0.4083002746	1.849578912	82.38450241	14.1212036	3.494293999							0	0	0	-881.4828245	0.3005347108	93.4480108671539	
878.9228245	87	10	3	0.3338213537	0.3266728242	97.70534522	0.4232072136	1.871447569	81.80617206	14.64629705	3.547530894							0	0	0	-878.9228245	0.3266728242	103.11597494647	
876.3628245	87	10	3	0.3582638853	0.3504168256	97.66931535	0.4380738795	1.892610769	81.2444511	15.15816915	3.597379752							0	0	0	-876.3628245	0.3504168256	113.19753710664	
873.8028245	87	10	3	0.3806073709	0.3720916362	97.6339694	0.4529200412	1.913110555	80.69829531	15.65762544	3.644079253							0	0	0	-873.8028245	0.3720916362	123.647676389065	
871.2428245	87	10	3	0.4011354424	0.3919783716	97.59924252	0.467757017	1.933000459	80.16678242	16.14534598	3.6878716							0	0	0	-871.2428245	0.3919783716	134.462072609495	
868.6828245	87	10	3	0.4200709542	0.4102976812	97.56508678	0.4826009292	1.952312289	79.64901782	16.62203175	3.72895043							0	0	0	-868.6828245	0.4102976812	145.648876778495	
866.1228245	87	10	3	0.4376052189	0.4272389535	97.53145569	0.4974640785	1.971080229	79.14419198	17.08830746	3.767500562							0	0	0	-866.1228245	0.4272389535	157.182209907436	
863.5628245	87	10	3	0.4538998123	0.442962073	97.49830728	0.5123574585	1.989335261	78.6515593	17.54475054	3.803690154							0	0	0	-863.5628245	0.442962073	169.049911151755	
861.0028245	87	10	3	0.469092109	0.4576029204	97.46560347	0.5272909434	2.007105587	78.17043299	17.99189457	3.837672442							0	0	0	-861.0028245	0.4576029204	181.240316199163	
858.4428245	87	10	3	0.4832996414	0.4712777016	97.43330957	0.542273436	2.024416995	77.70018007	18.43023264	3.869587288							0	0	0	-858.4428245	0.4712777016	193.742233505965	
855.8828245	87	10	3	0.4966235522	0.4840863755	97.40139387	0.5573130139	2.04129312	77.24021677	18.86022064	3.899562587							0	0	0	-855.8828245	0.4840863755	206.544901568044	
853.3228245	87	10	3	0.5091513579	0.4961153984	97.36982725	0.5724170332	2.057755714	76.79000412	19.28228039	3.927715483							0	0	0	-853.3228245	0.4961153984	219.637944173826	
850.7628245	87	10	3	0.520959174	0.5074399311	97.33858293	0.5875922262	2.073824848	76.34904395	19.69680258	3.954153471							0	0	0	-850.7628245	0.5074399311	233.011349515386	
848.2028245	87	10	3	0.5321135184	0.5181256294	97.30763612	0.6028447844	2.089519094	75.91687518	20.10414946	3.978975367							0	0	0	-848.2028245	0.5181256294	246.655432519092	
845.6428245	87	10	3	0.5426727858	0.5282301058	97.2769639	0.6181804278	2.104855674	75.49307052	20.50465732	4.002272164							0	0	0	-845.6428245	0.5282301058	260.560802241234	
843.0828245	87	10	3	0.5526884577	0.5378041304	97.24654493	0.6336044666	2.119850602	75.07723341	20.89863879	4.024127802							0	0	0	-843.0828245	0.5378041304	274.718336698606	
840.5228245	87	10	3	0.5622061037	0.546892623	97.21635936	0.6491218526	2.134518791	74.66899531	21.28638485	4.04461984							0	0	0	-840.5228245	0.546892623	289.119153409657	
837.9628245	87	10	3	0.571266213	0.5555354781	97.18638861	0.6647372251	2.148874162	74.26801319	21.66816675	4.063820064							0	0	0	-837.9628245	0.5555354781	303.754585373908	
835.4028245	87	10	3	0.5799048901	0.5637682538	97.15661532	0.6804549498	2.162929732	73.87396733	22.04423765	4.08179502							0	0	0	-835.4028245	0.5637682538	318.616158228092	
