T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
896.0855639	85	14	1	0	0	98.51058473	0.9414656135	0.5479496564	85	14	1							0.003466787271	-0.003350790182	-0.000115997089	-896.0855639	0	38.9520378389744	
896.0655639	85	14	1	0.0005466625607	0.0005130734178	98.51011195	0.9419382088	0.547949839	84.99306667	14.0067013	1.00023203							0	0	0	-896.0655639	0.0005130734178	39.0095142747154	
896.0455639	85	14	1	0.001092517922	0.001025391987	98.5096392	0.9424107959	0.5479500088	84.98613468	14.01340133	1.000463989							0	0	0	-896.0455639	0.001025391987	39.0550257453784	
896.0055639	85	14	1	0.002182812079	0.002048707896	98.50869368	0.9433558786	0.5479504386	84.97227413	14.02679791	1.000927956							0	0	0	-896.0055639	0.002048707896	39.1283215009713	
895.9255639	85	14	1	0.004356753036	0.004089134001	98.50680272	0.9452457466	0.5479515297	84.94456732	14.05357685	1.001855828							0	0	0	-895.9255639	0.004089134001	39.2873129008803	
895.7655639	85	14	1	0.008678205812	0.008145314126	98.50302107	0.9490242943	0.547954636	84.88921102	14.10707767	1.003711302							0	0	0	-895.7655639	0.008145314126	39.6571798921048	
895.4455639	85	14	1	0.01718534277	0.01613074655	98.49545987	0.956580612	0.5479595171	84.77873713	14.21385154	1.007411331							0	0	0	-895.4455639	0.01613074655	40.4270417060166	
894.8055639	85	14	1	0.03376534882	0.03169600902	98.48034242	0.9716784764	0.5479791078	84.55872629	14.42647725	1.014796469							0	0	0	-894.8055639	0.03169600902	41.8809534429241	
893.5255639	85	14	1	0.06522335057	0.06123644344	98.45012766	1.001824617	0.5480477226	84.12252628	14.84799074	1.029482985							0	0	0	-893.5255639	0.06123644344	44.9624689264754	
890.9655639	85	14	1	0.1220897272	0.1146652087	98.38976432	1.061924906	0.5483107695	83.26580623	15.6756926	1.058501165							0	0	0	-890.9655639	0.1146652087	51.437832286101	
888.4055639	85	14	1	0.1720161462	0.1616086579	98.32946409	1.121796045	0.5487398616	82.43060526	16.48240958	1.08698516							0	0	0	-888.4055639	0.1616086579	58.3077091484169	
885.8455639	85	14	1	0.2161478543	0.2031358982	98.26919697	1.181466843	0.549336186	81.61742657	17.26769055	1.114882876							0	0	0	-885.8455639	0.2031358982	65.675390450839	
883.2855639	85	14	1	0.2553956785	0.2400972679	98.20893353	1.240969461	0.5500970098	80.8265321	18.03131745	1.14215044							0	0	0	-883.2855639	0.2400972679	73.5448342948057	
880.7255639	85	14	1	0.2904969439	0.2731812528	98.14864439	1.300338163	0.5510174515	80.05796492	18.77328099	1.16875409							0	0	0	-880.7255639	0.2731812528	81.9136078793651	
878.1655639	85	14	1	0.322054341	0.302950746	98.08829994	1.359608941	0.552091114	79.31157747	19.49375286	1.194669668							0	0	0	-878.1655639	0.302950746	90.7756897516675	
875.6055639	85	14	1	0.3505647395	0.3298699246	98.02787025	1.41881914	0.5533106117	78.58706156	20.19305664	1.219881798							0	0	0	-875.6055639	0.3298699246	100.121628519413	
873.0455639	85	14	1	0.3764408819	0.354324482	97.96732491	1.4780071	0.5546679854	77.88397838	20.87163874	1.244382882							0	0	0	-873.0455639	0.354324482	109.938785589292	
870.4855639	85	14	1	0.4000279628	0.3766370891	97.90663313	1.537211846	0.5561550267	77.20178671	21.53004128	1.268172011							0	0	0	-870.4855639	0.3766370891	120.211621867662	
867.9255639	85	14	1	0.4216164639	0.3970793626	97.84576365	1.596472823	0.557763524	76.53986862	22.16887748	1.291253893							0	0	0	-867.9255639	0.3970793626	130.940519398186	
865.3655639	85	14	1	0.4414474274	0.4158765148	97.78468415	1.655831805	0.559484046	75.8975512	22.78881391	1.313634887							0	0	0	-865.3655639	0.4158765148	142.061671967969	
862.8055639	85	14	1	0.4597403309	0.433234448	97.72336413	1.715324049	0.5613118258	75.27412843	23.39053734	1.33533422							0	0	0	-862.8055639	0.433234448	153.565409831526	
