T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
862.1833003	81	14	5	0	0	96.97357848	0.2633875032	2.763034016	81	14	5										0.001630925405	-0.001402540863	-0.0002283845421	-862.1833003	0	97.872445371213	
862.1633003	81	14	5	0.0002070168348	0.0002042407809	96.97323803	0.2634270421	2.763334928	80.99673876	14.00280436	5.000456875										0	0	0	-862.1633003	0.0002042407809	97.9748277538135	
862.1433003	81	14	5	0.0004138208134	0.0004082683556	96.97289776	0.2634666375	2.763635603	80.99347701	14.00560972	5.000913267										0	0	0	-862.1433003	0.0004082683556	98.0482759330067	
862.1033003	81	14	5	0.0008271564055	0.0008160452051	96.97221717	0.2635457456	2.764237087	80.98695627	14.01121777	5.001825958										0	0	0	-862.1033003	0.0008160452051	98.1370712898919	
862.0233003	81	14	5	0.001652751335	0.001630498809	96.9708565	0.2637039279	2.765439573	80.97392087	14.02242979	5.003649337										0	0	0	-862.0233003	0.001630498809	98.3213953919479	
861.8633003	81	14	5	0.003299276538	0.003254651556	96.96813709	0.2640201136	2.767842792	80.947875	14.04483663	5.007288372										0	0	0	-861.8633003	0.003254651556	98.7055058130696	
861.5433003	81	14	5	0.006573813898	0.006484088638	96.962706	0.264651777	2.772642228	80.89588233	14.08958198	5.014535681										0	0	0	-861.5433003	0.006484088638	99.5385575676596	
860.9033003	81	14	5	0.01303805569	0.0128568943	96.95188536	0.265916002	2.782198638	80.79223639	14.17887818	5.028885432										0	0	0	-860.9033003	0.0128568943	101.243976597747	
859.6233003	81	14	5	0.02567263464	0.02530339832	96.93037566	0.2684372512	2.801187084	80.58643766	14.35648043	5.057081914										0	0	0	-859.6233003	0.02530339832	104.550990532705	
857.0633003	81	14	5	0.04981207743	0.04904780987	96.8878913	0.2734606243	2.838648074	80.18050192	14.70802011	5.111477966										0	0	0	-857.0633003	0.04904780987	111.305052570144	
854.5033003	81	14	5	0.07257028707	0.07138853617	96.84609241	0.2784612213	2.87544637	79.78176937	15.05490158	5.163329041										0	0	0	-854.5033003	0.07138853617	118.15268135545	
851.9433003	81	14	5	0.09407491977	0.09245618023	96.80495312	0.2834435613	2.911603318	79.3898343	15.39740962	5.212756081										0	0	0	-851.9433003	0.09245618023	125.144822974389	
849.3833003	81	14	5	0.114439153	0.1123664597	96.7644481	0.2884112021	2.947140694	79.00433098	15.73579523	5.259873789										0	0	0	-849.3833003	0.1123664597	132.274631932815	
846.8233003	81	14	5	0.1337623848	0.1312209901	96.72455395	0.2933673085	2.982078745	78.62492347	16.07028823	5.304788304										0	0	0	-846.8233003	0.1312209901	139.53937515149	
844.2633003	81	14	5	0.1521322845	0.1491093849	96.68524895	0.2983146998	3.01643635	78.25130263	16.40109931	5.347598061										0	0	0	-844.2633003	0.1491093849	146.936606527403	
841.7033003	81	14	5	0.1696264943	0.1661109976	96.64651294	0.30325589	3.050231174	77.88318353	16.72842191	5.388394558										0	0	0	-841.7033003	0.1661109976	154.464118653578	
839.1433003	81	14	5	0.1863140425	0.1822963686	96.60832709	0.3081931215	3.083479793	77.52030309	17.05243389	5.427263023										0	0	0	-839.1433003	0.1822963686	162.119923863266	
836.5833003	81	14	5	0.2022565237	0.1977284327	96.5706738	0.3131283951	3.116197805	77.16241801	17.37329897	5.464283017										0	0	0	-836.5833003	0.1977284327	169.902229368535	
834.0233003	81	14	5	0.2175090902	0.2124635341	96.53353657	0.3180634948	3.148399932	76.80930292	17.69116812	5.499528955										0	0	0	-834.0233003	0.2124635341	177.809421240848	
831.4633003	81	14	5	0.2321212872	0.2265522809	96.49689989	0.32300001	3.180100104	76.46074873	18.0061807	5.533070573										0	0	0	-831.4633003	0.2265522809	185.840048054009	
828.9033003	81	14	5	0.2461377619	0.2400402706	96.46074912	0.3279393551	3.21131153	76.11656112	18.31846553	5.564973342										0	0	0	-828.9033003	0.2400402706	193.99280307726	
826.3433003	81	14	5	0.2595988667	0.2529687069	96.42507045	0.3328827854	3.242046767	75.77655928	18.62814187	5.595298841										0	0	0	-826.3433003	0.2529687069	202.266510021969	
823.7833003	81	14	5	0.2725411746	0.2653749276	96.38985081	0.3378314124	3.272317779	75.44057466	18.93532026	5.624105078										0	0	0	-823.7833003	0.2653749276	210.660109556144	
821.2233003	81	14	5	0.2849979218	0.2772928572	96.3550778	0.3427862164	3.302135981	75.10844991	19.2401033	5.651446791										0	0	0	-821.2233003	0.2772928572	219.17264901374	
818.6633003	81	14	5	0.2969993896	0.2887533971	96.32073965	0.3477480577	3.331512295	74.78003798	19.54258631	5.677375706										0	0	0	-818.6633003	0.2887533971	227.803270975544	
816.1033003	81	14	5	0.3085732339	0.2997847629	96.28682514	0.3527176869	3.360457178	74.45520119	19.84285803	5.701940778										0	0	0	-816.1033003	0.2997847629	236.551200128774	
813.5433003	81	14	5	0.3197447715	0.3104127775	96.25332358	0.3576957536	3.388980667	74.13381048	20.14100112	5.7251884										0	0	0	-813.5433003	0.3104127775	245.368608408137	
812.2633003	81	14	5	0.3251873303	0.3155833287	96.23672384	0.360187913	3.403088248	73.9743715	20.28929535	5.736333149										0	0	0	-812.2633003	0.3155833287	249.701351928956	
812.1033003	81	14	5	0.3258614247	0.3162234133	96.23465555	0.3604994696	3.404844979	73.95450071	20.30779452	5.737704765										0	0	0	-812.1033003	0.3162234133	250.677976830883	
812.0633003	81	14	5	0.3260293807	0.3163828679	96.23413913	0.3605775173	3.405283355	73.9495333	20.31242057	5.738046128										0	0	0	-812.0633003	0.3163828679	250.697769511234	
812.0433003	81	14	5	0.3261134342	0.3164626703	96.23388082	0.3606164899	3.405502695	73.94705048	20.31473256	5.73821696										0	0	0	-812.0433003	0.3164626703	250.650280325006	
812.0274619	81	14	5	0.3261799837	0.3165258533	96.23367626	0.3606473506	3.405676386	73.94508446	20.31656334	5.738352204	62.54235303	28.42537001	9.032276954							0	0	0	-812.0274619	0.3165258533	235.646874596418	
812.0133003	81	14	5	0.3285291351	0.3174523205	96.23488353	0.3612208871	3.403895579	73.93711893	20.32713877	5.735742303	62.54235303	28.42537001	9.032276954							0	0	0	-812.0133003	0.3174523205	15.3501600553254	
