T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
886.9256819	82	16	2	0	0	98.21544601	0.7734183578	1.011135633	82	16	2										0.002884608044	-0.002708700274	-0.0001759077702	-886.9256819	0	56.1680385653139	
886.9056819	82	16	2	0.0003775457859	0.0003557858881	98.21510822	0.7736918316	1.011199951	81.99423122	16.00541692	2.000351864										0	0	0	-886.9056819	0.0003557858881	56.2591299589219	
886.8856819	82	16	2	0.0007544814726	0.0007109966396	98.21477048	0.7739653232	1.0112642	81.98846402	16.01083251	2.000703472										0	0	0	-886.8856819	0.0007109966396	56.32217570164	
886.8456819	82	16	2	0.001507648655	0.001420753973	98.21409503	0.7745121644	1.011392801	81.97693445	16.02165904	2.001406503										0	0	0	-886.8456819	0.001420753973	56.4065460000858	
886.7656819	82	16	2	0.003010052982	0.002836562884	98.21274442	0.7756054762	1.011650103	81.95389456	16.04329419	2.002811242										0	0	0	-886.7656819	0.002836562884	56.6037101273628	
886.6056819	82	16	2	0.005999227794	0.005653439514	98.21004427	0.777790622	1.012165106	81.90789165	16.08649293	2.005615425										0	0	0	-886.6056819	0.005653439514	57.0450791302338	
886.2856819	82	16	2	0.01190201365	0.0112159432	98.20464986	0.7821583831	1.013191758	81.81618721	16.17261924	2.011193547										0	0	0	-886.2856819	0.0112159432	57.9556093673559	
885.6456819	82	16	2	0.02345387105	0.0221017158	98.19387935	0.7908741105	1.015246544	81.63399277	16.34375045	2.022256777										0	0	0	-885.6456819	0.0221017158	59.6980281353738	
884.3656819	82	16	2	0.04556562463	0.04293790093	98.17241204	0.8082357969	1.01935216	81.27439605	16.68160694	2.043997002										0	0	0	-884.3656819	0.04293790093	63.3416847588319	
881.8056819	82	16	2	0.08620581275	0.08123137471	98.12974966	0.8426973347	1.02755301	80.57391481	17.34010789	2.0859773										0	0	0	-881.8056819	0.08123137471	70.8898573153495	
879.2456819	82	16	2	0.1226711643	0.1155880323	98.08741327	0.8768491741	1.035737558	79.89745845	17.97651744	2.126024108										0	0	0	-879.2456819	0.1155880323	78.7503868728806	
876.6856819	82	16	2	0.1555794621	0.1465903296	98.04536083	0.9107329645	1.043906207	79.24388513	18.59188644	2.164228427										0	0	0	-876.6856819	0.1465903296	87.0070698001391	
874.1256819	82	16	2	0.1854347848	0.174713551	98.00355421	0.9443884013	1.052057386	78.61203931	19.18728075	2.200679943										0	0	0	-874.1256819	0.174713551	95.6597212485831	
871.5656819	82	16	2	0.2126469899	0.2003440695	97.96195896	0.9778550823	1.060185958	78.00077302	19.76376533	2.235461647										0	0	0	-871.5656819	0.2003440695	104.663410927738	
869.0056819	82	16	2	0.2375752598	0.2238208278	97.92054147	1.011162803	1.068295727	77.40898364	20.32234579	2.268670569										0	0	0	-869.0056819	0.2238208278	114.012204535335	
866.4456819	82	16	2	0.2605013752	0.2454094777	97.8792724	1.044346756	1.076380839	76.83559528	20.86402164	2.300383076										0	0	0	-866.4456819	0.2454094777	123.711054872103	
863.8856819	82	16	2	0.2816689893	0.2653398438	97.83812373	1.077437323	1.084438951	76.27958701	21.38973509	2.330677902										0	0	0	-863.8856819	0.2653398438	133.731308897263	
861.3256819	82	16	2	0.3012844833	0.2838066163	97.79706918	1.110462902	1.09246792	75.73999161	21.90037864	2.359629753										0	0	0	-861.3256819	0.2838066163	144.05728815256	
858.7656819	82	16	2	0.3195236547	0.3009756529	97.75608408	1.14345008	1.100465844	75.2158973	22.39679351	2.387309189										0	0	0	-858.7656819	0.3009756529	154.673483675969	
856.2056819	82	16	2	0.3365370543	0.3169890085	97.71514514	1.176423785	1.10843107	74.70644765	22.87976971	2.41378264										0	0	0	-856.2056819	0.3169890085	165.564604831547	
853.6456819	82	16	2	0.3524542695	0.3319689721	97.67423035	1.209407449	1.116362196	74.21084035	23.35004716	2.439112489										0	0	0	-853.6456819	0.3319689721	176.715620178767	
851.0856819	82	16	2	0.3673873839	0.3460213276	97.63331879	1.242423154	1.124258056	73.72832522	23.80831756	2.463357219										0	0	0	-851.0856819	0.3460213276	188.111786815561	
848.5256819	82	16	2	0.3814337883	0.3592380027	97.59239053	1.275491769	1.132117698	73.25820168	24.25522673	2.486571591										0	0	0	-848.5256819	0.3592380027	199.738659733852	
845.9656819	82	16	2	0.3946784776	0.3716992347	97.55142655	1.308633082	1.13994037	72.799816	24.69137715	2.508806845										0	0	0	-845.9656819	0.3716992347	211.582118461412	
843.4056819	82	16	2	0.4071959352	0.3834753468	97.51040859	1.341865918	1.147725491	72.35255852	25.11733058	2.530110905										0	0	0	-843.4056819	0.3834753468	223.628272989598	
840.8456819	82	16	2	0.4190517017	0.394628227	97.46931912	1.375208241	1.155472639	71.91586033	25.53361107	2.550528603										0	0	0	-840.8456819	0.394628227	235.863580767995	
838.2856819	82	16	2	0.4303036534	0.4052125337	97.42814121	1.408677266	1.163181523	71.48919106	25.94070707	2.57010187										0	0	0	-838.2856819	0.4052125337	248.274810388151	
835.7256819	82	16	2	0.4410030913	0.4152767226	97.38685849	1.442289543	1.170851967	71.07205574	26.33907432	2.588869945										0	0	0	-835.7256819	0.4152767226	260.84893430091	
833.1656819	82	16	2	0.4511956429	0.424863897	97.34545506	1.476061041	1.178483896	70.66399227	26.72913816	2.606869569										0	0	0	-833.1656819	0.424863897	273.573191635887	
830.6056819	82	16	2	0.460922023	0.4340125254	97.30391545	1.510007227	1.186077322	70.26456905	27.11129579	2.624135164										0	0	0	-830.6056819	0.4340125254	286.435052936241	
828.0456819	82	16	2	0.4702186763	0.4427570479	97.26222454	1.544143135	1.193632325	69.87338262	27.48591837	2.640699005										0	0	0	-828.0456819	0.4427570479	299.42220212228	
825.4856819	82	16	2	0.4791183237	0.451128391	97.22036752	1.578483431	1.201149048	69.49005562	27.85335301	2.656591379										0	0	0	-825.4856819	0.451128391	312.522508511403	
822.9256819	82	16	2	0.4876504269	0.4591544066	97.17832985	1.613042472	1.208627682	69.11423472	28.21392454	2.671840731										0	0	0	-822.9256819	0.4591544066	325.72402101153	
820.3656819	82	16	2	0.4958415861	0.4668602465	97.13609717	1.647834365	1.216068462	68.74558893	28.56793727	2.686473804										0	0	0	-820.3656819	0.4668602465	339.014943844114	
817.8056819	82	16	2	0.5037158813	0.474268685	97.09365534	1.682873012	1.223471653	68.38380782	28.91567642	2.700515765										0	0	0	-817.8056819	0.474268685	352.38360882015	
815.2456819	82	16	2	0.5112951662	0.4814003962	97.05099029	1.718172162	1.230837549	68.02860002	29.25740965	2.713990324										0	0	0	-815.2456819	0.4814003962	365.818468841436	
812.6856819	82	16	2	0.5185993226	0.4882741937	97.00808808	1.753745457	1.238166465	67.67969185	29.59338831	2.726919839										0	0	0	-812.6856819	0.4882741937	379.308079487773	
810.1256819	82	16	2	0.5256464802	0.4949072385	96.9649348	1.789606469	1.24545873	67.33682593	29.92384865	2.73932542										0	0	0	-810.1256819	0.4949072385	392.841070019008	
807.5656819	82	16	2	0.5324532085	0.5013152202	96.92151657	1.825768748	1.252714686	66.99976008	30.2490129	2.751227018										0	0	0	-807.5656819	0.5013152202	406.406138440258	
805.0056819	82	16	2	0.5390346842	0.5075125144	96.87781946	1.862245852	1.259934684	66.66826616	30.56909033	2.762643511										0	0	0	-805.0056819	0.5075125144	419.99203063825	
802.4456819	82	16	2	0.5454048367	0.5135123212	96.83382953	1.899051389	1.267119076	66.3421291	30.88427812	2.773592783										0	0	0	-802.4456819	0.5135123212	433.58752366584	
799.8856819	82	16	2	0.5515764775	0.5193267861	96.78953273	1.936199052	1.274268221	66.02114596	31.19476224	2.784091795										0	0	0	-799.8856819	0.5193267861	447.181412479206	
797.3256819	82	16	2	0.5575614121	0.5249671069	96.74491488	1.973702651	1.281382473	65.70512512	31.50071823	2.794156654										0	0	0	-797.3256819	0.5249671069	460.762480899266	
794.7656819	82	16	2	0.5633705406	0.5304436279	96.69996166	2.011576148	1.288462187	65.39388544	31.80231189	2.803802672										0	0	0	-794.7656819	0.5304436279	474.319509915295	
792.2056819	82	16	2	0.5690139449	0.5357659228	96.65465859	2.049833692	1.295507713	65.0872556	32.09969998	2.813044422										0	0	0	-792.2056819	0.5357659228	487.841241220225	
789.6456819	82	16	2	0.5745009675	0.5409428691	96.60899096	2.08848965	1.302519394	64.78507342	32.39303078	2.821895795										0	0	0	-789.6456819	0.5409428691	501.316380180807	
787.0856819	82	16	2	0.5798402808	0.5459827131	96.56294379	2.127558638	1.30949757	64.48718528	32.68244467	2.830370045										0	0	0	-787.0856819	0.5459827131	514.733564368497	
784.5256819	82	16	2	0.5850399486	0.5508931292	96.51650187	2.167055559	1.31644257	64.19344552	32.96807464	2.838479836										0	0	0	-784.5256819	0.5508931292	528.042721231647	
783.2456819	82	16	2	0.5875898977	0.553302175	96.49312814	2.186968951	1.31990291	64.0480883	33.10950958	2.842402119										0	0	0	-783.2456819	0.553302175	534.199830456219	
782.6056819	82	16	2	0.5888542638	0.5544970455	96.48140321	2.196965144	1.32163165	63.97578487	33.17988213	2.844333										0	0	0	-782.6056819	0.5544970455	538.459600047449	
782.2856819	82	16	2	0.5894815818	0.5550897843	96.47552954	2.201977345	1.322493113	63.93971914	33.21499351	2.845287351										0	0	0	-782.2856819	0.5550897843	545.765798598935	
782.2656819	82	16	2	0.5895203696	0.5551264056	96.475162	2.202291402	1.322546593	63.93746606	33.2171876	2.845346341										0	0	0	-782.2656819	0.5551264056	541.669377185918	
782.2587365	82	16	2	0.5895339771	0.555139265	96.47503445	2.202400236	1.32256531	63.9366841	33.21794887	2.845367024	43.36164434	51.06106018	5.577295482							0	0	0	-782.2587365	0.555139265	533.508464597864	
782.2356819	82	16	2	0.5917662367	0.5561344426	96.47337382	2.205907229	1.320718954	63.92865767	33.2286017	2.842740636	43.36164434	51.06106018	5.577295482							0	0	0	-782.2356819	0.5561344426	23.2611601385426	
782.2156819	82	16	2	0.5936879678	0.5569912373	96.47193091	2.208946627	1.319122459	63.92170834	33.23782278	2.840468874	43.36164434	51.06106018	5.577295482							0	0	0	-782.2156819	0.5569912373	23.4185385228645	
782.1756819	82	16	2	0.5974942741	0.5586884153	96.46903891	2.215017799	1.315943295	63.90784771	33.25620939	2.8359429	43.36164434	51.06106018	5.577295482							0	0	0	-782.1756819	0.5586884153	23.7259292121221	
782.0956819	82	16	2	0.6049579501	0.5620169483	96.46323013	2.227129705	1.309640161	63.88027608	33.29276288	2.826961042	43.36164434	51.06106018	5.577295482							0	0	0	-782.0956819	0.5620169483	24.3476642387491	
