T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
886.8558494	82	17	1	0	0	98.2916931	1.210306284	0.4980006161	82	17	1							0.003188654571	-0.003090400364	-9.825420733E-05	-886.8558494	0	25.3700389983009	
886.8458494	82	17	1	0.0002119318097	0.0001958548797	98.29144559	1.21055412	0.4980002882	81.9968113	17.0030904	1.0000983							0	0	0	-886.8458494	0.0001958548797	76.7463853186052	
886.8258494	82	17	1	0.0006351546286	0.0003912232011	98.29095049	1.211049937	0.4979995741	81.99043503	17.00927019	1.00029478							0	0	0	-886.8258494	0.0003912232011	102.401350850434	
886.7858494	82	17	1	0.001480436408	0.0007816098747	98.28996032	1.212041478	0.4979981995	81.97768629	17.02162603	1.000687675							0	0	0	-886.7858494	0.0007816098747	102.560509545458	
886.7058494	82	17	1	0.003166361832	0.001560153667	98.28797993	1.214024492	0.4979955796	81.95220436	17.04632251	1.001473131							0	0	0	-886.7058494	0.001560153667	102.959058018329	
886.5458494	82	17	1	0.006519764533	0.003108097754	98.28401889	1.217990253	0.4979908559	81.90130265	17.09565465	1.003042697							0	0	0	-886.5458494	0.003108097754	103.773650489768	
886.2258494	82	17	1	0.01315360734	0.006167794298	98.2760958	1.225920726	0.4979834705	81.79974823	17.19407535	1.006176415							0	0	0	-886.2258494	0.006167794298	105.525521100317	
885.5858494	82	17	1	0.02611566821	0.01212921487	98.26024548	1.24178034	0.4979741775	81.59764293	17.38994086	1.01241621							0	0	0	-885.5858494	0.01212921487	109.157747950614	
884.3058494	82	17	1	0.0509177508	0.02349770918	98.22852596	1.273490865	0.4979831718	81.19744454	17.77776026	1.024795199							0	0	0	-884.3058494	0.02349770918	116.563671569264	
881.7458494	82	17	1	0.09643607195	0.0441780992	98.1649983	1.336889996	0.4981117084	80.41315678	18.53770394	1.049139283							0	0	0	-881.7458494	0.0441780992	-1065.68171240397	
879.1858494	82	17	1	0.1371357991	0.04134165487	98.10132486	1.400299292	0.4983758466	79.65036375	19.27674558	1.072890669							0	0	0	-879.1858494	0.04134165487	-949.455235859924	
876.6258494	82	17	1	0.17370487	0.0387613612	98.03747403	1.463749306	0.4987766677	78.90891495	19.99504359	1.096041459							0	0	0	-876.6258494	0.0387613612	-1042.9657567243	
874.0658494	82	17	1	0.2067136445	0.03641115011	97.97341534	1.527270908	0.4993137474	78.18852447	20.69288552	1.118590016							0	0	0	-874.0658494	0.03641115011	-1143.84118677783	
871.5058494	82	17	1	0.2366367221	0.03426646035	97.90911873	1.59089604	0.4999852322	77.48879227	21.37066819	1.140539541							0	0	0	-871.5058494	0.03426646035	-1252.18565411968	
868.9458494	82	17	1	0.2638716798	0.03230582856	97.84455427	1.654657551	0.5007881816	76.80922874	22.02887405	1.161897213							0	0	0	-868.9458494	0.03230582856	-1368.41699362929	
866.3858494	82	17	1	0.2887536372	0.03051040555	97.77969203	1.718589106	0.5017188602	76.14927605	22.66805054	1.182673411							0	0	0	-866.3858494	0.03051040555	-1492.93943743575	
863.8258494	82	17	1	0.311566673	0.02886355183	97.71450192	1.782725105	0.5027729787	75.50832702	23.28879196	1.202881013							0	0	0	-863.8258494	0.02886355183	-1626.13564475087	
861.2658494	82	17	1	0.3325528637	0.02735052191	97.64895349	1.847100617	0.5039458895	74.88574133	23.89172387	1.222534793							0	0	0	-861.2658494	0.02735052191	-1768.36769200762	
858.7058494	82	17	1	0.3519195024	0.02595821163	97.58301594	1.911751319	0.5052327413	74.28085905	24.47749006	1.24165089							0	0	0	-858.7058494	0.02595821163	-1919.97840332493	
856.1458494	82	17	1	0.3698449095	0.02467495083	97.51665793	1.976713467	0.5066285996	73.69301178	25.04674185	1.260246371							0	0	0	-856.1458494	0.02467495083	-2081.29284993368	
853.5858494	82	17	1	0.3864831452	0.02349032967	97.44984758	2.042023882	0.5081285374	73.12153164	25.60012949	1.278338865							0	0	0	-853.5858494	0.02349032967	-2252.61997087921	
851.0258494	82	17	1	0.4019678538	0.02239505059	97.38255235	2.107719951	0.5097277024	72.5657583	26.13829543	1.295946268							0	0	0	-851.0258494	0.02239505059	-2434.25415028791	
848.4658494	82	17	1	0.4164154201	0.0213808004	97.31473898	2.173839656	0.5114213646	72.02504441	26.66186908	1.31308651							0	0	0	-848.4658494	0.0213808004	-2626.47683543372	
845.9058494	82	17	1	0.4299275744	0.02044013879	97.24637344	2.240421611	0.5132049484	71.49875962	27.17146302	1.329777363							0	0	0	-845.9058494	0.02044013879	-2829.55811557453	
843.3458494	82	17	1	0.4425935524	0.01956640043	97.17742082	2.307505124	0.5150740529	70.98629354	27.66767015	1.346036303							0	0	0	-843.3458494	0.01956640043	-3043.75822698983	
840.7858494	82	17	1	0.4544918959	0.01875360867	97.10784527	2.375130272	0.517024462	70.48705772	28.15106188	1.3618804							0	0	0	-840.7858494	0.01875360867	-3269.3290870252	
838.2258494	82	17	1	0.4656919594	0.01799639927	97.03760987	2.443337986	0.5190521484	70.00048687	28.62218689	1.377326244							0	0	0	-838.2258494	0.01799639927	-3506.51572890462	
835.6658494	82	17	1	0.4762551765	0.01728995285	96.96667657	2.512170159	0.521153271	69.52603955	29.08157057	1.392389883							0	0	0	-835.6658494	0.01728995285	-3755.5577350672	
