T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
882.3521221	82	18	0	0	97.94842137	2.051578626	82	18			0.003076498019	-0.003076498019	-882.3521221	0	25.703027253658	
882.3421221	82	18	0.0002128560624	0.000193077573	97.94797458	2.052025423	81.99692267	18.00307733			0	0	-882.3421221	0.000193077573	77.8822814345852	
882.3221221	82	18	0.0006378221619	0.0003855808923	97.94708041	2.052919588	81.99077106	18.00922894			0	0	-882.3221221	0.0003855808923	103.896333866607	
882.2821221	82	18	0.001486835778	0.0007705650603	97.94529212	2.05470788	81.97846865	18.02153135			0	0	-882.2821221	0.0007705650603	103.986472028059	
882.2021221	82	18	0.003180776813	0.001538627217	97.94171426	2.058285738	81.95387357	18.04612643			0	0	-882.2021221	0.001538627217	104.328380495312	
882.0421221	82	18	0.006552398302	0.003067284568	97.93455343	2.065446573	81.90472239	18.09527761			0	0	-882.0421221	0.003067284568	105.010058162896	
881.7221221	82	18	0.01323126613	0.006095021208	97.92021119	2.079788808	81.80657604	18.19342396			0	0	-881.7221221	0.006095021208	106.487462026126	
881.0821221	82	18	0.02631645752	0.01201828583	97.89144416	2.108555836	81.61091102	18.38908898			0	0	-881.0821221	0.01201828583	109.535840480996	
879.8021221	82	18	0.05148620984	0.02340664931	97.83357166	2.166428342	81.22208525	18.77791475			0	0	-879.8021221	0.02340664931	115.614566832319	
877.2421221	82	18	0.09814934329	0.04446497768	97.71642093	2.283579071	80.45448928	19.54551072			0	0	-877.2421221	0.04446497768	-1252.29520497692	
874.6821221	82	18	0.1403758387	0.04213883843	97.59728919	2.402710812	79.70033245	20.29966755			0	0	-874.6821221	0.04213883843	-1151.71290160843	
872.1221221	82	18	0.1787458841	0.04000318945	97.47603926	2.523960735	78.9596166	21.0403834			0	0	-872.1221221	0.04000318945	-1253.03939599855	
869.5621221	82	18	0.2137466839	0.03803853636	97.35252422	2.647475776	78.23231179	21.76768821			0	0	-869.5621221	0.03803853636	-1360.05997505728	
867.0021221	82	18	0.2457884784	0.03622635841	97.22658548	2.773414515	77.51835442	22.48164558			0	0	-867.0021221	0.03622635841	-1472.51026011871	
864.4421221	82	18	0.275219051	0.03455079485	97.0980517	2.901948298	76.8176505	23.1823495			0	0	-864.4421221	0.03455079485	-1590.65631033872	
861.8821221	82	18	0.3023351107	0.03299820559	96.96673727	3.03326273	76.13007819	23.86992181			0	0	-861.8821221	0.03299820559	-1714.80391673653	
859.3221221	82	18	0.3273912766	0.03155678642	96.8324406	3.167559395	75.45549037	24.54450963			0	0	-859.3221221	0.03155678642	-1845.28875840839	
856.7621221	82	18	0.3506072365	0.0302162631	96.69494212	3.305057878	74.79371723	25.20628277			0	0	-856.7621221	0.0302162631	-1982.48016667814	
854.2021221	82	18	0.3721734959	0.02896764627	96.55400188	3.445998116	74.14456872	25.85543128			0	0	-854.2021221	0.02896764627	-2126.78651257939	
851.6421221	82	18	0.3922560332	0.02780303394	96.40935683	3.590643174	73.50783701	26.49216299			0	0	-851.6421221	0.02780303394	-2278.66260161761	
849.0821221	82	18	0.4110000961	0.02671545125	96.26071749	3.739282512	72.88329874	27.11670126			0	0	-849.0821221	0.02671545125	-2438.61968666844	
846.5221221	82	18	0.4285333184	0.0256987199	96.10776412	3.892235879	72.27071716	27.72928284			0	0	-846.5221221	0.0256987199	-2607.23894329035	
