T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(LI@ALCU_THETA)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
880.2506947	80	19	1	0	0	98.12096517	1.410725401	0.4683094279	80	19	1										0.002988371663	-0.002900688049	-8.768361407E-05	-880.2506947	0	30.0870762062494	
880.2406947	80	19	1	0.0001804823768	0.0001650554234	98.12070845	1.41098221	0.4683093417	79.99701157	19.0029007	1.000087729										0	0	0	-880.2406947	0.0001650554234	91.0843436006637	
880.2206947	80	19	1	0.0005408638806	0.0003296639374	98.12019487	1.411496013	0.4683091139	79.99103582	19.00870111	1.000263069										0	0	0	-880.2206947	0.0003296639374	121.524519750539	
880.1806947	80	19	1	0.001260748561	0.0006586850809	98.11916776	1.412523534	0.468308708	79.97908808	19.02029824	1.000613681										0	0	0	-880.1806947	0.0006586850809	121.677307820491	
880.1006947	80	19	1	0.002697016943	0.00131503654	98.11711337	1.414578612	0.4683080177	79.95520795	19.04347748	1.001314565										0	0	0	-880.1006947	0.00131503654	122.103347757921	
879.9406947	80	19	1	0.005555620114	0.002620776317	98.11300397	1.41868891	0.4683071224	79.90750908	19.08977594	1.002714977										0	0	0	-879.9406947	0.002620776317	122.975101986386	
879.6206947	80	19	1	0.01121765259	0.005204667505	98.10478263	1.4269101	0.4683072689	79.81235683	19.18213282	1.005510352										0	0	0	-879.6206947	0.005204667505	124.838738072312	
878.9806947	80	19	1	0.02231054063	0.01025271542	98.08832937	1.443357252	0.468313381	79.62303674	19.36588811	1.011075145										0	0	0	-878.9806947	0.01025271542	128.690859823528	
877.7006947	80	19	1	0.0436423699	0.0199241432	98.05537905	1.476268383	0.4683525639	79.24831732	19.72957435	1.022108332										0	0	0	-877.7006947	0.0199241432	136.518679369586	
