T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
876.2738879	79	19	2	0	0	98.05570716	0.9918647816	0.9524280585	79	19	2							0.002548312114	-0.002408223155	-0.0001400889591	-876.2738879	0	37.0609126246858	
876.2638879	79	19	2	0.0001442491579	0.0001338749524	98.05553496	0.9920094026	0.9524556417	78.99745175	19.00240807	2.000140181							0	0	0	-876.2638879	0.0001338749524	112.332231062302	
876.2438879	79	19	2	0.0004322302194	0.00026733951	98.05519058	0.9922987235	0.9525106977	78.99235614	19.00722357	2.000420287							0	0	0	-876.2438879	0.00026733951	149.862536379769	
876.2038879	79	19	2	0.001007541196	0.0005342151057	98.05450186	0.9928773001	0.9526208364	78.98216897	19.01685078	2.000980249							0	0	0	-876.2038879	0.0005342151057	150.023065624804	
876.1238879	79	19	2	0.00215555229	0.001066472316	98.0531246	0.994034277	0.9528411228	78.96181089	19.0360899	2.002099215							0	0	0	-876.1238879	0.001066472316	150.560621174536	
875.9638879	79	19	2	0.004441228335	0.002125565064	98.05037062	0.9963471723	0.953282206	78.92115953	19.07450733	2.00433314							0	0	0	-875.9638879	0.002125565064	151.602160755247	
875.6438879	79	19	2	0.008971606153	0.004221861843	98.04486495	1.000969091	0.9541659554	78.84011524	19.15109976	2.008785005							0	0	0	-875.6438879	0.004221861843	153.817622223062	
875.0038879	79	19	2	0.01786245827	0.008321772407	98.03386312	1.010199999	0.9559368823	78.67904851	19.30333139	2.017620099							0	0	0	-875.0038879	0.008321772407	158.375237430792	
873.7238879	79	19	2	0.03501259437	0.01618716278	98.0118947	1.028607235	0.9594980626	78.360953	19.60401704	2.035029963							0	0	0	-873.7238879	0.01618716278	167.649998988016	
