T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
905.8250572	94	1	5	0	0	97.0907094	0.01316915537	2.896121443	94	0.9999999999	5										0.001325457152	-0.0004232615806	-0.0009021955717	-905.8250572	0	11.6168037934998	
905.8150572	94	1	5	0.0004080235932	0.0004287521907	97.09028494	0.01317160824	2.896543447	93.99867458	1.000423218	5.000902198										0	0	0	-905.8150572	0.0004287521907	35.030188184148	
905.7950572	94	1	5	0.001223173023	0.0008568447412	97.08943621	0.01317651264	2.897387282	93.99602414	1.001269781	5.002706075										0	0	0	-905.7950572	0.0008568447412	46.7528073279773	
905.7550572	94	1	5	0.002849759427	0.001711170722	97.08773945	0.01318631254	2.899074234	93.99072516	1.002963143	5.006311701										0	0	0	-905.7550572	0.001711170722	46.8894062519486	
905.6750572	94	1	5	0.006088185057	0.003412337615	97.08434881	0.01320587703	2.90244531	93.98013464	1.006350832	5.013514524										0	0	0	-905.6750572	0.003412337615	47.165298210412	
905.5150572	94	1	5	0.01250663894	0.006784991489	97.07757892	0.01324486556	2.909176211	93.95898335	1.013130071	5.027886576										0	0	0	-905.5150572	0.006784991489	47.7402955994163	
905.1950572	94	1	5	0.02510576471	0.013406263	97.06408577	0.01332245863	2.922591773	93.91678981	1.026715922	5.056494265										0	0	0	-905.1950572	0.013406263	48.9128855931765	
904.5550572	94	1	5	0.04941167502	0.02619589032	97.03727867	0.01347580124	2.949245534	93.83284645	1.053972885	5.113180669										0	0	0	-904.5550572	0.02619589032	51.2753908626006	
903.2750572	94	1	5	0.09472867597	0.05008457832	96.98435051	0.01377537609	3.001874116	93.66667959	1.108819152	5.224501259										0	0	0	-903.2750572	0.05008457832	56.271697174081	
900.7150572	94	1	5	0.1740636975	0.0920535928	96.88101881	0.0143480518	3.104633142	93.34077069	1.219793925	5.439435388										0	0	0	-900.7150572	0.0920535928	-420.794099746962	
898.1550572	94	1	5	0.2402436437	0.08435147567	96.78050854	0.01486864095	3.204622822	93.02389502	1.330794041	5.64531094										0	0	0	-898.1550572	0.08435147567	-364.024479928056	
895.5950572	94	1	5	0.2962808341	0.07780302788	96.68247244	0.01534323035	3.302184333	92.71523183	1.441774637	5.842993532										0	0	0	-895.5950572	0.07780302788	-425.455695304388	
