T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
895.3041972	90	5	5	0	0	97.10239785	0.07337368545	2.824228467	90	5	5													0.001848871303	-0.001282531566	-0.0005663397372	-895.3041972	0	19.148842636162	
895.2941972	90	5	5	0.0002522746348	0.0002603100658	97.10210943	0.07338372604	2.824506842	89.99815137	5.001282254	5.000566375													0	0	0	-895.2941972	0.0002603100658	57.6826081128387	
895.2741972	90	5	5	0.00075637637	0.0005203006997	97.10153273	0.07340381409	2.82506346	89.9944541	5.003847198	5.001698705													0	0	0	-895.2741972	0.0005203006997	76.9752753778673	
895.2341972	90	5	5	0.001762895947	0.001039282861	97.1003797	0.07344396417	2.826176334	89.98706199	5.008976038	5.003961972													0	0	0	-895.2341972	0.001039282861	77.1577526577547	
895.1541972	90	5	5	0.003769441731	0.002073879328	97.0980752	0.07352417848	2.828400624	89.97228652	5.01923055	5.008482931													0	0	0	-895.1541972	0.002073879328	77.5004815232243	
894.9941972	90	5	5	0.007756749767	0.004129129341	97.09347234	0.07368426536	2.832843396	89.94277047	5.039726923	5.01750261													0	0	0	-894.9941972	0.004129129341	78.2043646504001	
894.6741972	90	5	5	0.01562972111	0.008184650458	97.08429103	0.07400308459	2.841705885	89.88387731	5.080669144	5.035453547													0	0	0	-894.6741972	0.008184650458	79.6805250469562	
894.0341972	90	5	5	0.03096395304	0.01606755223	97.06603319	0.07463680505	2.859330004	89.76659277	5.162417684	5.070989546													0	0	0	-894.0341972	0.01606755223	82.7187971394431	
892.7541972	90	5	5	0.06011673385	0.03101712581	97.02990608	0.07588625635	2.894207667	89.53409142	5.32523998	5.1406686													0	0	0	-892.7541972	0.03101712581	88.9460826465163	
890.1941972	90	5	5	0.1130175225	0.05798067155	96.95911384	0.07831714062	2.962569018	89.07706772	5.648201211	5.274731067													0	0	0	-890.1941972	0.05798067155	-761.553478021068	
