T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
924.2650902	97	3	0	0	98.00145034	1.998549661	97	3			0.001562515225	-0.001562515225	-924.2650902	0	3.16169842283276	
924.2550902	97	3	0.00151921127	0.001561557085	98.00071777	1.99928223	96.99844157	3.001558428			0	0	-924.2550902	0.001561557085	9.64603060103562	
924.2350902	97	3	0.004547328456	0.003115316385	97.99924778	2.000752218	96.99531433	3.004685671			0	0	-924.2350902	0.003115316385	12.9103544178312	
924.1950902	97	3	0.01055112623	0.0061954678	97.99631621	2.003683795	96.9890753	3.010924701			0	0	-924.1950902	0.0061954678	13.0380918982229	
924.1150902	97	3	0.02238293601	0.012283602	97.99047082	2.009529183	96.97662673	3.02337327			0	0	-924.1150902	0.012283602	13.257348977507	
923.9550902	97	3	0.04536493178	0.0241482614	97.97884975	2.02115025	96.95184577	3.048154225			0	0	-923.9550902	0.0241482614	13.7447023512609	
923.6350902	97	3	0.0886903312	0.04662661853	97.95587914	2.044120858	96.90274113	3.097258873			0	0	-923.6350902	0.04662661853	14.7665697818574	
922.9950902	97	3	0.1661398119	0.08732034498	97.91095767	2.089042333	96.80627783	3.193722166			0	0	-922.9950902	0.08732034498	16.9538506747852	
921.7150902	97	3	0.2916957996	0.1547384399	97.82475862	2.17524138	96.61981479	3.380185207			0	0	-921.7150902	0.1547384399	-105.603859794595	
920.4350902	97	3	0.3860663297	0.137289929	97.74273409	2.257265909	96.44111651	3.55888349			0	0	-920.4350902	0.137289929	-82.8490229315541	
919.1550902	97	3	0.4592523765	0.1231523038	97.6642317	2.335768295	96.26933177	3.730668229			0	0	-919.1550902	0.1231523038	-101.095028287428	
917.8750902	97	3	0.5174694066	0.1114947113	97.58874433	2.411255669	96.10376463	3.896235373			0	0	-917.8750902	0.1114947113	-121.436218571214	
916.5950902	97	3	0.5647614027	0.1017368615	97.51586811	2.484131894	95.94383061	4.056169386			0	0	-916.5950902	0.1017368615	-143.917597030106	
915.3150902	97	3	0.603861849	0.09346384955	97.44527626	2.554723744	95.78903172	4.210968281			0	0	-915.3150902	0.09346384955	-168.59182291702	
914.0350902	97	3	0.6366785705	0.0863717893	97.37670053	2.623299472	95.63893813	4.361061866			0	0	-914.0350902	0.0863717893	-195.510519906303	
912.7550902	97	3	0.6645798871	0.0802332082	97.30991793	2.690082067	95.49317507	4.506824932			0	0	-912.7550902	0.0802332082	-224.722088007775	
911.4750902	97	3	0.6885704531	0.07487459869	97.24474106	2.755258939	95.35141291	4.648587089			0	0	-911.4750902	0.07487459869	-256.271697744899	
910.1950902	97	3	0.7094031079	0.07016142485	97.18101086	2.818989142	95.21335972	4.786640276			0	0	-910.1950902	0.07016142485	-290.20135524898	
908.9150902	97	3	0.727652187	0.06598784985	97.11859117	2.881408834	95.07875536	4.921244641			0	0	-908.9150902	0.06598784985	-326.550019770969	
907.6350902	97	3	0.743762848	0.06226953884	97.05736451	2.942635492	94.94736678	5.052633215			0	0	-907.6350902	0.06226953884	-365.353747365531	
906.3550902	97	3	0.7580850368	0.05893851534	96.99722881	3.002771193	94.81898429	5.181015706			0	0	-906.3550902	0.05893851534	-416.373976392464	
903.7950902	97	3	0.7827662696	0.107593918	96.87988386	3.120116145	94.57049709	5.429502907			0	0	-903.7950902	0.107593918	-345.188366809395	
901.2350902	97	3	0.802887646	0.09799558829	96.76596179	3.234038208	94.33197749	5.668022506			0	0	-901.2350902	0.09799558829	-295.049240933228	
898.6750902	97	3	0.8195986093	0.08996443718	96.65499291	3.345007088	94.10232855	5.897671447			0	0	-898.6750902	0.08996443718	-349.851384356851	
896.1150902	97	3	0.8336959923	0.08315948725	96.54660033	3.453399671	93.88062768	6.119372325			0	0	-896.1150902	0.08315948725	-410.006538680123	
893.5550902	97	3	0.8457481423	0.07732779685	96.44047644	3.559523555	93.66609055	6.333909449			0	0	-893.5550902	0.07732779685	-475.533095680279	
890.9950902	97	3	0.8561707841	0.07228018846	96.33636687	3.663633134	93.45804491	6.541955088			0	0	-890.9950902	0.07228018846	-546.489155180278	
888.4350902	97	3	0.8652747105	0.06787263959	96.23405865	3.765941348	93.25591012	6.744089881			0	0	-888.4350902	0.06787263959	-622.925901796075	
885.8750902	97	3	0.8732967346	0.06399373479	96.13337164	3.866628356	93.0591812	6.940818804			0	0	-885.8750902	0.06399373479	-704.887434629722	
883.3150902	97	3	0.8804203515	0.06055604727	96.03415194	3.965848058	92.8674162	7.1325838			0	0	-883.3150902	0.06055604727	-792.412042293436	
880.7550902	97	3	0.8867898737	0.05749009331	95.93626693	4.063733071	92.68022611	7.319773888			0	0	-880.7550902	0.05749009331	-885.533315694949	
878.1950902	97	3	0.8925203161	0.05474001132	95.83960142	4.160398583	92.49726667	7.502733329			0	0	-878.1950902	0.05474001132	-984.281096748562	
875.6350902	97	3	0.8977044446	0.05226042092	95.74405463	4.255945368	92.31823172	7.681768276			0	0	-875.6350902	0.05226042092	-1088.68231903293	
873.0750902	97	3	0.9024178911	0.05001410506	95.64953782	4.350462182	92.14284776	7.857152241			0	0	-873.0750902	0.05001410506	-1198.76173831247	
870.5150902	97	3	0.9067229246	0.04797027557	95.55597232	4.444027681	91.97086938	8.029130617			0	0	-870.5150902	0.04797027557	-1160.36606746148	
869.2350902	97	3	0.908724459	0.02339869084	95.5095244	4.490475601	91.88608735	8.113912647			0	0	-869.2350902	0.02339869084	-32.3345817568713	
