T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
870.9137131	83	12	5	0	0	97.02290237	0.2135813232	2.763516302	83	12	5										0.001732456579	-0.001456167657	-0.0002762889215	-870.9137131	0	40.2745727335574	
870.9037131	83	12	5	0.0001239998199	0.0001236135813	97.02271675	0.2135995453	2.763683706	82.99826803	12.00145555	5.000276421										0	0	0	-870.9037131	0.0001236135813	121.519946846322	
870.8837131	83	12	5	0.00037173117	0.0002470148656	97.02234587	0.2136360003	2.764018131	82.99480345	12.00436769	5.000828862										0	0	0	-870.8837131	0.0002470148656	162.105542550551	
870.8437131	83	12	5	0.0008667193753	0.000493668313	97.02160411	0.2137089085	2.76468698	82.98787645	12.0101904	5.001933147										0	0	0	-870.8437131	0.000493668313	162.294923368735	
870.7637131	83	12	5	0.001854841337	0.0009858472924	97.02012107	0.2138546304	2.766024298	82.97403039	12.02183006	5.004139553										0	0	0	-870.7637131	0.0009858472924	162.763823617419	
870.6037131	83	12	5	0.003823808789	0.001966211324	97.01715704	0.2141457401	2.768697224	82.94636916	12.04508741	5.008543432										0	0	0	-870.6037131	0.001966211324	163.662720958824	
870.2837131	83	12	5	0.007732891803	0.00391065856	97.01123709	0.2147266288	2.774036281	82.89116982	12.09151457	5.017315616										0	0	0	-870.2837131	0.00391065856	165.4971051095	
869.6437131	83	12	5	0.01543775439	0.007735698275	96.99942942	0.2158831359	2.784687446	82.78125805	12.18402273	5.034719225										0	0	0	-869.6437131	0.007735698275	169.343587070531	
868.3637131	83	12	5	0.03039019303	0.01512365504	96.97595431	0.2181793557	2.805866333	82.56328487	12.36776985	5.06894528										0	0	0	-868.3637131	0.01512365504	177.287830564804	
