T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI				
933.4727259	100	0	0	100	100	0	-933.4727259	0	1.01999999999998	
932.4527259	100	1	1	100			-932.4527259	1	1.01999999999998	
932.4327259	100	1	1	100			-932.4327259	1	NaN	
932.3927259	100	1	1	100			-932.3927259	1	NaN	
932.3127259	100	1	1	100			-932.3127259	1	NaN	
932.1527259	100	1	1	100			-932.1527259	1	NaN	
931.8327259	100	1	1	100			-931.8327259	1	NaN	
931.1927259	100	1	1	100			-931.1927259	1	NaN	
929.9127259	100	1	1	100			-929.9127259	1	NaN	
927.3527259	100	1	1	100			-927.3527259	1	NaN	
922.2327259	100	1	1	100			-922.2327259	1	NaN	
917.1127259	100	1	1	100			-917.1127259	1	NaN	
911.9927259	100	1	1	100			-911.9927259	1	NaN	
906.8727259	100	1	1	100			-906.8727259	1	NaN	
901.7527259	100	1	1	100			-901.7527259	1	NaN	
896.6327259	100	1	1	100			-896.6327259	1	NaN	
891.5127259	100	1	1	100			-891.5127259	1	NaN	
886.3927259	100	1	1	100			-886.3927259	1	NaN	
881.2727259	100	1	1	100			-881.2727259	1	NaN	
876.1527259	100	1	1	100			-876.1527259	1	NaN	
871.0327259	100	1	1	100			-871.0327259	1	NaN	
865.9127259	100	1	1	100			-865.9127259	1	NaN	
860.7927259	100	1	1	100			-860.7927259	1	NaN	
855.6727259	100	1	1	100			-855.6727259	1	NaN	
850.5527259	100	1	1	100			-850.5527259	1	NaN	
845.4327259	100	1	1	100			-845.4327259	1	NaN	
840.3127259	100	1	1	100			-840.3127259	1	NaN	
835.1927259	100	1	1	100			-835.1927259	1	NaN	
830.0727259	100	1	1	100			-830.0727259	1	NaN	
824.9527259	100	1	1	100			-824.9527259	1	NaN	
819.8327259	100	1	1	100			-819.8327259	1	NaN	
814.7127259	100	1	1	100			-814.7127259	1	NaN	
809.5927259	100	1	1	100			-809.5927259	1	NaN	
804.4727259	100	1	1	100			-804.4727259	1	NaN	
799.3527259	100	1	1	100			-799.3527259	1	NaN	
794.2327259	100	1	1	100			-794.2327259	1	NaN	
789.1127259	100	1	1	100			-789.1127259	1	NaN	
783.9927259	100	1	1	100			-783.9927259	1	NaN	
778.8727259	100	1	1	100			-778.8727259	1	NaN	
773.7527259	100	1	1	100			-773.7527259	1	NaN	
768.6327259	100	1	1	100			-768.6327259	1	NaN	
763.5127259	100	1	1	100			-763.5127259	1	NaN	
758.3927259	100	1	1	100			-758.3927259	1	NaN	
753.2727259	100	1	1	100			-753.2727259	1	NaN	
748.1527259	100	1	1	100			-748.1527259	1	NaN	
743.0327259	100	1	1	100			-743.0327259	1	NaN	
737.9127259	100	1	1	100			-737.9127259	1	NaN	
732.7927259	100	1	1	100			-732.7927259	1	NaN	
727.6727259	100	1	1	100			-727.6727259	1	NaN	
722.5527259	100	1	1	100			-722.5527259	1	NaN	
717.4327259	100	1	1	100			-717.4327259	1	NaN	
712.3127259	100	1	1	100			-712.3127259	1	NaN	
707.1927259	100	1	1	100			-707.1927259	1	NaN	
702.0727259	100	1	1	100			-702.0727259	1	NaN	
696.9527259	100	1	1	100			-696.9527259	1	NaN	
691.8327259	100	1	1	100			-691.8327259	1	NaN	
686.7127259	100	1	1	100			-686.7127259	1	NaN	
681.5927259	100	1	1	100			-681.5927259	1	NaN	
676.4727259	100	1	1	100			-676.4727259	1	NaN	
671.3527259	100	1	1	100			-671.3527259	1	NaN	
666.2327259	100	1	1	100			-666.2327259	1	NaN	
661.1127259	100	1	1	100			-661.1127259	1	NaN	
655.9927259	100	1	1	100			-655.9927259	1	NaN	
650.8727259	100	1	1	100			-650.8727259	1	NaN	
645.7527259	100	1	1	100			-645.7527259	1	NaN	
640.6327259	100	1	1	100			-640.6327259	1	NaN	
635.5127259	100	1	1	100			-635.5127259	1	NaN	
630.3927259	100	1	1	100			-630.3927259	1	NaN	
625.2727259	100	1	1	100			-625.2727259	1	NaN	
620.1527259	100	1	1	100			-620.1527259	1	NaN	
615.0327259	100	1	1	100			-615.0327259	1	NaN	
609.9127259	100	1	1	100			-609.9127259	1	NaN	
