T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
921.5809612	98	0	2	0	0	99.79207887	0	0.2079211305	98	0	2				0.001651133082		-0.001651133082	-921.5809612	0	10.8566643601353	
921.5609612	98	0	2	0.001841038477	0.001839741748	99.79172655	0	0.2082734538	97.99669778	0	2.003302216				0		0	-921.5609612	0.001839741748	10.8855176845323	
921.5409612	98	0	2	0.00367720944	0.003674619922	99.79137422	0	0.2086257846	97.99339578	0	2.006604219				0		0	-921.5409612	0.003674619922	10.9165726051039	
921.5009612	98	0	2	0.007332831922	0.007327670142	99.79066953	0	0.2093304724	97.9867924	0	2.013207595				0		0	-921.5009612	0.007327670142	10.9942502153011	
921.4209612	98	0	2	0.01455670537	0.0145464665	99.78926004	0	0.2107399595	97.97358824	0	2.02641176				0		0	-921.4209612	0.0145464665	11.1539917283652	
921.2609612	98	0	2	0.02873231681	0.02871213895	99.78644061	0	0.2135593871	97.94719004	0	2.052809958				0		0	-921.2609612	0.02871213895	11.4488533427379	
920.9409612	98	0	2	0.05599711094	0.05595790973	99.78079996	0	0.21920004	97.8944344	0	2.105565605				0		0	-920.9409612	0.05595790973	12.0664735946876	
920.3009612	98	0	2	0.1065733142	0.1064991797	99.76951142	0	0.2304885821	97.7890863	0	2.210913705				0		0	-920.3009612	0.1064991797	13.3706333521835	
919.0209612	98	0	2	0.1943134512	0.1941800085	99.74690496	0	0.2530950391	97.57904358	0	2.420956417				0		0	-919.0209612	0.1941800085	16.2602877746754	
916.4609612	98	0	2	0.3303090232	0.3300880697	99.70157145	0	0.2984285496	97.16157866	0	2.838421345				0		0	-916.4609612	0.3300880697	22.6497081499724	
913.9009612	98	0	2	0.4308792494	0.4305987223	99.65607094	0	0.3439290646	96.74761224	0	3.25238776				0		0	-913.9009612	0.4305987223	29.7632566701563	
911.3409612	98	0	2	0.5083323246	0.5080104938	99.61039725	0	0.3896027496	96.33715297	0	3.662847028				0		0	-911.3409612	0.5080104938	37.8374537754376	
908.7809612	98	0	2	0.5698623274	0.5695118083	99.56454306	0	0.4354569368	95.9301912	0	4.0698088				0		0	-908.7809612	0.5695118083	46.8568320397988	
906.2209612	98	0	2	0.6199630548	0.6195929345	99.51850184	0	0.4814981622	95.52671664	0	4.473283357				0		0	-906.2209612	0.6195929345	56.8025033392622	
903.6609612	98	0	2	0.6615842562	0.6612013068	99.47226714	0	0.5277328559	95.12671308	0	4.873286916				0		0	-903.6609612	0.6612013068	67.6535080767042	
901.1009612	98	0	2	0.6967422889	0.6963517016	99.42583268	0	0.5741673184	94.73015923	0	5.269840771				0		0	-901.1009612	0.6963517016	79.3862684805482	
898.5409612	98	0	2	0.7268622012	0.7264680506	99.37919228	0	0.6208077193	94.33702933	0	5.662970671				0		0	-898.5409612	0.7264680506	91.9746309483024	
895.9809612	98	0	2	0.752979643	0.7525851934	99.3323399	0	0.6676601016	93.94729372	0	6.052706283				0		0	-895.9809612	0.7525851934	105.389938293065	
893.4209612	98	0	2	0.7758653328	0.7754732463	99.28526961	0	0.7147303873	93.56091928	0	6.439080717				0		0	-893.4209612	0.7754732463	119.601128000978	
890.8609612	98	0	2	0.796104654	0.7957171362	99.23797562	0	0.7620243844	93.17786991	0	6.822130088				0		0	-890.8609612	0.7957171362	134.574855586869	
888.3009612	98	0	2	0.8141501828	0.8137690872	99.19045221	0	0.8095477931	92.79810688	0	7.201893115				0		0	-888.3009612	0.8137690872	150.275641117683	
885.7409612	98	0	2	0.8303573115	0.8299842156	99.14269379	0	0.8573062122	92.42158925	0	7.578410754				0		0	-885.7409612	0.8299842156	166.666033664308	
883.1809612	98	0	2	0.8450089904	0.8446452528	99.09469485	0	0.9053051459	92.04827413	0	7.951725866				0		0	-883.1809612	0.8446452528	183.706794157518	
880.6209612	98	0	2	0.8583332787	0.8579800822	99.04644999	0	0.9535500094	91.67811709	0	8.321882914				0		0	-880.6209612	0.8579800822	201.357093627179	
878.0609612	98	0	2	0.8705160299	0.8701744144	98.99795386	0	1.002046135	91.31107232	0	8.688927682				0		0	-878.0609612	0.8701744144	219.574720234489	
875.5009612	98	0	2	0.8817102151	0.8813811038	98.94920122	0	1.050798778	90.94709297	0	9.052907033				0		0	-875.5009612	0.8813811038	238.316292466322	
872.9409612	98	0	2	0.8920428814	0.8917271009	98.90018688	0	1.099813123	90.58613132	0	9.413868677				0		0	-872.9409612	0.8917271009	257.537489210654	
870.3809612	98	0	2	0.9016204147	0.901318711	98.85090571	0	1.149094286	90.22813903	0	9.771860973				0		0	-870.3809612	0.901318711	277.193264991181	
867.8209612	98	0	2	0.9105325715	0.9102456236	98.80135268	0	1.198647323	89.87306725	0	10.12693275				0		0	-867.8209612	0.9102456236	297.238080374493	
865.2609612	98	0	2	0.9188556029	0.9185840329	98.75152276	0	1.248477235	89.52086688	0	10.47913312				0		0	-865.2609612	0.9185840329	317.626124374019	
862.7009612	98	0	2	0.9266546999	0.9263990819	98.70141103	0	1.29858897	89.17148862	0	10.82851138				0		0	-862.7009612	0.9263990819	338.311530541449	
860.1409612	98	0	2	0.9339859266	0.9337467937	98.65101257	0	1.348987429	88.82488316	0	11.17511684				0		0	-860.1409612	0.9337467937	359.248582240618	
857.5809612	98	0	2	0.9408977619	0.9406756125	98.60032253	0	1.399677471	88.48100127	0	11.51899873				0		0	-857.5809612	0.9406756125	380.391931265438	
855.0209612	98	0	2	0.9474323394	0.9472276416	98.54933609	0	1.450663915	88.1397939	0	11.8602061				0		0	-855.0209612	0.9472276416	401.760027800948	
852.4609612	98	0	2	0.9536246477	0.9534378371	98.49804843	0	1.501951568	87.80121218	0	12.19878782				0		0	-852.4609612	0.9534378371	422.903934215024	
851.1809612	98	0	2	0.9566058693	0.9564281707	98.4722902	0	1.527709799	87.632891	0	12.367109				0		0	-851.1809612	0.9564281707	433.586077821566	
850.5409612	98	0	2	0.9580681451	0.9578950387	98.45938221	0	1.540617788	87.54897011	0	12.45102989				0		0	-850.5409612	0.9578950387	438.437338681892	
850.2209612	98	0	2	0.95879394	0.9586231448	98.45292095	0	1.547079047	87.50706921	0	12.49293079				0		0	-850.2209612	0.9586231448	448.012842418611	
