T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
870.5347698	88	4	8	0	0	98.63313044	0.4185318302	0.9483377343	88	4	8							0.001709004728	-0.0005756312165	-0.001133373512	-870.5347698	0	62.1617517501336	
870.5147698	88	4	8	0.0003292257409	0.0003215074626	98.63267283	0.4186668388	0.9486603307	87.99658204	4.001151243	8.002266716							0	0	0	-870.5147698	0.0003215074626	62.2521566447598	
870.4947698	88	4	8	0.0006579734664	0.0006425486967	98.63221521	0.4188018513	0.9489829397	87.99316434	4.002302421	8.00453324							0	0	0	-870.4947698	0.0006425486967	62.3055192114805	
870.4547698	88	4	8	0.001315206851	0.001284376993	98.6312999	0.4190718874	0.9496282098	87.98632963	4.004604566	8.009065802							0	0	0	-870.4547698	0.001284376993	62.3569644065964	
870.3747698	88	4	8	0.002627458009	0.002565876911	98.62946905	0.4196120044	0.9509189437	87.97266308	4.009208027	8.018128889							0	0	0	-870.3747698	0.002565876911	62.4970137390011	
870.2147698	88	4	8	0.00524313135	0.005120282738	98.62580639	0.4206924185	0.9535011876	87.94534144	4.018411638	8.036246925							0	0	0	-870.2147698	0.005120282738	62.8220583123606	
869.8947698	88	4	8	0.01042864035	0.01018444035	98.61847723	0.4228540297	0.9586687367	87.89074372	4.036806189	8.072450093							0	0	0	-869.8947698	0.01018444035	63.4960444201331	
869.2547698	88	4	8	0.02065167924	0.02016867929	98.6038035	0.4271802512	0.9690162532	87.78173071	4.073543132	8.144726159							0	0	0	-869.2547698	0.02016867929	64.749858174312	
867.9747698	88	4	8	0.04050470538	0.03955968439	98.57439374	0.4358451193	0.9897611407	87.56443159	4.14681068	8.288757727							0	0	0	-867.9747698	0.03955968439	67.3497073817929	
865.4147698	88	4	8	0.07800456872	0.07619353104	98.51532056	0.4532269742	1.031452468	87.13271925	4.292530118	8.57475063							0	0	0	-865.4147698	0.07619353104	72.6586591411778	
862.8547698	88	4	8	0.1128250873	0.1102185467	98.45590026	0.4706831354	1.073416605	86.70481199	4.437181762	8.858006252							0	0	0	-862.8547698	0.1102185467	78.1030699338684	
860.2947698	88	4	8	0.1452519709	0.1419130166	98.39612216	0.4882193797	1.115658458	86.28065778	4.580788931	9.138553287							0	0	0	-860.2947698	0.1419130166	83.7216014684949	
857.7347698	88	4	8	0.1755308091	0.1715161495	98.33597549	0.5058415697	1.158182941	85.86020353	4.723375156	9.416421316							0	0	0	-857.7347698	0.1715161495	89.5118208793547	
855.1747698	88	4	8	0.2038749994	0.1992358047	98.27544936	0.5235556473	1.20099499	85.44339529	4.86496402	9.691640685							0	0	0	-855.1747698	0.1992358047	95.4809568918735	
