T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
912.1126382	92	8	0	0	0	99.18642179	0.8135782063	0	92	8	0				0.003614024629	-0.003614024629		-912.1126382	0	19.8840896688249	
912.0926382	92	8	0	0.001048551041	0.001004993823	99.18563788	0.8143621234	0	91.99277206	8.007227942	0				0	0		-912.0926382	0.001004993823	19.9171499851264	
912.0726382	92	8	0	0.002095354954	0.002008322227	99.18485392	0.8151460811	0	91.98554476	8.014455239	0				0	0		-912.0726382	0.002008322227	19.9500204264153	
912.0326382	92	8	0	0.004183797951	0.004010056182	99.18328585	0.8167141527	0	91.97109184	8.028908161	0				0	0		-912.0326382	0.004010056182	20.0156199240081	
911.9526382	92	8	0	0.00834007868	0.007993884705	99.18014911	0.819850894	0	91.94219293	8.057807075	0				0	0		-911.9526382	0.007993884705	20.1725569266132	
911.7926382	92	8	0	0.01654123896	0.01585518763	99.1738733	0.8261266967	0	91.88442355	8.11557645	0				0	0		-911.7926382	0.01585518763	20.5001893393747	
911.4726382	92	8	0	0.03259792501	0.03124818753	99.16131215	0.8386878524	0	91.76899708	8.231002917	0				0	0		-911.4726382	0.03124818753	21.1056862449733	
910.8326382	92	8	0	0.06333769573	0.0607239773	99.13615139	0.8638486127	0	91.53859794	8.461402064	0				0	0		-910.8326382	0.0607239773	22.3777875975625	
909.5526382	92	8	0	0.1198709844	0.1149579303	99.08567324	0.9143267622	0	91.0796429	8.920357104	0				0	0		-909.5526382	0.1149579303	25.0801908014352	
906.9926382	92	8	0	0.2164318865	0.2076832228	98.98406522	1.015934785	0	90.16931583	9.830684175	0				0	0		-906.9926382	0.2076832228	30.8461029293562	
904.4326382	92	8	0	0.2958615983	0.2840707795	98.88153887	1.118461131	0	89.26949298	10.73050702	0				0	0		-904.4326382	0.2840707795	37.0309067635347	
901.8726382	92	8	0	0.3623347547	0.3481034853	98.7780312	1.221968801	0	88.380622	11.619378	0				0	0		-901.8726382	0.3481034853	43.7726484784435	
