T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
904.4796119	93	4	3	0	0	99.27447855	0.4007674966	0.3247539537	93	4	3							0.00231373982	-0.001327234246	-0.0009865055738	-904.4796119	0	13.4818877252897	
904.4696119	93	4	3	0.0003770607993	0.0003688282707	99.27422424	0.4009066915	0.3248690671	92.99768604	4.00132736	3.000986602							0	0	0	-904.4696119	0.0003688282707	40.7438904723082	
904.4496119	93	4	3	0.001130123102	0.0007368474715	99.27371551	0.4011851657	0.3250993284	92.99305852	4.003981857	3.002959618							0	0	0	-904.4496119	0.0007368474715	54.3772011139799	
904.4096119	93	4	3	0.002632979275	0.001471580977	99.27269809	0.4017420183	0.3255598877	92.9838054	4.0092898	3.006904805							0	0	0	-904.4096119	0.001471580977	54.5101793403917	
904.3296119	93	4	3	0.005626478579	0.002935522123	99.27066308	0.402855812	0.3264811069	92.96530178	4.019904318	3.014793897							0	0	0	-904.3296119	0.002935522123	54.7939267246379	
904.1696119	93	4	3	0.01156444376	0.005840101413	99.26659239	0.4050835738	0.3283240323	92.92830899	4.041125679	3.030565326							0	0	0	-904.1696119	0.005840101413	55.4292828840135	
903.8496119	93	4	3	0.0232314976	0.01154374405	99.25844844	0.4095397824	0.3320117792	92.85438181	4.08353753	3.062080661							0	0	0	-903.8496119	0.01154374405	56.7328722108871	
903.2096119	93	4	3	0.04579583387	0.02258782217	99.24214989	0.4184550601	0.339395053	92.70675956	4.168238126	3.125002319							0	0	0	-903.2096119	0.02258782217	59.2908921411563	
901.9296119	93	4	3	0.08806693595	0.04329775955	99.20950977	0.4362972863	0.3541929459	92.4124479	4.337144188	3.250407913							0	0	0	-901.9296119	0.04329775955	64.7177453934016	
899.3696119	93	4	3	0.1627140411	0.07993772577	99.14405239	0.4720309445	0.383916667	91.82758613	4.672956695	3.499457176							0	0	0	-899.3696119	0.07993772577	-530.596304178086	
896.8096119	93	4	3	0.2263111494	0.07403785268	99.07835373	0.5078265024	0.4138197629	91.24783195	5.00599062	3.746177428							0	0	0	-896.8096119	0.07403785268	-468.495733398156	
894.2496119	93	4	3	0.2811038395	0.06890343847	99.01240203	0.5436898075	0.4439081605	90.67323528	5.336211498	3.990553217							0	0	0	-894.2496119	0.06890343847	-535.422026674434	
891.6896119	93	4	3	0.3287721714	0.06439450369	98.94618523	0.5796270764	0.474187695	90.1038371	5.663590552	4.232572351							0	0	0	-891.6896119	0.06439450369	-606.825174220122	
889.1296119	93	4	3	0.3705974387	0.06040325767	98.87969094	0.6156449156	0.504664142	89.53966971	5.988104422	4.47222587							0	0	0	-889.1296119	0.06040325767	-682.713723177461	
886.5696119	93	4	3	0.4075734027	0.05684541871	98.81290648	0.6517502992	0.5353432244	88.98075731	6.309734779	4.709507908							0	0	0	-886.5696119	0.05684541871	-763.1060495094	
884.0096119	93	4	3	0.4404823508	0.05365413671	98.74581882	0.6879505563	0.566230623	88.42711643	6.628468006	4.944415564							0	0	0	-884.0096119	0.05365413671	-848.02592164527	
881.4496119	93	4	3	0.4699482827	0.05077570292	98.67841465	0.7242533605	0.5973319868	87.87875633	6.944294903	5.176948764							0	0	0	-881.4496119	0.05077570292	-937.502002662891	
878.8896119	93	4	3	0.4964748529	0.04816646735	98.61068034	0.7606667228	0.6286529421	87.33567949	7.257210395	5.407110118							0	0	0	-878.8896119	0.04816646735	-1031.56777198502	
876.3296119	93	4	3	0.5204729256	0.04579058508	98.54260191	0.7971989863	0.6601991019	86.79788198	7.567213256	5.634904762							0	0	0	-876.3296119	0.04579058508	-1130.2613922897	
873.7696119	93	4	3	0.542280909	0.04361834254	98.4741651	0.8338588226	0.6919760743	86.26535395	7.874305843	5.860340208							0	0	0	-873.7696119	0.04361834254	-1233.62557981037	
871.2096119	93	4	3	0.5621799817	0.04162489699	98.4053553	0.8706552311	0.7239894712	85.73807998	8.178493837	6.083426184							0	0	0	-871.2096119	0.04162489699	-1341.7074314535	
868.6496119	93	4	3	0.580405643	0.03978931472	98.33615754	0.9075975387	0.7562449169	85.21603952	8.479785997	6.304174479							0	0	0	-868.6496119	0.03978931472	-1454.55822102262	
866.0896119	93	4	3	0.597156583	0.03809382864	98.26655654	0.9446954026	0.7887480558	84.69920729	8.778193923	6.522598789							0	0	0	-866.0896119	0.03809382864	-1572.23322405187	
863.5296119	93	4	3	0.6126015685	0.03652325903	98.19653663	0.9819588134	0.8215045612	84.18755361	9.073731825	6.738714568							0	0	0	-863.5296119	0.03652325903	-1694.79154363722	
860.9696119	93	4	3	0.6268848426	0.03506455709	98.12608176	1.019398101	0.8545201431	83.68104481	9.366416304	6.952538882							0	0	0	-860.9696119	0.03506455709	-1822.29588162324	
