T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
909.2216565	96	4	0	0	99.57244992	0.4275500804	96	4			0.001585197162	-0.001585197162	-909.2216565	0	11.1901966220038	
909.2116565	96	4	0.0004444179505	0.0004437877622	99.57227056	0.4277294379	95.99841454	4.001585462			0	0	-909.2116565	0.0004437877622	33.8763908405151	
909.1916565	96	4	0.001331718796	0.0008863752223	99.57191184	0.4280881582	95.99524457	4.00475543			0	0	-909.1916565	0.0008863752223	45.2134505297578	
909.1516565	96	4	0.003102108077	0.001770105989	99.57119437	0.4288056349	95.98890474	4.011095259			0	0	-909.1516565	0.001770105989	45.3356062785701	
909.0716565	96	4	0.006625535765	0.003529089582	99.56975927	0.4302407283	95.97622763	4.023772367			0	0	-909.0716565	0.003529089582	45.6251699674086	
908.9116565	96	4	0.01360373243	0.007014079372	99.56688858	0.4331114234	95.95088361	4.049116392			0	0	-908.9116565	0.007014079372	46.2517323028714	
908.5916565	96	4	0.02726938471	0.01383445829	99.56114499	0.4388550145	95.90023667	4.099763332			0	0	-908.5916565	0.01383445829	47.5430866465432	
907.9516565	96	4	0.05353551816	0.0269637484	99.54964898	0.4503510204	95.79910613	4.200893868			0	0	-907.9516565	0.0269637484	50.0888352156956	
906.6716565	96	4	0.1021680466	0.05130816902	99.52662139	0.4733786075	95.59749734	4.40250266			0	0	-906.6716565	0.05130816902	55.5275008945986	
904.1116565	96	4	0.1862651889	0.09352391285	99.48042122	0.5195787795	95.1968841	4.803115899			0	0	-904.1116565	0.09352391285	-415.442694178538	
901.5516565	96	4	0.2561188269	0.08570024022	99.43402238	0.5659776177	94.79972469	5.200275313			0	0	-901.5516565	0.08570024022	-358.08396615253	
898.9916565	96	4	0.3150213744	0.07903991075	99.38741867	0.6125813273	94.40599398	5.594006016			0	0	-898.9916565	0.07903991075	-417.580084772688	
896.4316565	96	4	0.3653296108	0.0733024752	99.34060404	0.6593959607	94.01566308	5.984336924			0	0	-896.4316565	0.0733024752	-481.757155028891	
893.8716565	96	4	0.4087737068	0.06830937949	99.29357254	0.706427462	93.62869942	6.371300583			0	0	-893.8716565	0.06830937949	-550.638373562051	
891.3116565	96	4	0.4466517383	0.06392538039	99.24631834	0.7536816593	93.24506739	6.754932615			0	0	-891.3116565	0.06392538039	-624.25563727137	
888.7516565	96	4	0.4799561475	0.0600461675	99.19883573	0.8011642716	92.86472869	7.135271309			0	0	-888.7516565	0.0600461675	-702.644410233134	
886.1916565	96	4	0.5094583497	0.05658999042	99.15111908	0.8488809154	92.48764275	7.512357254			0	0	-886.1916565	0.05658999042	-785.842916887548	
883.6316565	96	4	0.5357667754	0.05349186684	99.10316289	0.8968371111	92.113767	7.886233002			0	0	-883.6316565	0.05349186684	-873.89193750007	
881.0716565	96	4	0.5593675796	0.05069948846	99.05496171	0.9450382894	91.74305725	8.256942751			0	0	-881.0716565	0.05069948846	-966.834588779089	
878.5116565	96	4	0.5806537608	0.0481702711	99.0065102	0.9934897967	91.37546792	8.624532076			0	0	-878.5116565	0.0481702711	-1064.7161366168	
875.9516565	96	4	0.5999463584	0.04586919259	98.9578031	1.042196902	91.01095234	8.989047665			0	0	-875.9516565	0.04586919259	-1167.58379705554	
873.3916565	96	4	0.6175101294	0.04376718325	98.9088352	1.0911648	90.64946291	9.350537095			0	0	-873.3916565	0.04376718325	-1275.48654828356	
870.8316565	96	4	0.6335653085	0.04183991101	98.85960138	1.14039862	90.29095138	9.709048624			0	0	-870.8316565	0.04183991101	-1388.47498305926	
868.2716565	96	4	0.6482965467	0.04006685267	98.81009657	1.18990343	89.93536899	10.06463101			0	0	-868.2716565	0.04006685267	-1506.60112896444	
865.7116565	96	4	0.6618597853	0.03843057552	98.76031576	1.239684237	89.58266667	10.41733333			0	0	-865.7116565	0.03843057552	-1629.91831591717	
863.1516565	96	4	0.6743875997	0.03691617588	98.710254	1.289745999	89.23279515	10.76720485			0	0	-863.1516565	0.03691617588	-1758.48108189948	
860.5916565	96	4	0.6859933973	0.03551083588	98.65990637	1.340093626	88.8857051	11.1142949			0	0	-860.5916565	0.03551083588	-1892.34501269325	
858.0316565	96	4	0.6967747429	0.03420347034	98.60926802	1.390731983	88.54134728	11.45865272			0	0	-858.0316565	0.03420347034	-2031.56667234867	
855.4716565	96	4	0.7068160188	0.03298444322	98.5583341	1.441665897	88.19967261	11.80032739			0	0	-855.4716565	0.03298444322	-2176.20354433055	
852.9116565	96	4	0.7161905662	0.03184533802	98.50709984	1.492900158	87.86063225	12.13936775			0	0	-852.9116565	0.03184533802	-2326.3138994276	
