T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
900.1070329	89	10	1	0	0	98.84850925	1.044805509	0.1066852363	89	10	1							0.00305768529	-0.002780336324	-0.0002773489665	-900.1070329	0	32.1982220117677	
900.0870329	89	10	1	0.0006549044551	0.0006207242377	98.84778638	1.045461669	0.106751955	88.99388477	10.00556054	1.000554685							0	0	0	-900.0870329	0.0006207242377	32.2426320270203	
900.0670329	89	10	1	0.001308903096	0.001240594684	98.84706346	1.046117859	0.1068186791	88.98777031	10.01112039	1.001109298							0	0	0	-900.0670329	0.001240594684	32.2804511989485	
900.0270329	89	10	1	0.002614987216	0.002478536542	98.84561746	1.047430397	0.1069521472	88.97554345	10.02223822	1.002218336							0	0	0	-900.0270329	0.002478536542	32.3463573518452	
899.9470329	89	10	1	0.005218733262	0.004946494753	98.84272476	1.050056079	0.1072191609	88.95109817	10.0444662	1.004435629							0	0	0	-899.9470329	0.004946494753	32.5076938758324	
899.8670329	89	10	1	0.007807707773	0.007400527079	98.83983116	1.052682562	0.1074862766	88.92666424	10.0666839	1.006651865							0	0	0	-899.8670329	0.007400527079	32.6781343076631	
899.7870329	89	10	1	0.01038418795	0.009842791675	98.83693666	1.055309848	0.1077534953	88.90224166	10.08889129	1.008867048							0	0	0	-899.7870329	0.009842791675	32.8354119569794	
899.7070329	89	10	1	0.0129482614	0.01227337108	98.83404124	1.057937943	0.1080208173	88.87783042	10.1110884	1.011081179							0	0	0	-899.7070329	0.01227337108	32.9930794322137	
899.6270329	89	10	1	0.01550001701	0.01469234904	98.83114491	1.060566848	0.1082882431	88.85343053	10.13327521	1.013294258							0	0	0	-899.6270329	0.01469234904	33.1511234218401	
899.5470329	89	10	1	0.01803954281	0.0170998085	98.82824766	1.063196565	0.108555773	88.82904199	10.15545173	1.015506283							0	0	0	-899.5470329	0.0170998085	33.3095437666098	
