T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
917.5884698	94	6	0	0	0	99.3992878	0.6007121955	0	94	6	0				0.00368911227	-0.00368911227		-917.5884698	0	14.6376713168594	
917.5684698	94	6	0	0.001408848136	0.001364933458	99.39851642	0.6014835795	0	93.99262187	6.007378131	0				0	0		-917.5684698	0.001364933458	14.6677865906451	
917.5484698	94	6	0	0.002814797002	0.002727070229	99.397745	0.6022549984	0	93.98524429	6.014755706	0				0	0		-917.5484698	0.002727070229	14.6994146151321	
917.5084698	94	6	0	0.005617172467	0.005442154983	99.39620203	0.6037979719	0	93.97049063	6.029509368	0				0	0		-917.5084698	0.005442154983	14.7774867046717	
917.4284698	94	6	0	0.01117120725	0.0108233312	99.39311558	0.6068844171	0	93.94098963	6.059010372	0				0	0		-917.4284698	0.0108233312	14.9366705236839	
917.3484698	94	6	0	0.01667344354	0.01615451351	99.39002845	0.6099715533	0	93.91149678	6.088503218	0				0	0		-917.3484698	0.01615451351	15.0812080567677	
917.2684698	94	6	0	0.02212118129	0.02143308267	99.38694062	0.6130593755	0	93.88201221	6.117987787	0				0	0		-917.2684698	0.02143308267	15.2311474935278	
917.1884698	94	6	0	0.02751522425	0.02665981468	99.38385211	0.6161478853	0	93.85253594	6.147464062	0				0	0		-917.1884698	0.02665981468	15.381825641844	
917.1084698	94	6	0	0.03285636053	0.03183547044	99.38076292	0.619237084	0	93.82306797	6.176932029	0				0	0		-917.1084698	0.03183547044	15.5332422708379	
917.0284698	94	6	0	0.03814536289	0.03696079606	99.37767303	0.6223269731	0	93.79360833	6.206391669	0				0	0		-917.0284698	0.03696079606	15.6854174787083	
916.9484698	94	6	0	0.04338297584	0.0420365103	99.37458245	0.625417554	0	93.76415711	6.235842892	0				0	0		-916.9484698	0.0420365103	15.8383158736225	
916.8684698	94	6	0	0.04856996563	0.04706335305	99.37149117	0.628508828	0	93.73471419	6.265285812	0				0	0		-916.8684698	0.04706335305	15.9919329990035	
916.7884698	94	6	0	0.05370705147	0.05204201866	99.3683992	0.6316007967	0	93.70527964	6.294720358	0				0	0		-916.7884698	0.05204201866	16.1463027337528	
916.7084698	94	6	0	0.05879494837	0.05697319747	99.36530654	0.6346934615	0	93.67585349	6.324146514	0				0	0		-916.7084698	0.05697319747	16.301410474884	
916.6284698	94	6	0	0.06383435776	0.06185756671	99.36221318	0.6377868237	0	93.64643574	6.353564264	0				0	0		-916.6284698	0.06185756671	16.4572561161999	
916.5484698	94	6	0	0.06882596781	0.0666957908	99.35911912	0.6408808848	0	93.61702641	6.382973591	0				0	0		-916.5484698	0.0666957908	16.6138395691735	
916.4684698	94	6	0	0.07377045374	0.07148852165	99.35602435	0.6439756463	0	93.58762552	6.412374479	0				0	0		-916.4684698	0.07148852165	16.7711606985672	
916.3884698	94	6	0	0.07866847813	0.07623639898	99.35292889	0.6470711095	0	93.55823309	6.441766913	0				0	0		-916.3884698	0.07623639898	16.929219399153	
916.3084698	94	6	0	0.08352069119	0.08094005056	99.34983272	0.650167276	0	93.52884912	6.471150876	0				0	0		-916.3084698	0.08094005056	17.0880155638975	
916.2284698	94	6	0	0.08832773108	0.08560009253	99.34673585	0.6532641472	0	93.49947365	6.500526353	0				0	0		-916.2284698	0.08560009253	17.2475490793901	
916.1484698	94	6	0	0.09309022415	0.09021712963	99.34363828	0.6563617244	0	93.47010667	6.529893327	0				0	0		-916.1484698	0.09021712963	17.4078198291393	
916.0684698	94	6	0	0.09780878526	0.0947917555	99.34053999	0.6594600093	0	93.44074822	6.559251782	0				0	0		-916.0684698	0.0947917555	17.5688276898128	
915.9884698	94	6	0	0.102484018	0.0993245529	99.337441	0.6625590032	0	93.4113983	6.588601702	0				0	0		-915.9884698	0.0993245529	17.7305725171813	
915.9084698	94	6	0	0.107116515	0.103816094	99.33434129	0.6656587076	0	93.38205693	6.617943071	0				0	0		-915.9084698	0.103816094	17.8930543260105	
915.8284698	94	6	0	0.111706858	0.1082669405	99.33124088	0.6687591239	0	93.35272413	6.647275873	0				0	0		-915.8284698	0.1082669405	18.0562726841527	
915.7484698	94	6	0	0.1162556185	0.1126776442	99.32813975	0.6718602537	0	93.32339991	6.676600093	0				0	0		-915.7484698	0.1126776442	18.220227777234	
915.6684698	94	6	0	0.1207633575	0.1170487466	99.3250379	0.6749620984	0	93.29408429	6.705915713	0				0	0		-915.6684698	0.1170487466	18.38491965594	
915.5884698	94	6	0	0.125230626	0.1213807798	99.32193534	0.6780646594	0	93.26477728	6.735222719	0				0	0		-915.5884698	0.1213807798	18.5503474220428	
915.5084698	94	6	0	0.1296579653	0.1256742665	99.31883206	0.6811679382	0	93.23547891	6.764521094	0				0	0		-915.5084698	0.1256742665	18.716511497315	
915.4284698	94	6	0	0.1340459069	0.1299297198	99.31572806	0.6842719364	0	93.20618918	6.793810821	0				0	0		-915.4284698	0.1299297198	18.8834121162589	
915.3484698	94	6	0	0.1383949732	0.1341476439	99.31262334	0.6873766553	0	93.17690811	6.823091886	0				0	0		-915.3484698	0.1341476439	19.0510484317327	
915.2684698	94	6	0	0.1427056772	0.1383285343	99.3095179	0.6904820966	0	93.14763573	6.852364272	0				0	0		-915.2684698	0.1383285343	19.219420231634	
915.1884698	94	6	0	0.1469785229	0.1424728777	99.30641174	0.6935882616	0	93.11837204	6.881627964	0				0	0		-915.1884698	0.1424728777	19.3885281879733	
915.1084698	94	6	0	0.1512140057	0.1465811521	99.30330485	0.6966951519	0	93.08911706	6.910882945	0				0	0		-915.1084698	0.1465811521	19.5583717387175	
