T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
889.6646727	93	0	7	0	0	99.21579681	0	0.7842031867	93	0	7				0.001483835029		-0.001483835029	-889.6646727	0	41.8668653284681	
889.6446727	93	0	7	0.0004785537489	0.00047738421	99.21542559	0	0.7845744141	92.99703237	0	7.002967628				0		0	-889.6446727	0.00047738421	41.9230865846118	
889.6246727	93	0	7	0.0009564664493	0.0009541290773	99.21505435	0	0.7849456499	92.99406496	0	7.005935042				0		0	-889.6246727	0.0009541290773	41.9642649079766	
889.5846727	93	0	7	0.001911397041	0.001906726608	99.21431184	0	0.7856881606	92.98813071	0	7.011869286				0		0	-889.5846727	0.001906726608	42.0242394401557	
889.5046727	93	0	7	0.003816664587	0.003807340933	99.21282664	0	0.7871733636	92.97626461	0	7.023735387				0		0	-889.5046727	0.003807340933	42.1802348856966	
889.4246727	93	0	7	0.005713960948	0.005700005755	99.21134121	0	0.7886587931	92.9644017	0	7.035598295				0		0	-889.4246727	0.005700005755	42.3445814092019	
889.3446727	93	0	7	0.007604456787	0.007585888872	99.20985555	0	0.7901444493	92.95254199	0	7.047458014				0		0	-889.3446727	0.007585888872	42.4967251043917	
889.2646727	93	0	7	0.009488187848	0.009465025929	99.20836967	0	0.7916303328	92.94068545	0	7.059314547				0		0	-889.2646727	0.009465025929	42.6491435578018	
889.1846727	93	0	7	0.01136519093	0.01133745362	99.20688356	0	0.7931164438	92.92883211	0	7.071167895				0		0	-889.1846727	0.01133745362	42.8018219486738	
889.1046727	93	0	7	0.01323550256	0.01320320838	99.20539722	0	0.7946027824	92.91698194	0	7.083018059				0		0	-889.1046727	0.01320320838	42.9547601180248	
889.0246727	93	0	7	0.01509915901	0.01506232638	99.20391065	0	0.7960893488	92.90513496	0	7.094865041				0		0	-889.0246727	0.01506232638	43.1079582166419	
888.9446727	93	0	7	0.01695619628	0.01691484351	99.20242386	0	0.7975761432	92.89329116	0	7.106708842				0		0	-888.9446727	0.01691484351	43.2614159360741	
888.8646727	93	0	7	0.01880665013	0.01876079544	99.20093683	0	0.7990631657	92.88145054	0	7.118549464				0		0	-888.8646727	0.01876079544	43.4151331336922	
888.7846727	93	0	7	0.02065055603	0.02060021755	99.19944958	0	0.8005504165	92.86961309	0	7.130386907				0		0	-888.7846727	0.02060021755	43.5691099471837	
888.7046727	93	0	7	0.02248794924	0.02243314498	99.1979621	0	0.8020378959	92.85777883	0	7.142221173				0		0	-888.7046727	0.02243314498	43.7233459819901	
888.6246727	93	0	7	0.02431886473	0.02425961263	99.1964744	0	0.8035256038	92.84594774	0	7.154052262				0		0	-888.6246727	0.02425961263	43.8778411317416	
888.5446727	93	0	7	0.02614333724	0.02607965514	99.19498646	0	0.8050135406	92.83411982	0	7.165880178				0		0	-888.5446727	0.02607965514	44.032595584307	
888.4646727	93	0	7	0.02796140126	0.02789330689	99.19349829	0	0.8065017064	92.82229508	0	7.177704919				0		0	-888.4646727	0.02789330689	44.1876089749628	
888.3846727	93	0	7	0.02977309104	0.02970060205	99.1920099	0	0.8079901014	92.81047351	0	7.189526489				0		0	-888.3846727	0.02970060205	44.3428812411256	
888.3046727	93	0	7	0.03157844058	0.03150157451	99.19052127	0	0.8094787257	92.79865511	0	7.201344888				0		0	-888.3046727	0.03150157451	44.4984123622888	
888.2246727	93	0	7	0.03337748363	0.03329625795	99.18903242	0	0.8109675795	92.78683988	0	7.213160117				0		0	-888.2246727	0.03329625795	44.6542020092204	
888.1446727	93	0	7	0.03517025373	0.0350846858	99.18754334	0	0.8124566629	92.77502782	0	7.224972178				0		0	-888.1446727	0.0350846858	44.8102502711571	
888.0646727	93	0	7	0.03695678415	0.03686689125	99.18605402	0	0.8139459763	92.76321893	0	7.236781073				0		0	-888.0646727	0.03686689125	44.9665570425734	
887.9846727	93	0	7	0.03873710795	0.03864290726	99.18456448	0	0.8154355196	92.7514132	0	7.248586801				0		0	-887.9846727	0.03864290726	45.1231221441447	
887.9046727	93	0	7	0.04051125795	0.04041276656	99.18307471	0	0.8169252931	92.73961063	0	7.260389365				0		0	-887.9046727	0.04041276656	45.27994531755	
887.8246727	93	0	7	0.04227926674	0.04217650166	99.1815847	0	0.8184152969	92.72781123	0	7.272188766				0		0	-887.8246727	0.04217650166	45.4370267437265	
887.7446727	93	0	7	0.04404116667	0.04393414481	99.18009447	0	0.8199055313	92.71601499	0	7.283985005				0		0	-887.7446727	0.04393414481	45.59436613315	
887.6646727	93	0	7	0.04579698988	0.04568572808	99.178604	0	0.8213959963	92.70422192	0	7.295778084				0		0	-887.6646727	0.04568572808	45.7519633888986	
887.5846727	93	0	7	0.04754676829	0.04743128327	99.17711331	0	0.8228866922	92.692432	0	7.307568003				0		0	-887.5846727	0.04743128327	45.9098184494451	
887.5046727	93	0	7	0.04929053357	0.049170842	99.17562238	0	0.8243776191	92.68064524	0	7.319354764				0		0	-887.5046727	0.049170842	46.0679310551804	
887.4246727	93	0	7	0.0510283172	0.05090443564	99.17413122	0	0.8258687772	92.66886163	0	7.331138369				0		0	-887.4246727	0.05090443564	46.2263012493146	
887.3446727	93	0	7	0.05276015043	0.05263209536	99.17263983	0	0.8273601667	92.65708118	0	7.342918819				0		0	-887.3446727	0.05263209536	46.3849288687935	
887.2646727	93	0	7	0.05448606429	0.0543538521	99.17114821	0	0.8288517877	92.64530389	0	7.354696114				0		0	-887.2646727	0.0543538521	46.5438137940762	
887.1846727	93	0	7	0.05620608959	0.0560697366	99.16965636	0	0.8303436404	92.63352974	0	7.366470257				0		0	-887.1846727	0.0560697366	46.7029559613455	
887.1046727	93	0	7	0.05792025695	0.05777977937	99.16816428	0	0.831835725	92.62175875	0	7.378241248				0		0	-887.1046727	0.05777977937	46.8623552147441	
887.0246727	93	0	7	0.05962859675	0.05948401073	99.16667196	0	0.8333280416	92.60999091	0	7.390009089				0		0	-887.0246727	0.05948401073	47.0220113155913	
886.9446727	93	0	7	0.06133113918	0.06118246078	99.16517941	0	0.8348205904	92.59822622	0	7.401773781				0		0	-886.9446727	0.06118246078	47.1819242059598	
886.8646727	93	0	7	0.06302791421	0.06287515942	99.16368663	0	0.8363133715	92.58646467	0	7.413535326				0		0	-886.8646727	0.06287515942	47.342093883188	
886.7846727	93	0	7	0.06471895163	0.06456213633	99.16219361	0	0.8378063852	92.57470628	0	7.425293725				0		0	-886.7846727	0.06456213633	47.502520251261	
886.7046727	93	0	7	0.06640428099	0.066243421	99.16070037	0	0.8392996317	92.56295102	0	7.437048979				0		0	-886.7046727	0.066243421	47.6632031267044	
886.6246727	93	0	7	0.06808393166	0.06791904271	99.15920689	0	0.8407931109	92.55119891	0	7.448801089				0		0	-886.6246727	0.06791904271	47.8241423696604	
886.5446727	93	0	7	0.06975793281	0.06958903055	99.15771318	0	0.8422868232	92.53944994	0	7.460550057				0		0	-886.5446727	0.06958903055	47.9853377474493	
886.4646727	93	0	7	0.0714263134	0.07125341341	99.15621923	0	0.8437807688	92.52770412	0	7.472295884				0		0	-886.4646727	0.07125341341	48.1467892169843	
886.3846727	93	0	7	0.0730891022	0.07291221998	99.15472505	0	0.8452749477	92.51596143	0	7.484038571				0		0	-886.3846727	0.07291221998	48.3084967858486	
886.3046727	93	0	7	0.07474632779	0.07456547875	99.15323064	0	0.8467693601	92.50422188	0	7.49577812				0		0	-886.3046727	0.07456547875	48.4704603654728	
