T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
875.5742727	87	7	6	0	0	98.57346254	0.739127441	0.6874100185	87	7	6							0.001990883749	-0.001077004789	-0.0009138789608	-875.5742727	0	58.0837578765081	
875.5542727	87	7	6	0.0003577816472	0.0003440841685	98.57293035	0.7394097493	0.6876598989	86.99601831	7.002153965	6.001827726							0	0	0	-875.5542727	0.0003440841685	58.1668681681801	
875.5342727	87	7	6	0.0007150515812	0.0006876774018	98.57239812	0.7396920903	0.6879097879	86.99203702	7.004307723	6.003655257							0	0	0	-875.5342727	0.0006876774018	58.2184502998363	
875.4942727	87	7	6	0.001429216605	0.001374506953	98.57133352	0.7402568771	0.6884096053	86.98407553	7.008614654	6.00730982							0	0	0	-875.4942727	0.001374506953	58.2745837436919	
875.4142727	87	7	6	0.002854893259	0.002745628544	98.56920375	0.741386864	0.689409384	86.96815699	7.017226145	6.014616869							0	0	0	-875.4142727	0.002745628544	58.4395032002158	
875.3342727	87	7	6	0.00427602163	0.004112394871	98.56707324	0.7425174071	0.6904093512	86.95224437	7.025834516	6.021921119							0	0	0	-875.3342727	0.004112394871	58.6128626670507	
875.2542727	87	7	6	0.005693235128	0.005475415068	98.56494199	0.7436485042	0.6914095088	86.93633768	7.034439737	6.029222587							0	0	0	-875.2542727	0.005475415068	58.7738394465137	
875.1742727	87	7	6	0.00710655001	0.006834704702	98.56280999	0.7447801566	0.6924098576	86.92043691	7.043041811	6.036521276							0	0	0	-875.1742727	0.006834704702	58.9350240416387	
875.0942727	87	7	6	0.008515982667	0.008190279476	98.56067724	0.7459123654	0.6934103976	86.90454207	7.051640739	6.043817187							0	0	0	-875.0942727	0.008190279476	59.096411692768	
875.0142727	87	7	6	0.009921549397	0.009542154999	98.55854374	0.7470451316	0.6944111292	86.88865316	7.060236521	6.051110321							0	0	0	-875.0142727	0.009542154999	59.2580022750364	
874.9342727	87	7	6	0.01132326641	0.0108903468	98.55640949	0.7481784562	0.6954120526	86.87277016	7.068829157	6.05840068							0	0	0	-874.9342727	0.0108903468	59.4197957818496	
874.8542727	87	7	6	0.01272114982	0.01223487031	98.55427449	0.7493123402	0.6964131682	86.85689309	7.077418647	6.065688266							0	0	0	-874.8542727	0.01223487031	59.5817920082108	
874.7742727	87	7	6	0.01411521566	0.01357574089	98.55213874	0.7504467847	0.6974144761	86.84102193	7.086004993	6.07297308							0	0	0	-874.7742727	0.01357574089	59.7439906231071	
874.6942727	87	7	6	0.01550547988	0.01491297381	98.55000223	0.7515817905	0.6984159767	86.82515668	7.094588193	6.080255122							0	0	0	-874.6942727	0.01491297381	59.9063915375247	
874.6142727	87	7	6	0.01689195833	0.01624658426	98.54786497	0.7527173588	0.6994176701	86.80929736	7.103168249	6.087534396							0	0	0	-874.6142727	0.01624658426	60.068994442582	
874.5342727	87	7	6	0.01827466678	0.01757658735	98.54572695	0.7538534905	0.7004195567	86.79344394	7.11174516	6.094810901							0	0	0	-874.5342727	0.01757658735	60.2317995071233	
874.4542727	87	7	6	0.01965362091	0.01890299809	98.54358818	0.7549901867	0.7014216367	86.77759643	7.120318928	6.10208464							0	0	0	-874.4542727	0.01890299809	60.3948062399962	
874.3742727	87	7	6	0.02102883634	0.02022583144	98.54144864	0.7561274484	0.7024239105	86.76175483	7.128889551	6.109355614							0	0	0	-874.3742727	0.02022583144	60.5580146410598	
874.2942727	87	7	6	0.02240032856	0.02154510224	98.53930835	0.7572652765	0.7034263781	86.74591914	7.137457032	6.116623825							0	0	0	-874.2942727	0.02154510224	60.7214244894333	
874.2142727	87	7	6	0.02376811301	0.02286082529	98.53716729	0.7584036722	0.70442904	86.73008936	7.146021369	6.123889273							0	0	0	-874.2142727	0.02286082529	60.8850356081266	
874.1342727	87	7	6	0.02513220503	0.02417301527	98.53502547	0.7595426363	0.7054318963	86.71426548	7.154582563	6.131151961							0	0	0	-874.1342727	0.02417301527	61.0488478244818	
874.0542727	87	7	6	0.0264926199	0.02548168682	98.53288288	0.76068217	0.7064349474	86.6984475	7.163140615	6.138411889							0	0	0	-874.0542727	0.02548168682	61.2128607749923	
873.9742727	87	7	6	0.02784937278	0.02678685447	98.53073953	0.7618222742	0.7074381935	86.68263542	7.171695524	6.14566906							0	0	0	-873.9742727	0.02678685447	61.3770748092567	
873.8942727	87	7	6	0.02920247879	0.02808853268	98.52859542	0.7629629499	0.7084416348	86.66682923	7.180247292	6.152923474							0	0	0	-873.8942727	0.02808853268	61.5414891327255	
873.8142727	87	7	6	0.03055195293	0.02938673585	98.52645053	0.7641041982	0.7094452717	86.65102895	7.188795918	6.160175134							0	0	0	-873.8142727	0.02938673585	61.7061039212724	
873.7342727	87	7	6	0.03189781015	0.03068147827	98.52430488	0.76524602	0.7104491044	86.63523456	7.197341402	6.16742404							0	0	0	-873.7342727	0.03068147827	61.8709191295902	
873.6542727	87	7	6	0.03324006529	0.03197277418	98.52215845	0.7663884164	0.7114531332	86.61944606	7.205883746	6.174670195							0	0	0	-873.6542727	0.03197277418	62.0359340291773	
873.5742727	87	7	6	0.03457873315	0.03326063774	98.52001125	0.7675313883	0.7124573583	86.60366345	7.214422949	6.181913599							0	0	0	-873.5742727	0.03326063774	62.2011488685757	
873.4942727	87	7	6	0.03591382841	0.03454508302	98.51786328	0.7686749369	0.71346178	86.58788673	7.222959012	6.189154255							0	0	0	-873.4942727	0.03454508302	62.3665636826296	
873.4142727	87	7	6	0.03724536569	0.03582612402	98.51571454	0.7698190631	0.7144663986	86.5721159	7.231491935	6.196392163							0	0	0	-873.4142727	0.03582612402	62.5321778026707	
873.3342727	87	7	6	0.03857335954	0.03710377468	98.51356502	0.7709637679	0.7154712143	86.55635096	7.240021718	6.203627325							0	0	0	-873.3342727	0.03710377468	62.6979910703715	
873.2542727	87	7	6	0.03989782442	0.03837804885	98.51141472	0.7721090523	0.7164762274	86.54059189	7.248548362	6.210859744							0	0	0	-873.2542727	0.03837804885	62.8640035920867	
873.1742727	87	7	6	0.04121877472	0.03964896031	98.50926364	0.7732549174	0.7174814382	86.52483871	7.257071867	6.218089419							0	0	0	-873.1742727	0.03964896031	63.0302152596046	
873.0942727	87	7	6	0.04253622473	0.04091652276	98.50711179	0.7744013641	0.718486847	86.50909141	7.265592234	6.225316354							0	0	0	-873.0942727	0.04091652276	63.1966254857458	
873.0142727	87	7	6	0.04385018871	0.04218074985	98.50495915	0.7755483934	0.719492454	86.49334999	7.274109462	6.232540548							0	0	0	-873.0142727	0.04218074985	63.3632342107181	
872.9342727	87	7	6	0.0451606808	0.04344165513	98.50280573	0.7766960065	0.7204982594	86.47761444	7.282623552	6.239762005							0	0	0	-872.9342727	0.04344165513	63.5300416411254	
872.8542727	87	7	6	0.04646771509	0.04469925209	98.50065153	0.7778442042	0.7215042636	86.46188477	7.291134505	6.246980725							0	0	0	-872.8542727	0.04469925209	63.6970470066344	
872.7742727	87	7	6	0.04777130559	0.04595355416	98.49849655	0.7789929877	0.7225104668	86.44616097	7.29964232	6.25419671							0	0	0	-872.7742727	0.04595355416	63.8642503165628	
872.6942727	87	7	6	0.04907146623	0.04720457468	98.49634077	0.7801423578	0.7235168693	86.43044304	7.308146999	6.261409961							0	0	0	-872.6942727	0.04720457468	64.0316518573448	
872.6142727	87	7	6	0.05036821087	0.04845232692	98.49418421	0.7812923157	0.7245234714	86.41473098	7.316648541	6.268620481							0	0	0	-872.6142727	0.04845232692	64.1992509183368	
872.5342727	87	7	6	0.0516615533	0.0496968241	98.49202686	0.7824428623	0.7255302733	86.39902478	7.325146947	6.27582827							0	0	0	-872.5342727	0.0496968241	64.3670473269378	
872.4542727	87	7	6	0.05295150723	0.05093807935	98.48986873	0.7835939987	0.7265372753	86.38332445	7.333642217	6.283033331							0	0	0	-872.4542727	0.05093807935	64.5350411851351	
872.3742727	87	7	6	0.05423808631	0.05217610574	98.4877098	0.7847457259	0.7275444777	86.36762998	7.342134351	6.290235664							0	0	0	-872.3742727	0.05217610574	64.7032318431229	
872.2942727	87	7	6	0.05552130411	0.05341091628	98.48555007	0.7858980448	0.7285518807	86.35194138	7.350623351	6.297435272							0	0	0	-872.2942727	0.05341091628	64.871619721931	
872.2142727	87	7	6	0.05680117413	0.05464252388	98.48338956	0.7870509565	0.7295594847	86.33625863	7.359109216	6.304632156							0	0	0	-872.2142727	0.05464252388	65.0402044703535	
872.1342727	87	7	6	0.05807770979	0.05587094142	98.48122825	0.788204462	0.7305672898	86.32058174	7.367591946	6.311826318							0	0	0	-872.1342727	0.05587094142	65.2089852416136	
872.0542727	87	7	6	0.05935092445	0.0570961817	98.47906614	0.7893585624	0.7315752964	86.3049107	7.376071543	6.319017758							0	0	0	-872.0542727	0.0570961817	65.3779625267912	
871.9742727	87	7	6	0.06062083141	0.05831825744	98.47690324	0.7905132585	0.7325835048	86.28924551	7.384548006	6.32620648							0	0	0	-871.9742727	0.05831825744	65.5471360445678	
