T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
842.1349342	81	10	9	0	0	97.63155582	1.223448119	1.144996064	81	10	9							0.00170060547	-0.0008974167646	-0.0008031887058	-842.1349342	0	48.1739867388743	
842.1249342	81	10	9	0.0001083310699	0.0001024628333	97.63124104	1.223622903	1.14513606	80.99829842	10.00089793	9.000803655							0	0	0	-842.1249342	0.0001024628333	147.018741744672	
842.1049342	81	10	9	0.0003243777753	0.0002044048716	97.63061119	1.223972725	1.145416088	80.9948984	10.00269213	9.002409471							0	0	0	-842.1049342	0.0002044048716	196.043194524758	
842.0649342	81	10	9	0.000756317309	0.0004087480955	97.62935139	1.224672421	1.145976186	80.98809727	10.00628109	9.005621637							0	0	0	-842.0649342	0.0004087480955	195.867173410285	
841.9849342	81	10	9	0.001619074096	0.0008166971556	97.62683082	1.226072572	1.147096611	80.97449845	10.01345715	9.012044404							0	0	0	-841.9849342	0.0008166971556	-90854.3975297852	
841.9049342	81	10	9	0.002480107877	0.0008158147129	97.62430892	1.227473741	1.148217339	80.9609042	10.02063073	9.018465067							0	0	0	-841.9049342	0.0008158147129	-94515.2136986468	
841.8249342	81	10	9	0.003339571697	0.0008149990605	97.6217857	1.228875928	1.149338372	80.94731452	10.02780185	9.024883627							0	0	0	-841.8249342	0.0008149990605	-98183.1164313952	
841.7449342	81	10	9	0.004197470027	0.0008141851013	97.61926115	1.230279136	1.150459709	80.93372941	10.0349705	9.031300088							0	0	0	-841.7449342	0.0008141851013	-98379.9540974299	
841.6649342	81	10	9	0.005053807206	0.0008133727099	97.61673528	1.231683366	1.151581352	80.92014887	10.04213668	9.037714452							0	0	0	-841.6649342	0.0008133727099	-98569.7353939552	
841.5849342	81	10	9	0.005908587556	0.000812561882	97.61420808	1.23308862	1.152703299	80.90657288	10.0493004	9.04412672							0	0	0	-841.5849342	0.000812561882	-98759.7321727015	
841.5049342	81	10	9	0.006761815384	0.0008117526134	97.61167955	1.234494898	1.153825552	80.89300146	10.05646165	9.050536895							0	0	0	-841.5049342	0.0008117526134	-98949.9610677455	
841.4249342	81	10	9	0.007613494981	0.0008109449001	97.60914969	1.235902203	1.154948111	80.87943458	10.06362044	9.056944977							0	0	0	-841.4249342	0.0008109449001	-99140.4450956051	
841.3449342	81	10	9	0.008463630624	0.0008101387383	97.60661849	1.237310536	1.156070976	80.86587226	10.07077677	9.063350969							0	0	0	-841.3449342	0.0008101387383	-99331.1704900502	
841.2649342	81	10	9	0.009312226573	0.0008093341238	97.60408595	1.238719898	1.157194148	80.85231448	10.07793065	9.069754873							0	0	0	-841.2649342	0.0008093341238	-99522.1235607998	
841.1849342	81	10	9	0.01015928707	0.0008085310526	97.60155208	1.240130291	1.158317626	80.83876125	10.08508206	9.07615669							0	0	0	-841.1849342	0.0008085310526	-99713.321315144	
841.1049342	81	10	9	0.01100481635	0.0008077295208	97.59901687	1.241541716	1.159441411	80.82521255	10.09223103	9.082556423							0	0	0	-841.1049342	0.0008077295208	-99904.7622888507	
841.0249342	81	10	9	0.01184881863	0.0008069295244	97.59648032	1.242954175	1.160565504	80.81166839	10.09937753	9.088954072							0	0	0	-841.0249342	0.0008069295244	-100096.438808651	
840.9449342	81	10	9	0.0126912981	0.0008061310594	97.59394243	1.24436767	1.161689905	80.79812877	10.10652159	9.09534964							0	0	0	-840.9449342	0.0008061310594	-100288.361970048	
840.8649342	81	10	9	0.01353225895	0.000805334122	97.59140319	1.245782201	1.162814613	80.78459368	10.1136632	9.101743128							0	0	0	-840.8649342	0.000805334122	-100480.523943312	
840.7849342	81	10	9	0.01437170535	0.0008045387081	97.5888626	1.24719777	1.16393963	80.77106311	10.12080235	9.108134539							0	0	0	-840.7849342	0.0008045387081	-100672.923383149	
840.7049342	81	10	9	0.01520964146	0.0008037448139	97.58632066	1.248614379	1.165064956	80.75753706	10.12793906	9.114523874							0	0	0	-840.7049342	0.0008037448139	-100865.571402317	
840.6249342	81	10	9	0.0160460714	0.0008029524355	97.58377738	1.25003203	1.166190591	80.74401554	10.13507333	9.120911134							0	0	0	-840.6249342	0.0008029524355	-101058.460261061	
840.5449342	81	10	9	0.01688099932	0.000802161569	97.58123274	1.251450723	1.167316535	80.73049853	10.14220515	9.127296322							0	0	0	-840.5449342	0.000802161569	-101251.588487196	
840.4649342	81	10	9	0.01771442931	0.0008013722105	97.57868675	1.25287046	1.168442788	80.71698603	10.14933453	9.13367944							0	0	0	-840.4649342	0.0008013722105	-101444.95459058	
840.3849342	81	10	9	0.01854636547	0.0008005843561	97.5761394	1.254291243	1.169569352	80.70347805	10.15646146	9.140060489							0	0	0	-840.3849342	0.0008005843561	-101638.570024541	
840.3049342	81	10	9	0.01937681189	0.0007997980021	97.5735907	1.255713074	1.170696226	80.68997457	10.16358596	9.146439471							0	0	0	-840.3049342	0.0007997980021	-101832.426805382	
840.2249342	81	10	9	0.02020577262	0.0007990131445	97.57104064	1.257135953	1.17182341	80.67647559	10.17070802	9.152816388							0	0	0	-840.2249342	0.0007990131445	-102026.517078938	
840.1449342	81	10	9	0.02103325173	0.0007982297795	97.56848921	1.258559883	1.172950906	80.66298111	10.17782765	9.159191241							0	0	0	-840.1449342	0.0007982297795	-102220.858848444	
840.0649342	81	10	9	0.02185925324	0.0007974479034	97.56593642	1.259984864	1.174078712	80.64949113	10.18494484	9.165564032							0	0	0	-840.0649342	0.0007974479034	-102415.450705324	
839.9849342	81	10	9	0.02268378119	0.0007966675124	97.56338227	1.261410899	1.17520683	80.63600564	10.19205959	9.171934764							0	0	0	-839.9849342	0.0007966675124	-102610.278111454	
839.9049342	81	10	9	0.02350683958	0.0007958886026	97.56082675	1.262837988	1.17633526	80.62252464	10.19917192	9.178303438							0	0	0	-839.9049342	0.0007958886026	-102805.346202452	
839.8249342	81	10	9	0.0243284324	0.0007951111703	97.55826986	1.264266134	1.177464003	80.60904813	10.20628181	9.184670055							0	0	0	-839.8249342	0.0007951111703	-103000.660046106	
839.7449342	81	10	9	0.02514856363	0.0007943352117	97.55571161	1.265695337	1.178593057	80.5955761	10.21338928	9.191034618							0	0	0	-839.7449342	0.0007943352117	-103196.218261748	
839.6649342	81	10	9	0.02596723724	0.0007935607231	97.55315197	1.2671256	1.179722425	80.58210855	10.22049432	9.197397128							0	0	0	-839.6649342	0.0007935607231	-103392.026056374	
839.5849342	81	10	9	0.02678445719	0.0007927877008	97.55059097	1.268556924	1.180852105	80.56864547	10.22759694	9.203757587							0	0	0	-839.5849342	0.0007927877008	-103588.082039254	
839.5049342	81	10	9	0.0276002274	0.0007920161411	97.54802859	1.269989311	1.1819821	80.55518687	10.23469713	9.210115997							0	0	0	-839.5049342	0.0007920161411	-103784.371286654	
839.4249342	81	10	9	0.02841455181	0.0007912460401	97.54546483	1.271422761	1.183112407	80.54173274	10.2417949	9.21647236							0	0	0	-839.4249342	0.0007912460401	-103980.905886889	
839.3449342	81	10	9	0.02922743432	0.0007904773943	97.54289969	1.272857277	1.184243029	80.52828307	10.24889025	9.222826677							0	0	0	-839.3449342	0.0007904773943	-104177.690999716	
839.2649342	81	10	9	0.03003887883	0.0007897101999	97.54033317	1.274292859	1.185373966	80.51483787	10.25598318	9.22917895							0	0	0	-839.2649342	0.0007897101999	-104374.725392622	
839.1849342	81	10	9	0.03084888923	0.0007889444534	97.53776527	1.275729511	1.186505217	80.50139712	10.2630737	9.235529182							0	0	0	-839.1849342	0.0007889444534	-104572.000647787	
839.1049342	81	10	9	0.03165746937	0.0007881801509	97.53519598	1.277167232	1.187636783	80.48796083	10.27016179	9.241877373							0	0	0	-839.1049342	0.0007881801509	-104769.522358764	
839.0249342	81	10	9	0.03246462312	0.000787417289	97.53262531	1.278606025	1.188768665	80.474529	10.27724748	9.248223525							0	0	0	-839.0249342	0.000787417289	-104967.295739802	
838.9449342	81	10	9	0.03327035433	0.0007866558639	97.53005325	1.280045891	1.189900862	80.46110161	10.28433075	9.254567641							0	0	0	-838.9449342	0.0007866558639	-105165.305742393	
838.8649342	81	10	9	0.0340746668	0.000785895872	97.52747979	1.281486832	1.191033376	80.44767866	10.29141161	9.260909722							0	0	0	-838.8649342	0.000785895872	-105363.571602777	
838.7849342	81	10	9	0.03487756437	0.0007851373098	97.52490495	1.282928849	1.192166206	80.43426016	10.29849007	9.26724977							0	0	0	-838.7849342	0.0007851373098	-105562.077950352	
838.7049342	81	10	9	0.03567905083	0.0007843801735	97.5223287	1.284371944	1.193299352	80.4208461	10.30556611	9.273587786							0	0	0	-838.7049342	0.0007843801735	-105760.830448185	
838.6249342	81	10	9	0.03647912997	0.0007836244597	97.51975107	1.285816118	1.194432816	80.40743648	10.31263975	9.279923773							0	0	0	-838.6249342	0.0007836244597	-105959.841522708	
838.5449342	81	10	9	0.03727780557	0.0007828701648	97.51717203	1.287261373	1.195566596	80.39403128	10.31971098	9.286257732							0	0	0	-838.5449342	0.0007828701648	-106159.095828732	
838.4649342	81	10	9	0.03807508138	0.0007821172852	97.51459159	1.288707711	1.196700695	80.38063052	10.32677982	9.292589665							0	0	0	-838.4649342	0.0007821172852	-106358.591880258	
838.3849342	81	10	9	0.03887096116	0.0007813658173	97.51200976	1.290155132	1.197835111	80.36723418	10.33384625	9.298919574							0	0	0	-838.3849342	0.0007813658173	-106558.335296127	
838.3049342	81	10	9	0.03966544863	0.0007806157576	97.50942651	1.291603639	1.198969846	80.35384226	10.34091028	9.30524746							0	0	0	-838.3049342	0.0007806157576	-106758.331730577	
838.2249342	81	10	9	0.04045854753	0.0007798671026	97.50684187	1.293053233	1.2001049	80.34045477	10.34797191	9.311573326							0	0	0	-838.2249342	0.0007798671026	-106958.579803401	
838.1449342	81	10	9	0.04125026156	0.0007791198488	97.50425581	1.294503916	1.201240272	80.32707168	10.35503114	9.317897173							0	0	0	-838.1449342	0.0007791198488	-107159.078116601	
838.0649342	81	10	9	0.04204059442	0.0007783739927	97.50166835	1.295955689	1.202375964	80.31369301	10.36208798	9.324219003							0	0	0	-838.0649342	0.0007783739927	-107359.818024283	
837.9849342	81	10	9	0.04282954979	0.0007776295307	97.49907947	1.297408554	1.203511975	80.30031875	10.36914243	9.330538817							0	0	0	-837.9849342	0.0007776295307	-107560.812582073	
837.9049342	81	10	9	0.04361713134	0.0007768864595	97.49648918	1.298862512	1.204648306	80.28694889	10.37619449	9.336856618							0	0	0	-837.9049342	0.0007768864595	-107762.060257991	
837.8249342	81	10	9	0.04440334273	0.0007761447755	97.49389748	1.300317565	1.205784958	80.27358344	10.38324415	9.343172408							0	0	0	-837.8249342	0.0007761447755	-107963.545203037	
837.7449342	81	10	9	0.0451881876	0.0007754044752	97.49130436	1.301773714	1.20692193	80.26022239	10.39029143	9.349486187							0	0	0	-837.7449342	0.0007754044752	-108165.287813735	
837.6649342	81	10	9	0.04597166959	0.0007746655553	97.48870981	1.303230962	1.208059223	80.24686572	10.39733632	9.355797958							0	0	0	-837.6649342	0.0007746655553	-108367.286640233	
837.5849342	81	10	9	0.04675379232	0.0007739280123	97.48611385	1.304689309	1.209196838	80.23351346	10.40437882	9.362107722							0	0	0	-837.5849342	0.0007739280123	-108569.533039771	
837.5049342	81	10	9	0.04753455939	0.0007731918428	97.48351647	1.306148758	1.210334774	80.22016558	10.41141894	9.368415482							0	0	0	-837.5049342	0.0007731918428	-108772.02549992	
837.4249342	81	10	9	0.0483139744	0.0007724570433	97.48091766	1.307609309	1.211473032	80.20682208	10.41845668	9.374721239							0	0	0	-837.4249342	0.0007724570433	-108974.770050163	
837.3449342	81	10	9	0.04909204092	0.0007717236105	97.47831742	1.309070965	1.212611612	80.19348297	10.42549203	9.381024995							0	0	0	-837.3449342	0.0007717236105	-109177.765169932	
837.2649342	81	10	9	0.04986876254	0.0007709915409	97.47571576	1.310533727	1.213750515	80.18014824	10.43252501	9.387326751							0	0	0	-837.2649342	0.0007709915409	-109381.017047352	
