T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
914.2913165	94	5	1	0	0	99.40138411	0.4956759641	0.102939921	94	5	1							0.003039037159	-0.002534315588	-0.0005047215704	-914.2913165	0	8.8302912737968	
914.2813165	94	5	1	0.0005777680024	0.0005625417435	99.40106788	0.4959384222	0.1029936979	93.99696077	5.002534474	1.000504754							0	0	0	-914.2813165	0.0005625417435	26.7226258760428	
914.2613165	94	5	1	0.001731234982	0.001123621666	99.40043531	0.4964634204	0.1031012668	93.99088325	5.00760265	1.001514103							0	0	0	-914.2613165	0.001123621666	35.6771481657313	
914.2213165	94	5	1	0.004031024933	0.002242810028	99.39917015	0.4975134448	0.1033164046	93.97872928	5.017738108	1.003532612							0	0	0	-914.2213165	0.002242810028	35.8126577882925	
914.1413165	94	5	1	0.008601937417	0.004467706522	99.39663951	0.4996137782	0.103746715	93.95442719	5.038004194	1.007568618							0	0	0	-914.1413165	0.004467706522	-3763.83891741989	
914.0613165	94	5	1	0.01313008275	0.004446242583	99.39410845	0.5017144803	0.1041770702	93.93013303	5.058263716	1.011603254							0	0	0	-914.0613165	0.004446242583	-3973.50471301232	
913.9813165	94	5	1	0.01761869321	0.004427160841	99.39157698	0.5038155522	0.1046074713	93.90584682	5.078516653	1.015636525							0	0	0	-913.9813165	0.004427160841	-4210.53442016728	
913.9013165	94	5	1	0.02206827992	0.004408241272	99.38904508	0.5059169994	0.1050379197	93.88156854	5.098763025	1.019668436							0	0	0	-913.9013165	0.004408241272	-4245.62283576013	
913.8213165	94	5	1	0.02647933749	0.004389473742	99.38651276	0.5080188234	0.1054684158	93.8572982	5.119002817	1.023698984							0	0	0	-913.8213165	0.004389473742	-4279.94008841998	
913.7413165	94	5	1	0.03085235227	0.004370856365	99.38398001	0.5101210257	0.1058989599	93.83303582	5.139236013	1.027728166							0	0	0	-913.7413165	0.004370856365	-4314.38839609286	
913.6613165	94	5	1	0.03518780252	0.004352387345	99.38144684	0.5122236078	0.1063295525	93.80878142	5.159462596	1.031755979							0	0	0	-913.6613165	0.004352387345	-4348.9723987542	
913.5813165	94	5	1	0.03948615863	0.004334064897	99.37891323	0.5143265711	0.1067601939	93.78453503	5.179682551	1.035782421							0	0	0	-913.5813165	0.004334064897	-4383.69053344158	
913.5013165	94	5	1	0.04374788322	0.004315887269	99.3763792	0.5164299172	0.1071908846	93.76029665	5.199895861	1.039807488							0	0	0	-913.5013165	0.004315887269	-4418.54292755894	
913.4213165	94	5	1	0.04797343133	0.004297852734	99.37384473	0.5185336476	0.1076216251	93.73606631	5.22010251	1.043831177							0	0	0	-913.4213165	0.004297852734	-4453.52913471101	
913.3413165	94	5	1	0.05216325057	0.004279959592	99.37130982	0.5206377638	0.1080524155	93.71184403	5.240302483	1.047853487							0	0	0	-913.3413165	0.004279959592	-4488.64932450351	
