T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
892.8113714	93	1	6	0	0	99.08350187	0.2282221295	0.6882759985	93	1	6							0.00165975416	-0.0002105626927	-0.001449191467	-892.8113714	0	36.6372894928644	
892.7913714	93	1	6	0.000546211573	0.0005455354619	99.08309723	0.2282768873	0.6886258864	92.9966805	1.000421137	6.00289836							0	0	0	-892.7913714	0.0005455354619	36.6851666874377	
892.7713714	93	1	6	0.001091711139	0.001090359882	99.08269261	0.2283316076	0.6889757819	92.99336117	1.000842234	6.005796597							0	0	0	-892.7713714	0.001090359882	36.7227673226147	
892.7313714	93	1	6	0.002181491392	0.002178791607	99.08188344	0.22844096	0.6896755987	92.98672284	1.001684415	6.011592747							0	0	0	-892.7313714	0.002178791607	36.782711533103	
892.6513714	93	1	6	0.004355278246	0.004349889565	99.08026538	0.2286592882	0.691075333	92.97344768	1.003368618	6.023183705							0	0	0	-892.6513714	0.004349889565	36.9336158311806	
892.5713714	93	1	6	0.006518998865	0.006510935087	99.07864772	0.2288770544	0.6924752299	92.96017463	1.00505235	6.034773021							0	0	0	-892.5713714	0.006510935087	37.0927623884038	
892.4913714	93	1	6	0.008674160342	0.008663433397	99.07703043	0.2290942966	0.6938752712	92.94690363	1.006735772	6.046360597							0	0	0	-892.4913714	0.008663433397	37.239922095713	
892.4113714	93	1	6	0.01082081137	0.01080743312	99.07541353	0.2293110161	0.6952754575	92.93363468	1.008418886	6.057946435							0	0	0	-892.4113714	0.01080743312	37.3873910211961	
892.3313714	93	1	6	0.01295900215	0.01294298441	99.073797	0.2295272144	0.6966757885	92.92036777	1.010101697	6.069530531							0	0	0	-892.3313714	0.01294298441	37.5351528902233	
892.2513714	93	1	6	0.01508878251	0.01507013701	99.07218084	0.2297428928	0.6980762643	92.90710291	1.011784206	6.081112885							0	0	0	-892.2513714	0.01507013701	37.6832076266571	
892.1713714	93	1	6	0.01721020189	0.0171889403	99.07056506	0.2299580526	0.6994768846	92.89384009	1.013466418	6.092693494							0	0	0	-892.1713714	0.0171889403	37.8315552178588	
892.0913714	93	1	6	0.01932330932	0.01929944325	99.06894966	0.2301726951	0.7008776492	92.88057931	1.015148336	6.104272354							0	0	0	-892.0913714	0.01929944325	37.9801955939269	
892.0113714	93	1	6	0.02142815349	0.02140169448	99.06733462	0.2303868217	0.7022785582	92.86732057	1.016829962	6.115849464							0	0	0	-892.0113714	0.02140169448	38.129128759231	
891.9313714	93	1	6	0.02352478267	0.0234957422	99.06571996	0.2306004336	0.7036796114	92.85406388	1.018511301	6.127424822							0	0	0	-891.9313714	0.0234957422	38.2783545925149	
891.8513714	93	1	6	0.0256132448	0.02558163429	99.06410566	0.2308135323	0.7050808085	92.84080922	1.020192354	6.138998425							0	0	0	-891.8513714	0.02558163429	38.4278731404583	
891.7713714	93	1	6	0.02769358742	0.02765941821	99.06249173	0.231026119	0.7064821496	92.8275566	1.021873125	6.150570271							0	0	0	-891.7713714	0.02765941821	38.5776843178697	
891.6913714	93	1	6	0.02976585771	0.02972914111	99.06087817	0.231238195	0.7078836345	92.81430603	1.023553617	6.162140358							0	0	0	-891.6913714	0.02972914111	38.7277880251534	
891.6113714	93	1	6	0.0318301025	0.03179084973	99.05926498	0.2314497616	0.709285263	92.80105748	1.025233833	6.173708682							0	0	0	-891.6113714	0.03179084973	38.8781843067067	
891.5313714	93	1	6	0.03388636825	0.03384459049	99.05765214	0.2316608202	0.7106870351	92.78781098	1.026913777	6.185275243							0	0	0	-891.5313714	0.03384459049	39.0288731920302	
891.4513714	93	1	6	0.03593470107	0.03589040941	99.05603968	0.231871372	0.7120889506	92.77456651	1.028593451	6.196840038							0	0	0	-891.4513714	0.03589040941	39.1798545722411	
891.3713714	93	1	6	0.03797514671	0.03792835221	99.05442757	0.2320814184	0.7134910094	92.76132408	1.030272859	6.208403064							0	0	0	-891.3713714	0.03792835221	39.3311282211439	
891.2913714	93	1	6	0.04000775059	0.03995846423	99.05281583	0.2322909605	0.7148932114	92.74808368	1.031952003	6.219964319							0	0	0	-891.2913714	0.03995846423	39.4826943517587	
891.2113714	93	1	6	0.04203255775	0.04198079047	99.05120444	0.2324999997	0.7162955564	92.73484531	1.033630887	6.231523802							0	0	0	-891.2113714	0.04198079047	39.6345527604088	
891.1313714	93	1	6	0.04404961293	0.0439953756	99.04959342	0.2327085374	0.7176980443	92.72160898	1.035309514	6.243081509							0	0	0	-891.1313714	0.0439953756	39.7867036030271	
891.0513714	93	1	6	0.0460589605	0.04600226392	99.04798275	0.2329165746	0.719100675	92.70837467	1.036987886	6.254637439							0	0	0	-891.0513714	0.04600226392	39.9391466972401	
890.9713714	93	1	6	0.04806064451	0.04800149944	99.04637244	0.2331241128	0.7205034484	92.6951424	1.038666008	6.26619159							0	0	0	-890.9713714	0.04800149944	40.0918818307057	
890.8913714	93	1	6	0.05005470867	0.04999312581	99.04476248	0.2333311532	0.7219063644	92.68191216	1.040343881	6.27774396							0	0	0	-890.8913714	0.04999312581	40.2449092463895	
890.8113714	93	1	6	0.05204119636	0.05197718635	99.04315288	0.2335376971	0.7233094228	92.66868395	1.042021509	6.289294545							0	0	0	-890.8113714	0.05197718635	40.3982289552362	
890.7313714	93	1	6	0.05402015065	0.05395372405	99.04154363	0.2337437456	0.7247126235	92.65545776	1.043698895	6.300843345							0	0	0	-890.7313714	0.05395372405	40.5518406181639	
890.6513714	93	1	6	0.05599161425	0.05592278161	99.03993473	0.2339493002	0.7261159664	92.6422336	1.045376042	6.312390357							0	0	0	-890.6513714	0.05592278161	40.7057441646478	
890.5713714	93	1	6	0.0579556296	0.05788440138	99.03832619	0.2341543619	0.7275194513	92.62901147	1.047052953	6.323935579							0	0	0	-890.5713714	0.05788440138	40.8599398914322	
890.4913714	93	1	6	0.05991223878	0.05983862539	99.03671799	0.2343589321	0.7289230782	92.61579136	1.048729631	6.335479009							0	0	0	-890.4913714	0.05983862539	41.0144275368884	
890.4113714	93	1	6	0.06186148357	0.06178549538	99.03511014	0.2345630121	0.7303268469	92.60257328	1.050406079	6.347020645							0	0	0	-890.4113714	0.06178549538	41.1692070060752	
890.3313714	93	1	6	0.06380340545	0.06372505276	99.03350264	0.234766603	0.7317307573	92.58935722	1.0520823	6.358560484							0	0	0	-890.3313714	0.06372505276	41.3242784726128	
890.2513714	93	1	6	0.06573804558	0.06565733863	99.03189548	0.2349697061	0.7331348093	92.57614318	1.053758297	6.370098525							0	0	0	-890.2513714	0.06565733863	41.4796417481208	
890.1713714	93	1	6	0.06766544481	0.0675823938	99.03028867	0.2351723226	0.7345390027	92.56293116	1.055434073	6.381634766							0	0	0	-890.1713714	0.0675823938	41.6352965949723	
890.0913714	93	1	6	0.0695856437	0.06950025878	99.02868221	0.2353744538	0.7359433375	92.54972116	1.057109631	6.393169205							0	0	0	-890.0913714	0.06950025878	41.7912432688291	
890.0113714	93	1	6	0.0714986825	0.07141097375	99.02707609	0.2355761008	0.7373478135	92.53651319	1.058784973	6.404701839							0	0	0	-890.0113714	0.07141097375	41.9474816471976	
889.9313714	93	1	6	0.07340460116	0.07331457863	99.0254703	0.235777265	0.7387524306	92.52330723	1.060460104	6.416232667							0	0	0	-889.9313714	0.07331457863	42.1040116771977	
889.8513714	93	1	6	0.07530343936	0.07521111301	99.02386486	0.2359779475	0.7401571887	92.51010329	1.062135026	6.427761687							0	0	0	-889.8513714	0.07521111301	42.2608332417786	
889.7713714	93	1	6	0.07719523646	0.07710061623	99.02225976	0.2361781495	0.7415620876	92.49690136	1.063809741	6.439288897							0	0	0	-889.7713714	0.07710061623	42.417946182079	
889.6913714	93	1	6	0.07908003153	0.07898312731	99.020655	0.2363778722	0.7429671273	92.48370145	1.065484253	6.450814295							0	0	0	-889.6913714	0.07898312731	42.5753507262128	
889.6113714	93	1	6	0.08095786338	0.08085868499	99.01905058	0.2365771169	0.7443723076	92.47050356	1.067158565	6.462337878							0	0	0	-889.6113714	0.08085868499	42.7330466020397	
889.5313714	93	1	6	0.08282877051	0.08272732774	99.01744649	0.2367758847	0.7457776284	92.45730768	1.068832679	6.473859645							0	0	0	-889.5313714	0.08272732774	42.8910339392941	
889.4513714	93	1	6	0.08469279115	0.08458909372	99.01584273	0.2369741768	0.7471830895	92.44411381	1.070506599	6.485379595							0	0	0	-889.4513714	0.08458909372	43.049312691834	
889.3713714	93	1	6	0.08654996326	0.08644402084	99.01423931	0.2371719945	0.7485886909	92.43092195	1.072180328	6.496897725							0	0	0	-889.3713714	0.08644402084	43.2078825303815	
889.2913714	93	1	6	0.08840032451	0.08829214673	99.01263623	0.2373693389	0.7499944325	92.4177321	1.073853868	6.508414033							0	0	0	-889.2913714	0.08829214673	43.3667436444219	
889.2113714	93	1	6	0.09024391229	0.09013350873	99.01103347	0.2375662112	0.7514003141	92.40454426	1.075527222	6.519928517							0	0	0	-889.2113714	0.09013350873	43.5258959294041	
889.1313714	93	1	6	0.09208076374	0.09196814393	99.00943105	0.2377626127	0.7528063356	92.39135843	1.077200394	6.531441176							0	0	0	-889.1313714	0.09196814393	43.685339344636	
889.0513714	93	1	6	0.09391091571	0.09379608913	99.00782896	0.2379585444	0.7542124968	92.37817461	1.078873385	6.542952008							0	0	0	-889.0513714	0.09379608913	43.8450739006675	
888.9713714	93	1	6	0.09573440481	0.09561738088	99.00622719	0.2381540075	0.7556187978	92.36499279	1.0805462	6.554461011							0	0	0	-888.9713714	0.09561738088	44.0050993089715	
888.8913714	93	1	6	0.09755126735	0.09743205547	99.00462576	0.2383490032	0.7570252383	92.35181298	1.08221884	6.565968183							0	0	0	-888.8913714	0.09743205547	44.1654158213382	
888.8113714	93	1	6	0.09936153941	0.0992401489	99.00302465	0.2385435328	0.7584318182	92.33863517	1.08389131	6.577473522							0	0	0	-888.8113714	0.0992401489	44.3260226372509	
888.7313714	93	1	6	0.1011652568	0.101041697	99.00142387	0.2387375973	0.7598385374	92.32545936	1.085563611	6.588977026							0	0	0	-888.7313714	0.101041697	44.4869216294744	
888.6513714	93	1	6	0.1029624551	0.1028367351	98.99982341	0.2389311979	0.7612453958	92.31228556	1.087235746	6.600478695							0	0	0	-888.6513714	0.1028367351	44.6481104577945	
888.5713714	93	1	6	0.1047531695	0.1046252987	98.99822327	0.2391243357	0.7626523933	92.29911376	1.088907719	6.611978525							0	0	0	-888.5713714	0.1046252987	44.8095894216422	
