T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
918.287355	97	3	0	0	0	99.03883934	0.9611606575	0	97	3	0				0.001971797478	-0.001971797478		-918.287355	0	10.3426025335862	
918.267355	97	3	0	0.001927423425	0.001931744446	99.03758891	0.9624110912	0	96.99605637	3.003943626	0				0	0		-918.267355	0.001931744446	10.3640701751241	
918.247355	97	3	0	0.003850868031	0.003859495831	99.03633851	0.963661486	0	96.99211281	3.007887189	0				0	0		-918.247355	0.003859495831	10.387396215639	
918.207355	97	3	0	0.007683825841	0.007701020064	99.03383782	0.966162178	0	96.98422583	3.015774172	0				0	0		-918.207355	0.007701020064	10.4458949382283	
918.127355	97	3	0	0.01527727782	0.01531137996	99.02883687	0.971163132	0	96.96845255	3.031547448	0				0	0		-918.127355	0.01531137996	10.5643539651551	
918.047355	97	3	0	0.02279626735	0.02284702777	99.02383646	0.9761635441	0	96.95268011	3.047319886	0				0	0		-918.047355	0.02284702777	10.6722987341923	
917.967355	97	3	0	0.03023712152	0.03030428378	99.01883659	0.9811634086	0	96.93690854	3.063091456	0				0	0		-917.967355	0.03030428378	10.784194485007	
917.887355	97	3	0	0.03760104677	0.0376843584	99.01383727	0.9861627272	0	96.92113785	3.078862151	0				0	0		-917.887355	0.0376843584	10.8966832692593	
917.807355	97	3	0	0.04488922499	0.04498843741	99.0088385	0.9911615017	0	96.90536804	3.094631963	0				0	0		-917.807355	0.04498843741	11.0097651056407	
917.727355	97	3	0	0.05210281404	0.0522176825	99.00384027	0.9961597338	0	96.88959911	3.110400885	0				0	0		-917.727355	0.0522176825	11.1234401097626	
917.647355	97	3	0	0.05924294834	0.05937323183	98.99884257	1.001157425	0	96.87383109	3.12616891	0				0	0		-917.647355	0.05937323183	11.2377083792433	
917.567355	97	3	0	0.06631073951	0.06645620069	98.99384542	1.006154577	0	96.85806397	3.141936029	0				0	0		-917.567355	0.06645620069	11.3525699991045	
917.487355	97	3	0	0.0733072769	0.07346768202	98.98884881	1.011151192	0	96.84229776	3.157702236	0				0	0		-917.487355	0.07346768202	11.4680250826887	
917.407355	97	3	0	0.08023362815	0.08040874698	98.98385273	1.016147271	0	96.82653248	3.173467524	0				0	0		-917.407355	0.08040874698	11.5840737226333	
917.327355	97	3	0	0.08709083975	0.0872804455	98.97885718	1.021142817	0	96.81076812	3.189231883	0				0	0		-917.327355	0.0872804455	11.7007159952705	
917.247355	97	3	0	0.09387993752	0.09408380681	98.97386217	1.02613783	0	96.79500469	3.204995308	0				0	0		-917.247355	0.09408380681	11.8179520111666	
917.167355	97	3	0	0.1006019272	0.1008198399	98.96886769	1.031132312	0	96.77924221	3.220757791	0				0	0		-917.167355	0.1008198399	11.9357818440147	
917.087355	97	3	0	0.1072577947	0.1074895341	98.96387373	1.036126265	0	96.76348068	3.236519324	0				0	0		-917.087355	0.1074895341	12.0542055417635	
917.007355	97	3	0	0.1138485071	0.1140938595	98.95888031	1.041119692	0	96.7477201	3.252279899	0				0	0		-917.007355	0.1140938595	12.1732233094562	
916.927355	97	3	0	0.1203750125	0.1206337673	98.95388741	1.046112592	0	96.73196049	3.268039511	0				0	0		-916.927355	0.1206337673	12.2928350441984	
916.847355	97	3	0	0.1268382407	0.1271101907	98.94889503	1.051104969	0	96.71620185	3.28379815	0				0	0		-916.847355	0.1271101907	12.4130410357443	
