T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
868.4738353	87	6	7	0	0	98.15109163	1.238602339	0.6103060309	87	6	7							0.002155538041	-0.0009203896686	-0.001235148372	-868.4738353	0	51.6961934753554	
868.4538353	87	6	7	0.0003855722173	0.0003866246197	98.15073932	1.238775178	0.610485506	86.99568879	6.001840896	7.002470319							0	0	0	-868.4538353	0.0003866246197	51.7633327984796	
868.4338353	87	6	7	0.0007706450697	0.0007727484194	98.15038713	1.238947888	0.61066498	86.9913775	6.00368171	7.004940791							0	0	0	-868.4338353	0.0007727484194	51.8060480688376	
868.3938353	87	6	7	0.001540381528	0.001544585378	98.14968303	1.239293074	0.6110238912	86.98275415	6.007363769	7.009882081							0	0	0	-868.3938353	0.001544585378	51.855043706073	
868.3138353	87	6	7	0.003077134187	0.003085530509	98.14827604	1.23998236	0.6117416007	86.9655049	6.014728938	7.01976616							0	0	0	-868.3138353	0.003085530509	51.9962415015698	
868.2338353	87	6	7	0.00460917094	0.00462174541	98.14687074	1.240670029	0.6124592263	86.9482525	6.022094848	7.029652653							0	0	0	-868.2338353	0.00462174541	52.144957349653	
868.1538353	87	6	7	0.006137170603	0.006153910761	98.14546709	1.241356185	0.6131767268	86.9309968	6.029461899	7.0395413							0	0	0	-868.1538353	0.006153910761	52.2827070718585	
868.0738353	87	6	7	0.007661147913	0.007682041351	98.14406507	1.242040829	0.6138941026	86.9137378	6.036830096	7.049432102							0	0	0	-868.0738353	0.007682041351	52.4206717544091	
867.9938353	87	6	7	0.009181117996	0.00920615236	98.14266468	1.242723963	0.6146113534	86.8964755	6.044199445	7.059325056							0	0	0	-867.9938353	0.00920615236	52.5588434937551	
867.9138353	87	6	7	0.01069709591	0.0107262589	98.14126593	1.243405589	0.615328479	86.87920989	6.051569949	7.069220159							0	0	0	-867.9138353	0.0107262589	52.6972222435409	
867.8338353	87	6	7	0.01220909664	0.01224237601	98.13986881	1.244085708	0.6160454791	86.86194098	6.058941613	7.07911741							0	0	0	-867.8338353	0.01224237601	52.8358079871586	
867.7538353	87	6	7	0.01371713509	0.01375451866	98.13847332	1.244764324	0.6167623535	86.84466875	6.066314441	7.089016805							0	0	0	-867.7538353	0.01375451866	52.9746010218823	
867.6738353	87	6	7	0.01522122611	0.01526270173	98.13707946	1.245441437	0.6174791021	86.82739322	6.073688437	7.098918341							0	0	0	-867.6738353	0.01526270173	53.1136015015854	
867.5938353	87	6	7	0.01672138446	0.01676694004	98.13568723	1.246117049	0.6181957245	86.81011438	6.081063606	7.108822016							0	0	0	-867.5938353	0.01676694004	53.2528090684636	
867.5138353	87	6	7	0.01821762483	0.01826724835	98.13429662	1.246791162	0.6189122207	86.79283222	6.088439951	7.118727827							0	0	0	-867.5138353	0.01826724835	53.3922240872181	
867.4338353	87	6	7	0.01970996184	0.01976364132	98.13290763	1.247463778	0.6196285903	86.77554675	6.095817477	7.128635771							0	0	0	-867.4338353	0.01976364132	53.5318469365463	
867.3538353	87	6	7	0.02119841005	0.02125613355	98.13152027	1.248134899	0.6203448332	86.75825797	6.103196188	7.138545846							0	0	0	-867.3538353	0.02125613355	53.6716771194637	
867.2738353	87	6	7	0.02268298393	0.02274473959	98.13013452	1.248804527	0.6210609491	86.74096586	6.110576088	7.148458049							0	0	0	-867.2738353	0.02274473959	53.8117150536011	
867.1938353	87	6	7	0.0241636979	0.02422947388	98.1287504	1.249472663	0.6217769379	86.72367044	6.117957182	7.158372377							0	0	0	-867.1938353	0.02422947388	53.951960985014	
867.1138353	87	6	7	0.02564056629	0.02571035082	98.12736789	1.250139309	0.6224927993	86.7063717	6.125339473	7.168288828							0	0	0	-867.1138353	0.02571035082	54.0924144564421	
867.0338353	87	6	7	0.02711360338	0.02718738474	98.125987	1.250804468	0.6232085331	86.68906964	6.132722967	7.178207398							0	0	0	-867.0338353	0.02718738474	54.2330761175136	
866.9538353	87	6	7	0.02858282336	0.02866058987	98.12460772	1.25146814	0.6239241391	86.67176425	6.140107666	7.188128086							0	0	0	-866.9538353	0.02866058987	54.3739458965352	
866.8738353	87	6	7	0.03004824036	0.03012998041	98.12323005	1.252130328	0.624639617	86.65445554	6.147493576	7.198050889							0	0	0	-866.8738353	0.03012998041	54.5150233738099	
866.7938353	87	6	7	0.03150986846	0.03159557048	98.121854	1.252791033	0.6253549667	86.6371435	6.1548807	7.207975804							0	0	0	-866.7938353	0.03159557048	54.6563092506938	
866.7138353	87	6	7	0.03296772164	0.03305737411	98.12047955	1.253450258	0.6260701879	86.61982813	6.162269043	7.217902828							0	0	0	-866.7138353	0.03305737411	54.797803689034	
866.6338353	87	6	7	0.03442181384	0.03451540528	98.11910672	1.254108004	0.6267852805	86.60250943	6.169658608	7.227831958							0	0	0	-866.6338353	0.03451540528	54.9395064959204	
866.5538353	87	6	7	0.03587215891	0.0359696779	98.11773548	1.254764273	0.6275002441	86.58518741	6.177049401	7.237763193							0	0	0	-866.5538353	0.0359696779	55.0814174838171	
866.4738353	87	6	7	0.03731877066	0.03742020583	98.11636585	1.255419066	0.6282150786	86.56786205	6.184441425	7.247696529							0	0	0	-866.4738353	0.03742020583	55.2235370536685	
866.3938353	87	6	7	0.0387616628	0.03886700283	98.11499783	1.256072387	0.6289297838	86.55053335	6.191834685	7.257631964							0	0	0	-866.3938353	0.03886700283	55.3658652329679	
866.3138353	87	6	7	0.04020084901	0.04031008263	98.11363141	1.256724235	0.6296443595	86.53320132	6.199229184	7.267569495							0	0	0	-866.3138353	0.04031008263	55.5084022706347	
866.2338353	87	6	7	0.04163634288	0.04174945885	98.11226658	1.257374614	0.6303588053	86.51586595	6.206624927	7.27750912							0	0	0	-866.2338353	0.04174945885	55.6511482236094	
866.1538353	87	6	7	0.04306815794	0.04318514509	98.11090335	1.258023524	0.6310731212	86.49852725	6.214021918	7.287450836							0	0	0	-866.1538353	0.04318514509	55.7941027900179	
866.0738353	87	6	7	0.04449630766	0.04461715486	98.10954172	1.258670969	0.6317873069	86.4811852	6.221420161	7.29739464							0	0	0	-866.0738353	0.04461715486	55.9372662509274	
865.9938353	87	6	7	0.04592080544	0.04604550162	98.10818169	1.259316948	0.6325013621	86.46383981	6.22881966	7.30734053							0	0	0	-865.9938353	0.04604550162	56.0806389144361	
865.9138353	87	6	7	0.04734166463	0.04747019874	98.10682325	1.259961466	0.6332152867	86.44649108	6.23622042	7.317288503							0	0	0	-865.9138353	0.04747019874	56.2242209014166	
865.8338353	87	6	7	0.04875889849	0.04889125955	98.1054664	1.260604522	0.6339290805	86.429139	6.243622444	7.327238557							0	0	0	-865.8338353	0.04889125955	56.3680119596077	
865.7538353	87	6	7	0.05017252024	0.05030869731	98.10411114	1.26124612	0.6346427432	86.41178357	6.251025738	7.337190689							0	0	0	-865.7538353	0.05030869731	56.5120122397311	
865.6738353	87	6	7	0.05158254304	0.05172252522	98.10275747	1.26188626	0.6353562745	86.3944248	6.258430304	7.347144897							0	0	0	-865.6738353	0.05172252522	56.6562219107082	
865.5938353	87	6	7	0.05298897996	0.05313275641	98.10140538	1.262524944	0.6360696744	86.37706268	6.265836148	7.357101177							0	0	0	-865.5938353	0.05313275641	56.8006411562469	
865.5138353	87	6	7	0.05439184403	0.05453940395	98.10005488	1.263162175	0.6367829425	86.3596972	6.273243273	7.367059528							0	0	0	-865.5138353	0.05453940395	56.9452699751075	
865.4338353	87	6	7	0.05579114822	0.05594248085	98.09870597	1.263797954	0.6374960787	86.34232837	6.280651683	7.377019946							0	0	0	-865.4338353	0.05594248085	57.0901081743907	
865.3538353	87	6	7	0.05718690543	0.05734200007	98.09735863	1.264432283	0.6382090827	86.32495619	6.288061383	7.38698243							0	0	0	-865.3538353	0.05734200007	57.2351561897884	
865.2738353	87	6	7	0.0585791285	0.05873797448	98.09601288	1.265065164	0.6389219543	86.30758065	6.295472377	7.396946976							0	0	0	-865.2738353	0.05873797448	57.380414263583	
865.1938353	87	6	7	0.05996783021	0.06013041691	98.09466871	1.265696598	0.6396346933	86.29020175	6.302884669	7.406913583							0	0	0	-865.1938353	0.06013041691	57.5258818352044	
865.1138353	87	6	7	0.06135302328	0.06151934014	98.09332611	1.266326587	0.6403472994	86.27281949	6.310298263	7.416882247							0	0	0	-865.1138353	0.06151934014	57.6715595969768	
865.0338353	87	6	7	0.06273472037	0.06290475685	98.09198509	1.266955133	0.6410597725	86.25543387	6.317713163	7.426852967							0	0	0	-865.0338353	0.06290475685	57.8174474176463	
864.9538353	87	6	7	0.06411293408	0.06428667971	98.09064565	1.267582239	0.6417721124	86.23804489	6.325129373	7.436825739							0	0	0	-864.9538353	0.06428667971	57.9635451955482	
864.8738353	87	6	7	0.06548767696	0.06566512129	98.08930778	1.268207904	0.6424843187	86.22065254	6.332546898	7.446800561							0	0	0	-864.8738353	0.06566512129	58.1098532447785	
864.7938353	87	6	7	0.06685896148	0.06704009413	98.08797148	1.268832132	0.6431963913	86.20325683	6.339965742	7.456777431							0	0	0	-864.7938353	0.06704009413	58.2563717003645	
864.7138353	87	6	7	0.06822680007	0.06841161068	98.08663675	1.269454925	0.64390833	86.18585775	6.347385909	7.466756346							0	0	0	-864.7138353	0.06841161068	58.4031004860059	
864.6338353	87	6	7	0.06959120509	0.06977968337	98.08530358	1.270076283	0.6446201345	86.16845529	6.354807402	7.476737304							0	0	0	-864.6338353	0.06977968337	58.5500397669803	
