T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
890.1359859	93	7	0	0	99.13760492	0.8623950789	93	7			0.001499434206	-0.001499434206	-890.1359859	0	20.314429334675	
890.1259859	93	7	0.0002450727624	0.0002444710439	99.13739865	0.8626013538	92.99850022	7.001499784			0	0	-890.1259859	0.0002444710439	61.4948503285751	
890.1059859	93	7	0.0007344188518	0.0004882850955	99.13698608	0.8630139151	92.99550185	7.00449815			0	0	-890.1059859	0.0004882850955	82.0405604001914	
890.0659859	93	7	0.001711866032	0.0009757201211	99.13616091	0.8638390877	92.98950503	7.010494969			0	0	-890.0659859	0.0009757201211	82.1364191429709	
889.9859859	93	7	0.003661379072	0.00194795766	99.13451037	0.8654896275	92.97751384	7.022486158			0	0	-889.9859859	0.00194795766	-19218.3269051585	
889.9059859	93	7	0.005602737327	0.001943776912	99.1328596	0.8671403955	92.96552592	7.034474077			0	0	-889.9059859	0.001943776912	-20198.9994356501	
889.8259859	93	7	0.007536552298	0.001939996346	99.13120858	0.8687914163	92.95354127	7.046458727			0	0	-889.8259859	0.001939996346	-21201.3616198786	
889.7459859	93	7	0.009462867537	0.001936230172	99.12955731	0.8704426904	92.94155989	7.058440112			0	0	-889.7459859	0.001936230172	-21281.0334551782	
889.6659859	93	7	0.01138172587	0.001932477863	99.12790578	0.8720942179	92.92958177	7.070418234			0	0	-889.6659859	0.001932477863	-21359.5935513052	
889.5859859	93	7	0.01329316982	0.001928739342	99.126254	0.8737459991	92.91760691	7.082393094			0	0	-889.5859859	0.001928739342	-21438.3021186875	
889.5059859	93	7	0.01519724157	0.001925014535	99.12460197	0.8753980342	92.90563531	7.094364693			0	0	-889.5059859	0.001925014535	-21517.1617126144	
889.4259859	93	7	0.017093983	0.001921303367	99.12294968	0.8770503234	92.89366697	7.106333033			0	0	-889.4259859	0.001921303367	-21596.1692904917	
889.3459859	93	7	0.01898343566	0.001917605764	99.12129713	0.8787028668	92.88170189	7.118298115			0	0	-889.3459859	0.001917605764	-21675.327576957	
889.2659859	93	7	0.02086564082	0.001913921653	99.11964434	0.8803556646	92.86974006	7.13025994			0	0	-889.2659859	0.001913921653	-21754.6334458744	
889.1859859	93	7	0.02274063941	0.00191025096	99.11799128	0.8820087171	92.85778149	7.14221851			0	0	-889.1859859	0.00191025096	-21834.0867950265	
889.1059859	93	7	0.02460847207	0.001906593613	99.11633798	0.8836620244	92.84582617	7.154173825			0	0	-889.1059859	0.001906593613	-21913.6964854497	
889.0259859	93	7	0.02646917915	0.001902949542	99.11468441	0.8853155868	92.83387411	7.166125888			0	0	-889.0259859	0.001902949542	-21993.4533939181	
888.9459859	93	7	0.02832280068	0.001899318673	99.1130306	0.8869694043	92.8219253	7.1780747			0	0	-888.9459859	0.001899318673	-22073.3545564089	
888.8659859	93	7	0.0301693764	0.001895700936	99.11137652	0.8886234772	92.80997974	7.190020262			0	0	-888.8659859	0.001895700936	-22153.4120423225	
888.7859859	93	7	0.03200894577	0.001892096262	99.10972219	0.8902778058	92.79803742	7.201962575			0	0	-888.7859859	0.001892096262	-22233.6197632892	
888.7059859	93	7	0.03384154793	0.00188850458	99.10806761	0.8919323901	92.78609836	7.213901641			0	0	-888.7059859	0.00188850458	-22313.9747483673	
888.6259859	93	7	0.03566722177	0.001884925821	99.10641277	0.8935872304	92.77416254	7.225837461			0	0	-888.6259859	0.001884925821	-22394.4769434227	
