T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI				
933.4708328	100	0	0	100	100	0	-933.4708328	0	0.0200000000000955	
933.4508328	100	1	1	100			-933.4508328	1	0.0200000000000955	
933.4308328	100	1	1	100			-933.4308328	1	NaN	
933.3908328	100	1	1	100			-933.3908328	1	NaN	
933.3108328	100	1	1	100			-933.3108328	1	NaN	
933.1508328	100	1	1	100			-933.1508328	1	NaN	
932.9908328	100	1	1	100			-932.9908328	1	NaN	
932.8308328	100	1	1	100			-932.8308328	1	NaN	
932.6708328	100	1	1	100			-932.6708328	1	NaN	
932.5108328	100	1	1	100			-932.5108328	1	NaN	
932.3508328	100	1	1	100			-932.3508328	1	NaN	
932.1908328	100	1	1	100			-932.1908328	1	NaN	
932.0308328	100	1	1	100			-932.0308328	1	NaN	
931.8708328	100	1	1	100			-931.8708328	1	NaN	
931.7108328	100	1	1	100			-931.7108328	1	NaN	
931.5508328	100	1	1	100			-931.5508328	1	NaN	
931.3908328	100	1	1	100			-931.3908328	1	NaN	
931.2308328	100	1	1	100			-931.2308328	1	NaN	
931.0708328	100	1	1	100			-931.0708328	1	NaN	
930.9108328	100	1	1	100			-930.9108328	1	NaN	
930.7508328	100	1	1	100			-930.7508328	1	NaN	
930.5908328	100	1	1	100			-930.5908328	1	NaN	
930.4308328	100	1	1	100			-930.4308328	1	NaN	
930.2708328	100	1	1	100			-930.2708328	1	NaN	
930.1108328	100	1	1	100			-930.1108328	1	NaN	
929.9508328	100	1	1	100			-929.9508328	1	NaN	
929.7908328	100	1	1	100			-929.7908328	1	NaN	
929.6308328	100	1	1	100			-929.6308328	1	NaN	
929.4708328	100	1	1	100			-929.4708328	1	NaN	
929.3108328	100	1	1	100			-929.3108328	1	NaN	
929.1508328	100	1	1	100			-929.1508328	1	NaN	
928.9908328	100	1	1	100			-928.9908328	1	NaN	
928.8308328	100	1	1	100			-928.8308328	1	NaN	
928.6708328	100	1	1	100			-928.6708328	1	NaN	
928.5108328	100	1	1	100			-928.5108328	1	NaN	
928.3508328	100	1	1	100			-928.3508328	1	NaN	
928.1908328	100	1	1	100			-928.1908328	1	NaN	
928.0308328	100	1	1	100			-928.0308328	1	NaN	
927.8708328	100	1	1	100			-927.8708328	1	NaN	
927.7108328	100	1	1	100			-927.7108328	1	NaN	
927.5508328	100	1	1	100			-927.5508328	1	NaN	
927.3908328	100	1	1	100			-927.3908328	1	NaN	
927.2308328	100	1	1	100			-927.2308328	1	NaN	
927.0708328	100	1	1	100			-927.0708328	1	NaN	
926.9108328	100	1	1	100			-926.9108328	1	NaN	
926.7508328	100	1	1	100			-926.7508328	1	NaN	
926.5908328	100	1	1	100			-926.5908328	1	NaN	
926.4308328	100	1	1	100			-926.4308328	1	NaN	
926.2708328	100	1	1	100			-926.2708328	1	NaN	
926.1108328	100	1	1	100			-926.1108328	1	NaN	
925.9508328	100	1	1	100			-925.9508328	1	NaN	
925.7908328	100	1	1	100			-925.7908328	1	NaN	
925.6308328	100	1	1	100			-925.6308328	1	NaN	
925.4708328	100	1	1	100			-925.4708328	1	NaN	
925.3108328	100	1	1	100			-925.3108328	1	NaN	
925.1508328	100	1	1	100			-925.1508328	1	NaN	
924.9908328	100	1	1	100			-924.9908328	1	NaN	
924.8308328	100	1	1	100			-924.8308328	1	NaN	
924.6708328	100	1	1	100			-924.6708328	1	NaN	
924.5108328	100	1	1	100			-924.5108328	1	NaN	
924.3508328	100	1	1	100			-924.3508328	1	NaN	
924.1908328	100	1	1	100			-924.1908328	1	NaN	
924.0308328	100	1	1	100			-924.0308328	1	NaN	
923.8708328	100	1	1	100			-923.8708328	1	NaN	
923.7108328	100	1	1	100			-923.7108328	1	NaN	
923.5508328	100	1	1	100			-923.5508328	1	NaN	
923.3908328	100	1	1	100			-923.3908328	1	NaN	
923.2308328	100	1	1	100			-923.2308328	1	NaN	
923.0708328	100	1	1	100			-923.0708328	1	NaN	
922.9108328	100	1	1	100			-922.9108328	1	NaN	
922.7508328	100	1	1	100			-922.7508328	1	NaN	
922.5908328	100	1	1	100			-922.5908328	1	NaN	
922.4308328	100	1	1	100			-922.4308328	1	NaN	
922.2708328	100	1	1	100			-922.2708328	1	NaN	
922.1108328	100	1	1	100			-922.1108328	1	NaN	
921.9508328	100	1	1	100			-921.9508328	1	NaN	
921.7908328	100	1	1	100			-921.7908328	1	NaN	
921.6308328	100	1	1	100			-921.6308328	1	NaN	
921.4708328	100	1	1	100			-921.4708328	1	NaN	
921.3108328	100	1	1	100			-921.3108328	1	NaN	
921.1508328	100	1	1	100			-921.1508328	1	NaN	
920.9908328	100	1	1	100			-920.9908328	1	NaN	
920.8308328	100	1	1	100			-920.8308328	1	NaN	
920.6708328	100	1	1	100			-920.6708328	1	NaN	
920.5108328	100	1	1	100			-920.5108328	1	NaN	
920.3508328	100	1	1	100			-920.3508328	1	NaN	
920.1908328	100	1	1	100			-920.1908328	1	NaN	
920.0308328	100	1	1	100			-920.0308328	1	NaN	
919.8708328	100	1	1	100			-919.8708328	1	NaN	
919.7108328	100	1	1	100			-919.7108328	1	NaN	
919.5508328	100	1	1	100			-919.5508328	1	NaN	
919.3908328	100	1	1	100			-919.3908328	1	NaN	
919.2308328	100	1	1	100			-919.2308328	1	NaN	
919.0708328	100	1	1	100			-919.0708328	1	NaN	
918.9108328	100	1	1	100			-918.9108328	1	NaN	
918.7508328	100	1	1	100			-918.7508328	1	NaN	
918.5908328	100	1	1	100			-918.5908328	1	NaN	
918.4308328	100	1	1	100			-918.4308328	1	NaN	
918.2708328	100	1	1	100			-918.2708328	1	NaN	
918.1108328	100	1	1	100			-918.1108328	1	NaN	
917.9508328	100	1	1	100			-917.9508328	1	NaN	
917.7908328	100	1	1	100			-917.7908328	1	NaN	
917.6308328	100	1	1	100			-917.6308328	1	NaN	
917.4708328	100	1	1	100			-917.4708328	1	NaN	
917.3108328	100	1	1	100			-917.3108328	1	NaN	
917.1508328	100	1	1	100			-917.1508328	1	NaN	
916.9908328	100	1	1	100			-916.9908328	1	NaN	
916.8308328	100	1	1	100			-916.8308328	1	NaN	
916.6708328	100	1	1	100			-916.6708328	1	NaN	
916.5108328	100	1	1	100			-916.5108328	1	NaN	
916.3508328	100	1	1	100			-916.3508328	1	NaN	
916.1908328	100	1	1	100			-916.1908328	1	NaN	
916.0308328	100	1	1	100			-916.0308328	1	NaN	
915.8708328	100	1	1	100			-915.8708328	1	NaN	
915.7108328	100	1	1	100			-915.7108328	1	NaN	
915.5508328	100	1	1	100			-915.5508328	1	NaN	
915.3908328	100	1	1	100			-915.3908328	1	NaN	
915.2308328	100	1	1	100			-915.2308328	1	NaN	
915.0708328	100	1	1	100			-915.0708328	1	NaN	
914.9108328	100	1	1	100			-914.9108328	1	NaN	
914.7508328	100	1	1	100			-914.7508328	1	NaN	
914.5908328	100	1	1	100			-914.5908328	1	NaN	
914.4308328	100	1	1	100			-914.4308328	1	NaN	
914.2708328	100	1	1	100			-914.2708328	1	NaN	
914.1108328	100	1	1	100			-914.1108328	1	NaN	
913.9508328	100	1	1	100			-913.9508328	1	NaN	
913.7908328	100	1	1	100			-913.7908328	1	NaN	
913.6308328	100	1	1	100			-913.6308328	1	NaN	
913.4708328	100	1	1	100			-913.4708328	1	NaN	
913.3108328	100	1	1	100			-913.3108328	1	NaN	
913.1508328	100	1	1	100			-913.1508328	1	NaN	
912.9908328	100	1	1	100			-912.9908328	1	NaN	
912.8308328	100	1	1	100			-912.8308328	1	NaN	
912.6708328	100	1	1	100			-912.6708328	1	NaN	
912.5108328	100	1	1	100			-912.5108328	1	NaN	
912.3508328	100	1	1	100			-912.3508328	1	NaN	
912.1908328	100	1	1	100			-912.1908328	1	NaN	
912.0308328	100	1	1	100			-912.0308328	1	NaN	
911.8708328	100	1	1	100			-911.8708328	1	NaN	
911.7108328	100	1	1	100			-911.7108328	1	NaN	
911.5508328	100	1	1	100			-911.5508328	1	NaN	
911.3908328	100	1	1	100			-911.3908328	1	NaN	
911.2308328	100	1	1	100			-911.2308328	1	NaN	
911.0708328	100	1	1	100			-911.0708328	1	NaN	
910.9108328	100	1	1	100			-910.9108328	1	NaN	
910.7508328	100	1	1	100			-910.7508328	1	NaN	
910.5908328	100	1	1	100			-910.5908328	1	NaN	
910.4308328	100	1	1	100			-910.4308328	1	NaN	
910.2708328	100	1	1	100			-910.2708328	1	NaN	
910.1108328	100	1	1	100			-910.1108328	1	NaN	
909.9508328	100	1	1	100			-909.9508328	1	NaN	
909.7908328	100	1	1	100			-909.7908328	1	NaN	
909.6308328	100	1	1	100			-909.6308328	1	NaN	
909.4708328	100	1	1	100			-909.4708328	1	NaN	
909.3108328	100	1	1	100			-909.3108328	1	NaN	
909.1508328	100	1	1	100			-909.1508328	1	NaN	
908.9908328	100	1	1	100			-908.9908328	1	NaN	
908.8308328	100	1	1	100			-908.8308328	1	NaN	
908.6708328	100	1	1	100			-908.6708328	1	NaN	
908.5108328	100	1	1	100			-908.5108328	1	NaN	
908.3508328	100	1	1	100			-908.3508328	1	NaN	
908.1908328	100	1	1	100			-908.1908328	1	NaN	
908.0308328	100	1	1	100			-908.0308328	1	NaN	
907.8708328	100	1	1	100			-907.8708328	1	NaN	
907.7108328	100	1	1	100			-907.7108328	1	NaN	
907.5508328	100	1	1	100			-907.5508328	1	NaN	
907.3908328	100	1	1	100			-907.3908328	1	NaN	
907.2308328	100	1	1	100			-907.2308328	1	NaN	
907.0708328	100	1	1	100			-907.0708328	1	NaN	
906.9108328	100	1	1	100			-906.9108328	1	NaN	
906.7508328	100	1	1	100			-906.7508328	1	NaN	
906.5908328	100	1	1	100			-906.5908328	1	NaN	
906.4308328	100	1	1	100			-906.4308328	1	NaN	
906.2708328	100	1	1	100			-906.2708328	1	NaN	
906.1108328	100	1	1	100			-906.1108328	1	NaN	
