T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1850.560227	8	0	92	0	0	3.118033173	0	96.88196683	8	0	92							-0.0008356271962		0.0008356271962	-1850.560227	0	58.3999829313294	
1850.540227	8	0	92	0.0003465447126	0.0003423421468	3.118724203	0	96.8812758	8.001671313	0	91.99832869							0		0	-1850.540227	0.0003423421468	58.442189070741	
1850.520227	8	0	92	0.0006928381466	0.0006844372372	3.119415216	0	96.88058478	8.003342575	0	91.99665742							0		0	-1850.520227	0.0006844372372	58.4708795650599	
1850.480227	8	0	92	0.001385151426	0.001368360672	3.12079725	0	96.87920275	8.00668499	0	91.99331501							0		0	-1850.480227	0.001368360672	58.508054564574	
1850.400227	8	0	92	0.002768205861	0.002734668563	3.123561243	0	96.87643876	8.013369341	0	91.98663066							0		0	-1850.400227	0.002734668563	58.5959772848939	
1850.240227	8	0	92	0.005528042129	0.005461144045	3.129089147	0	96.87091085	8.026736127	0	91.97326387							0		0	-1850.240227	0.005461144045	58.7721380629368	
1849.920227	8	0	92	0.01102275198	0.01088965915	3.140144453	0	96.85985555	8.053462033	0	91.94653797							0		0	-1849.920227	0.01088965915	59.1897032440896	
1849.280227	8	0	92	0.02187878609	0.02161579845	3.162252817	0	96.83774718	8.106882802	0	91.8931172							0		0	-1849.280227	0.02161579845	60.0595471707621	
1848.000227	8	0	92	0.04317264627	0.04265838716	3.206460938	0	96.79353906	8.213601536	0	91.78639846							0		0	-1848.000227	0.04265838716	61.6679907675517	
1845.440227	8	0	92	0.08409640103	0.08311291738	3.294840658	0	96.70515934	8.426548186	0	91.57345181							0		0	-1845.440227	0.08311291738	64.9873695439394	
