T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1471.847951	12	13	75	0	0	5.202034668	7.573673516	87.22429182	12	13	75										-0.0002121893262	-0.0001693688841	0.0003815582104	-1471.847951	0	319.996492334166	
1471.827951	12	13	75	6.407454542E-05	6.246678299E-05	5.202132736	7.574176257	87.22369101	12.00042431	13.00033878	74.99923691										0	0	0	-1471.827951	6.246678299E-05	320.34383071988	
1471.807951	12	13	75	0.0001280795663	0.0001248659086	5.202230865	7.574678951	87.22309018	12.00084881	13.00067743	74.99847377										0	0	0	-1471.807951	0.0001248659086	320.464087295435	
1471.767951	12	13	75	0.0002561530552	0.0002497263828	5.202427013	7.575684486	87.2218885	12.00169773	13.00135474	74.99694754										0	0	0	-1471.767951	0.0002497263828	320.364612065553	
1471.687951	12	13	75	0.0005122816692	0.0004994309005	5.202819163	7.577695859	87.21948498	12.0033959	13.002709	74.99389509										0	0	0	-1471.687951	0.0004994309005	320.420280353765	
1471.527951	12	13	75	0.001024333372	0.0009986454506	5.203602852	7.581719837	87.21467731	12.00679357	13.00541616	74.98779027										0	0	0	-1471.527951	0.0009986454506	320.517496236309	
1471.207951	12	13	75	0.002048278285	0.001996943579	5.205167909	7.58977259	87.2050595	12.01359443	13.01082478	74.97558079										0	0	0	-1471.207951	0.001996943579	320.600784199914	
1470.567951	12	13	75	0.004095013325	0.003992508182	5.208288651	7.605897396	87.18581395	12.02721815	13.02161931	74.95116254										0	0	0	-1470.567951	0.003992508182	320.820009657387	
1469.287951	12	13	75	0.008183938963	0.0079795835	5.214492698	7.638224215	87.14728309	12.05455482	13.04311688	74.9023283										0	0	0	-1469.287951	0.0079795835	321.410432102429	
1466.727951	12	13	75	0.01633190111	0.01592609215	5.226761516	7.703174646	87.07006384	12.10961731	13.08572316	74.80465953										0	0	0	-1466.727951	0.01592609215	322.615427958481	
1464.167951	12	13	75	0.02445456959	0.02384993699	5.238834901	7.768533286	86.99263181	12.16519354	13.12781881	74.70698765										0	0	0	-1464.167951	0.02384993699	323.5750161695	
