T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1771.039395	3	8	89	0	0	1.304718683	2.991251406	95.70402991	3	8	89										-0.0001345839184	-0.0003976321836	0.000532216102	-1771.039395	0	125.86337736371	
1771.019395	3	8	89	0.0001606673634	0.0001588342691	1.304854662	2.991634603	95.70351073	3.000269178	8.000795251	88.99893557										0	0	0	-1771.019395	0.0001588342691	125.97144535191	
1770.999395	3	8	89	0.0003211967269	0.0003175323947	1.304990613	2.992017805	95.70299158	3.000538317	8.001590485	88.9978712										0	0	0	-1770.999395	0.0003175323947	126.03206753601	
1770.959395	3	8	89	0.0006422039057	0.0006348785319	1.305262519	2.992784231	95.70195325	3.001076593	8.003180847	88.99574256										0	0	0	-1770.959395	0.0006348785319	126.063116161838	
1770.879395	3	8	89	0.001283943317	0.00126930238	1.305806287	2.994317199	95.69987651	3.002153003	8.006361217	88.99148578										0	0	0	-1770.879395	0.00126930238	126.143857390843	
1770.719395	3	8	89	0.00256603095	0.002536788278	1.306893661	2.997383595	95.69572274	3.00430528	8.012720519	88.9829742										0	0	0	-1770.719395	0.002536788278	126.324612898581	
1770.399395	3	8	89	0.005124658246	0.005066329387	1.309067756	3.003518226	95.68741402	3.008607661	8.025433385	88.96595895										0	0	0	-1770.399395	0.005066329387	126.686420958772	
1769.759395	3	8	89	0.01021985382	0.01010381942	1.313413346	3.015794851	95.6707918	3.017203775	8.050836164	88.93196006										0	0	0	-1769.759395	0.01010381942	127.534549485645	
1768.479395	3	8	89	0.0202943537	0.02006507518	1.322092097	3.040378996	95.63752891	3.0343569	8.101553415	88.86408968										0	0	0	-1768.479395	0.02006507518	129.292713529438	
1765.919395	3	8	89	0.04007715825	0.0396288925	1.339406634	3.089667366	95.570926	3.068524317	8.202625042	88.72885064										0	0	0	-1765.919395	0.0396288925	132.510363357146	
1763.359395	3	8	89	0.05937274875	0.05871535214	1.356663567	3.139117834	95.5042186	3.102509185	8.303215856	88.59427496										0	0	0	-1763.359395	0.05871535214	135.790667289973	
1760.799395	3	8	89	0.07820210802	0.07734504908	1.373864098	3.188731724	95.43740418	3.136318298	8.40332698	88.46035472										0	0	0	-1760.799395	0.07734504908	139.083464619814	
1758.239395	3	8	89	0.09658575841	0.09553813248	1.391009521	3.238510306	95.37048017	3.169958616	8.502959323	88.32708206										0	0	0	-1758.239395	0.09553813248	142.38472048655	
1755.679395	3	8	89	0.1145431066	0.1133136572	1.408101178	3.288454809	95.30344401	3.203437184	8.602113664	88.19444915										0	0	0	-1755.679395	0.1133136572	145.692769841319	
1753.119395	3	8	89	0.1320925186	0.1306896571	1.425140462	3.338566424	95.23629311	3.236761136	8.700790652	88.06244821										0	0	0	-1753.119395	0.1306896571	149.005938259226	
1750.559395	3	8	89	0.1492513895	0.147683214	1.44212882	3.388846295	95.16902489	3.2699377	8.798990803	87.9310715										0	0	0	-1750.559395	0.147683214	152.322539294325	
1747.999395	3	8	89	0.1660362082	0.1643105207	1.459067752	3.439295525	95.10163672	3.3029742	8.896714503	87.8003113										0	0	0	-1747.999395	0.1643105207	155.640878193697	
1745.439395	3	8	89	0.1824626164	0.180586939	1.475958815	3.489915166	95.03412602	3.335878058	8.993962002	87.67015994										0	0	0	-1745.439395	0.180586939	158.959249922924	
1742.879395	3	8	89	0.1985454638	0.196527054	1.492803617	3.540706225	94.96649016	3.368656801	9.090733414	87.54060978										0	0	0	-1742.879395	0.196527054	162.275942820668	
1740.319395	3	8	89	0.2142988583	0.2121447231	1.509603826	3.591669653	94.89872652	3.401318062	9.187028715	87.41165322										0	0	0	-1740.319395	0.2121447231	165.589241122138	
1737.759395	3	8	89	0.2297362125	0.2274531222	1.526361168	3.642806351	94.83083248	3.433869584	9.282847741	87.28328268										0	0	0	-1737.759395	0.2274531222	168.897425184267	
