T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1865.386136	4	2	94	0	0	1.568498065	0.6476802612	97.78382167	4	2	94										-0.0004657322661	-0.000259028066	0.0007247603321	-1865.386136	0	52.1909720572581	
1865.366136	4	2	94	0.0003861339319	0.000383060118	1.568891368	0.6478629759	97.78324566	4.000931452	2.000518043	93.9985505										0	0	0	-1865.366136	0.000383060118	52.2312794911624	
1865.346136	4	2	94	0.0007719691559	0.0007658248523	1.569284643	0.6480456965	97.78266966	4.001862825	2.001036089	93.99710109										0	0	0	-1865.346136	0.0007658248523	52.260315025392	
1865.306136	4	2	94	0.001543242876	0.001530963591	1.570071169	0.648411151	97.78151768	4.00372542	2.002072146	93.99420243										0	0	0	-1865.306136	0.001530963591	52.3015471646424	
1865.226136	4	2	94	0.003083708035	0.003059186704	1.571644084	0.6491421254	97.77921379	4.007449924	2.004144165	93.98840591										0	0	0	-1865.226136	0.003059186704	52.3953581235896	
1865.066136	4	2	94	0.006156334534	0.006107440481	1.574789372	0.6506043361	97.77460629	4.014896182	2.008287825	93.97681599										0	0	0	-1865.066136	0.006107440481	52.6167565679072	
1864.746136	4	2	94	0.01225709545	0.01215998884	1.581077199	0.6535301351	97.76539267	4.029776219	2.016574646	93.95364913										0	0	0	-1864.746136	0.01215998884	53.0770703542884	
1864.106136	4	2	94	0.02431746776	0.02412576662	1.593643587	0.6593862524	97.74697016	4.059490935	2.033143231	93.90736583										0	0	0	-1864.106136	0.02412576662	53.9230971035399	
1862.826136	4	2	94	0.0478668578	0.04749326127	1.618738105	0.6711172208	97.71014467	4.118736592	2.066262145	93.81500126										0	0	0	-1862.826136	0.04749326127	55.6733371047872	
1860.266136	4	2	94	0.09281437515	0.0921044943	1.668774374	0.6946537163	97.63657191	4.236498998	2.132425229	93.63107577										0	0	0	-1860.266136	0.0921044943	59.236670386937	
1857.706136	4	2	94	0.1350980006	0.1340858087	1.718606186	0.7182898169	97.563104	4.353298159	2.198488202	93.44821364										0	0	0	-1857.706136	0.1340858087	62.860939438051	
1855.146136	4	2	94	0.1749759504	0.1736922587	1.768234534	0.7420243473	97.48974112	4.469149157	2.26444624	93.2664046										0	0	0	-1855.146136	0.1736922587	66.5700221486563	
1852.586136	4	2	94	0.2126473799	0.2111203987	1.817659237	0.7658571325	97.41648363	4.584063693	2.330297489	93.08563882										0	0	0	-1852.586136	0.2111203987	70.3755060185872	
1850.026136	4	2	94	0.2482983972	0.2465539643	1.866880707	0.7897875848	97.34333171	4.698054783	2.396038831	92.90590639										0	0	0	-1850.026136	0.2465539643	74.2683815959896	
1847.466136	4	2	94	0.2820947693	0.2801566089	1.91589952	0.8138150492	97.27028543	4.81113562	2.461666922	92.72719746										0	0	0	-1847.466136	0.2801566089	78.2467449375836	
1844.906136	4	2	94	0.3141846249	0.3120745727	1.964716416	0.8379388021	97.19734478	4.923319578	2.527178197	92.54950223										0	0	0	-1844.906136	0.3120745727	82.3086614490848	
1842.346136	4	2	94	0.3447007436	0.3424389426	2.013332295	0.8621580512	97.12450965	5.034620211	2.592568874	92.37281092										0	0	0	-1842.346136	0.3424389426	86.4521621699888	
1839.786136	4	2	94	0.373762496	0.3713675677	2.061748219	0.8864719341	97.05177985	5.145051259	2.657834959	92.19711378										0	0	0	-1839.786136	0.3713675677	90.6752445978913	
1837.226136	4	2	94	0.401477498	0.3989666923	2.10996541	0.9108795178	96.97915507	5.254626647	2.722972244	92.02240111										0	0	0	-1837.226136	0.3989666923	94.9758728967793	
1834.666136	4	2	94	0.4279430249	0.4253323524	2.157985247	0.9353797978	96.90663496	5.363360489	2.787976315	91.8486632										0	0	0	-1834.666136	0.4253323524	99.3519795258037	
1832.106136	4	2	94	0.4532472268	0.4505515752	2.205809266	0.9599716972	96.83421904	5.471267089	2.852842552	91.67589036										0	0	0	-1832.106136	0.4505515752	103.801465902443	
1829.546136	4	2	94	0.4774701758	0.4747034134	2.253439161	0.9846540655	96.76190677	5.578360943	2.917566132	91.50407292										0	0	0	-1829.546136	0.4747034134	108.322203187618	
1826.986136	4	2	94	0.5006847726	0.4978598401	2.300876779	1.009425678	96.68969754	5.68465674	2.982142034	91.33320123										0	0	0	-1826.986136	0.4978598401	112.91203435025	
1824.426136	4	2	94	0.5229575333	0.5200865254	2.348124121	1.034285236	96.61759064	5.790169365	3.046565036	91.1632656										0	0	0	-1824.426136	0.5200865254	117.568775139675	
1821.866136	4	2	94	0.5443492748	0.5414435133	2.395183342	1.059231362	96.5455853	5.894913898	3.110829724	90.99425638										0	0	0	-1821.866136	0.5414435133	122.290215040508	
1819.306136	4	2	94	0.5649157136	0.5619858129	2.442056746	1.084262604	96.47368065	5.998905615	3.174930491	90.82616389										0	0	0	-1819.306136	0.5619858129	127.074118332638	
1816.746136	4	2	94	0.584707991	0.5817639168	2.48874679	1.109377431	96.40187578	6.102159993	3.23886154	90.65897847										0	0	0	-1816.746136	0.5817639168	131.918227812645	
1814.186136	4	2	94	0.6037731338	0.6008242558	2.535256079	1.134574231	96.33016969	6.204692706	3.302616884	90.49269041										0	0	0	-1814.186136	0.6008242558	136.820265169952	
1811.626136	4	2	94	0.622154461	0.6192096008	2.581587365	1.159851314	96.25856132	6.306519629	3.366190351	90.32729002										0	0	0	-1811.626136	0.6192096008	141.708074362395	
1809.066136	4	2	94	0.63990854	0.6369760553	2.627780185	1.185271458	96.18694836	6.407765821	3.429565205	90.16266897										0	0	0	-1809.066136	0.6369760553	146.722932798102	
1806.506136	4	2	94	0.6570392892	0.6541269979	2.67376602	1.210704528	96.11552945	6.508234568	3.492753408	89.99901202										0	0	0	-1806.506136	0.6541269979	151.849169800855	
1803.946136	4	2	94	0.6735973396	0.6707126619	2.719583072	1.236212347	96.04420458	6.608046601	3.555740009	89.83621339										0	0	0	-1803.946136	0.6707126619	156.959465568418	
1801.386136	4	2	94	0.6896143947	0.6867643525	2.765234707	1.261792932	95.97297236	6.707218694	3.618518096	89.67426321										0	0	0	-1801.386136	0.6867643525	162.115915039522	
1798.826136	4	2	94	0.7051198874	0.7023111339	2.810724432	1.287444212	95.90183136	6.805767826	3.681080572	89.5131516										0	0	0	-1798.826136	0.7023111339	167.316154054241	
1796.266136	4	2	94	0.7201411732	0.7173800195	2.85605587	1.313164018	95.83078011	6.903711212	3.743420144	89.35286864										0	0	0	-1796.266136	0.7173800195	172.557738901904	
1793.706136	4	2	94	0.7347037284	0.7319961683	2.901232887	1.338950131	95.75981698	7.001066241	3.805529373	89.19340439										0	0	0	-1793.706136	0.7319961683	177.838273974539	
1791.146136	4	2	94	0.7488312844	0.7461830168	2.946259395	1.364800206	95.6889404	7.097850566	3.867400608	89.03474883										0	0	0	-1791.146136	0.7461830168	183.155404193316	
1788.586136	4	2	94	0.7625459904	0.75996244	2.991139482	1.390711821	95.6181487	7.194082049	3.929026027	88.87689192										0	0	0	-1788.586136	0.75996244	188.506703543856	
1786.026136	4	2	94	0.7758685394	0.7733548755	3.035877383	1.416682463	95.54744015	7.289778774	3.99039763	88.7198236										0	0	0	-1786.026136	0.7733548755	193.889772206399	
1783.466136	4	2	94	0.7888182859	0.7863794401	3.080477472	1.442709524	95.476813	7.384959051	4.051507237	88.56353371										0	0	0	-1783.466136	0.7863794401	199.302217251722	
1780.906136	4	2	94	0.8014133521	0.7990540344	3.124944268	1.468790302	95.40626543	7.479641417	4.112346493	88.40801209										0	0	0	-1780.906136	0.7990540344	204.741656152683	
1778.346136	4	2	94	0.8136707244	0.8113954382	3.16928243	1.494921999	95.33579557	7.573844637	4.172906861	88.2532485										0	0	0	-1778.346136	0.8113954382	210.205720213446	
1775.786136	4	2	94	0.8256063409	0.8234193964	3.213496761	1.521101719	95.26540152	7.667587704	4.23317963	88.09923267										0	0	0	-1775.786136	0.8234193964	215.692057891651	
1773.226136	4	2	94	0.8372351704	0.8351406976	3.257592202	1.547326465	95.19508133	7.760889844	4.29315591	87.94595425										0	0	0	-1773.226136	0.8351406976	221.198334169044	
