T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1834.698631	0	7	93	0	0	0	2.432389006	97.56761099	0	7	93								-0.0005813189413	0.0005813189413	-1834.698631	0	78.5332923099319	
1834.678631	0	7	93	0.0002562566138	0.0002545811954	0	2.432870264	97.56712974	0	7.00116263	92.99883737								0	0	-1834.678631	0.0002545811954	78.587503423293	
1834.658631	0	7	93	0.0005123362259	0.000508986897	0	2.433351527	97.56664847	0	7.002325202	92.9976748								0	0	-1834.658631	0.000508986897	78.6271096126023	
1834.618631	0	7	93	0.001024249904	0.00101755541	0	2.434314092	97.56568591	0	7.004650205	92.9953498								0	0	-1834.618631	0.00101755541	78.6729816114621	
1834.538631	0	7	93	0.00204726006	0.002033884785	0	2.43623937	97.56376063	0	7.009299617	92.99070038								0	0	-1834.538631	0.002033884785	78.7621368629148	
1834.378631	0	7	93	0.004089570765	0.004062874975	0	2.44009051	97.55990949	0	7.018596064	92.98140394								0	0	-1834.378631	0.004062874975	78.9521442538847	
1834.058631	0	7	93	0.008159422208	0.008106248964	0	2.447795132	97.55220487	0	7.037179457	92.96282054								0	0	-1834.058631	0.008106248964	79.4003971456955	
1833.418631	0	7	93	0.0162203528	0.01611500332	0	2.463213689	97.53678631	0	7.0743081	92.9256919								0	0	-1833.418631	0.01611500332	80.331749402093	
1832.138631	0	7	93	0.03209388386	0.0318868468	0	2.494088522	97.50591148	0	7.148413947	92.85158605								0	0	-1832.138631	0.0318868468	82.0451258005042	
1829.578631	0	7	93	0.06284824839	0.06244834861	0	2.55599061	97.44400939	0	7.296023407	92.70397659								0	0	-1829.578631	0.06244834861	85.5551914508735	
1827.018631	0	7	93	0.0923611369	0.0917816103	0	2.618099197	97.3819008	0	7.44283739	92.55716261								0	0	-1827.018631	0.0917816103	89.0858435628026	
1824.458631	0	7	93	0.120713536	0.1199668158	0	2.680418207	97.31958179	0	7.588864881	92.41113512								0	0	-1824.458631	0.1199668158	92.657757913345	
1821.898631	0	7	93	0.1479824821	0.1470802506	0	2.742951597	97.2570484	0	7.734114803	92.2658852								0	0	-1821.898631	0.1470802506	96.2635726649234	
1819.338631	0	7	93	0.1742385702	0.1731918238	0	2.805703326	97.19429667	0	7.878595984	92.12140402								0	0	-1819.338631	0.1731918238	99.9001144542901	
1816.778631	0	7	93	0.1995466129	0.1983657197	0	2.868677369	97.13132263	0	8.022317179	91.97768282								0	0	-1816.778631	0.1983657197	103.564161984387	
1814.218631	0	7	93	0.2239662246	0.2226609769	0	2.931877712	97.06812229	0	8.165287069	91.83471293								0	0	-1814.218631	0.2226609769	107.252439222038	
