T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1722.439535	6	8	86	0	0	2.645859568	3.141738005	94.21240243	6	8	86							-0.0002064658723	-0.0002990523861	0.0005055182583	-1722.439535	0	80.8313254188397	
1722.429535	6	8	86	6.255945719E-05	6.159222914E-05	2.645963748	3.141898314	94.21213794	6.000206372	8.00029888	85.99949475							0	0	0	-1722.429535	6.159222914E-05	243.884962321315	
1722.409535	6	8	86	0.0001875514602	0.0001230791558	2.646172148	3.14221897	94.21160888	6.000619182	8.000896807	85.99848401							0	0	0	-1722.409535	0.0001230791558	325.098521963488	
1722.369535	6	8	86	0.0004375982498	0.0002462507454	2.646588919	3.142860323	94.21055076	6.001445206	8.002093239	85.99646156							0	0	0	-1722.369535	0.0002462507454	324.919445436579	
1722.289535	6	8	86	0.0009372713455	0.0004922098057	2.647422888	3.144143284	94.20843383	6.003096654	8.004485189	85.99241816							0	0	0	-1722.289535	0.0004922098057	-309819.861159973	
1722.209535	6	8	86	0.001436434622	0.0004919513192	2.648256521	3.145426286	94.20631719	6.004747884	8.006876786	85.98837533							0	0	0	-1722.209535	0.0004919513192	-381423.100067822	
1722.129535	6	8	86	0.001935162949	0.000491766499	2.649090059	3.146709418	94.20420052	6.006398896	8.009268028	85.98433308							0	0	0	-1722.129535	0.000491766499	-433096.160984017	
1722.049535	6	8	86	0.002433456926	0.000491581886	2.649923503	3.147992679	94.20208382	6.008049689	8.011658918	85.98029139							0	0	0	-1722.049535	0.000491581886	-433507.662356696	
1721.969535	6	8	86	0.002931317098	0.0004913974166	2.650756852	3.14927607	94.19996708	6.009700265	8.014049454	85.97625028							0	0	0	-1721.969535	0.0004913974166	-433845.964455285	
