T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1760.641144	11	89	0	0	4.314299872	95.68570013	11	89			-0.0005033726683	0.0005033726682	-1760.641144	0	66.0833503935825	
1760.631144	11	89	7.607888983E-05	7.534357354E-05	4.314569751	95.68543025	11.00050323	88.99949677			0	0	-1760.631144	7.534357354E-05	199.367292047259	
1760.611144	11	89	0.0002280863665	0.0001505605802	4.315109519	95.68489048	11.00150982	88.99849018			0	0	-1760.611144	0.0001505605802	265.852855974801	
1760.571144	11	89	0.0005320037749	0.0003010701135	4.316189121	95.68381088	11.0035229	88.9964771			0	0	-1760.571144	0.0003010701135	265.767907557792	
1760.491144	11	89	0.001139589355	0.000602075551	4.318348576	95.68165142	11.00754967	88.99245033			0	0	-1760.491144	0.000602075551	-188747.599963722	
1760.411144	11	89	0.001746379192	0.0006016511052	4.320508431	95.67949157	11.01157536	88.98842464			0	0	-1760.411144	0.0006016511052	-270072.15951641	
1760.331144	11	89	0.002352548832	0.0006013998291	4.322668604	95.6773314	11.01560049	88.98439951			0	0	-1760.331144	0.0006013998291	-318567.31744443	
1760.251144	11	89	0.002958099232	0.0006011488562	4.324829093	95.67517091	11.01962506	88.98037494			0	0	-1760.251144	0.0006011488562	-318922.655213121	
1760.171144	11	89	0.003563031329	0.0006008981398	4.3269899	95.6730101	11.02364907	88.97635093			0	0	-1760.171144	0.0006008981398	-319245.463990327	
1760.091144	11	89	0.004167346054	0.0006006476742	4.329151024	95.67084898	11.02767252	88.97232748			0	0	-1760.091144	0.0006006476742	-319565.935678458	
1760.011144	11	89	0.004771044335	0.0006003974604	4.331312466	95.66868753	11.03169541	88.96830459			0	0	-1760.011144	0.0006003974604	-319888.650953865	
1759.931144	11	89	0.005374127102	0.0006001474999	4.333474225	95.66652578	11.03571774	88.96428226			0	0	-1759.931144	0.0006001474999	-320211.693727188	
1759.851144	11	89	0.005976595281	0.0005998977907	4.335636302	95.6643637	11.03973952	88.96026048			0	0	-1759.851144	0.0005998977907	-320533.335812635	
1759.771144	11	89	0.006578449795	0.0005996483316	4.337798697	95.6622013	11.04376074	88.95623926			0	0	-1759.771144	0.0005996483316	-320855.950172117	
1759.691144	11	89	0.007179691567	0.0005993991243	4.339961409	95.66003859	11.0477814	88.9522186			0	0	-1759.691144	0.0005993991243	-321180.502247696	
1759.611144	11	89	0.007780321519	0.0005991501691	4.342124441	95.65787556	11.0518015	88.9481985			0	0	-1759.611144	0.0005991501691	-321504.351378418	
1759.531144	11	89	0.00838034057	0.0005989014636	4.34428779	95.65571221	11.05582105	88.94417895			0	0	-1759.531144	0.0005989014636	-321827.692958374	
1759.451144	11	89	0.008979749638	0.0005986530084	4.346451458	95.65354854	11.05984004	88.94015996			0	0	-1759.451144	0.0005986530084	-322151.424031315	
1759.371144	11	89	0.009578549636	0.0005984048025	4.348615445	95.65138456	11.06385847	88.93614153			0	0	-1759.371144	0.0005984048025	-322475.288666281	
1759.291144	11	89	0.01017674148	0.0005981568461	4.35077975	95.64922025	11.06787635	88.93212365			0	0	-1759.291144	0.0005981568461	-322800.652939569	
1759.211144	11	89	0.01077432608	0.0005979091403	4.352944375	95.64705563	11.07189367	88.92810633			0	0	-1759.211144	0.0005979091403	-323124.382995242	
1759.131144	11	89	0.01137130435	0.0005976616805	4.355109319	95.64489068	11.07591043	88.92408957			0	0	-1759.131144	0.0005976616805	-323449.692373505	
1759.051144	11	89	0.0119676772	0.0005974144727	4.357274582	95.64272542	11.07992664	88.92007336			0	0	-1759.051144	0.0005974144727	-323775.182053799	
1758.971144	11	89	0.01256344552	0.0005971675102	4.359440164	95.64055984	11.0839423	88.9160577			0	0	-1758.971144	0.0005971675102	-324099.700582848	
1758.891144	11	89	0.01315861024	0.0005969207972	4.361606066	95.63839393	11.08795739	88.91204261			0	0	-1758.891144	0.0005969207972	-324426.902559295	
1758.811144	11	89	0.01375317225	0.0005966743326	4.363772288	95.63622771	11.09197194	88.90802806			0	0	-1758.811144	0.0005966743326	-324752.391065933	
1758.731144	11	89	0.01434713245	0.0005964281139	4.365938829	95.63406117	11.09598593	88.90401407			0	0	-1758.731144	0.0005964281139	-325077.613438736	
1758.651144	11	89	0.01494049174	0.0005961821422	4.368105691	95.63189431	11.09999936	88.90000064			0	0	-1758.651144	0.0005961821422	-325404.214371845	
1758.571144	11	89	0.01553325102	0.0005959364175	4.370272873	95.62972713	11.10401224	88.89598776			0	0	-1758.571144	0.0005959364175	-325730.409093382	
1758.491144	11	89	0.01612541119	0.0005956909382	4.372440375	95.62755963	11.10802457	88.89197543			0	0	-1758.491144	0.0005956909382	-326058.993808186	
1758.411144	11	89	0.01671697314	0.0005954457085	4.374608197	95.6253918	11.11203634	88.88796366			0	0	-1758.411144	0.0005954457085	-326386.496296538	
1758.331144	11	89	0.01730793777	0.0005952007216	4.376776341	95.62322366	11.11604756	88.88395244			0	0	-1758.331144	0.0005952007216	-326712.001639807	
1758.251144	11	89	0.01789830596	0.0005949559803	4.378944805	95.6210552	11.12005822	88.87994178			0	0	-1758.251144	0.0005949559803	-327039.756937612	
1758.171144	11	89	0.0184880786	0.0005947114842	4.38111359	95.61888641	11.12406834	88.87593166			0	0	-1758.171144	0.0005947114842	-327367.970227285	
1758.091144	11	89	0.01907725659	0.0005944672334	4.383282696	95.6167173	11.12807789	88.87192211			0	0	-1758.091144	0.0005944672334	-327695.699442828	
1758.011144	11	89	0.0196658408	0.0005942232261	4.385452123	95.61454788	11.1320869	88.8679131			0	0	-1758.011144	0.0005942232261	-328025.572840595	
1757.931144	11	89	0.02025383213	0.0005939794663	4.387621872	95.61237813	11.13609536	88.86390464			0	0	-1757.931144	0.0005939794663	-328353.669489953	
1757.851144	11	89	0.02084123145	0.0005937359464	4.389791942	95.61020806	11.14010326	88.85989674			0	0	-1757.851144	0.0005937359464	-328682.173033915	
1757.771144	11	89	0.02142803965	0.0005934926736	4.391962334	95.60803767	11.14411061	88.85588939			0	0	-1757.771144	0.0005934926736	-329011.382840201	
1757.691144	11	89	0.02201425761	0.0005932496408	4.394133048	95.60586695	11.14811741	88.85188259			0	0	-1757.691144	0.0005932496408	-329339.573869396	
1757.611144	11	89	0.0225998862	0.0005930068526	4.396304084	95.60369592	11.15212365	88.84787635			0	0	-1757.611144	0.0005930068526	-329670.789988479	
1757.531144	11	89	0.0231849263	0.0005927643079	4.398475442	95.60152456	11.15612935	88.84387065			0	0	-1757.531144	0.0005927643079	-329999.266053723	
1757.451144	11	89	0.02376937877	0.0005925220028	4.400647123	95.59935288	11.16013449	88.83986551			0	0	-1757.451144	0.0005925220028	-330330.458038839	
1757.371144	11	89	0.02435324451	0.0005922799442	4.402819125	95.59718087	11.16413909	88.83586091			0	0	-1757.371144	0.0005922799442	-330661.47489109	
1757.291144	11	89	0.02493652437	0.000592038124	4.404991451	95.59500855	11.16814313	88.83185687			0	0	-1757.291144	0.000592038124	-330990.159182302	
1757.211144	11	89	0.02551921923	0.0005917965459	4.407164099	95.5928359	11.17214662	88.82785338			0	0	-1757.211144	0.0005917965459	-331321.962287005	
