T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1601.210385	10	10	80	0	0	4.521317124	4.615394808	90.86328807	10	10	80										-0.0002165799597	-0.0002128581474	0.000429438107	-1601.210385	0	125.617412395176	
1601.200385	10	10	80	4.044839668E-05	3.956962288E-05	4.521416861	4.615563826	90.86301931	10.00021646	10.00021275	79.99957079										0	0	0	-1601.200385	3.956962288E-05	379.820813807646	
1601.180385	10	10	80	0.0001212339785	7.904656741E-05	4.521616343	4.615901865	90.86248179	10.00064951	10.00063834	79.99871216										0	0	0	-1601.180385	7.904656741E-05	506.280704185458	
1601.140385	10	10	80	0.0002828624137	0.0001581618902	4.522015267	4.616577998	90.86140673	10.00151604	10.00148991	79.99699405										0	0	0	-1601.140385	0.0001581618902	505.815613803301	
1601.060385	10	10	80	0.0006059225955	0.0003161821735	4.522813702	4.61793052	90.85925578	10.00324861	10.0031924	79.99355899										0	0	0	-1601.060385	0.0003161821735	-699841.318787908	
1600.980385	10	10	80	0.0009287632635	0.000316067779	4.523611635	4.619283195	90.85710517	10.0049811	10.00489461	79.99012429										0	0	0	-1600.980385	0.000316067779	-976892.870877336	
1600.900385	10	10	80	0.001251429352	0.0003159979853	4.524409408	4.620636085	90.85495451	10.00671349	10.00659657	79.98668994										0	0	0	-1600.900385	0.0003159979853	-1146786.23193929	
1600.820385	10	10	80	0.001573921024	0.0003159282586	4.52520702	4.621989188	90.85280379	10.0084458	10.00829825	79.98325594										0	0	0	-1600.820385	0.0003159282586	-1147674.29351026	
1600.740385	10	10	80	0.001896238423	0.0003158585729	4.526004472	4.623342507	90.85065302	10.01017803	10.00999967	79.9798223										0	0	0	-1600.740385	0.0003158585729	-1148356.33491796	
1600.660385	10	10	80	0.002218381691	0.000315788929	4.526801763	4.62469604	90.8485022	10.01191016	10.01170083	79.97638901										0	0	0	-1600.660385	0.000315788929	-1149039.17176331	
1600.580385	10	10	80	0.002540350971	0.0003157193261	4.527598894	4.626049788	90.84635132	10.01364221	10.01340172	79.97295607										0	0	0	-1600.580385	0.0003157193261	-1149722.83686896	
1600.500385	10	10	80	0.002862146408	0.000315649765	4.528395864	4.627403751	90.84420039	10.01537418	10.01510235	79.96952348										0	0	0	-1600.500385	0.000315649765	-1150416.40983466	
1600.420385	10	10	80	0.003183768143	0.000315580246	4.529192673	4.628757928	90.8420494	10.01710605	10.0168027	79.96609124										0	0	0	-1600.420385	0.000315580246	-1151096.71896641	
1600.340385	10	10	80	0.00350521632	0.0003155107671	4.529989322	4.630112321	90.83989836	10.01883784	10.0185028	79.96265936										0	0	0	-1600.340385	0.0003155107671	-1151776.21216864	
1600.260385	10	10	80	0.003826491081	0.0003154413301	4.53078581	4.631466929	90.83774726	10.02056955	10.02020263	79.95922782										0	0	0	-1600.260385	0.0003154413301	-1152458.13489924	
1600.180385	10	10	80	0.004147592566	0.0003153719334	4.531582137	4.632821753	90.83559611	10.02230117	10.02190219	79.95579664										0	0	0	-1600.180385	0.0003153719334	-1153149.21813777	
1600.100385	10	10	80	0.004468520921	0.0003153025796	4.532378303	4.634176792	90.83344491	10.0240327	10.02360149	79.95236581										0	0	0	-1600.100385	0.0003153025796	-1153841.07881061	
1600.020385	10	10	80	0.004789276287	0.0003152332661	4.533174308	4.635532046	90.83129365	10.02576415	10.02530053	79.94893533										0	0	0	-1600.020385	0.0003152332661	-1154523.81293321	
1599.940385	10	10	80	0.005109858804	0.0003151639943	4.533970153	4.636887516	90.82914233	10.02749551	10.02699929	79.9455052										0	0	0	-1599.940385	0.0003151639943	-1155208.99793348	
1599.860385	10	10	80	0.005430268616	0.000315094763	4.534765836	4.638243202	90.82699096	10.02922678	10.0286978	79.94207542										0	0	0	-1599.860385	0.000315094763	-1155895.0204885	
1599.780385	10	10	80	0.005750505864	0.0003150255734	4.535561358	4.639599104	90.82483954	10.03095797	10.03039604	79.93864599										0	0	0	-1599.780385	0.0003150255734	-1156584.34559321	
1599.700385	10	10	80	0.006070570688	0.0003149564246	4.536356719	4.640955221	90.82268806	10.03268908	10.03209401	79.93521691										0	0	0	-1599.700385	0.0003149564246	-1157270.32106166	
1599.620385	10	10	80	0.006390463232	0.000314887317	4.537151918	4.642311555	90.82053653	10.0344201	10.03379172	79.93178818										0	0	0	-1599.620385	0.000314887317	-1157962.97607071	
1599.540385	10	10	80	0.006710183635	0.0003148182509	4.537946957	4.643668105	90.81838494	10.03615103	10.03548916	79.92835981										0	0	0	-1599.540385	0.0003148182509	-1158655.61463803	
1599.460385	10	10	80	0.007029732039	0.0003147492259	4.538741834	4.645024871	90.81623329	10.03788188	10.03718634	79.92493178										0	0	0	-1599.460385	0.0003147492259	-1159340.67986409	
1599.380385	10	10	80	0.007349108585	0.0003146802414	4.53953655	4.646381854	90.8140816	10.03961265	10.03888325	79.9215041										0	0	0	-1599.380385	0.0003146802414	-1160021.51542343	
1599.300385	10	10	80	0.007668313413	0.0003146112974	4.540331104	4.647739053	90.81192984	10.04134333	10.0405799	79.91807677										0	0	0	-1599.300385	0.0003146112974	-1160719.16895186	
1599.220385	10	10	80	0.007987346664	0.0003145423958	4.541125497	4.649096469	90.80977803	10.04307393	10.04227628	79.91464979										0	0	0	-1599.220385	0.0003145423958	-1161417.62361341	
1599.140385	10	10	80	0.00830620848	0.0003144735347	4.541919728	4.650454102	90.80762617	10.04480444	10.0439724	79.91122316										0	0	0	-1599.140385	0.0003144735347	-1162100.90149323	
1599.060385	10	10	80	0.008624898998	0.0003144047141	4.542713797	4.651811951	90.80547425	10.04653486	10.04566825	79.90779688										0	0	0	-1599.060385	0.0003144047141	-1162791.75223103	
1598.980385	10	10	80	0.008943418362	0.0003143359348	4.543507705	4.653170017	90.80332228	10.04826521	10.04736384	79.90437095										0	0	0	-1598.980385	0.0003143359348	-1163482.5617126	
1598.900385	10	10	80	0.009261766708	0.0003142671959	4.544301452	4.654528301	90.80117025	10.04999547	10.04905917	79.90094537										0	0	0	-1598.900385	0.0003142671959	-1164175.05869459	
1598.820385	10	10	80	0.00957994418	0.0003141984984	4.545095036	4.655886802	90.79901816	10.05172564	10.05075422	79.89752014										0	0	0	-1598.820385	0.0003141984984	-1164871.75663194	
1598.740385	10	10	80	0.009897950914	0.0003141298417	4.545888459	4.657245519	90.79686602	10.05345573	10.05244902	79.89409525										0	0	0	-1598.740385	0.0003141298417	-1165564.2004927	
1598.660385	10	10	80	0.01021578705	0.0003140612258	4.54668172	4.658604455	90.79471383	10.05518574	10.05414355	79.89067071										0	0	0	-1598.660385	0.0003140612258	-1166257.46807127	
1598.580385	10	10	80	0.01053345273	0.0003139926507	4.547474818	4.659963607	90.79256157	10.05691566	10.05583781	79.88724653										0	0	0	-1598.580385	0.0003139926507	-1166947.30026952	
1598.500385	10	10	80	0.0108509481	0.0003139241159	4.548267755	4.661322978	90.79040927	10.0586455	10.05753181	79.88382269										0	0	0	-1598.500385	0.0003139241159	-1167641.37163099	
1598.420385	10	10	80	0.01116827328	0.0003138556223	4.54906053	4.662682566	90.7882569	10.06037526	10.05922555	79.88039919										0	0	0	-1598.420385	0.0003138556223	-1168338.8132716	
1598.340385	10	10	80	0.01148542843	0.0003137871693	4.549853143	4.664042372	90.78610449	10.06210493	10.06091902	79.87697605										0	0	0	-1598.340385	0.0003137871693	-1169035.39046845	
1598.260385	10	10	80	0.01180241367	0.0003137187573	4.550645593	4.665402396	90.78395201	10.06383452	10.06261222	79.87355325										0	0	0	-1598.260385	0.0003137187573	-1169733.64681031	
1598.180385	10	10	80	0.01211922915	0.000313650386	4.551437881	4.666762638	90.78179948	10.06556403	10.06430516	79.87013081										0	0	0	-1598.180385	0.000313650386	-1170425.02906054	
1598.100385	10	10	80	0.01243587501	0.0003135820548	4.552230007	4.668123098	90.77964689	10.06729346	10.06599784	79.86670871										0	0	0	-1598.100385	0.0003135820548	-1171115.52481788	
1598.020385	10	10	80	0.01275235138	0.0003135137641	4.553021971	4.669483776	90.77749425	10.0690228	10.06769025	79.86328695										0	0	0	-1598.020385	0.0003135137641	-1171817.99779608	
1597.940385	10	10	80	0.01306865841	0.0003134455148	4.553813772	4.670844673	90.77534155	10.07075206	10.0693824	79.85986555										0	0	0	-1597.940385	0.0003134455148	-1172519.57491875	
1597.860385	10	10	80	0.01338479623	0.0003133773058	4.554605411	4.672205788	90.7731888	10.07248124	10.07107428	79.85644449										0	0	0	-1597.860385	0.0003133773058	-1173215.12479925	
1597.780385	10	10	80	0.01370076498	0.0003133091374	4.555396888	4.673567122	90.77103599	10.07421033	10.0727659	79.85302377										0	0	0	-1597.780385	0.0003133091374	-1173908.04503561	
1597.700385	10	10	80	0.01401656479	0.0003132410089	4.556188201	4.674928674	90.76888312	10.07593934	10.07445725	79.84960341										0	0	0	-1597.700385	0.0003132410089	-1174605.2518862	
