T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1767.190459	2	9	89	0	0	0.8792908808	3.417638021	95.7030711	2	9	89				-8.692248549E-05	-0.0004329701033	0.0005198925888	-1767.190459	0	64.4707049829877	
1767.180459	2	9	89	7.843299477E-05	7.758047916E-05	0.8793355211	3.417854097	95.70281038	2.000086872	9.000432665	88.99948046				0	0	0	-1767.180459	7.758047916E-05	193.326104427461	
1767.160459	2	9	89	0.0002352861397	0.0001551713136	0.8794248144	3.418286307	95.70228888	2.000260771	9.001298881	88.99844035				0	0	0	-1767.160459	0.0001551713136	257.861775888147	
1767.120459	2	9	89	0.0005487728851	0.0003101738516	0.8796035312	3.419150918	95.70124555	2.000608429	9.003030619	88.99636095				0	0	0	-1767.120459	0.0003101738516	258.08239129463	
1767.040459	2	9	89	0.001175299794	0.0006200993137	0.8799608082	3.420880129	95.69915906	2.001303664	9.006493708	88.99220263				0	0	0	-1767.040459	0.0006200993137	-209194.257119163	
1766.960459	2	9	89	0.001801049439	0.0006197164204	0.8803180503	3.422609536	95.69707241	2.001998788	9.009956277	88.98804494				0	0	0	-1766.960459	0.0006197164204	-250168.575924065	
1766.880459	2	9	89	0.002426121753	0.0006194315649	0.8806752576	3.424339139	95.6949856	2.002693801	9.013418329	88.98388787				0	0	0	-1766.880459	0.0006194315649	-281021.504094731	
1766.800459	2	9	89	0.003050517863	0.0006191470685	0.8810324301	3.426068938	95.69289863	2.003388705	9.016879862	88.97973143				0	0	0	-1766.800459	0.0006191470685	-281337.615544832	
1766.720459	2	9	89	0.00367423883	0.0006188628529	0.8813895677	3.427798932	95.6908115	2.004083498	9.020340878	88.97557562				0	0	0	-1766.720459	0.0006188628529	-281616.852106748	
1766.640459	2	9	89	0.004297285713	0.0006185789204	0.8817466706	3.429529123	95.68872421	2.004778182	9.023801376	88.97142044				0	0	0	-1766.640459	0.0006185789204	-281896.340401204	
1766.560459	2	9	89	0.004919659569	0.0006182952681	0.8821037386	3.43125951	95.68663675	2.005472755	9.027261357	88.96726589				0	0	0	-1766.560459	0.0006182952681	-282175.193004791	
1766.480459	2	9	89	0.005541361453	0.0006180118965	0.8824607718	3.432990094	95.68454913	2.006167219	9.03072082	88.96311196				0	0	0	-1766.480459	0.0006180118965	-282454.297083914	
1766.400459	2	9	89	0.006162392416	0.0006177288045	0.8828177702	3.434720873	95.68246136	2.006861573	9.034179767	88.95895866				0	0	0	-1766.400459	0.0006177288045	-282733.35529208	
1766.320459	2	9	89	0.00678275351	0.000617445992	0.8831747337	3.43645185	95.68037342	2.007555818	9.037638196	88.95480599				0	0	0	-1766.320459	0.000617445992	-283012.865330704	
1766.240459	2	9	89	0.007402445782	0.0006171634589	0.8835316624	3.438183023	95.67828531	2.008249953	9.041096109	88.95065394				0	0	0	-1766.240459	0.0006171634589	-283293.38109231	
1766.160459	2	9	89	0.00802147028	0.0006168812062	0.8838885563	3.439914392	95.67619705	2.008943978	9.044553504	88.94650252				0	0	0	-1766.160459	0.0006168812062	-283573.494690161	
1766.080459	2	9	89	0.008639828046	0.000616599231	0.8842454153	3.441645959	95.67410863	2.009637894	9.048010384	88.94235172				0	0	0	-1766.080459	0.000616599231	-283852.957563395	
1766.000459	2	9	89	0.009257520123	0.0006163175338	0.8846022394	3.443377722	95.67202004	2.010331701	9.051466747	88.93820155				0	0	0	-1766.000459	0.0006163175338	-284133.931397275	
1765.920459	2	9	89	0.009874547553	0.000616036116	0.8849590288	3.445109682	95.66993129	2.011025398	9.054922593	88.93405201				0	0	0	-1765.920459	0.000616036116	-284414.648713469	
1765.840459	2	9	89	0.01049091137	0.0006157549746	0.8853157832	3.44684184	95.66784238	2.011718986	9.058377924	88.92990309				0	0	0	-1765.840459	0.0006157549746	-284693.896986042	
1765.760459	2	9	89	0.01110661261	0.0006154741086	0.8856725028	3.448574194	95.6657533	2.012412466	9.061832738	88.9257548				0	0	0	-1765.760459	0.0006154741086	-284975.527002947	
1765.680459	2	9	89	0.01172165231	0.0006151935226	0.8860291875	3.450306746	95.66366407	2.013105836	9.065287037	88.92160713				0	0	0	-1765.680459	0.0006151935226	-285256.890201595	
1765.600459	2	9	89	0.0123360315	0.0006149132104	0.8863858373	3.452039495	95.66157467	2.013799097	9.06874082	88.91746008				0	0	0	-1765.600459	0.0006149132104	-285537.596604441	
1765.520459	2	9	89	0.01294975121	0.0006146331758	0.8867424523	3.453772441	95.65948511	2.014492249	9.072194088	88.91331366				0	0	0	-1765.520459	0.0006146331758	-285819.718061217	
1765.440459	2	9	89	0.01356281246	0.0006143534167	0.8870990324	3.455505585	95.65739538	2.015185293	9.07564684	88.90916787				0	0	0	-1765.440459	0.0006143534167	-286100.40268129	
1765.360459	2	9	89	0.01417521628	0.0006140739313	0.8874555776	3.457238927	95.6553055	2.015878228	9.079099077	88.90502269				0	0	0	-1765.360459	0.0006140739313	-286382.259076861	
1765.280459	2	9	89	0.0147869637	0.0006137947226	0.8878120879	3.458972466	95.65321545	2.016571054	9.082550799	88.90087815				0	0	0	-1765.280459	0.0006137947226	-286664.871145264	
1765.200459	2	9	89	0.01539805574	0.000613515788	0.8881685633	3.460706204	95.65112523	2.017263772	9.086002006	88.89673422				0	0	0	-1765.200459	0.000613515788	-286946.706179678	
1765.120459	2	9	89	0.01600849341	0.0006132371275	0.8885250039	3.462440139	95.64903486	2.017956381	9.089452699	88.89259092				0	0	0	-1765.120459	0.0006132371275	-287228.475964142	
1765.040459	2	9	89	0.01661827773	0.0006129587399	0.8888814095	3.464174272	95.64694432	2.018648881	9.092902876	88.88844824				0	0	0	-1765.040459	0.0006129587399	-287510.905633068	
1764.960459	2	9	89	0.01722740972	0.0006126806266	0.8892377802	3.465908603	95.64485362	2.019341274	9.09635254	88.88430619				0	0	0	-1764.960459	0.0006126806266	-287793.21414754	
1764.880459	2	9	89	0.01783589038	0.0006124027849	0.889594116	3.467643132	95.64276275	2.020033558	9.099801688	88.88016475				0	0	0	-1764.880459	0.0006124027849	-288076.758720885	
1764.800459	2	9	89	0.01844372074	0.0006121252188	0.8899504169	3.46937786	95.64067172	2.020725734	9.103250323	88.87602394				0	0	0	-1764.800459	0.0006121252188	-288360.489870289	
1764.720459	2	9	89	0.0190509018	0.0006118479236	0.8903066829	3.471112786	95.63858053	2.021417802	9.106698444	88.87188375				0	0	0	-1764.720459	0.0006118479236	-288642.494426902	
1764.640459	2	9	89	0.01965743457	0.0006115708996	0.890662914	3.47284791	95.63648918	2.022109762	9.110146051	88.86774419				0	0	0	-1764.640459	0.0006115708996	-288925.311867464	
1764.560459	2	9	89	0.02026332004	0.000611294147	0.8910191101	3.474583233	95.63439766	2.022801614	9.113593144	88.86360524				0	0	0	-1764.560459	0.000611294147	-289208.526526914	
1764.480459	2	9	89	0.02086855923	0.0006110176653	0.8913752713	3.476318755	95.63230597	2.023493358	9.117039723	88.85946692				0	0	0	-1764.480459	0.0006110176653	-289493.347634386	
1764.400459	2	9	89	0.02147315314	0.000610741457	0.8917313976	3.478054475	95.63021413	2.024184994	9.120485789	88.85532922				0	0	0	-1764.400459	0.000610741457	-289777.831184219	
1764.320459	2	9	89	0.02207710276	0.0006104655179	0.8920874889	3.479790394	95.62812212	2.024876522	9.123931342	88.85119214				0	0	0	-1764.320459	0.0006104655179	-290060.88092377	
1764.240459	2	9	89	0.02268040909	0.0006101898484	0.8924435453	3.481526512	95.62602994	2.025567943	9.127376381	88.84705568				0	0	0	-1764.240459	0.0006101898484	-290345.116826531	
1764.160459	2	9	89	0.02328307313	0.0006099144493	0.8927995667	3.483262829	95.6239376	2.026259257	9.130820908	88.84291984				0	0	0	-1764.160459	0.0006099144493	-290629.009477463	
1764.080459	2	9	89	0.02388509586	0.0006096393181	0.8931555532	3.484999346	95.6218451	2.026950463	9.134264922	88.83878462				0	0	0	-1764.080459	0.0006096393181	-290913.622005498	
1764.000459	2	9	89	0.02448647829	0.0006093644576	0.8935115047	3.486736061	95.61975243	2.027641561	9.137708423	88.83465002				0	0	0	-1764.000459	0.0006093644576	-291198.521203374	
1763.920459	2	9	89	0.02508722139	0.0006090898645	0.8938674212	3.488472976	95.6176596	2.028332552	9.141151411	88.83051604				0	0	0	-1763.920459	0.0006090898645	-291484.039037685	
1763.840459	2	9	89	0.02568732616	0.0006088155422	0.8942233028	3.49021009	95.61556661	2.029023436	9.144593887	88.82638268				0	0	0	-1763.840459	0.0006088155422	-291769.044035666	
1763.760459	2	9	89	0.02628679358	0.0006085414853	0.8945791495	3.491947403	95.61347345	2.029714213	9.148035851	88.82224994				0	0	0	-1763.760459	0.0006085414853	-292053.282813341	
