T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1608.108287	7	12	81	0	0	3.202938371	5.634982728	91.1620789	7	12	81										-0.0001568205994	-0.0002628746322	0.0004196952316	-1608.108287	0	241.837994291729	
1608.088287	7	12	81	8.423108052E-05	8.265269674E-05	3.203082193	5.635410465	91.16150734	7.000313641	12.00052575	80.99916061										0	0	0	-1608.088287	8.265269674E-05	242.114757132599	
1608.068287	7	12	81	0.0001683658209	0.0001652110205	3.203226009	5.635838211	91.16093578	7.00062729	12.00105146	80.99832125										0	0	0	-1608.068287	0.0001652110205	242.217463966397	
1608.028287	7	12	81	0.0003367088705	0.0003304003443	3.203513626	5.636693755	91.15979262	7.001254597	12.00210283	80.99664257										0	0	0	-1608.028287	0.0003304003443	242.182250202959	
1607.948287	7	12	81	0.0006732435573	0.0006606323591	3.204088802	5.638405029	91.15750617	7.002509264	12.0042053	80.99328544										0	0	0	-1607.948287	0.0006606323591	242.275765961671	
1607.788287	7	12	81	0.001346123002	0.001320917789	3.205238923	5.641828314	91.15293276	7.005018817	12.00840911	80.98657207										0	0	0	-1607.788287	0.001320917789	242.383032559865	
1607.468287	7	12	81	0.002690792196	0.002640450436	3.207538243	5.648677844	91.14378391	7.010038795	12.01681228	80.97314893										0	0	0	-1607.468287	0.002640450436	242.637066966201	
1606.828287	7	12	81	0.005375791041	0.005275381615	3.212133208	5.662388744	91.12547805	7.020082312	12.03360073	80.94631695										0	0	0	-1606.828287	0.005275381615	243.143678847838	
1605.548287	7	12	81	0.01072858314	0.01052885614	3.221308517	5.68985795	91.08883353	7.040184142	12.06710595	80.89270991										0	0	0	-1605.548287	0.01052885614	244.34689333935	
1602.988287	7	12	81	0.0213413642	0.02094669776	3.239602241	5.744985007	91.01541275	7.080453554	12.13382577	80.78572068										0	0	0	-1602.988287	0.02094669776	246.796476773186	
1600.428287	7	12	81	0.03186072206	0.03127546019	3.257820493	5.800365502	90.941814	7.120817404	12.20015707	80.67902553										0	0	0	-1600.428287	0.03127546019	248.975863084207	
1597.868287	7	12	81	0.04228325176	0.04151177138	3.275965206	5.855999621	90.86803517	7.161286982	12.26609504	80.57261798										0	0	0	-1597.868287	0.04151177138	251.198709919125	
1595.308287	7	12	81	0.05261192246	0.05165851757	3.294038143	5.911887774	90.79407408	7.201873362	12.33163525	80.46649139										0	0	0	-1595.308287	0.05165851757	253.39014888359	
1592.748287	7	12	81	0.06284962631	0.06171851095	3.312041135	5.968030258	90.71992861	7.242587875	12.39677303	80.36063909										0	0	0	-1592.748287	0.06171851095	255.549341670776	
1590.188287	7	12	81	0.07299918074	0.07169449187	3.329976083	6.024427249	90.64559667	7.283442117	12.4615035	80.25505438										0	0	0	-1590.188287	0.07169449187	257.675479700318	
1587.628287	7	12	81	0.08306333092	0.08158913117	3.34784496	6.081078796	90.57107624	7.324447957	12.52582154	80.1497305										0	0	0	-1587.628287	0.08158913117	259.767783017221	
1585.068287	7	12	81	0.09304475204	0.09140503238	3.365649813	6.137984813	90.49636537	7.36561755	12.58972179	80.04466066										0	0	0	-1585.068287	0.09140503238	261.825502177489	
1582.508287	7	12	81	0.1029460515	0.1011447338	3.383392765	6.195145074	90.42146216	7.406963341	12.65319867	79.93983799										0	0	0	-1582.508287	0.1011447338	263.847918206713	
1579.948287	7	12	81	0.1127697707	0.1108107106	3.401076021	6.252559206	90.34636477	7.448498076	12.71624631	79.83525562										0	0	0	-1579.948287	0.1108107106	265.834349575987	
1577.388287	7	12	81	0.1225183875	0.1204053763	3.418701864	6.310226679	90.27107146	7.490234816	12.77885859	79.73090659										0	0	0	-1577.388287	0.1204053763	267.784150530456	
1574.828287	7	12	81	0.1321943174	0.1299310849	3.436272664	6.368146801	90.19558054	7.532186941	12.84102915	79.62678391										0	0	0	-1574.828287	0.1299310849	269.696712472749	
1572.268287	7	12	81	0.1417999156	0.1393901322	3.453790877	6.426318708	90.11989042	7.574368166	12.90275131	79.52288052										0	0	0	-1572.268287	0.1393901322	271.571468722246	
1569.708287	7	12	81	0.1513374784	0.1487847575	3.471259046	6.484741359	90.04399959	7.616792546	12.96401813	79.41918933										0	0	0	-1569.708287	0.1487847575	273.407896995623	
1567.148287	7	12	81	0.1608092446	0.1581171447	3.488679811	6.543413523	89.96790667	7.659474494	13.02482235	79.31570315										0	0	0	-1567.148287	0.1581171447	275.205518289587	
1564.588287	7	12	81	0.1702173971	0.167389424	3.506055901	6.602333773	89.89161033	7.702428785	13.08515644	79.21241478										0	0	0	-1564.588287	0.167389424	276.963903655713	
1562.028287	7	12	81	0.1795640638	0.1766036725	3.523390146	6.661500476	89.81510938	7.745670573	13.14501252	79.10931691										0	0	0	-1562.028287	0.1766036725	278.682671505628	
1559.468287	7	12	81	0.1888513188	0.185761916	3.540685475	6.720911783	89.73840274	7.7892154	13.20438239	79.00640221										0	0	0	-1559.468287	0.185761916	280.36149328076	
