T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1814.52522	8	2	90	0	0	3.232154025	0.6816918116	96.08615416	8	2	90										-0.000547263355	-0.0001513189922	0.0006985823472	-1814.52522	0	87.0796169072075	
1814.50522	8	2	90	0.0002328058286	0.000229603237	3.232637308	0.6818097603	96.08555293	8.00109453	2.000302629	89.99860284										0	0	0	-1814.50522	0.000229603237	87.1339548289942	
1814.48522	8	2	90	0.0004654659281	0.0004590633795	3.23312055	0.6819277123	96.08495174	8.002188984	2.000605269	89.99720575										0	0	0	-1814.48522	0.0004590633795	87.1740364268951	
1814.44522	8	2	90	0.0009305772878	0.0009177795857	3.234087019	0.6821636173	96.08374936	8.004377796	2.001210507	89.9944117										0	0	0	-1814.44522	0.0009177795857	87.2197046295032	
1814.36522	8	2	90	0.001860158748	0.00183458711	3.236019834	0.6826354616	96.0813447	8.008754882	2.002420914	89.9888242										0	0	0	-1814.36522	0.00183458711	87.3056035471367	
1814.20522	8	2	90	0.003716340414	0.003665292069	3.239884984	0.6835792813	96.07653573	8.017506922	2.004841423	89.97765165										0	0	0	-1814.20522	0.003665292069	87.4907887910172	
1813.88522	8	2	90	0.007416823064	0.007315105004	3.247613361	0.6854674451	96.06691919	8.035002486	2.009681228	89.95531629										0	0	0	-1813.88522	0.007315105004	87.9247863589706	
1813.24522	8	2	90	0.01475511254	0.01455339114	3.263061337	0.6892464571	96.04769221	8.069956842	2.019357692	89.91068547										0	0	0	-1813.24522	0.01455339114	88.8260335937574	
1811.96522	8	2	90	0.02923148316	0.02883437907	3.293925408	0.6968134184	96.00926117	8.139727207	2.038692715	89.82158008										0	0	0	-1811.96522	0.02883437907	90.4813758051908	
1809.40522	8	2	90	0.05738834953	0.05661865725	3.355536173	0.712028229	95.9324356	8.278757392	2.077303457	89.64393915										0	0	0	-1809.40522	0.05661865725	93.8960007378514	
1806.84522	8	2	90	0.08451866153	0.08339967344	3.416962057	0.7272478843	95.85579006	8.417013217	2.115808744	89.46717804										0	0	0	-1806.84522	0.08339967344	97.3621381366943	
1804.28522	8	2	90	0.110685867	0.1092394928	3.478214716	0.7425153013	95.77926998	8.55454579	2.154216571	89.29123764										0	0	0	-1804.28522	0.1092394928	100.869006819145	
1801.72522	8	2	90	0.1359427803	0.1341897276	3.539294181	0.7578298406	95.70287598	8.691364268	2.192524107	89.11611162										0	0	0	-1801.72522	0.1341897276	104.426032560049	
1799.16522	8	2	90	0.160338424	0.1582982846	3.600200575	0.7731908264	95.6266086	8.827477891	2.230728421	88.94179369										0	0	0	-1799.16522	0.1582982846	108.032456609758	
1796.60522	8	2	90	0.1839183576	0.1816096859	3.660934124	0.7885975495	95.55046833	8.962896	2.268826489	88.76827751										0	0	0	-1796.60522	0.1816096859	111.687524314179	
1794.04522	8	2	90	0.2067249793	0.2041653646	3.721495155	0.8040492664	95.47445558	9.097628048	2.306815197	88.59555676										0	0	0	-1794.04522	0.2041653646	115.390471743573	
1791.48522	8	2	90	0.2287977972	0.2260039287	3.781884095	0.8195451988	95.39857071	9.231683591	2.344691338	88.42362507										0	0	0	-1791.48522	0.2260039287	119.140527525443	
1788.92522	8	2	90	0.2501736712	0.2471613988	3.842101471	0.8350845336	95.322814	9.365072297	2.382451615	88.25247609										0	0	0	-1788.92522	0.2471613988	122.936912247365	
1786.36522	8	2	90	0.2708870327	0.267671422	3.90214791	0.8506664222	95.24718567	9.497803945	2.420092642	88.08210341										0	0	0	-1786.36522	0.267671422	126.778839614225	
1783.80522	8	2	90	0.2909700816	0.2875654647	3.962024134	0.8662899802	95.17168589	9.629888426	2.457610945	87.91250063										0	0	0	-1783.80522	0.2875654647	130.665515372103	
1781.24522	8	2	90	0.3104529649	0.3068729874	4.021730966	0.8819542871	95.09631475	9.761335744	2.495002964	87.74366129										0	0	0	-1781.24522	0.3068729874	134.596139086966	
1778.68522	8	2	90	0.3293639384	0.325621602	4.081269324	0.8976583858	95.02107229	9.892156017	2.532265049	87.57557893										0	0	0	-1778.68522	0.325621602	138.569902483529	
1776.12522	8	2	90	0.3477295128	0.3438372158	4.140640219	0.9134012823	94.9459585	10.02235948	2.569393467	87.40824705										0	0	0	-1776.12522	0.3438372158	142.585990629595	
1773.56522	8	2	90	0.3655745873	0.3615441608	4.199844762	0.9291819453	94.87097329	10.15195648	2.6063844	87.24165912										0	0	0	-1773.56522	0.3615441608	146.643582798029	
1771.00522	8	2	90	0.3829225703	0.3787653125	4.258884153	0.944999306	94.79611654	10.28095749	2.643233947	87.07580856										0	0	0	-1771.00522	0.3787653125	150.74185035246	
1768.44522	8	2	90	0.3997954896	0.3955221976	4.317759689	0.9608522572	94.72138805	10.4093731	2.679938122	86.91068878										0	0	0	-1768.44522	0.3955221976	154.879960259258	
1765.88522	8	2	90	0.4162140935	0.411835092	4.376472757	0.9767396536	94.64678759	10.53721399	2.716492859	86.74629315										0	0	0	-1765.88522	0.411835092	159.057073369919	
1763.32522	8	2	90	0.4321979419	0.427723111	4.435024837	0.992660311	94.57231485	10.66449101	2.75289401	86.58261498										0	0	0	-1763.32522	0.427723111	163.272344155733	
1760.76522	8	2	90	0.4477654912	0.4432042913	4.493417497	1.008613006	94.4979695	10.79121509	2.789137346	86.41964757										0	0	0	-1760.76522	0.4432042913	167.524923586797	
1758.20522	8	2	90	0.4629341705	0.4582956661	4.551652399	1.024596476	94.42375113	10.91739728	2.82521856	86.25738416										0	0	0	-1758.20522	0.4582956661	171.813957268856	
1755.64522	8	2	90	0.4777204528	0.4730133344	4.60973129	1.040609417	94.34965929	11.04304878	2.861133267	86.09581795										0	0	0	-1755.64522	0.4730133344	176.138587956755	
1753.08522	8	2	90	0.4921399197	0.4873725239	4.667656007	1.056650488	94.27569351	11.16818088	2.896877003	85.93494212										0	0	0	-1753.08522	0.4873725239	180.497952827135	
1750.52522	8	2	90	0.5062073206	0.50138765	4.725428474	1.072718303	94.20185322	11.292805	2.932445227	85.77474978										0	0	0	-1750.52522	0.50138765	184.89118672864	
1747.96522	8	2	90	0.5199366282	0.5150723686	4.7830507	1.088811439	94.12813786	11.41693268	2.967833323	85.615234										0	0	0	-1747.96522	0.5150723686	189.317423709383	
1745.40522	8	2	90	0.5333410885	0.528439626	4.84052478	1.104928428	94.05454679	11.54057558	3.003036602	85.45638782										0	0	0	-1745.40522	0.528439626	193.775794768825	
1742.84522	8	2	90	0.5464332677	0.5415017042	4.897852895	1.121067764	93.98107934	11.66374548	3.038050297	85.29820422										0	0	0	-1742.84522	0.5415017042	198.265429048162	
1740.28522	8	2	90	0.5592250954	0.5542702633	4.955037307	1.137227897	93.9077348	11.78645428	3.072869572	85.14067615										0	0	0	-1740.28522	0.5542702633	202.785455031227	
1737.72522	8	2	90	0.5717279038	0.5667563801	5.012080363	1.153407234	93.8345124	11.90871399	3.107489516	84.98379649										0	0	0	-1737.72522	0.5667563801	207.335022800485	
1735.16522	8	2	90	0.583952463	0.5789705819	5.06898445	1.16960414	93.76141141	12.03053677	3.141905137	84.82755809										0	0	0	-1735.16522	0.5789705819	211.913223325395	
