T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1708.800438	11	5	84	0	0	4.741044436	1.937824804	93.32113076	11	5	84				-0.0003677308643	-0.0001799108193	0.0005476416836	-1708.800438	0	170.031556482511	
1708.780438	11	5	84	0.0001199746626	0.0001175646314	4.741399262	1.938011603	93.32058914	11.00073548	5.000359808	83.99890472				0	0	0	-1708.780438	0.0001175646314	170.20682578969	
1708.760438	11	5	84	0.0002398256316	0.0002350083259	4.741754053	1.938198412	93.32004753	11.00147089	5.000719623	83.99780949				0	0	0	-1708.760438	0.0002350083259	170.280697782389	
1708.720438	11	5	84	0.0004795844948	0.0004699523132	4.742463628	1.938572032	93.31896434	11.00294169	5.001439189	83.99561912				0	0	0	-1708.720438	0.0004699523132	170.290061571185	
1708.640438	11	5	84	0.0009587889991	0.0009395366189	4.743882672	1.939319311	93.31679802	11.00588303	5.00287814	83.99123883				0	0	0	-1708.640438	0.0009395366189	170.403387375323	
1708.480438	11	5	84	0.001916511369	0.001878045427	4.746720329	1.940814036	93.31246564	11.01176466	5.005755356	83.98247998				0	0	0	-1708.480438	0.001878045427	170.57659873333	
1708.160438	11	5	84	0.003828763904	0.00375198704	4.752393925	1.943804145	93.30380193	11.02352371	5.011507015	83.96496928				0	0	0	-1708.160438	0.00375198704	170.950144368211	
1707.520438	11	5	84	0.007640554544	0.007487618844	4.763734258	1.949786999	93.28647874	11.04702501	5.022999224	83.92997577				0	0	0	-1707.520438	0.007487618844	171.811877258676	
1706.240438	11	5	84	0.01519895831	0.01489583252	4.786385838	1.961764201	93.25184996	11.0939568	5.045941533	83.86010166				0	0	0	-1706.240438	0.01489583252	173.59419834072	
1703.680438	11	5	84	0.03010391669	0.02950788983	4.831578275	1.985761533	93.18266019	11.18755344	5.091649235	83.72079733				0	0	0	-1703.680438	0.02950788983	176.887984267964	
1701.120438	11	5	84	0.04472493136	0.04384589236	4.87662305	2.009816419	93.11356053	11.28079876	5.137120445	83.58208079				0	0	0	-1701.120438	0.04384589236	180.246706016636	
1698.560438	11	5	84	0.05907083304	0.05791836495	4.921521354	2.033928494	93.04455015	11.37370163	5.182352548	83.44394582				0	0	0	-1698.560438	0.05791836495	183.623594039167	
1696.000438	11	5	84	0.07315037138	0.07173375866	4.966274474	2.058097352	92.97562817	11.46627102	5.227342832	83.30638615				0	0	0	-1696.000438	0.07173375866	187.016337050995	
