T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1655.742351	1	15	84	0	0	0.4673604788	6.965921666	92.56671786	1	15	84										-2.699854628E-05	-0.0004072271899	0.0004342257362	-1655.742351	0	197.097370136976	
1655.722351	1	15	84	0.000102754445	0.0001014272029	0.467386856	6.96654459	92.56606855	1.000053998	15.00081445	83.99913155										0	0	0	-1655.722351	0.0001014272029	197.274148121843	
1655.702351	1	15	84	0.0002054166959	0.0002027635979	0.4674132324	6.96716754	92.56541923	1.000107997	15.00162888	83.99826313										0	0	0	-1655.702351	0.0002027635979	197.341009265762	
1655.662351	1	15	84	0.0004108075815	0.0004055025013	0.4674659845	6.968413532	92.56412048	1.000216	15.00325768	83.99652632										0	0	0	-1655.662351	0.0004055025013	197.326194605292	
1655.582351	1	15	84	0.0008214116055	0.0008108072019	0.4675714847	6.970905868	92.56152265	1.000432027	15.00651503	83.99305295										0	0	0	-1655.582351	0.0008108072019	197.398323981322	
1655.422351	1	15	84	0.00164241102	0.001621220051	0.4677824688	6.975891951	92.55632558	1.000864163	15.01302875	83.98610709										0	0	0	-1655.422351	0.001621220051	197.478138327732	
1655.102351	1	15	84	0.003283178049	0.003240867398	0.4682043722	6.985869759	92.54592587	1.001728761	15.0260523	83.97221894										0	0	0	-1655.102351	0.003240867398	197.669247298428	
1654.462351	1	15	84	0.006559818971	0.006475482316	0.4690479258	7.005847987	92.52510409	1.003459289	15.05208381	83.9444569										0	0	0	-1654.462351	0.006475482316	198.148283319385	
1653.182351	1	15	84	0.01308402735	0.01291661201	0.4707340458	7.045895138	92.48337082	1.006925795	15.10408472	83.88898949										0	0	0	-1653.182351	0.01291661201	199.143984582168	
1650.622351	1	15	84	0.02604793018	0.02571783788	0.4741027458	7.126354665	92.39954259	1.013882055	15.20783979	83.77827815										0	0	0	-1650.622351	0.02571783788	200.849101529438	
1648.062351	1	15	84	0.03889745022	0.03840933115	0.4774674037	7.207305525	92.31522707	1.020871901	15.31126927	83.66785882										0	0	0	-1648.062351	0.03840933115	202.552136724771	
1645.502351	1	15	84	0.05163772093	0.05099614735	0.4808288909	7.288753008	92.2304181	1.027898541	15.41437694	83.55772452										0	0	0	-1645.502351	0.05099614735	204.201565426274	
1642.942351	1	15	84	0.06427391888	0.06348338721	0.4841881172	7.370702388	92.1451095	1.034965297	15.51716654	83.44786817										0	0	0	-1642.942351	0.06348338721	205.794637398137	
1640.382351	1	15	84	0.07681110275	0.07587603769	0.4875460352	7.453158929	92.05929504	1.042075601	15.61964173	83.33828266										0	0	0	-1640.382351	0.07587603769	207.32993071302	
1637.822351	1	15	84	0.08925421955	0.08817897801	0.4909036424	7.536127876	91.97296848	1.049233007	15.7218061	83.2289609										0	0	0	-1637.822351	0.08817897801	208.806072637315	
1635.262351	1	15	84	0.1016081106	0.1003969857	0.4942619834	7.619614453	91.88612356	1.056441192	15.82366309	83.11989572										0	0	0	-1635.262351	0.1003969857	210.22174281142	
1632.702351	1	15	84	0.1138775177	0.1125347421	0.497622152	7.703623857	91.79875399	1.063703964	15.92521608	83.01107996										0	0	0	-1632.702351	0.1125347421	211.575672791926	
1630.142351	1	15	84	0.1260670881	0.1245968383	0.500985294	7.788161251	91.71085346	1.071025272	16.02646831	82.90250641										0	0	0	-1630.142351	0.1245968383	212.86665141148	
1627.582351	1	15	84	0.1381813804	0.1365877799	0.5043526097	7.87323176	91.62241563	1.078409209	16.12742293	82.79416786										0	0	0	-1627.582351	0.1365877799	214.093531124587	
1625.022351	1	15	84	0.1502248693	0.1485119921	0.5077253564	7.958840464	91.53343418	1.085860024	16.22808294	82.68605703										0	0	0	-1625.022351	0.1485119921	215.255224188074	
1622.462351	1	15	84	0.1622019504	0.1603738248	0.5111048519	8.04499239	91.44390276	1.093382126	16.32845123	82.57816664										0	0	0	-1622.462351	0.1603738248	216.350714421884	
1619.902351	1	15	84	0.1741169452	0.1721775563	0.5144924771	8.131692507	91.35381502	1.100980098	16.42853054	82.47048936										0	0	0	-1619.902351	0.1721775563	217.379053595282	
1617.342351	1	15	84	0.1859741047	0.1839273987	0.5178896796	8.218945714	91.26316461	1.108658702	16.52832346	82.36301783										0	0	0	-1617.342351	0.1839273987	218.339364671425	
1614.782351	1	15	84	0.1977776143	0.1956275012	0.5212979773	8.306756835	91.17194519	1.116422893	16.62783245	82.25574466										0	0	0	-1614.782351	0.1956275012	219.230852963457	
1612.222351	1	15	84	0.2095315974	0.2072819542	0.5247189618	8.395130609	91.08015043	1.124277826	16.72705976	82.14866241										0	0	0	-1612.222351	0.2072819542	220.052800120822	
1609.662351	1	15	84	0.2212401194	0.2188947932	0.5281543031	8.484071677	90.98777402	1.132228871	16.82600752	82.04176361										0	0	0	-1609.662351	0.2188947932	220.804571906053	
1607.102351	1	15	84	0.2329071909	0.230470002	0.531605753	8.573584575	90.89480967	1.140281623	16.92467762	81.93504076										0	0	0	-1607.102351	0.230470002	221.485616456302	
1604.542351	1	15	84	0.2445367714	0.2420115167	0.5350751505	8.663673719	90.80125113	1.148441915	17.02307178	81.8284863										0	0	0	-1604.542351	0.2420115167	222.095474157638	
1601.982351	1	15	84	0.2561327725	0.2535232278	0.5385644261	8.754343397	90.70709218	1.156715835	17.12119151	81.72209265										0	0	0	-1601.982351	0.2535232278	222.633776647381	
1599.422351	1	15	84	0.2676990605	0.2650089842	0.5420756072	8.845597748	90.61232664	1.165109738	17.21903808	81.61585218										0	0	0	-1599.422351	0.2650089842	223.100245034366	
1596.862351	1	15	84	0.2792394597	0.2764725954	0.5456108235	8.937440756	90.51694842	1.17363026	17.31661253	81.50975721										0	0	0	-1596.862351	0.2764725954	223.494701220544	
1594.302351	1	15	84	0.2907577548	0.2879178342	0.5491723133	9.029876228	90.42095146	1.182284341	17.41391562	81.40380004										0	0	0	-1594.302351	0.2879178342	223.817063764208	
1591.742351	1	15	84	0.3022576933	0.2993484392	0.5527624292	9.12290778	90.32432979	1.19107924	17.51094785	81.29797291										0	0	0	-1591.742351	0.2993484392	224.067352206608	
1589.182351	1	15	84	0.3137429878	0.3107681169	0.5563836453	9.216538818	90.22707754	1.20002255	17.60770944	81.19226801										0	0	0	-1589.182351	0.3107681169	224.245687268257	
1586.622351	1	15	84	0.3252173178	0.322180544	0.5600385643	9.310772518	90.12918892	1.20912223	17.70420026	81.08667751										0	0	0	-1586.622351	0.322180544	224.352298678646	
1584.062351	1	15	84	0.3366843319	0.3335893685	0.5637299252	9.405611804	90.03065827	1.218386614	17.80041986	80.98119353										0	0	0	-1584.062351	0.3335893685	224.387519911805	
1581.502351	1	15	84	0.3481476491	0.3449982123	0.5674606114	9.501059328	89.93148006	1.227824447	17.89636742	80.87580813										0	0	0	-1581.502351	0.3449982123	224.351793453657	
1578.942351	1	15	84	0.3596108602	0.3564106715	0.5712336599	9.597117442	89.8316489	1.237444902	17.99204175	80.77051335										0	0	0	-1578.942351	0.3564106715	224.245675680802	
1576.382351	1	15	84	0.3710775288	0.3678303182	0.5750522704	9.693788173	89.73115956	1.247257613	18.0874412	80.66530119										0	0	0	-1576.382351	0.3678303182	224.069829575001	
1573.822351	1	15	84	0.3825511925	0.3792607012	0.5789198157	9.791073194	89.63000699	1.257272701	18.18256372	80.56016358										0	0	0	-1573.822351	0.3792607012	223.825035675324	
1571.262351	1	15	84	0.3940353631	0.3907053463	0.5828398527	9.888973793	89.52818635	1.267500808	18.27740674	80.45509246										0	0	0	-1571.262351	0.3907053463	223.512186881623	
1568.702351	1	15	84	0.4055335271	0.4021677571	0.5868161335	9.987490839	89.42569303	1.277953131	18.37196719	80.35007968										0	0	0	-1568.702351	0.4021677571	223.132293480122	
1566.142351	1	15	84	0.4170491452	0.4136514143	0.5908526188	10.08662475	89.32252264	1.288641457	18.46624144	80.24511711										0	0	0	-1566.142351	0.4136514143	222.686485731843	
1563.582351	1	15	84	0.4285856527	0.4251597757	0.5949534906	10.18637543	89.21867108	1.299578206	18.56022526	80.14019654										0	0	0	-1563.582351	0.4251597757	222.176008984656	
1561.022351	1	15	84	0.4401464579	0.4366962754	0.5991231672	10.28674228	89.11413456	1.31077647	18.65391377	80.03530976										0	0	0	-1561.022351	0.4366962754	221.602229877552	
1558.462351	1	15	84	0.4517349414	0.4482643225	0.6033663185	10.38772408	89.0089096	1.32225006	18.74730142	79.93044852										0	0	0	-1558.462351	0.4482643225	220.966636967545	
1555.902351	1	15	84	0.4633544542	0.4598672995	0.6076878829	10.48931902	88.9029931	1.334013556	18.84038188	79.82560456										0	0	0	-1555.902351	0.4598672995	220.270841564869	
1553.342351	1	15	84	0.4750083157	0.4715085601	0.6120930849	10.59152456	88.79638236	1.34608236	18.93314803	79.72076961										0	0	0	-1553.342351	0.4715085601	219.516576897234	
1550.782351	1	15	84	0.486699811	0.4831914268	0.6165874552	10.69433744	88.68907511	1.358472754	19.02559189	79.61593536										0	0	0	-1550.782351	0.4831914268	218.705702977389	
1548.222351	1	15	84	0.4984321875	0.4949191872	0.6211768508	10.79775359	88.58106956	1.371201959	19.11770452	79.51109352										0	0	0	-1548.222351	0.4949191872	217.840208727368	
1545.662351	1	15	84	0.5102086511	0.5066950903	0.6258674777	10.90176805	88.47236447	1.384288207	19.209476	79.40623579										0	0	0	-1545.662351	0.5066950903	216.922208381415	
1543.102351	1	15	84	0.5220323616	0.518522342	0.6306659154	11.00637494	88.36295914	1.397750806	19.30089531	79.30135389										0	0	0	-1543.102351	0.518522342	215.953948079039	
1540.542351	1	15	84	0.5339064273	0.5304040994	0.6355791422	11.11156731	88.25285355	1.411610225	19.39195023	79.19643955										0	0	0	-1540.542351	0.5304040994	214.937809412858	
1537.982351	1	15	84	0.5458338984	0.5423434645	0.6406145639	11.21733712	88.14204831	1.425888173	19.48262731	79.09148452										0	0	0	-1537.982351	0.5423434645	213.876306335921	
1535.422351	1	15	84	0.5578177601	0.5543434773	0.6457800437	11.32367511	88.03054485	1.440607691	19.57291169	78.98648062										0	0	0	-1535.422351	0.5543434773	212.772091673116	
1532.862351	1	15	84	0.5698609244	0.5664071071	0.6510839345	11.4305707	87.91834537	1.455793253	19.66278706	78.88141968										0	0	0	-1532.862351	0.5664071071	211.627964071477	
1530.302351	1	15	84	0.5819662201	0.578537243	0.6565351142	11.53801189	87.805453	1.471470866	19.75223549	78.77629364										0	0	0	-1530.302351	0.578537243	210.446865481191	
1527.742351	1	15	84	0.5941363828	0.5907366835	0.6621430234	11.64598513	87.69187185	1.487668189	19.84123732	78.67109449										0	0	0	-1527.742351	0.5907366835	209.231888631792	
1525.182351	1	15	84	0.6063740423	0.603008124	0.6679177057	11.7544752	87.57760709	1.504414655	19.92977102	78.56581432										0	0	0	-1525.182351	0.603008124	207.986288069772	
1522.622351	1	15	84	0.6186817091	0.6153541428	0.6738698512	11.86346507	87.46266507	1.521741603	20.01781303	78.46044536										0	0	0	-1522.622351	0.6153541428	206.713476763982	
1520.062351	1	15	84	0.631061759	0.6277771865	0.6800108438	11.97293573	87.34705342	1.539682422	20.10533762	78.35497996										0	0	0	-1520.062351	0.6277771865	205.417063132203	
1517.502351	1	15	84	0.6435164132	0.6402795488	0.6863528095	12.08286604	87.23078115	1.558272705	20.19231658	78.24941071										0	0	0	-1517.502351	0.6402795488	204.100768141592	
1514.942351	1	15	84	0.6560477304	0.6528633633	0.6929086772	12.19323254	87.11385878	1.577550426	20.2787194	78.14373018										0	0	0	-1514.942351	0.6528633633	202.768544120411	
1512.382351	1	15	84	0.6686575682	0.6655305644	0.6996922267	12.30400928	86.99629849	1.597556103	20.36451256	78.03793134										0	0	0	-1512.382351	0.6655305644	201.424596028953	
1509.822351	1	15	84	0.6813475707	0.6782828746	0.7067181567	12.41516758	86.87811426	1.618333	20.44965962	77.93200738										0	0	0	-1509.822351	0.6782828746	200.073227140083	
1507.262351	1	15	84	0.6941191451	0.6911217808	0.7140021568	12.52667592	86.75932193	1.639927337	20.53412092	77.82595174										0	0	0	-1507.262351	0.6911217808	198.719124854087	
1504.702351	1	15	84	0.7069734092	0.7040484817	0.7215609496	12.63849936	86.63993969	1.662388504	20.6178533	77.71975819										0	0	0	-1504.702351	0.7040484817	197.367141132882	
1502.142351	1	15	84	0.7199111932	0.717063889	0.7294124068	12.75059976	86.51998784	1.685769307	20.70080983	77.61342086										0	0	0	-1502.142351	0.717063889	196.022301824173	
1499.582351	1	15	84	0.7329329814	0.7301685689	0.737575601	12.86293518	86.39948922	1.710126221	20.78293949	77.50693429										0	0	0	-1499.582351	0.7301685689	194.690054691278	
1497.022351	1	15	84	0.7460388787	0.7433627079	0.7460708962	12.97545968	86.27846942	1.735519654	20.86418691	77.40029344										0	0	0	-1497.022351	0.7433627079	193.37611794193	
1494.462351	1	15	84	0.7592285679	0.7566460695	0.7549200344	13.08812301	86.15695696	1.762014236	20.94449196	77.29349381										0	0	0	-1494.462351	0.7566460695	192.086555157414	
1491.902351	1	15	84	0.7725012622	0.7700179463	0.7641462278	13.20087024	86.03498353	1.789679124	21.02378945	77.18653143										0	0	0	-1491.902351	0.7700179463	190.827806348467	
1489.342351	1	15	84	0.7858556548	0.7834771088	0.7737742527	13.31364146	85.91258428	1.818588314	21.10200873	77.07940295										0	0	0	-1489.342351	0.7834771088	189.606724696253	
1486.782351	1	15	84	0.7992898636	0.7970217491	0.7838305467	13.42637137	85.78979808	1.848820974	21.1790733	76.97210572										0	0	0	-1486.782351	0.7970217491	188.43062210984	
1484.222351	1	15	84	0.8128013717	0.8106494206	0.7943433072	13.53898893	85.66666776	1.880461784	21.25490041	76.8646378										0	0	0	-1484.222351	0.8106494206	187.307312884323	
1481.662351	1	15	84	0.8263869641	0.8243569736	0.8053425901	13.65141693	85.54324048	1.913601289	21.32940063	76.75699809										0	0	0	-1481.662351	0.8243569736	186.245167699332	
1479.102351	1	15	84	0.8400426599	0.8381404865	0.8168604071	13.76357163	85.41956796	1.948336251	21.40247742	76.64918633										0	0	0	-1479.102351	0.8381404865	185.253174852125	
1476.542351	1	15	84	0.8537636411	0.8519951933	0.8289308189	13.87536232	85.29570686	1.984770007	21.47402673	76.54120327										0	0	0	-1476.542351	0.8519951933	184.341008961908	
1473.982351	1	15	84	0.8675441784	0.8659154075	0.8415900223	13.98669095	85.17171903	2.023012813	21.54393656	76.43305063										0	0	0	-1473.982351	0.8659154075	183.519104391272	
1471.422351	1	15	84	0.881377554	0.8798944441	0.8548764269	14.09745172	85.04767186	2.063182179	21.61208657	76.32473125										0	0	0	-1471.422351	0.8798944441	182.798739658886	
1468.862351	1	15	84	0.8952559834	0.8939245395	0.8688307181	14.20753072	84.92363856	2.105403167	21.6783477	76.21624913										0	0	0	-1468.862351	0.8939245395	182.192134790618	
1466.302351	1	15	84	0.9091705377	0.9079967715	0.8834959014	14.31680564	84.79969845	2.149808664	21.74258185	76.10760949										0	0	0	-1466.302351	0.9079967715	181.712554191253	
1463.742351	1	15	84	0.9231110666	0.9221009812	0.8989173213	14.42514547	84.67593721	2.196539585	21.8046416	75.99881882										0	0	0	-1463.742351	0.9221009812	181.374425047077	
1461.182351	1	15	84	0.9370661266	0.9362256985	0.9151426499	14.53241031	84.55244704	2.245745017	21.86437006	75.88988492										0	0	0	-1461.182351	0.9362256985	181.193465562126	
1458.622351	1	15	84	0.9510229154	0.950358075	0.9322218363	14.63845129	84.42932687	2.297582256	21.92160081	75.78081693										0	0	0	-1458.622351	0.950358075	181.186833255941	
1456.062351	1	15	84	0.9649672162	0.9644838256	0.9502070094	14.74311061	84.30668238	2.35221674	21.97615793	75.67162533										0	0	0	-1456.062351	0.9644838256	181.37328216943	
1453.502351	1	15	84	0.9788833564	0.9785871856	0.9691523247	14.8462217	84.18462598	2.40982183	22.02785626	75.56232191										0	0	0	-1453.502351	0.9785871856	181.77333485386	
1450.942351	1	15	84	0.9927541842	0.9926508849	0.9891137475	14.94760957	84.06327668	2.470578428	22.07650186	75.45291971										0	0	0	-1450.942351	0.9926508849	182.382040802604	
1449.662351	1	15	84	0.9996671361	0.9996623518	0.9994927619	14.99760206	84.00290517	2.502195411	22.09961878	75.3981858										0	0	0	-1449.662351	0.9996623518	182.735890697742	
1449.622351	1	15	84	0.9998829235	0.9998812403	0.9998214056	14.9991566	84.00102199	2.503196898	22.1003281	75.396475										0	0	0	-1449.622351	0.9998812403	182.738491672232	
1449.602351	1	15	84	0.9999908192	0.9999906872	0.9999858915	14.99993357	84.00008054	2.503698111	22.10068228	75.39561961										0	0	0	-1449.602351	0.9999906872	1993.50424678855	
1449.582351	1	15	84	1	1	0.9999999941	14.99999927	84.00000073																-1449.582351	1	2147.58182285403	
1449.572351	1	15	84	1	1	1.000000005	15.00000005	83.99999994																-1449.572351	1	NaN	
1449.552351	1	15	84	1	1	1	15	84																-1449.552351	1	NaN	
1449.512351	1	15	84	1	1	1	15	84																-1449.512351	1	NaN	
1449.432351	1	15	84	1	1	1	15	84																-1449.432351	1	NaN	
1449.272351	1	15	84	1	1	1	15	84																-1449.272351	1	NaN	
1448.952351	1	15	84	1	1	0.9999999999	15	84																-1448.952351	1	NaN	
1448.312351	1	15	84	1	1	0.9999999997	14.99999999	84.00000001																-1448.312351	1	NaN	
1447.032351	1	15	84	1	1	0.9999999987	14.99999997	84.00000003																-1447.032351	1	NaN	
1444.472351	1	15	84	1	1	0.9999999948	14.99999989	84.00000011																-1444.472351	1	NaN	
1441.912351	1	15	84	1	1	0.9999999931	14.99999986	84.00000015																-1441.912351	1	NaN	
1439.352351	1	15	84	1	1	0.9999999931	14.99999985	84.00000015																-1439.352351	1	NaN	
1436.792351	1	15	84	1	1	0.9999999931	14.99999985	84.00000015																-1436.792351	1	NaN	
1434.232351	1	15	84	1	1	0.9999999931	14.99999985	84.00000015																-1434.232351	1	NaN	
1431.672351	1	15	84	1	1	0.9999999931	14.99999985	84.00000015																-1431.672351	1	NaN	
1429.112351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1429.112351	1	NaN	
1426.552351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1426.552351	1	NaN	
1423.992351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1423.992351	1	NaN	
1421.432351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1421.432351	1	NaN	
1418.872351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1418.872351	1	NaN	
1416.312351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1416.312351	1	NaN	
1413.752351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1413.752351	1	NaN	
1411.192351	1	15	84	1	1	0.9999999931	14.99999985	84.00000016																-1411.192351	1	NaN	
1408.632351	1	15	84	1	1	0.9999999932	14.99999985	84.00000016																-1408.632351	1	NaN	
1406.072351	1	15	84	1	1	0.9999999932	14.99999984	84.00000016																-1406.072351	1	NaN	
1403.512351	1	15	84	1	1	0.9999999932	14.99999984	84.00000016																-1403.512351	1	NaN	
1400.952351	1	15	84	1	1	0.9999999932	14.99999984	84.00000016																-1400.952351	1	NaN	
