T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1746.98272	2	10	88	0	0.8927509861	3.923274757	95.18397426	2	10	88	-7.705330398E-05	-0.0004228780377	0.0004999313416	-1746.98272	0	143.570588575525	-1746.98272	0	141.921221345298	
1746.96272	2	10	88	0.0001408584587	0.8928312834	3.923728023	95.18344069	2.000154114	10.00084575	87.99900014	0	0	0	-1746.96272	0.0001392403678	143.70242450225	-1746.96272	0.0001408584587	142.051785097684	
1746.94272	2	10	88	0.0002815875693	0.8929115685	3.924181303	95.18290713	2.000308205	10.00169147	87.99800033	0	0	0	-1746.94272	0.0002783531103	143.760338473144	-1746.94272	0.0002815875693	142.109275656144	
1746.90272	2	10	88	0.0005630917382	0.8930721413	3.925087902	95.18183996	2.000616392	10.00338281	87.9960008	0	0	0	-1746.90272	0.0005566247261	143.776586612561	-1746.90272	0.0005630917382	142.125821659694	
1746.82272	2	10	88	0.001125719996	0.8933932675	3.926901267	95.17970547	2.001232714	10.00676512	87.99200216	0	0	0	-1746.82272	0.001112795084	143.877361522788	-1746.82272	0.001125719996	142.226409289528	
1746.66272	2	10	88	0.0022501085	0.8940354302	3.930528674	95.1754359	2.002465132	10.01352827	87.98400659	0	0	0	-1746.66272	0.002224289119	144.034616145057	-1746.66272	0.0022501085	142.383805171785	
1746.34272	2	10	88	0.004494903723	0.895319407	3.937786188	95.16689441	2.004929084	10.02704866	87.96802226	0	0	0	-1746.34272	0.004443386524	144.371346875627	-1746.34272	0.004494903723	142.720590092264	
1745.70272	2	10	88	0.008968656717	0.8978859726	3.952312034	95.14980199	2.009853481	10.05406578	87.93608074	0	0	0	-1745.70272	0.008866106857	145.163640659644	-1745.70272	0.008968656717	143.511748805037	
1744.42272	2	10	88	0.0178320973	0.9030125358	3.981407852	95.11557961	2.019686096	10.10800727	87.87230664	0	0	0	-1744.42272	0.01762916165	146.804558784603	-1744.42272	0.0178320973	145.150141292112	
1741.86272	2	10	88	0.03529439676	0.913243004	4.039774905	95.04698209	2.039295923	10.21551536	87.74518871	0	0	0	-1741.86272	0.03489654967	149.786687692793	-1741.86272	0.03529439676	148.131896657624	
1739.30272	2	10	88	0.05240312051	0.9234433913	4.098378328	94.97817828	2.058834345	10.32252677	87.61863889	0	0	0	-1739.30272	0.05181810041	152.815074414539	-1739.30272	0.05240312051	151.160929186058	
1736.74272	2	10	88	0.06917238521	0.9336146989	4.157220522	94.90916478	2.078306208	10.42904396	87.49264983	0	0	0	-1736.74272	0.06840767448	155.837856962568	-1736.74272	0.06917238521	154.186249787464	
1734.18272	2	10	88	0.08561609483	0.9437579835	4.216303857	94.83993816	2.097716475	10.53506928	87.36721425	0	0	0	-1734.18272	0.08467892817	158.851211474484	-1734.18272	0.08561609483	157.204096966952	
1731.62272	2	10	88	0.1017474987	0.9538743441	4.275630677	94.77049498	2.117070192	10.64060494	87.24232487	0	0	0	-1731.62272	0.1006448761	161.853326167752	-1731.62272	0.1017474987	160.212696949816	
1729.06272	2	10	88	0.1175792306	0.9639649234	4.335203291	94.70083179	2.136372495	10.74565304	87.11797446	0	0	0	-1729.06272	0.1163179297	164.842389372747	-1729.06272	0.1175792306	163.21027218695	
1726.50272	2	10	88	0.1331233458	0.9740309088	4.395023977	94.63094511	2.155628614	10.85021556	86.99415583	0	0	0	-1726.50272	0.1317099331	167.81658549869	-1726.50272	0.1331233458	166.195040275357	
1723.94272	2	10	88	0.1483913554	0.984073534	4.45509498	94.56083149	2.17484387	10.95429435	86.87086178	0	0	0	-1723.94272	0.1468321975	170.774096965063	-1723.94272	0.1483913554	169.165215095702	
1721.38272	2	10	88	0.1633942585	0.9940940802	4.515418504	94.49048742	2.194023689	11.05789113	86.74808518	0	0	0	-1721.38272	0.1616955322	173.713110262489	-1721.38272	0.1633942585	172.119009017682	
1718.82272	2	10	88	0.1781425719	1.004093877	4.575996715	94.41990941	2.213173596	11.16100752	86.62581888	0	0	0	-1718.82272	0.1763102737	176.631812868995	-1718.82272	0.1781425719	175.05463685664	
