T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1908.30362	3	0	97	0	0	1.120084973	0	98.87991503	3	0	97							-0.000897770382		0.0008977703821	-1908.30362	0	20.9402534505043	
1908.28362	3	0	97	0.0009590631042	0.0009546075932	1.120774824	0	98.87922518	3.001795533	0	96.99820447							0		0	-1908.28362	0.0009546075932	20.9617807307629	
1908.26362	3	0	97	0.00191713901	0.001908235831	1.121464671	0	98.87853533	3.003591012	0	96.99640899							0		0	-1908.26362	0.001908235831	20.9836992709919	
1908.22362	3	0	97	0.003830228609	0.003812454074	1.122844385	0	98.87715562	3.007181837	0	96.99281816							0		0	-1908.22362	0.003812454074	21.0281777816548	
1908.14362	3	0	97	0.00764431091	0.007608888794	1.125603846	0	98.87439615	3.014362932	0	96.98563707							0		0	-1908.14362	0.007608888794	21.1338010434936	
1907.98362	3	0	97	0.01520659592	0.01513633798	1.131122945	0	98.86887705	3.028722809	0	96.97127719							0		0	-1907.98362	0.01513633798	21.3539637229436	
1907.66362	3	0	97	0.03012517627	0.02998680939	1.1421619	0	98.8578381	3.057433588	0	96.94256641							0		0	-1907.66362	0.02998680939	21.7575467851715	
1907.02362	3	0	97	0.05912990747	0.05886153256	1.164242703	0	98.8357573	3.114819122	0	96.88518088							0		0	-1907.02362	0.05886153256	22.5965469437338	
1905.74362	3	0	97	0.1140345598	0.1135293876	1.208415559	0	98.79158444	3.229446424	0	96.77055358							0		0	-1905.74362	0.1135293876	24.3397194629848	
1903.18362	3	0	97	0.2128634069	0.2119667499	1.296803971	0	98.70319603	3.458129641	0	96.54187036							0		0	-1903.18362	0.2119667499	27.9721149864679	
1900.62362	3	0	97	0.2993760623	0.2981802048	1.38524477	0	98.61475523	3.686056995	0	96.313943							0		0	-1900.62362	0.2981802048	31.77176662258	
1898.06362	3	0	97	0.3757721189	0.374353042	1.47373259	0	98.52626741	3.913235618	0	96.08676438							0		0	-1898.06362	0.374353042	35.7961288307655	
1895.50362	3	0	97	0.4437562123	0.4421772564	1.56226214	0	98.43773786	4.139672345	0	95.86032766							0		0	-1895.50362	0.4421772564	40.0413452522279	
1892.94362	3	0	97	0.5046696767	0.5029842281	1.650828193	0	98.34917181	4.365373705	0	95.6346263							0		0	-1892.94362	0.5029842281	44.5035353669934	
