T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1883.564133	0	4	96	0	0	0	1.288276254	98.71172375	0	4	96								-0.0006488991779	0.0006488991779	-1883.564133	0	41.7781224312062	
1883.544133	0	4	96	0.0004803759036	0.00047851447	0	1.288733382	98.71126662	0	4.001297781	95.99870222								0	0	-1883.544133	0.00047851447	41.8139160707092	
1883.524133	0	4	96	0.0009603403189	0.0009566196712	0	1.289190512	98.71080949	0	4.002595492	95.99740451								0	0	-1883.524133	0.0009566196712	41.8422359705319	
1883.484133	0	4	96	0.001919549562	0.001912115149	0	1.290104798	98.7098952	0	4.00519074	95.99480926								0	0	-1883.484133	0.001912115149	41.8877351811665	
1883.404133	0	4	96	0.003834583262	0.003819741922	0	1.291933462	98.70806654	0	4.010380503	95.9896195								0	0	-1883.404133	0.003819741922	41.9863190300847	
1883.244133	0	4	96	0.007651166204	0.007621593142	0	1.295591163	98.70440884	0	4.020757103	95.9792429								0	0	-1883.244133	0.007621593142	42.2199688700675	
1882.924133	0	4	96	0.01521180152	0.01515316349	0	1.302908007	98.69709199	0	4.041498467	95.95850153								0	0	-1882.924133	0.01515316349	42.706304277294	
1882.284133	0	4	96	0.03010513859	0.02998971759	0	1.317547638	98.68245236	0	4.082934327	95.91706567								0	0	-1882.284133	0.02998971759	43.6011602876426	
1881.004133	0	4	96	0.05897638731	0.05875273599	0	1.346850782	98.65314922	0	4.165618967	95.83438103								0	0	-1881.004133	0.05875273599	45.4599091422394	
1878.444133	0	4	96	0.1133363167	0.1129159964	0	1.40555423	98.59444577	0	4.33024435	95.66975565								0	0	-1878.444133	0.1129159964	49.2503248123249	
1875.884133	0	4	96	0.1636191562	0.1630260674	0	1.464390494	98.53560951	0	4.493886932	95.50611307								0	0	-1875.884133	0.1630260674	53.1302703444708	
1873.324133	0	4	96	0.2102934853	0.209548877	0	1.523363391	98.47663661	0	4.656557298	95.3434427								0	0	-1873.324133	0.209548877	57.1254376163422	
1870.764133	0	4	96	0.2537569984	0.2528798659	0	1.582476759	98.41752324	0	4.818265969	95.18173403								0	0	-1870.764133	0.2528798659	61.232205324565	
