T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1861.458221	3	3	94	0	0	1.189897046	0.9812076012	97.82889535	3	3	94										-0.0003218897617	-0.0003590054938	0.0006808952555	-1861.458221	0	56.2123198668619	
1861.438221	3	3	94	0.000358293785	0.0003556519737	1.190175633	0.9814667601	97.82835761	3.000643771	3.000717991	93.99863824										0	0	0	-1861.438221	0.0003556519737	56.2571811001269	
1861.418221	3	3	94	0.0007163013229	0.0007110205653	1.190454196	0.9817259257	97.82781988	3.001287474	3.001435972	93.99727655										0	0	0	-1861.418221	0.0007110205653	56.2879977813241	
1861.378221	3	3	94	0.001431993602	0.001421439594	1.191011302	0.982244272	97.82674443	3.002574764	3.002871868	93.99455337										0	0	0	-1861.378221	0.001421439594	56.3286413845385	
1861.298221	3	3	94	0.002861554448	0.002840476427	1.192125399	0.9832810371	97.82459356	3.005148797	3.005743431	93.98910777										0	0	0	-1861.298221	0.002840476427	56.4240368342775	
1861.138221	3	3	94	0.005713402461	0.005671366129	1.194353134	0.9853548569	97.82029201	3.010294668	3.011485639	93.97821969										0	0	0	-1861.138221	0.005671366129	56.6488701816581	
1860.818221	3	3	94	0.01137818022	0.01129465678	1.198806243	0.9895039636	97.81168979	3.020576308	3.022967319	93.95645637										0	0	0	-1860.818221	0.01129465678	57.1161257040893	
1860.178221	3	3	94	0.02258402818	0.02241900701	1.207704586	0.9978071243	97.79448829	3.041103265	3.04591694	93.91297979										0	0	0	-1860.178221	0.02241900701	57.9747313813441	
1858.898221	3	3	94	0.04449446651	0.04417234114	1.225468761	1.01443387	97.76009737	3.082009876	3.091763104	93.82622702										0	0	0	-1858.898221	0.04417234114	59.7531246220212	
1856.338221	3	3	94	0.08641402622	0.08580003183	1.26086735	1.047769224	97.69136343	3.163239004	3.183243017	93.65351798										0	0	0	-1856.338221	0.08580003183	63.3522789899786	
1853.778221	3	3	94	0.125999912	0.1251215639	1.296094457	1.081213243	97.6226923	3.243701744	3.274437305	93.48186095										0	0	0	-1853.778221	0.1251215639	67.0070951433698	
1851.218221	3	3	94	0.1634442797	0.1623268096	1.331150812	1.114766208	97.55408298	3.323409861	3.365345554	93.31124459										0	0	0	-1851.218221	0.1623268096	70.7506418888687	
1848.658221	3	3	94	0.1989256196	0.1975921767	1.366037669	1.148428091	97.48553424	3.402376259	3.455966379	93.14165736										0	0	0	-1848.658221	0.1975921767	74.5747949259478	
1846.098221	3	3	94	0.2326032054	0.2310750812	1.400756394	1.182198786	97.41704482	3.480613944	3.546298136	92.97308792										0	0	0	-1846.098221	0.2310750812	78.4772970108032	
1843.538221	3	3	94	0.2646196021	0.262916426	1.435308481	1.216078125	97.34861339	3.558136045	3.636338963	92.80552499										0	0	0	-1843.538221	0.262916426	82.4558556129673	
1840.978221	3	3	94	0.295102804	0.2932427142	1.469695547	1.250065874	97.28023858	3.63495582	3.72608678	92.6389574										0	0	0	-1840.978221	0.2932427142	86.5081306331434	
1838.418221	3	3	94	0.3241680529	0.3221678454	1.503919336	1.284161733	97.21191893	3.711086657	3.815539296	92.47337405										0	0	0	-1838.418221	0.3221678454	90.6317352136476	
1835.858221	3	3	94	0.3519193901	0.3497946503	1.537981711	1.318365335	97.14365295	3.786542068	3.90469401	92.30876392										0	0	0	-1835.858221	0.3497946503	94.8242372201728	
1833.298221	3	3	94	0.3784509874	0.3762162057	1.571884659	1.352676246	97.0754391	3.8613357	3.993548217	92.14511608										0	0	0	-1833.298221	0.3762162057	99.0831617056536	
1830.738221	3	3	94	0.4038482924	0.4015169664	1.605630285	1.387093963	97.00727575	3.935481326	4.082099008	91.98241967										0	0	0	-1830.738221	0.4015169664	103.405991382943	
1828.178221	3	3	94	0.4281890179	0.4257737435	1.639220816	1.421617912	96.93916127	4.008992851	4.170343277	91.82066387										0	0	0	-1828.178221	0.4257737435	107.79016923102	
1825.618221	3	3	94	0.4515439998	0.4490565516	1.672658596	1.45624745	96.87109395	4.081884315	4.258277723	91.65983796										0	0	0	-1825.618221	0.4490565516	112.233101184961	
1823.058221	3	3	94	0.4739779425	0.4714293461	1.705946086	1.49098186	96.80307205	4.154169886	4.345898848	91.49993127										0	0	0	-1823.058221	0.4714293461	116.732156786063	
1820.498221	3	3	94	0.4955500702	0.4929506667	1.739085865	1.52582035	96.73509378	4.22586387	4.433202966	91.34093316										0	0	0	-1820.498221	0.4929506667	121.284673368396	
1817.938221	3	3	94	0.5163146964	0.5136741997	1.772080628	1.560762056	96.66715732	4.296980706	4.520186201	91.18283309										0	0	0	-1817.938221	0.5136741997	125.887957666957	
1815.378221	3	3	94	0.5363217232	0.5336492726	1.804933183	1.595806036	96.59926078	4.36753497	4.606844489	91.02562054										0	0	0	-1815.378221	0.5336492726	130.539288050721	
1812.818221	3	3	94	0.5556170822	0.5529212886	1.837646457	1.63095127	96.53140227	4.437541375	4.693173583	90.86928504										0	0	0	-1812.818221	0.5529212886	135.149111974423	
1810.258221	3	3	94	0.5742658414	0.5715548552	1.870256029	1.666301757	96.46344221	4.507111362	4.77919413	90.71369451										0	0	0	-1810.258221	0.5715548552	139.893073604031	
1807.698221	3	3	94	0.5922619026	0.5895433857	1.902701447	1.70164789	96.39565066	4.576071018	4.864849937	90.55907905										0	0	0	-1807.698221	0.5895433857	144.751940819266	
1805.138221	3	3	94	0.6096639445	0.6069451617	1.935017102	1.737091782	96.32789112	4.644527975	4.950162627	90.4053094										0	0	0	-1805.138221	0.6069451617	149.567452048923	
1802.578221	3	3	94	0.6265054904	0.6237933248	1.967206401	1.77263215	96.26016145	4.712497591	5.035127242	90.25237517										0	0	0	-1802.578221	0.6237933248	154.416928663806	
1800.018221	3	3	94	0.6428176439	0.6401186261	1.999272863	1.808267623	96.19245951	4.779995369	5.119738625	90.10026601										0	0	0	-1800.018221	0.6401186261	159.297513082799	
1797.458221	3	3	94	0.6586293004	0.6559496343	2.031220123	1.843996745	96.12478313	4.847036971	5.203991441	89.94897159										0	0	0	-1797.458221	0.6559496343	164.206369156381	
1794.898221	3	3	94	0.6739673384	0.6713129251	2.063051914	1.879817957	96.05713013	4.913638228	5.287880165	89.79848161										0	0	0	-1794.898221	0.6713129251	169.140586299434	
1792.338221	3	3	94	0.6888568059	0.686233266	2.094772141	1.915729663	95.9894982	4.979815122	5.3713991	89.64878578										0	0	0	-1792.338221	0.686233266	174.097299802442	
1789.778221	3	3	94	0.703321055	0.7007337482	2.126384771	1.95173012	95.92188511	5.045583817	5.454542354	89.49987383										0	0	0	-1789.778221	0.7007337482	179.073680724201	
1787.218221	3	3	94	0.7173818953	0.7148359392	2.157893908	1.987817513	95.85428858	5.110960642	5.537303852	89.35173551										0	0	0	-1787.218221	0.7148359392	184.066852654142	
1784.658221	3	3	94	0.7310597166	0.7285600035	2.189303774	2.023989928	95.7867063	5.175962105	5.619677336	89.20436056										0	0	0	-1784.658221	0.7285600035	189.073969475645	
1782.098221	3	3	94	0.7443736029	0.7419248153	2.220618707	2.060245352	95.71913594	5.240604889	5.701656355	89.05773876										0	0	0	-1782.098221	0.7419248153	194.092199639466	
1779.538221	3	3	94	0.757341435	0.7549480602	2.251843168	2.096581669	95.65157516	5.304905864	5.783234273	88.91185986										0	0	0	-1779.538221	0.7549480602	199.118733481815	
1776.978221	3	3	94	0.7699799838	0.7676463272	2.282981736	2.132996661	95.5840216	5.368882083	5.864404261	88.76671366										0	0	0	-1776.978221	0.7676463272	204.150785708299	
1774.418221	3	3	94	0.7823049951	0.7800351926	2.314039112	2.169487999	95.51647289	5.432550793	5.9451593	88.62228991										0	0	0	-1774.418221	0.7800351926	209.185599808955	
1771.858221	3	3	94	0.7943312668	0.7921292959	2.345020117	2.206053244	95.44892664	5.495929436	6.025492173	88.47857839										0	0	0	-1771.858221	0.7921292959	214.220455516547	
1769.298221	3	3	94	0.8060727181	0.8039424089	2.375929698	2.242689844	95.38138046	5.559035655	6.10539547	88.33556887										0	0	0	-1769.298221	0.8039424089	219.252669629724	
1766.738221	3	3	94	0.8175424544	0.8154874991	2.406772922	2.279395129	95.31383195	5.621887299	6.184861578	88.19325112										0	0	0	-1766.738221	0.8154874991	224.279603465232	
1764.178221	3	3	94	0.8287528247	0.8267767869	2.437554985	2.316166308	95.24627871	5.684502426	6.263882686	88.05161489										0	0	0	-1764.178221	0.8267767869	229.298664392817	
1761.618221	3	3	94	0.8397154753	0.8378217988	2.468281208	2.353000465	95.17871833	5.74689931	6.342450776	87.91064991										0	0	0	-1761.618221	0.8378217988	234.307317458967	
1759.058221	3	3	94	0.8504413984	0.8486334146	2.498957039	2.389894557	95.1111484	5.809096449	6.420557624	87.77034593										0	0	0	-1759.058221	0.8486334146	239.303083811365	
1756.498221	3	3	94	0.8609409768	0.8592219126	2.529588058	2.426845409	95.04356653	5.871112566	6.498194794	87.63069264										0	0	0	-1756.498221	0.8592219126	244.283547235155	
1753.938221	3	3	94	0.8712240247	0.8695970091	2.560179972	2.463849709	94.97597032	5.932966616	6.575353638	87.49167975										0	0	0	-1753.938221	0.8695970091	249.246361110747	
1751.378221	3	3	94	0.8812998254	0.8797678963	2.590738625	2.500904008	94.90835737	5.994677795	6.652025289	87.35329692										0	0	0	-1751.378221	0.8797678963	254.189250009047	
1748.818221	3	3	94	0.8911771659	0.8897432759	2.621269992	2.538004712	94.8407253	6.056265546	6.728200661	87.21553379										0	0	0	-1748.818221	0.8897432759	259.110017862893	
1746.258221	3	3	94	0.9008643685	0.8995313909	2.651780186	2.575148077	94.77307174	6.11774956	6.803870442	87.07838										0	0	0	-1746.258221	0.8995313909	264.006549753666	
1743.698221	3	3	94	0.9103693205	0.9091400543	2.682275458	2.61233021	94.70539433	6.179149789	6.879025091	86.94182512										0	0	0	-1743.698221	0.9091400543	268.876822447111	
1741.138221	3	3	94	0.9196995005	0.9185766757	2.712762198	2.649547059	94.63769074	6.240486452	6.953654835	86.80585871										0	0	0	-1741.138221	0.9185766757	273.718899161749	
1738.578221	3	3	94	0.9288620041	0.9278482864	2.743246939	2.686794411	94.56995865	6.301780037	7.027749665	86.6704703										0	0	0	-1738.578221	0.9278482864	278.530940918072	
1736.018221	3	3	94	0.9378635665	0.9369615616	2.773736358	2.724067888	94.50219575	6.363051316	7.101299328	86.53564936										0	0	0	-1736.018221	0.9369615616	283.311215007283	
1733.458221	3	3	94	0.9467105837	0.9459228416	2.804237278	2.761362941	94.43439978	6.424321346	7.174293329	86.40138533										0	0	0	-1733.458221	0.9459228416	288.058091158082	
1730.898221	3	3	94	0.9554091324	0.9547381513	2.834756671	2.798674845	94.36656848	6.48561148	7.246720919	86.2676676										0	0	0	-1730.898221	0.9547381513	292.77004999216	
1728.338221	3	3	94	0.9639649881	0.9634132181	2.86530166	2.835998693	94.29869965	6.546943372	7.318571096	86.13448553										0	0	0	-1728.338221	0.9634132181	297.445682433667	
1725.778221	3	3	94	0.9723836421	0.9719534889	2.895879521	2.873329395	94.23079108	6.60833899	7.389832599	86.00182841										0	0	0	-1725.778221	0.9719534889	302.083702100352	
1723.218221	3	3	94	0.9806703169	0.980364145	2.926497686	2.910661668	94.16284065	6.669820618	7.460493901	85.86968548										0	0	0	-1723.218221	0.980364145	306.682952087668	
1720.658221	3	3	94	0.9888299809	0.9886501166	2.957163745	2.947990034	94.09484622	6.731410868	7.530543205	85.73804593										0	0	0	-1720.658221	0.9886501166	311.242388335132	
1718.098221	3	3	94	0.996867362	0.9968160967	2.987885449	2.985308813	94.02680574	6.793132686	7.599968442	85.60689887										0	0	0	-1718.098221	0.9968160967	315.361762754311	
1717.458221	3	3	94	0.9988612468	0.9988425365	2.995577099	2.994635285	94.00978762	6.808590156	7.617223269	85.57418658										0	0	0	-1717.458221	0.9988425365	317.174031880685	
1717.138221	3	3	94	0.9998517591	0.9998493186	2.999422529	2.999299361	94.00127811	6.816318136	7.6258387	85.55784316										0	0	0	-1717.138221	0.9998493186	318.928485466107	
1717.098221	3	3	94	0.9999750956	0.9999746855	2.999903085	2.999882492	94.00021442	6.817283848	7.62691526	85.55580089										0	0	0	-1717.098221	0.9999746855	710.933366739364	
1717.078221	3	3	94	1	1	2.999999937	2.999999934	94.00000013																-1717.078221	1	790.061032214508	
1717.068221	3	3	94	1	1	3.000000006	2.999999987	94.00000001																-1717.068221	1	NaN	
1717.048221	3	3	94	1	1	3	3	94																-1717.048221	1	NaN	
1717.008221	3	3	94	1	1	3	3	94																-1717.008221	1	NaN	
1716.928221	3	3	94	1	1	3	3	94																-1716.928221	1	NaN	
1716.768221	3	3	94	1	1	3	3	94																-1716.768221	1	NaN	
1716.448221	3	3	94	1	1	3	3	94																-1716.448221	1	NaN	
1715.808221	3	3	94	1	1	2.999999999	2.999999999	94																-1715.808221	1	NaN	
1714.528221	3	3	94	1	1	2.999999998	2.999999997	94.00000001																-1714.528221	1	NaN	
1711.968221	3	3	94	1	1	2.99999999	2.999999989	94.00000002																-1711.968221	1	NaN	
1709.408221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1709.408221	1	NaN	
1706.848221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1706.848221	1	NaN	
1704.288221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1704.288221	1	NaN	
1701.728221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1701.728221	1	NaN	
1699.168221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1699.168221	1	NaN	
1696.608221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1696.608221	1	NaN	
1694.048221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1694.048221	1	NaN	
1691.488221	3	3	94	1	1	2.999999987	2.999999986	94.00000003																-1691.488221	1	NaN	
1688.928221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1688.928221	1	NaN	
1686.368221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1686.368221	1	NaN	
1683.808221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1683.808221	1	NaN	
1681.248221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1681.248221	1	NaN	
1678.688221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1678.688221	1	NaN	
1676.128221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1676.128221	1	NaN	
1673.568221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1673.568221	1	NaN	
1671.008221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1671.008221	1	NaN	
1668.448221	3	3	94	1	1	2.999999987	2.999999985	94.00000003																-1668.448221	1	NaN	
1665.888221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1665.888221	1	NaN	
1663.328221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1663.328221	1	NaN	
1660.768221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1660.768221	1	NaN	
1658.208221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1658.208221	1	NaN	
1655.648221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1655.648221	1	NaN	
1653.088221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1653.088221	1	NaN	
1650.528221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1650.528221	1	NaN	
1647.968221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1647.968221	1	NaN	
1645.408221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1645.408221	1	NaN	
1642.848221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1642.848221	1	NaN	
1640.288221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1640.288221	1	NaN	
1637.728221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1637.728221	1	NaN	
1635.168221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1635.168221	1	NaN	
1632.608221	3	3	94	1	1	2.999999986	2.999999985	94.00000003																-1632.608221	1	NaN	
1630.048221	3	3	94	1	1	2.999999986	2.999999984	94.00000003																-1630.048221	1	NaN	
1627.488221	3	3	94	1	1	2.999999986	2.999999984	94.00000003																-1627.488221	1	NaN	
1624.928221	3	3	94	1	1	2.999999986	2.999999984	94.00000003																-1624.928221	1	NaN	
1622.368221	3	3	94	1	1	2.999999986	2.999999984	94.00000003																-1622.368221	1	NaN	
1619.808221	3	3	94	1	1	2.999999986	2.999999984	94.00000003																-1619.808221	1	NaN	
1617.248221	3	3	94	1	1	2.999999986	2.999999984	94.00000003																-1617.248221	1	NaN	
1614.688221	3	3	94	1	1	2.999999986	2.999999984	94.00000003																-1614.688221	1	NaN	
1612.128221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1612.128221	1	NaN	
1609.568221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1609.568221	1	NaN	
1607.008221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1607.008221	1	NaN	
1604.448221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1604.448221	1	NaN	
1601.888221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1601.888221	1	NaN	
1599.328221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1599.328221	1	NaN	
1596.768221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1596.768221	1	NaN	
1594.208221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1594.208221	1	NaN	
1591.648221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1591.648221	1	NaN	
1589.088221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1589.088221	1	NaN	
1586.528221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1586.528221	1	NaN	
1583.968221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1583.968221	1	NaN	
1581.408221	3	3	94	1	1	2.999999985	2.999999984	94.00000003																-1581.408221	1	NaN	
1578.848221	3	3	94	1	1	2.999999985	2.999999983	94.00000003																-1578.848221	1	NaN	
1576.288221	3	3	94	1	1	2.999999985	2.999999983	94.00000003																-1576.288221	1	NaN	
1573.728221	3	3	94	1	1	2.999999985	2.999999983	94.00000003																-1573.728221	1	NaN	
1571.168221	3	3	94	1	1	2.999999985	2.999999983	94.00000003																-1571.168221	1	NaN	
1568.608221	3	3	94	1	1	2.999999985	2.999999983	94.00000003																-1568.608221	1	NaN	
1566.048221	3	3	94	1	1	2.999999984	2.999999983	94.00000003																-1566.048221	1	NaN	
1563.488221	3	3	94	1	1	2.999999984	2.999999983	94.00000003																-1563.488221	1	NaN	
1560.928221	3	3	94	1	1	2.999999984	2.999999983	94.00000003																-1560.928221	1	NaN	
1558.368221	3	3	94	1	1	2.999999984	2.999999983	94.00000003																-1558.368221	1	NaN	
1555.808221	3	3	94	1	1	2.999999984	2.999999983	94.00000003																-1555.808221	1	NaN	
1553.248221	3	3	94	1	1	2.999999984	2.999999983	94.00000003																-1553.248221	1	NaN	
1550.688221	3	3	94	1	1	2.999999984	2.999999983	94.00000003																-1550.688221	1	NaN	
