T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1940.98	0	0	100	0	0	0	100	0	0	100			0	-1940.98	0	0.0154809999999088	-1940.98	0	0.0154809999999088	
1940.964519	0	0	100	1	0	0	100							-1940.964519	1	0.0154809999999088	-1940.964519	1	0.0154809999999088	
1940.954519	0	0	100	1	0	0	100							-1940.954519	1	NaN	-1940.954519	1	NaN	
1940.934519	0	0	100	1	0	0	100							-1940.934519	1	NaN	-1940.934519	1	NaN	
1940.894519	0	0	100	1	0	0	100							-1940.894519	1	NaN	-1940.894519	1	NaN	
1940.814519	0	0	100	1	0	0	100							-1940.814519	1	NaN	-1940.814519	1	NaN	
1940.654519	0	0	100	1	0	0	100							-1940.654519	1	NaN	-1940.654519	1	NaN	
1940.334519	0	0	100	1	0	0	100							-1940.334519	1	NaN	-1940.334519	1	NaN	
1939.694519	0	0	100	1	0	0	100							-1939.694519	1	NaN	-1939.694519	1	NaN	
1938.414519	0	0	100	1	0	0	100							-1938.414519	1	NaN	-1938.414519	1	NaN	
1935.854519	0	0	100	1	0	0	100							-1935.854519	1	NaN	-1935.854519	1	NaN	
1933.294519	0	0	100	1	0	0	100							-1933.294519	1	NaN	-1933.294519	1	NaN	
1930.734519	0	0	100	1	0	0	100							-1930.734519	1	NaN	-1930.734519	1	NaN	
1928.174519	0	0	100	1	0	0	100							-1928.174519	1	NaN	-1928.174519	1	NaN	
1925.614519	0	0	100	1	0	0	100							-1925.614519	1	NaN	-1925.614519	1	NaN	
1923.054519	0	0	100	1	0	0	100							-1923.054519	1	NaN	-1923.054519	1	NaN	
1920.494519	0	0	100	1	0	0	100							-1920.494519	1	NaN	-1920.494519	1	NaN	
1917.934519	0	0	100	1	0	0	100							-1917.934519	1	NaN	-1917.934519	1	NaN	
1915.374519	0	0	100	1	0	0	100							-1915.374519	1	NaN	-1915.374519	1	NaN	
1912.814519	0	0	100	1	0	0	100							-1912.814519	1	NaN	-1912.814519	1	NaN	
1910.254519	0	0	100	1	0	0	100							-1910.254519	1	NaN	-1910.254519	1	NaN	
1907.694519	0	0	100	1	0	0	100							-1907.694519	1	NaN	-1907.694519	1	NaN	
