T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1719.544114	13	87	0	0	5.468746943	94.53125306	13	87			-0.0004711659251	0.0004711659251	-1719.544114	0	79.5001358661165	
1719.534114	13	87	6.33016133E-05	6.261084375E-05	5.469039738	94.53096026	13.00047103	86.99952897			0	0	-1719.534114	6.261084375E-05	239.933348848451	
1719.514114	13	87	0.0001897723529	0.0001251096029	5.469625377	94.53037462	13.00141321	86.99858679			0	0	-1719.514114	0.0001251096029	319.936456336002	
1719.474114	13	87	0.0004426515236	0.000250189118	5.470796736	94.52920326	13.00329751	86.99670249			0	0	-1719.474114	0.000250189118	319.783552616125	
1719.394114	13	87	0.0009482827985	0.0005003787045	5.473139769	94.52686023	13.00706676	86.99293324			0	0	-1719.394114	0.0005003787045	-270906.071430346	
1719.314114	13	87	0.001453361069	0.0005000830494	5.475483313	94.52451669	13.01083506	86.98916494			0	0	-1719.314114	0.0005000830494	-435945.198587363	
1719.234114	13	87	0.001958030283	0.0004999297073	5.477827258	94.52217274	13.01460292	86.98539708			0	0	-1719.234114	0.0004999297073	-521995.050144267	
1719.154114	13	87	0.002462290949	0.0004997765329	5.480171604	94.5198284	13.01837033	86.98162967			0	0	-1719.154114	0.0004997765329	-522530.263633572	
1719.074114	13	87	0.002966143575	0.0004996235048	5.482516352	94.51748365	13.02213731	86.97786269			0	0	-1719.074114	0.0004996235048	-523021.837341724	
1718.994114	13	87	0.003469588664	0.0004994706182	5.4848615	94.5151385	13.02590383	86.97409617			0	0	-1718.994114	0.0004994706182	-523507.331623948	
1718.914114	13	87	0.003972626716	0.0004993178738	5.48720705	94.51279295	13.02966992	86.97033008			0	0	-1718.914114	0.0004993178738	-523996.130571742	
1718.834114	13	87	0.004475258236	0.0004991652723	5.489553002	94.510447	13.03343556	86.96656444			0	0	-1718.834114	0.0004991652723	-524486.872161037	
1718.754114	13	87	0.004977483725	0.0004990128136	5.491899356	94.50810064	13.03720077	86.96279923			0	0	-1718.754114	0.0004990128136	-524975.25559674	
1718.674114	13	87	0.005479303681	0.0004988604959	5.494246112	94.50575389	13.04096553	86.95903447			0	0	-1718.674114	0.0004988604959	-525465.771249414	
1718.594114	13	87	0.005980718607	0.0004987083217	5.49659327	94.50340673	13.04472984	86.95527016			0	0	-1718.594114	0.0004987083217	-525959.61328385	
1718.514114	13	87	0.006481729001	0.0004985562899	5.49894083	94.50105917	13.04849372	86.95150628			0	0	-1718.514114	0.0004985562899	-526453.870955246	
1718.434114	13	87	0.006982335363	0.0004984044013	5.501288793	94.49871121	13.05225716	86.94774284			0	0	-1718.434114	0.0004984044013	-526943.663325707	
1718.354114	13	87	0.007482538187	0.000498252652	5.503637159	94.49636284	13.05602015	86.94397985			0	0	-1718.354114	0.000498252652	-527430.909310632	
1718.274114	13	87	0.007982337971	0.0004981010439	5.505985928	94.49401407	13.0597827	86.9402173			0	0	-1718.274114	0.0004981010439	-527929.865059608	
1718.194114	13	87	0.008481735214	0.0004979495813	5.5083351	94.4916649	13.06354482	86.93645518			0	0	-1718.194114	0.0004979495813	-528424.317177546	
1718.114114	13	87	0.008980730407	0.0004977982568	5.510684675	94.48931532	13.06730649	86.93269351			0	0	-1718.114114	0.0004977982568	-528912.912919838	
1718.034114	13	87	0.009479324045	0.0004976470739	5.513034654	94.48696535	13.07106772	86.92893228			0	0	-1718.034114	0.0004976470739	-529409.761127259	
1717.954114	13	87	0.009977516624	0.0004974960333	5.515385037	94.48461496	13.07482852	86.92517148			0	0	-1717.954114	0.0004974960333	-529907.011560749	
1717.874114	13	87	0.01047530864	0.000497345134	5.517735823	94.48226418	13.07858887	86.92141113			0	0	-1717.874114	0.000497345134	-530398.509630075	
1717.794114	13	87	0.01097270057	0.0004971943732	5.520087014	94.47991299	13.08234878	86.91765122			0	0	-1717.794114	0.0004971943732	-530896.762744858	
1717.714114	13	87	0.01146969292	0.000497043757	5.522438608	94.47756139	13.08610826	86.91389174			0	0	-1717.714114	0.000497043757	-531393.790666904	
1717.634114	13	87	0.01196628618	0.0004968932781	5.524790607	94.47520939	13.08986729	86.91013271			0	0	-1717.634114	0.0004968932781	-531888.432499254	
1717.554114	13	87	0.01246248084	0.0004967429419	5.527143011	94.47285699	13.09362589	86.90637411			0	0	-1717.554114	0.0004967429419	-532384.670316208	
1717.474114	13	87	0.01295827737	0.0004965927434	5.529495819	94.47050418	13.09738405	86.90261595			0	0	-1717.474114	0.0004965927434	-532882.934963536	
1717.394114	13	87	0.01345367629	0.0004964426882	5.531849032	94.46815097	13.10114177	86.89885823			0	0	-1717.394114	0.0004964426882	-533383.342838453	
