T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1930.254997	1	99	0	0	0.3658586451	99.63414135	1	99			-0.0009248831522	0.0009248831522	-1930.254997	0	3.40297627931423	
1930.244997	1	99	0.001459448754	0.001457165844	0.3662006272	99.63379937	1.000924869	98.99907513			0	0	-1930.244997	0.001457165844	10.3222973965226	
1930.224997	1	99	0.004369524421	0.002909537883	0.3668845952	99.6331154	1.002774591	98.99722541			0	0	-1930.224997	0.002909537883	13.7950375298354	
1930.184997	1	99	0.01015264163	0.005798938516	0.3682525541	99.63174745	1.00647391	98.99352609			0	0	-1930.184997	0.005798938516	13.8921434274382	
1930.104997	1	99	0.02157265107	0.01151811512	0.3709885618	99.62901144	1.013872049	98.98612795			0	0	-1930.104997	0.01151811512	-859.267961922347	
1930.024997	1	99	0.03276730666	0.01142341915	0.373724671	99.62627533	1.021269216	98.97873078			0	0	-1930.024997	0.01142341915	-908.631785560804	
1929.944997	1	99	0.04375365637	0.01134047742	0.3764608796	99.62353912	1.028665522	98.97133448			0	0	-1929.944997	0.01134047742	-971.88985423859	
1929.864997	1	99	0.05453708747	0.01125877285	0.379197198	99.6208028	1.036060997	98.963939			0	0	-1929.864997	0.01125877285	-986.28571608683	
1929.784997	1	99	0.06512277079	0.01117823582	0.3819336259	99.61806637	1.04345564	98.95654436			0	0	-1929.784997	0.01117823582	-1000.52895216194	
1929.704997	1	99	0.07551570928	0.01109884112	0.3846701633	99.61532984	1.050849453	98.94915055			0	0	-1929.704997	0.01109884112	-1014.87331798002	
1929.624997	1	99	0.08572074517	0.01102056481	0.3874068098	99.61259319	1.058242435	98.94175756			0	0	-1929.624997	0.01102056481	-1029.32072576231	
1929.544997	1	99	0.09574256599	0.01094338338	0.3901435654	99.60985643	1.065634587	98.93436541			0	0	-1929.544997	0.01094338338	-1043.86990129863	
1929.464997	1	99	0.1055857106	0.01086727401	0.3928804298	99.60711957	1.07302591	98.92697409			0	0	-1929.464997	0.01086727401	-1058.52122291849	
1929.384997	1	99	0.1152545748	0.01079221453	0.3956174029	99.6043826	1.080416402	98.9195836			0	0	-1929.384997	0.01079221453	-1073.27485447338	
1929.304997	1	99	0.1247534171	0.01071818338	0.3983544844	99.60164552	1.087806066	98.91219393			0	0	-1929.304997	0.01071818338	-1088.13069826329	
1929.224997	1	99	0.1340863635	0.01064515957	0.4010916743	99.59890833	1.0951949	98.9048051			0	0	-1929.224997	0.01064515957	-1103.0881098429	
1929.144997	1	99	0.1432574126	0.01057312261	0.4038289722	99.59617103	1.102582906	98.89741709			0	0	-1929.144997	0.01057312261	-1118.14815152457	
1929.064997	1	99	0.1522704406	0.01050205276	0.406566378	99.59343362	1.109970084	98.89002992			0	0	-1929.064997	0.01050205276	-1133.31038119517	
1928.984997	1	99	0.1611292057	0.01043193056	0.4093038915	99.59069611	1.117356435	98.88264357			0	0	-1928.984997	0.01043193056	-1148.57455653051	
1928.904997	1	99	0.1698373524	0.01036273727	0.4120415127	99.58795849	1.124741957	98.87525804			0	0	-1928.904997	0.01036273727	-1163.94067362097	
