T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
1794.446763	11	1	88	0	0	4.453508874	0.3464415398	95.20004959	11	1	88	-0.0006630202831	-6.619180945E-05	0.0007292120926	-1794.446763	0	49.1796898594005	
1794.436763	11	1	88	0.0001031174119	0.0001013317052	4.453800442	0.3464681388	95.19973142	11.00066293	1.000066177	87.99927089	0	0	0	-1794.436763	0.0001013317052	148.1919023832	
1794.416763	11	1	88	0.0003091842673	0.0002025295733	4.454383581	0.3465213422	95.19909508	11.00198884	1.000198549	87.99781261	0	0	0	-1794.416763	0.0002025295733	197.62240682946	
1794.376763	11	1	88	0.0007211294423	0.0004049567013	4.455549836	0.3466277528	95.19782241	11.00464056	1.000463287	87.99489615	0	0	0	-1794.376763	0.0004049567013	197.650588710526	
1794.296763	11	1	88	0.001544342555	0.0008095125109	4.4578824	0.3468406055	95.19527699	11.00994424	1.000992798	87.98906296	0	0	0	-1794.296763	0.0008095125109	-140870.95185429	
1794.216763	11	1	88	0.00236623816	0.0008089438147	4.460214731	0.3470534688	95.1927318	11.01524689	1.001522227	87.98323088	0	0	0	-1794.216763	0.0008089438147	-157829.555919836	
1794.136763	11	1	88	0.003186991356	0.0008084783521	4.462546915	0.3472663503	95.19018673	11.0205489	1.002051606	87.9773995	0	0	0	-1794.136763	0.0008084783521	-171991.356830156	
1794.056763	11	1	88	0.004006604479	0.0008080135345	4.464878952	0.3474792503	95.1876418	11.02585025	1.002580937	87.97156881	0	0	0	-1794.056763	0.0008080135345	-172204.039570996	
1793.976763	11	1	88	0.004825079733	0.0008075492212	4.467210842	0.3476921686	95.18509699	11.03115095	1.003110219	87.96573883	0	0	0	-1793.976763	0.0008075492212	-172389.87269263	
1793.896763	11	1	88	0.005642419313	0.0008070854052	4.469542585	0.3479051054	95.18255231	11.03645101	1.003639453	87.95990954	0	0	0	-1793.896763	0.0008070854052	-172575.422742546	
1793.816763	11	1	88	0.006458625409	0.0008066220898	4.471874181	0.3481180605	95.18000776	11.04175041	1.004168637	87.95408095	0	0	0	-1793.816763	0.0008066220898	-172761.351308634	
1793.736763	11	1	88	0.007273700206	0.0008061592716	4.47420563	0.348331034	95.17746334	11.04704917	1.004697773	87.94825305	0	0	0	-1793.736763	0.0008061592716	-172946.316069244	
1793.656763	11	1	88	0.008087645879	0.0008056969467	4.476536932	0.3485440259	95.17491904	11.05234728	1.00522686	87.94242586	0	0	0	-1793.656763	0.0008056969467	-173132.356331373	
1793.576763	11	1	88	0.008900464607	0.0008052351226	4.478868086	0.3487570362	95.17237488	11.05764474	1.005755899	87.93659936	0	0	0	-1793.576763	0.0008052351226	-173319.03580992	
1793.496763	11	1	88	0.009712158557	0.0008047737931	4.481199093	0.3489700649	95.16983084	11.06294156	1.006284888	87.93077355	0	0	0	-1793.496763	0.0008047737931	-173504.596023074	
1793.416763	11	1	88	0.01052272989	0.0008043129563	4.483529953	0.3491831119	95.16728694	11.06823772	1.006813829	87.92494845	0	0	0	-1793.416763	0.0008043129563	-173690.158719919	
1793.336763	11	1	88	0.01133218076	0.000803852612	4.485860665	0.3493961774	95.16474316	11.07353324	1.007342721	87.91912404	0	0	0	-1793.336763	0.000803852612	-173876.838499618	
1793.256763	11	1	88	0.01214051333	0.0008033927642	4.48819123	0.3496092612	95.16219951	11.07882811	1.007871564	87.91330033	0	0	0	-1793.256763	0.0008033927642	-174062.986879004	
1793.176763	11	1	88	0.01294772974	0.000802933404	4.490521647	0.3498223634	95.15965599	11.08412233	1.008400358	87.90747731	0	0	0	-1793.176763	0.000802933404	-174249.142117677	
1793.096763	11	1	88	0.01375383213	0.0008024745382	4.492851917	0.3500354839	95.1571126	11.08941591	1.008929103	87.90165499	0	0	0	-1793.096763	0.0008024745382	-174436.300282657	
1793.016763	11	1	88	0.01455882263	0.0008020161632	4.495182039	0.3502486228	95.15456934	11.09470883	1.0094578	87.89583337	0	0	0	-1793.016763	0.0008020161632	-174622.37414635	
1792.936763	11	1	88	0.01536270339	0.0008015582748	4.497512014	0.3504617801	95.15202621	11.10000111	1.009986447	87.89001244	0	0	0	-1792.936763	0.0008015582748	-174809.346471593	
1792.856763	11	1	88	0.01616547652	0.0008011008798	4.49984184	0.3506749558	95.1494832	11.10529274	1.010515045	87.88419221	0	0	0	-1792.856763	0.0008011008798	-174995.850926157	
1792.776763	11	1	88	0.01696714415	0.0008006439669	4.502171519	0.3508881499	95.14694033	11.11058373	1.011043595	87.87837268	0	0	0	-1792.776763	0.0008006439669	-175182.455468611	
1792.696763	11	1	88	0.01776770839	0.0008001875458	4.504501051	0.3511013623	95.14439759	11.11587407	1.011572095	87.87255384	0	0	0	-1792.696763	0.0008001875458	-175370.182421434	
1792.616763	11	1	88	0.01856717136	0.0007997316106	4.506830434	0.351314593	95.14185497	11.12116376	1.012100546	87.8667357	0	0	0	-1792.616763	0.0007997316106	-175556.463839568	
1792.536763	11	1	88	0.01936553514	0.0007992761576	4.50915967	0.3515278422	95.13931249	11.1264528	1.012628948	87.86091825	0	0	0	-1792.536763	0.0007992761576	-175743.879566839	
1792.456763	11	1	88	0.02016280186	0.0007988211943	4.511488757	0.3517411097	95.13677013	11.1317412	1.013157301	87.8551015	0	0	0	-1792.456763	0.0007988211943	-175931.360118117	
1792.376763	11	1	88	0.0209589736	0.0007983667115	4.513817696	0.3519543955	95.13422791	11.13702895	1.013685605	87.84928545	0	0	0	-1792.376763	0.0007983667115	-176118.413314872	
1792.296763	11	1	88	0.02175405244	0.0007979127141	4.516146488	0.3521676997	95.13168581	11.14231605	1.01421386	87.84347009	0	0	0	-1792.296763	0.0007979127141	-176306.152672539	
1792.216763	11	1	88	0.02254804049	0.0007974591987	4.518475131	0.3523810223	95.12914385	11.14760251	1.014742066	87.83765542	0	0	0	-1792.216763	0.0007974591987	-176493.651691001	
1792.136763	11	1	88	0.02334093981	0.0007970061654	4.520803626	0.3525943632	95.12660201	11.15288832	1.015270223	87.83184145	0	0	0	-1792.136763	0.0007970061654	-176681.237029139	
1792.056763	11	1	88	0.02413275248	0.0007965536125	4.523131973	0.3528077225	95.1240603	11.15817349	1.01579833	87.82602818	0	0	0	-1792.056763	0.0007965536125	-176868.73312276	
1791.976763	11	1	88	0.02492348057	0.0007961015392	4.525460172	0.3530211001	95.12151873	11.16345801	1.016326388	87.8202156	0	0	0	-1791.976763	0.0007961015392	-177056.5104416	
1791.896763	11	1	88	0.02571312614	0.0007956499457	4.527788222	0.3532344961	95.11897728	11.16874188	1.016854397	87.81440372	0	0	0	-1791.896763	0.0007956499457	-177244.903177535	
1791.816763	11	1	88	0.02650169126	0.0007951988329	4.530116124	0.3534479105	95.11643597	11.17402511	1.017382357	87.80859253	0	0	0	-1791.816763	0.0007951988329	-177432.888045735	
1791.736763	11	1	88	0.02728917797	0.0007947481958	4.532443878	0.3536613431	95.11389478	11.17930769	1.017910267	87.80278204	0	0	0	-1791.736763	0.0007947481958	-177620.762505095	
