T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1781.235967	12	1	87	0	0	4.887775945	0.3512466607	94.76097739	12	1	87							-0.0006588065333	-6.009421441E-05	0.0007189007478	-1781.235967	0	53.7537155424107	
1781.225967	12	1	87	9.445584916E-05	9.268486089E-05	4.888068003	0.3512715217	94.76066048	12.00065872	1.000060081	86.9992812							0	0	0	-1781.225967	9.268486089E-05	162.031255249293	
1781.205967	12	1	87	0.0002832039179	0.0001852376547	4.888652126	0.3513212501	94.76002662	12.0019762	1.000180259	86.99784354							0	0	0	-1781.205967	0.0001852376547	216.075047341473	
1781.165967	12	1	87	0.0006605415135	0.0003703890942	4.889820344	0.3514207104	94.75875895	12.00461107	1.000420608	86.99496832							0	0	0	-1781.165967	0.0003703890942	216.088171882401	
1781.085967	12	1	87	0.001414652971	0.0007404412997	4.89215683	0.3516196605	94.75622351	12.00988106	1.000901336	86.9892176							0	0	0	-1781.085967	0.0007404412997	-165711.028881746	
1781.005967	12	1	87	0.002167647	0.0007399578993	4.894493078	0.3518186199	94.7536883	12.01515005	1.001381985	86.98346797							0	0	0	-1781.005967	0.0007399578993	-186421.30270156	
1780.925967	12	1	87	0.002919679398	0.0007395646719	4.896829171	0.3520175963	94.75115323	12.0204184	1.001862587	86.97771901							0	0	0	-1780.925967	0.0007395646719	-203574.186579638	
1780.845967	12	1	87	0.00367075197	0.0007391719444	4.899165111	0.3522165897	94.7486183	12.02568613	1.002343143	86.97197073							0	0	0	-1780.845967	0.0007391719444	-203805.479365655	
1780.765967	12	1	87	0.004420866423	0.0007387796092	4.901500897	0.3524156003	94.7460835	12.03095322	1.002823651	86.96622313							0	0	0	-1780.765967	0.0007387796092	-204007.179356118	
1780.685967	12	1	87	0.005170024452	0.0007383876579	4.90383653	0.3526146278	94.74354884	12.03621968	1.003304112	86.9604762							0	0	0	-1780.685967	0.0007383876579	-204207.511826411	
1780.605967	12	1	87	0.00591822775	0.0007379960921	4.906172009	0.3528136725	94.74101432	12.04148552	1.003784525	86.95472996							0	0	0	-1780.605967	0.0007379960921	-204408.341151984	
1780.525967	12	1	87	0.006665478005	0.0007376049106	4.908507333	0.3530127342	94.73847993	12.04675072	1.004264892	86.94898439							0	0	0	-1780.525967	0.0007376049106	-204609.80307245	
1780.445967	12	1	87	0.007411776906	0.0007372141155	4.910842504	0.3532118129	94.73594568	12.05201529	1.004745211	86.9432395							0	0	0	-1780.445967	0.0007372141155	-204811.423910581	
1780.365967	12	1	87	0.008157126134	0.0007368237038	4.913177521	0.3534109087	94.73341157	12.05727924	1.005225484	86.93749528							0	0	0	-1780.365967	0.0007368237038	-205012.550691919	
1780.285967	12	1	87	0.008901527366	0.0007364336751	4.915512384	0.3536100215	94.73087759	12.06254255	1.005705709	86.93175174							0	0	0	-1780.285967	0.0007364336751	-205213.624965795	
1780.205967	12	1	87	0.009644982275	0.0007360440281	4.917847093	0.3538091514	94.72834376	12.06780523	1.006185887	86.92600888							0	0	0	-1780.205967	0.0007360440281	-205414.857580952	
1780.125967	12	1	87	0.01038749253	0.0007356547632	4.920181647	0.3540082983	94.72581005	12.07306729	1.006666017	86.9202667							0	0	0	-1780.125967	0.0007356547632	-205616.617205179	
1780.045967	12	1	87	0.01112905981	0.0007352658805	4.922516048	0.3542074623	94.72327649	12.07832871	1.007146101	86.91452519							0	0	0	-1780.045967	0.0007352658805	-205818.614286701	
1779.965967	12	1	87	0.01186968576	0.0007348773793	4.924850294	0.3544066434	94.72074306	12.08358951	1.007626137	86.90878436							0	0	0	-1779.965967	0.0007348773793	-206020.132237932	
1779.885967	12	1	87	0.01260937204	0.000734489257	4.927184386	0.3546058415	94.71820977	12.08884967	1.008106126	86.9030442							0	0	0	-1779.885967	0.000734489257	-206221.781577665	
