T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1668.37687	12	6	82	0	0	5.257528952	2.451900221	92.29057083	12	6	82										-0.0003324096755	-0.0001749234767	0.0005073331521	-1668.37687	0	100.750315348944	
1668.36687	12	6	82	5.046711195E-05	4.934794026E-05	5.257690229	2.452003426	92.29030634	12.00033229	6.000174844	81.99949287										0	0	0	-1668.36687	4.934794026E-05	304.535090578996	
1668.34687	12	6	82	0.0001512690094	9.858495761E-05	5.258012801	2.452209854	92.28977734	12.00099696	6.000524611	81.99847843										0	0	0	-1668.34687	9.858495761E-05	406.080623715141	
1668.30687	12	6	82	0.0003528269634	0.0001971448082	5.258657923	2.452622727	92.28871935	12.00232627	6.001224108	81.99644963										0	0	0	-1668.30687	0.0001971448082	405.795922591274	
1668.22687	12	6	82	0.0007559093542	0.0003943357297	5.259948034	2.453448558	92.28660341	12.00498569	6.002623473	81.99239084										0	0	0	-1668.22687	0.0003943357297	-309753.361823309	
1668.14687	12	6	82	0.001158567417	0.0003940771201	5.261238257	2.454274502	92.28448724	12.00764429	6.004022347	81.98833336										0	0	0	-1668.14687	0.0003940771201	-534457.356926363	
1668.06687	12	6	82	0.001560937922	0.0003939526632	5.262528318	2.45510053	92.28237115	12.0103026	6.005421005	81.9842764										0	0	0	-1668.06687	0.0003939526632	-643111.947748653	
1667.98687	12	6	82	0.001963021191	0.0003938283297	5.263818217	2.455926642	92.28025514	12.0129606	6.006819446	81.98021995										0	0	0	-1667.98687	0.0003938283297	-643627.345591653	
1667.90687	12	6	82	0.002364817515	0.0003937040721	5.265107955	2.456752839	92.27813921	12.0156183	6.008217672	81.97616403										0	0	0	-1667.90687	0.0003937040721	-644025.283223464	
1667.82687	12	6	82	0.002766327189	0.0003935798922	5.266397532	2.45757912	92.27602335	12.01827571	6.009615682	81.97210861										0	0	0	-1667.82687	0.0003935798922	-644426.040519061	
1667.74687	12	6	82	0.003167550505	0.0003934557891	5.267686947	2.458405486	92.27390757	12.02093281	6.011013475	81.96805372										0	0	0	-1667.74687	0.0003934557891	-644819.49692832	
1667.66687	12	6	82	0.003568487754	0.0003933317607	5.2689762	2.459231937	92.27179186	12.02358961	6.012411053	81.96399933										0	0	0	-1667.66687	0.0003933317607	-645223.868335607	
1667.58687	12	6	82	0.003969139233	0.0003932078131	5.270265291	2.460058472	92.26967624	12.02624612	6.013808415	81.95994547										0	0	0	-1667.58687	0.0003932078131	-645626.881527295	
1667.50687	12	6	82	0.004369505229	0.0003930839395	5.271554221	2.460885091	92.26756069	12.02890232	6.01520556	81.95589212										0	0	0	-1667.50687	0.0003930839395	-646020.256970875	
1667.42687	12	6	82	0.004769586035	0.0003929601428	5.272842989	2.461711796	92.26544521	12.03155823	6.01660249	81.95183928										0	0	0	-1667.42687	0.0003929601428	-646423.245424689	
1667.34687	12	6	82	0.005169381943	0.0003928364236	5.274131596	2.462538585	92.26332982	12.03421383	6.017999204	81.94778696										0	0	0	-1667.34687	0.0003928364236	-646822.805884556	
1667.26687	12	6	82	0.005568893243	0.0003927127798	5.275420041	2.463365458	92.2612145	12.03686914	6.019395702	81.94373516										0	0	0	-1667.26687	0.0003927127798	-647220.514959554	
1667.18687	12	6	82	0.005968120224	0.0003925892126	5.276708324	2.464192417	92.25909926	12.03952415	6.020791984	81.93968387										0	0	0	-1667.18687	0.0003925892126	-647622.117594258	
1667.10687	12	6	82	0.006367063177	0.0003924657221	5.277996445	2.46501946	92.25698409	12.04217886	6.02218805	81.93563309										0	0	0	-1667.10687	0.0003924657221	-648023.692711157	
1667.02687	12	6	82	0.006765722391	0.000392342308	5.279284404	2.465846589	92.25486901	12.04483327	6.023583901	81.93158283										0	0	0	-1667.02687	0.000392342308	-648423.926339116	
1666.94687	12	6	82	0.007164098156	0.0003922189699	5.280572202	2.466673802	92.252754	12.04748738	6.024979535	81.92753308										0	0	0	-1666.94687	0.0003922189699	-648825.974438606	
1666.86687	12	6	82	0.00756219076	0.0003920957087	5.281859838	2.4675011	92.25063906	12.05014119	6.026374954	81.92348385										0	0	0	-1666.86687	0.0003920957087	-649223.767945327	
1666.78687	12	6	82	0.007960000491	0.0003919725217	5.283147312	2.468328483	92.24852421	12.05279471	6.027770157	81.91943513										0	0	0	-1666.78687	0.0003919725217	-649624.707869337	
1666.70687	12	6	82	0.008357527637	0.0003918494126	5.284434623	2.469155951	92.24640943	12.05544793	6.029165144	81.91538693										0	0	0	-1666.70687	0.0003918494126	-650030.878521595	
1666.62687	12	6	82	0.008754772488	0.0003917263795	5.285721774	2.469983505	92.24429472	12.05810085	6.030559915	81.91133924										0	0	0	-1666.62687	0.0003917263795	-650427.245084283	
1666.54687	12	6	82	0.009151735327	0.0003916034204	5.287008762	2.470811143	92.2421801	12.06075347	6.03195447	81.90729206										0	0	0	-1666.54687	0.0003916034204	-650830.204786023	
1666.46687	12	6	82	0.009548416445	0.0003914805396	5.288295588	2.471638866	92.24006555	12.06340579	6.03334881	81.9032454										0	0	0	-1666.46687	0.0003914805396	-651232.839691676	
1666.38687	12	6	82	0.009944816126	0.0003913577325	5.289582252	2.472466675	92.23795107	12.06605782	6.034742934	81.89919925										0	0	0	-1666.38687	0.0003913577325	-651631.751668434	
1666.30687	12	6	82	0.01034093466	0.0003912350021	5.290868754	2.473294569	92.23583668	12.06870954	6.036136842	81.89515361										0	0	0	-1666.30687	0.0003912350021	-652036.986038389	
1666.22687	12	6	82	0.01073677232	0.0003911123476	5.292155094	2.474122548	92.23372236	12.07136097	6.037530534	81.89110849										0	0	0	-1666.22687	0.0003911123476	-652438.201595885	
1666.14687	12	6	82	0.01113232941	0.0003909897681	5.293441272	2.474950613	92.23160812	12.07401211	6.038924011	81.88706388										0	0	0	-1666.14687	0.0003909897681	-652839.383707436	
1666.06687	12	6	82	0.0115276062	0.0003908672643	5.294727288	2.475778763	92.22949395	12.07666294	6.040317272	81.88301978										0	0	0	-1666.06687	0.0003908672643	-653242.924122742	
1665.98687	12	6	82	0.01192260298	0.0003907448362	5.296013141	2.476606998	92.22737986	12.07931348	6.041710317	81.8789762										0	0	0	-1665.98687	0.0003907448362	-653642.685982154	
1665.90687	12	6	82	0.01231732004	0.0003906224822	5.297298833	2.477435319	92.22526585	12.08196373	6.043103146	81.87493313										0	0	0	-1665.90687	0.0003906224822	-654048.034093963	
1665.82687	12	6	82	0.01271175766	0.0003905002058	5.298584362	2.478263725	92.22315191	12.08461367	6.04449576	81.87089057										0	0	0	-1665.82687	0.0003905002058	-654453.862022263	
1665.74687	12	6	82	0.01310591611	0.0003903780035	5.299869729	2.479092217	92.22103805	12.08726332	6.045888158	81.86684852										0	0	0	-1665.74687	0.0003903780035	-654854.044906501	
1665.66687	12	6	82	0.0134997957	0.0003902558765	5.301154934	2.479920795	92.21892427	12.08991267	6.047280341	81.86280699										0	0	0	-1665.66687	0.0003902558765	-655256.053000755	
1665.58687	12	6	82	0.01389339669	0.0003901338241	5.302439977	2.480749458	92.21681057	12.09256173	6.048672308	81.85876596										0	0	0	-1665.58687	0.0003901338241	-655660.17367828	
1665.50687	12	6	82	0.01428671937	0.0003900118476	5.303724857	2.481578206	92.21469694	12.09521049	6.050064059	81.85472545										0	0	0	-1665.50687	0.0003900118476	-656060.744447329	
1665.42687	12	6	82	0.01467976402	0.0003898899442	5.305009576	2.482407041	92.21258338	12.09785895	6.051455595	81.85068545										0	0	0	-1665.42687	0.0003898899442	-656467.217016699	
