T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI							
1927.38397	1	99	0	0	0.3018097353	99.69819026	1	99	-0.000722545331	0.0007225453309	-1927.38397	0	9.65275864966136	-1927.38397	0	4.80289969684473	
1927.37397	1	99	0.00103518552	0.001034153643	0.3020321639	99.69796784	1.000722503	98.9992775	0	0	-1927.37397	0.00103518552	9.66744977054704	-1927.37397	0.001034153643	14.536586399209	
1927.35397	1	99	0.003100851491	0.002065581213	0.3024770268	99.69752297	1.002167512	98.99783249	0	0	-1927.35397	0.003100851491	9.69769505754035	-1927.35397	0.002065581213	19.4175905770948	
1927.31397	1	99	0.007212388953	0.004119881844	0.3033667682	99.69663323	1.005057365	98.99494264	0	0	-1927.31397	0.007212388953	9.76013495011268	-1927.31397	0.004119881844	19.5249943745081	
1927.23397	1	99	0.01535706754	0.008194982964	0.3051463105	99.69485369	1.010836401	98.9891636	0	0	-1927.23397	0.01535706754	9.89161066962006	-1927.23397	0.008194982964	19.7608269188364	
1927.07397	1	99	0.0313135489	0.01618910932	0.3087055081	99.69129449	1.022390375	98.97760962	0	0	-1927.07397	0.0313135489	10.1639624929197	-1927.07397	0.01618910932	20.247334147268	
1926.75397	1	99	0.0620035049	0.03165008687	0.3158246191	99.68417538	1.045484545	98.95451545	0	0	-1926.75397	0.0620035049	10.7162842236801	-1926.75397	0.03165008687	21.1955266138054	
1926.11397	1	99	0.1188790168	0.06057320616	0.3300656061	99.66993439	1.091616694	98.90838331	0	0	-1926.11397	0.1188790168	11.8960627939907	-1926.11397	0.06057320616	23.2069604868683	
1924.83397	1	99	0.217271321	0.1115503524	0.3585587557	99.64144124	1.183656667	98.81634333	0	0	-1924.83397	0.217271321	14.5704038404206	-1924.83397	0.1115503524	27.6139043935448	
1922.27397	1	99	0.3681716531	0.1925761615	0.4155918998	99.5844081	1.36684555	98.63315445	0	0	-1922.27397	0.3681716531	21.037577676036	-1922.27397	0.1925761615	-166.518546906891	
1919.71397	1	99	0.475170736	0.1691321824	0.4726904774	99.52730952	1.548855164	98.45114484	0	0	-1919.71397	0.475170736	28.7459609140967	-1919.71397	0.1691321824	-125.934906659128	
1917.15397	1	99	0.554390939	0.1507251254	0.5298588964	99.4701411	1.729698812	98.27030119	0	0	-1917.15397	0.554390939	37.9170772794483	-1917.15397	0.1507251254	-157.646245070328	
1914.59397	1	99	0.6150454159	0.1358938428	0.5871010501	99.41289895	1.909388126	98.09061187	0	0	-1914.59397	0.6150454159	48.622000052844	-1914.59397	0.1358938428	-192.991370210754	
1912.03397	1	99	0.6627464748	0.1236896562	0.6444209424	99.35557906	2.087935067	97.91206493	0	0	-1912.03397	0.6627464748	60.9270797476833	-1912.03397	0.1236896562	-231.963993586077	
1909.47397	1	99	0.7010912518	0.1134721378	0.7018225583	99.29817744	2.265351514	97.73464849	0	0	-1909.47397	0.7010912518	74.8944383861666	-1909.47397	0.1134721378	-274.571074746269	
1906.91397	1	99	0.7324824379	0.104793419	0.759309865	99.24069013	2.441649262	97.55835074	0	0	-1906.91397	0.7324824379	90.5825214658498	-1906.91397	0.104793419	-320.821159279409	
