T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@BCC_B2#3)	w(FE@BCC_B2#3)	w(TI@BCC_B2#3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1642.78905	15	5	80	0	0	6.54968272	2.091115238	91.35920204	15	5	80													-0.0003806421232	-0.0001310289676	0.0005116710908	-1642.78905	0	110.177537780926	
1642.77905	15	5	80	4.628099952E-05	4.509527185E-05	6.549864441	2.091197382	91.35893818	15.00038052	5.000130978	79.9994885													0	0	0	-1642.77905	4.509527185E-05	333.327938059372	
1642.75905	15	5	80	0.0001387076755	9.00772244E-05	6.550227903	2.091361682	91.35841041	15.00114166	5.000392983	79.99846536													0	0	0	-1642.75905	9.00772244E-05	444.4718407086	
1642.71905	15	5	80	0.0003235219789	0.0001801328967	6.550954801	2.091690295	91.3573549	15.00266389	5.000916962	79.99641915													0	0	0	-1642.71905	0.0001801328967	444.128070544488	
1642.63905	15	5	80	0.0006931127202	0.0003602948946	6.552408454	2.09234759	91.35524396	15.00570913	5.001965133	79.99232573													0	0	0	-1642.63905	0.0003602948946	-366166.264777981	
1642.55905	15	5	80	0.001062345059	0.0003600761487	6.55386218	2.093004981	91.35313284	15.00875354	5.003012957	79.98823351													0	0	0	-1642.55905	0.0003600761487	-624961.025180736	
1642.47905	15	5	80	0.001431333594	0.000359969649	6.555315722	2.093662443	91.35102184	15.01179761	5.004060611	79.98414178													0	0	0	-1642.47905	0.000359969649	-751526.512266217	
1642.39905	15	5	80	0.001800078578	0.0003598632486	6.556769081	2.094319976	91.34891094	15.01484136	5.005108097	79.98005054													0	0	0	-1642.39905	0.0003598632486	-752091.170194225	
1642.31905	15	5	80	0.002168580241	0.0003597569088	6.558222257	2.094977582	91.34680016	15.01788478	5.006155412	79.9759598													0	0	0	-1642.31905	0.0003597569088	-752513.155528052	
1642.23905	15	5	80	0.002536838811	0.0003596506277	6.559675251	2.095635258	91.34468949	15.02092788	5.007202559	79.97186956													0	0	0	-1642.23905	0.0003596506277	-752931.373154394	
1642.15905	15	5	80	0.002904854515	0.000359544406	6.561128061	2.096293006	91.34257893	15.02397065	5.008249536	79.96777982													0	0	0	-1642.15905	0.000359544406	-753356.08726254	
1642.07905	15	5	80	0.003272627583	0.0003594382447	6.562580688	2.096950826	91.34046849	15.02701309	5.009296344	79.96369057													0	0	0	-1642.07905	0.0003594382447	-753785.539016234	
1641.99905	15	5	80	0.003640158243	0.000359332144	6.564033132	2.097608717	91.33835815	15.0300552	5.010342983	79.95960182													0	0	0	-1641.99905	0.000359332144	-754208.360636203	
1641.91905	15	5	80	0.004007446724	0.0003592261017	6.565485393	2.09826668	91.33624793	15.03309699	5.011389452	79.95551356													0	0	0	-1641.91905	0.0003592261017	-754628.823869764	
1641.83905	15	5	80	0.004374493251	0.0003591201192	6.56693747	2.098924714	91.33413782	15.03613845	5.012435752	79.9514258													0	0	0	-1641.83905	0.0003591201192	-755052.955440328	
1641.75905	15	5	80	0.004741298053	0.000359014196	6.568389365	2.09958282	91.33202781	15.03917958	5.013481883	79.94733854													0	0	0	-1641.75905	0.000359014196	-755479.353655714	
1641.67905	15	5	80	0.005107861357	0.0003589083331	6.569841076	2.100240998	91.32991793	15.04222039	5.014527844	79.94325177													0	0	0	-1641.67905	0.0003589083331	-755900.505455085	
1641.59905	15	5	80	0.005474183387	0.0003588025279	6.571292605	2.100899248	91.32780815	15.04526087	5.015573637	79.9391655													0	0	0	-1641.59905	0.0003588025279	-756326.442937446	
1641.51905	15	5	80	0.005840264374	0.0003586967842	6.572743949	2.101557569	91.32569848	15.04830102	5.016619259	79.93507972													0	0	0	-1641.51905	0.0003586967842	-756757.129878361	
1641.43905	15	5	80	0.006206104542	0.0003585910994	6.574195111	2.102215962	91.32358893	15.05134085	5.017664713	79.93099444													0	0	0	-1641.43905	0.0003585910994	-757176.131877301	
1641.35905	15	5	80	0.006571704116	0.0003584854727	6.575646089	2.102874427	91.32147948	15.05438035	5.018709997	79.92690965													0	0	0	-1641.35905	0.0003584854727	-757600.991384828	
1641.27905	15	5	80	0.006937063323	0.0003583799064	6.577096884	2.103532964	91.31937015	15.05741953	5.019755112	79.92282536													0	0	0	-1641.27905	0.0003583799064	-758027.0284579	
1641.19905	15	5	80	0.007302182387	0.0003582743984	6.578547496	2.104191573	91.31726093	15.06045838	5.020800058	79.91874156													0	0	0	-1641.19905	0.0003582743984	-758452.842060784	
1641.11905	15	5	80	0.007667061535	0.0003581689506	6.579997924	2.104850253	91.31515182	15.06349691	5.021844835	79.91465826													0	0	0	-1641.11905	0.0003581689506	-758879.479292626	
1641.03905	15	5	80	0.00803170099	0.0003580635612	6.581448169	2.105509006	91.31304282	15.06653511	5.022889442	79.91057545													0	0	0	-1641.03905	0.0003580635612	-759303.364627442	
1640.95905	15	5	80	0.008396100978	0.0003579582311	6.582898231	2.106167831	91.31093394	15.06957298	5.02393388	79.90649314													0	0	0	-1640.95905	0.0003579582311	-759732.050281992	
1640.87905	15	5	80	0.008760261723	0.0003578529606	6.584348109	2.106826728	91.30882516	15.07261053	5.024978148	79.90241132													0	0	0	-1640.87905	0.0003578529606	-760153.986816219	
1640.79905	15	5	80	0.009124183447	0.0003577477474	6.585797804	2.107485696	91.3067165	15.07564775	5.026022248	79.89833													0	0	0	-1640.79905	0.0003577477474	-760580.030380454	
1640.71905	15	5	80	0.009487866377	0.0003576425948	6.587247315	2.108144737	91.30460795	15.07868465	5.027066178	79.89424917													0	0	0	-1640.71905	0.0003576425948	-761010.510932008	
1640.63905	15	5	80	0.009851310734	0.0003575375006	6.588696643	2.10880385	91.30249951	15.08172123	5.028109939	79.89016883													0	0	0	-1640.63905	0.0003575375006	-761436.055387409	
1640.55905	15	5	80	0.01021451674	0.0003574324655	6.590145787	2.109463036	91.30039118	15.08475748	5.029153531	79.88608899													0	0	0	-1640.55905	0.0003574324655	-761860.25448565	
1640.47905	15	5	80	0.01057748463	0.0003573274883	6.591594748	2.110122293	91.29828296	15.0877934	5.030196953	79.88200965													0	0	0	-1640.47905	0.0003573274883	-762287.117721022	
1640.39905	15	5	80	0.01094021461	0.0003572225708	6.593043525	2.110781623	91.29617485	15.090829	5.031240207	79.87793079													0	0	0	-1640.39905	0.0003572225708	-762713.352941892	
1640.31905	15	5	80	0.0113027069	0.0003571177109	6.594492118	2.111441025	91.29406686	15.09386428	5.032283291	79.87385243													0	0	0	-1640.31905	0.0003571177109	-763142.63304222	
1640.23905	15	5	80	0.01166496174	0.0003570129114	6.595940528	2.112100499	91.29195897	15.09689923	5.033326206	79.86977457													0	0	0	-1640.23905	0.0003570129114	-763568.725697065	
1640.15905	15	5	80	0.01202697935	0.0003569081685	6.597388754	2.112760046	91.2898512	15.09993386	5.034368951	79.86569719													0	0	0	-1640.15905	0.0003569081685	-763995.69061358	
1640.07905	15	5	80	0.01238875994	0.0003568034861	6.598836797	2.113419665	91.28774354	15.10296816	5.035411528	79.86162031													0	0	0	-1640.07905	0.0003568034861	-764425.295109571	
1639.99905	15	5	80	0.01275030373	0.0003566988609	6.600284656	2.114079357	91.28563599	15.10600214	5.036453935	79.85754393													0	0	0	-1639.99905	0.0003566988609	-764847.357305235	
1639.91905	15	5	80	0.01311161095	0.000356594294	6.601732331	2.114739121	91.28352855	15.10903579	5.037496173	79.85346803													0	0	0	-1639.91905	0.000356594294	-765279.03786892	
1639.83905	15	5	80	0.01347268182	0.0003564897868	6.603179822	2.115398957	91.28142122	15.11206913	5.038538242	79.84939263													0	0	0	-1639.83905	0.0003564897868	-765709.360147938	
1639.75905	15	5	80	0.01383351656	0.0003563853374	6.60462713	2.116058866	91.279314	15.11510213	5.039580142	79.84531772													0	0	0	-1639.75905	0.0003563853374	-766135.040558876	
1639.67905	15	5	80	0.01419411539	0.0003562809463	6.606074254	2.116718848	91.2772069	15.11813482	5.040621872	79.84124331													0	0	0	-1639.67905	0.0003562809463	-766561.925781207	
1639.59905	15	5	80	0.01455447853	0.0003561766132	6.607521194	2.117378902	91.2750999	15.12116718	5.041663434	79.83716939													0	0	0	-1639.59905	0.0003561766132	-766990.393692357	
1639.51905	15	5	80	0.01491460619	0.0003560723387	6.60896795	2.118039029	91.27299302	15.12419922	5.042704826	79.83309596													0	0	0	-1639.51905	0.0003560723387	-767418.230444588	
1639.43905	15	5	80	0.01527449861	0.0003559681219	6.610414523	2.118699228	91.27088625	15.12723093	5.043746049	79.82902302													0	0	0	-1639.43905	0.0003559681219	-767848.027805026	
1639.35905	15	5	80	0.01563415599	0.0003558639641	6.611860911	2.1193595	91.26877959	15.13026232	5.044787103	79.82495057													0	0	0	-1639.35905	0.0003558639641	-768277.926796389	
1639.27905	15	5	80	0.01599357856	0.0003557598639	6.613307116	2.120019845	91.26667304	15.13329339	5.045827988	79.82087862													0	0	0	-1639.27905	0.0003557598639	-768707.209805919	
