T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1655.742351	1	15	84	0	0	0.4673604788	6.965921666	92.56671786	1	15	84				-2.699854628E-05	-0.0004072271899	0.0004342257362	-1655.742351	0	98.8647164749876	
1655.732351	1	15	84	5.136163007E-05	5.069303202E-05	0.4673736471	6.966233021	92.56639333	1.000026972	15.00040681	83.99956621				0	0	0	-1655.732351	5.069303202E-05	295.666823719554	
1655.712351	1	15	84	0.0001541171587	0.0001014337829	0.4674000039	6.966855856	92.56574414	1.000080996	15.00122167	83.99869734				0	0	0	-1655.712351	0.0001014337829	394.376080176909	
1655.672351	1	15	84	0.0003594872354	0.0002027492311	0.4674527944	6.968102026	92.56444518	1.000188994	15.00285049	83.99696052				0	0	0	-1655.672351	0.0002027492311	394.770586524342	
1655.592351	1	15	84	0.0007700792523	0.0004054354875	0.4675582859	6.970594313	92.5618474	1.000404997	15.0061079	83.99348711				0	0	0	-1655.592351	0.0004054354875	-590491.929145651	
1655.512351	1	15	84	0.001180366504	0.0004052999165	0.4676637612	6.973087082	92.55924916	1.000621005	15.009365	83.990014				0	0	0	-1655.512351	0.0004052999165	-881348.63806583	
1655.432351	1	15	84	0.00159040848	0.000405223413	0.4677692203	6.975580332	92.55665045	1.000837016	15.0126218	83.98654119				0	0	0	-1655.432351	0.000405223413	-1046317.22657663	
1655.352351	1	15	84	0.002000205424	0.0004051469991	0.4678746633	6.978074064	92.55405127	1.001053032	15.01587829	83.98306868				0	0	0	-1655.352351	0.0004051469991	-1047452.72476356	
1655.272351	1	15	84	0.002409757577	0.0004050706614	0.46798009	6.980568278	92.55145163	1.001269052	15.01913447	83.97959647				0	0	0	-1655.272351	0.0004050706614	-1048496.05736505	
1655.192351	1	15	84	0.002819065176	0.0004049943995	0.4680855006	6.983062974	92.54885153	1.001485075	15.02239036	83.97612457				0	0	0	-1655.192351	0.0004049943995	-1049546.3103977	
1655.112351	1	15	84	0.003228128464	0.0004049182145	0.468190895	6.985558152	92.54625095	1.001701103	15.02564593	83.97265296				0	0	0	-1655.112351	0.0004049182145	-1050603.47778348	
1655.032351	1	15	84	0.003636947678	0.000404842106	0.4682962731	6.988053813	92.54364991	1.001917136	15.02890121	83.96918166				0	0	0	-1655.032351	0.000404842106	-1051642.01004117	
1654.952351	1	15	84	0.004045523056	0.0004047660714	0.4684016351	6.990549956	92.54104841	1.002133172	15.03215618	83.96571065				0	0	0	-1654.952351	0.0004047660714	-1052684.75069373	
1654.872351	1	15	84	0.004453854837	0.0004046901136	0.4685069808	6.993046583	92.53844644	1.002349213	15.03541084	83.96223995				0	0	0	-1654.872351	0.0004046901136	-1053744.7790608	
1654.792351	1	15	84	0.00486194326	0.0004046142319	0.4686123104	6.995543692	92.535844	1.002565258	15.0386652	83.95876954				0	0	0	-1654.792351	0.0004046142319	-1054797.9059383	
1654.712351	1	15	84	0.005269788561	0.0004045384257	0.4687176237	6.998041285	92.53324109	1.002781307	15.04191926	83.95529943				0	0	0	-1654.712351	0.0004045384257	-1055852.45848759	
1654.632351	1	15	84	0.005677390979	0.0004044626955	0.4688229208	7.000539361	92.53063772	1.002997361	15.04517301	83.95182963				0	0	0	-1654.632351	0.0004044626955	-1056917.50264488	
1654.552351	1	15	84	0.006084750752	0.000404387042	0.4689282017	7.003037921	92.52803388	1.003213419	15.04842646	83.94836012				0	0	0	-1654.552351	0.000404387042	-1057972.06049957	
1654.472351	1	15	84	0.006491868115	0.0004043114627	0.4690334663	7.005536965	92.52542957	1.003429481	15.05167961	83.94489091				0	0	0	-1654.472351	0.0004043114627	-1059026.68765506	
1654.392351	1	15	84	0.006898743305	0.0004042359598	0.4691387147	7.008036493	92.52282479	1.003645548	15.05493246	83.941422				0	0	0	-1654.392351	0.0004042359598	-1060092.50676499	
1654.312351	1	15	84	0.00730537656	0.0004041605324	0.4692439469	7.010536506	92.52021955	1.003861619	15.058185	83.93795338				0	0	0	-1654.312351	0.0004041605324	-1061154.85721514	
1654.232351	1	15	84	0.007711768115	0.0004040851806	0.4693491628	7.013037003	92.51761383	1.004077695	15.06143724	83.93448507				0	0	0	-1654.232351	0.0004040851806	-1062223.57590219	
1654.152351	1	15	84	0.008117918206	0.0004040099049	0.4694543624	7.015537984	92.51500765	1.004293775	15.06468917	83.93101705				0	0	0	-1654.152351	0.0004040099049	-1063278.85895038	
1654.072351	1	15	84	0.008523827067	0.0004039347026	0.4695595459	7.018039451	92.512401	1.00450986	15.06794081	83.92754933				0	0	0	-1654.072351	0.0004039347026	-1064349.79672459	
1653.992351	1	15	84	0.008929494936	0.0004038595783	0.469664713	7.020541402	92.50979388	1.00472595	15.07119214	83.92408191				0	0	0	-1653.992351	0.0004038595783	-1065427.0276068	
1653.912351	1	15	84	0.009334922046	0.000403784528	0.4697698639	7.023043839	92.5071863	1.004942044	15.07444317	83.92061479				0	0	0	-1653.912351	0.000403784528	-1066495.15870017	
1653.832351	1	15	84	0.009740108633	0.0004037095541	0.4698749986	7.025546762	92.50457824	1.005158143	15.0776939	83.91714796				0	0	0	-1653.832351	0.0004037095541	-1067573.92988359	
1653.752351	1	15	84	0.01014505493	0.0004036346554	0.469980117	7.02805017	92.50196971	1.005374247	15.08094432	83.91368143				0	0	0	-1653.752351	0.0004036346554	-1068639.18612691	
1653.672351	1	15	84	0.01054976117	0.0004035598309	0.4700852191	7.030554064	92.49936072	1.005590355	15.08419445	83.91021519				0	0	0	-1653.672351	0.0004035598309	-1069705.88231787	
1653.592351	1	15	84	0.01095422759	0.0004034850815	0.4701903049	7.033058444	92.49675125	1.005806468	15.08744427	83.90674926				0	0	0	-1653.592351	0.0004034850815	-1070788.32735183	
1653.512351	1	15	84	0.01135845443	0.0004034104082	0.4702953745	7.03556331	92.49414132	1.006022586	15.0906938	83.90328362				0	0	0	-1653.512351	0.0004034104082	-1071882.29015833	
1653.432351	1	15	84	0.01176244191	0.0004033358113	0.4704004277	7.038068663	92.49153091	1.006238709	15.09394302	83.89981827				0	0	0	-1653.432351	0.0004033358113	-1072956.13144946	
1653.352351	1	15	84	0.01216619027	0.0004032612874	0.4705054647	7.040574503	92.48892003	1.006454837	15.09719194	83.89635322				0	0	0	-1653.352351	0.0004032612874	-1074030.77985639	
1653.272351	1	15	84	0.01256969974	0.0004031868397	0.4706104854	7.043080829	92.48630869	1.006670969	15.10044056	83.89288847				0	0	0	-1653.272351	0.0004031868397	-1075123.41542084	
1653.192351	1	15	84	0.01297297055	0.0004031124672	0.4707154898	7.045587643	92.48369687	1.006887107	15.10368888	83.88942401				0	0	0	-1653.192351	0.0004031124672	-1076194.3696162	
1653.112351	1	15	84	0.01337600294	0.0004030381676	0.4708204779	7.048094944	92.48108458	1.007103249	15.1069369	83.88595985				0	0	0	-1653.112351	0.0004030381676	-1077285.69655978	
1653.032351	1	15	84	0.01377879713	0.0004029639457	0.4709254497	7.050602733	92.47847182	1.007319396	15.11018462	83.88249598				0	0	0	-1653.032351	0.0004029639457	-1078382.01058996	
1652.952351	1	15	84	0.01418135337	0.0004028897971	0.4710304052	7.053111009	92.47585859	1.007535549	15.11343205	83.87903241				0	0	0	-1652.952351	0.0004028897971	-1079469.01185346	
1652.872351	1	15	84	0.01458367188	0.0004028157246	0.4711353444	7.055619773	92.47324488	1.007751706	15.11667917	83.87556913				0	0	0	-1652.872351	0.0004028157246	-1080564.70523532	
1652.792351	1	15	84	0.01498575288	0.0004027417263	0.4712402672	7.058129025	92.47063071	1.007967869	15.11992599	83.87210614				0	0	0	-1652.792351	0.0004027417263	-1081650.95797208	
1652.712351	1	15	84	0.01538759663	0.0004026678025	0.4713451738	7.060638766	92.46801606	1.008184037	15.12317251	83.86864345				0	0	0	-1652.712351	0.0004026678025	-1082747.46411273	
1652.632351	1	15	84	0.01578920333	0.000402593954	0.471450064	7.063148995	92.46540094	1.008400209	15.12641873	83.86518106				0	0	0	-1652.632351	0.000402593954	-1083846.17182238	
1652.552351	1	15	84	0.01619057323	0.00040252018	0.4715549379	7.065659713	92.46278535	1.008616388	15.12966466	83.86171895				0	0	0	-1652.552351	0.00040252018	-1084943.44955014	
1652.472351	1	15	84	0.01659170655	0.0004024464808	0.4716597954	7.06817092	92.46016929	1.008832571	15.13291028	83.85825715				0	0	0	-1652.472351	0.0004024464808	-1086036.29439611	
1652.392351	1	15	84	0.01699260352	0.0004023728552	0.4717646366	7.070682615	92.45755275	1.009048759	15.13615561	83.85479563				0	0	0	-1652.392351	0.0004023728552	-1087138.04035601	
1652.312351	1	15	84	0.01739326437	0.0004022993053	0.4718694615	7.073194801	92.45493574	1.009264953	15.13940064	83.85133441				0	0	0	-1652.312351	0.0004022993053	-1088254.56939619	
1652.232351	1	15	84	0.01779368934	0.0004022258307	0.47197427	7.075707475	92.45231825	1.009481152	15.14264537	83.84787348				0	0	0	-1652.232351	0.0004022258307	-1089355.56956463	
1652.152351	1	15	84	0.01819387865	0.0004021524294	0.4720790622	7.07822064	92.4497003	1.009697357	15.1458898	83.84441284				0	0	0	-1652.152351	0.0004021524294	-1090453.6470096	
1652.072351	1	15	84	0.01859383252	0.0004020791027	0.472183838	7.080734294	92.44708187	1.009913567	15.14913394	83.8409525				0	0	0	-1652.072351	0.0004020791027	-1091570.31789723	
1651.992351	1	15	84	0.0189935512	0.0004020058515	0.4722885975	7.083248439	92.44446296	1.010129782	15.15237777	83.83749244				0	0	0	-1651.992351	0.0004020058515	-1092673.54853967	
1651.912351	1	15	84	0.01939303489	0.0004019326728	0.4723933406	7.085763074	92.44184359	1.010346003	15.15562131	83.83403268				0	0	0	-1651.912351	0.0004019326728	-1093772.35890103	
1651.832351	1	15	84	0.01979228384	0.0004018595687	0.4724980674	7.088278199	92.43922373	1.010562229	15.15886456	83.83057322				0	0	0	-1651.832351	0.0004018595687	-1094907.85382802	
1651.752351	1	15	84	0.02019129827	0.0004017865417	0.4726027778	7.090793815	92.43660341	1.010778461	15.1621075	83.82711404				0	0	0	-1651.752351	0.0004017865417	-1096023.813811	
1651.672351	1	15	84	0.02059007841	0.0004017135864	0.4727074718	7.093309922	92.43398261	1.010994698	15.16535015	83.82365515				0	0	0	-1651.672351	0.0004017135864	-1097124.12347131	
1651.592351	1	15	84	0.02098862448	0.0004016407058	0.4728121494	7.095826521	92.43136133	1.011210941	15.1685925	83.82019656				0	0	0	-1651.592351	0.0004016407058	-1098252.23569075	
1651.512351	1	15	84	0.02138693672	0.0004015679003	0.4729168107	7.09834361	92.42873958	1.011427189	15.17183455	83.81673826				0	0	0	-1651.512351	0.0004015679003	-1099363.73498361	
1651.432351	1	15	84	0.02178501534	0.000401495167	0.4730214555	7.100861192	92.42611735	1.011643443	15.17507631	83.81328024				0	0	0	-1651.432351	0.000401495167	-1100489.71116958	
1651.352351	1	15	84	0.02218286057	0.0004014225104	0.473126084	7.103379264	92.42349465	1.011859703	15.17831777	83.80982252				0	0	0	-1651.352351	0.0004014225104	-1101613.2965117	
1651.272351	1	15	84	0.02258047264	0.0004013499254	0.4732306961	7.105897829	92.42087147	1.012075969	15.18155894	83.80636509				0	0	0	-1651.272351	0.0004013499254	-1102737.05197147	
1651.192351	1	15	84	0.02297785178	0.0004012774168	0.4733352918	7.108416886	92.41824782	1.01229224	15.18479981	83.80290795				0	0	0	-1651.192351	0.0004012774168	-1103870.58422481	
1651.112351	1	15	84	0.02337499821	0.0004012049808	0.4734398711	7.110936436	92.41562369	1.012508517	15.18804038	83.7994511				0	0	0	-1651.112351	0.0004012049808	-1104989.74452464	
1651.032351	1	15	84	0.02377191215	0.000401132619	0.473544434	7.113456478	92.41299909	1.0127248	15.19128066	83.79599454				0	0	0	-1651.032351	0.000401132619	-1106118.0228739	
1650.952351	1	15	84	0.02416859383	0.0004010603307	0.4736489804	7.115977012	92.41037401	1.012941088	15.19452064	83.79253827				0	0	0	-1650.952351	0.0004010603307	-1107252.46875992	
1650.872351	1	15	84	0.02456504348	0.0004009881171	0.4737535105	7.11849804	92.40774845	1.013157383	15.19776033	83.78908228				0	0	0	-1650.872351	0.0004009881171	-1108396.90032706	
1650.792351	1	15	84	0.02496126132	0.000400915978	0.4738580241	7.121019561	92.40512241	1.013373683	15.20099973	83.78562659				0	0	0	-1650.792351	0.000400915978	-1109517.49345665	
1650.712351	1	15	84	0.02535724757	0.0004008439102	0.4739625214	7.123541575	92.4024959	1.01358999	15.20423882	83.78217119				0	0	0	-1650.712351	0.0004008439102	-1110651.2704653	
1650.632351	1	15	84	0.02575300245	0.0004007719183	0.4740670021	7.126064083	92.39986891	1.013806302	15.20747763	83.77871607				0	0	0	-1650.632351	0.0004007719183	-1111798.83322817	
1650.552351	1	15	84	0.02614852619	0.0004006999992	0.4741714665	7.128587085	92.39724145	1.01402262	15.21071614	83.77526124				0	0	0	-1650.552351	0.0004006999992	-1112941.8870186	
1650.472351	1	15	84	0.02654381902	0.0004006281551	0.4742759144	7.13111058	92.39461351	1.014238945	15.21395435	83.77180671				0	0	0	-1650.472351	0.0004006281551	-1114086.44610457	
1650.392351	1	15	84	0.02693888115	0.0004005563837	0.4743803459	7.13363457	92.39198508	1.014455275	15.21719227	83.76835245				0	0	0	-1650.392351	0.0004005563837	-1115224.08794369	
1650.312351	1	15	84	0.02733371282	0.0004004846861	0.474484761	7.136159054	92.38935618	1.014671612	15.2204299	83.76489849				0	0	0	-1650.312351	0.0004004846861	-1116363.24005775	
1650.232351	1	15	84	0.02772831423	0.0004004130611	0.4745891596	7.138684033	92.38672681	1.014887954	15.22366723	83.76144482				0	0	0	-1650.232351	0.0004004130611	-1117512.58137582	
1650.152351	1	15	84	0.02812268561	0.0004003415109	0.4746935418	7.141209507	92.38409695	1.015104303	15.22690427	83.75799143				0	0	0	-1650.152351	0.0004003415109	-1118661.08600961	
1650.072351	1	15	84	0.02851682719	0.0004002700329	0.4747979075	7.143735475	92.38146662	1.015320658	15.23014101	83.75453833				0	0	0	-1650.072351	0.0004002700329	-1119823.8186049	
1649.992351	1	15	84	0.02891073919	0.0004001986312	0.4749022567	7.146261939	92.3788358	1.01553702	15.23337747	83.75108551				0	0	0	-1649.992351	0.0004001986312	-1120978.60654196	
1649.912351	1	15	84	0.02930442182	0.0004001273004	0.4750065895	7.148788898	92.37620451	1.015753387	15.23661362	83.74763299				0	0	0	-1649.912351	0.0004001273004	-1122117.02661497	
1649.832351	1	15	84	0.02969787531	0.0004000560435	0.4751109058	7.151316353	92.37357274	1.015969761	15.23984949	83.74418075				0	0	0	-1649.832351	0.0004000560435	-1123276.62947206	
1649.752351	1	15	84	0.03009109988	0.0003999848599	0.4752152057	7.153844304	92.37094049	1.016186141	15.24308506	83.74072879				0	0	0	-1649.752351	0.0003999848599	-1124436.27550458	
1649.672351	1	15	84	0.03048409575	0.0003999137499	0.475319489	7.156372751	92.36830776	1.016402528	15.24632035	83.73727713				0	0	0	-1649.672351	0.0003999137499	-1125591.96076685	
1649.592351	1	15	84	0.03087686314	0.0003998427124	0.4754237559	7.158901694	92.36567455	1.016618921	15.24955533	83.73382575				0	0	0	-1649.592351	0.0003998427124	-1126762.78237619	
1649.512351	1	15	84	0.03126940227	0.0003997717501	0.4755280063	7.161431133	92.36304086	1.01683532	15.25279003	83.73037465				0	0	0	-1649.512351	0.0003997717501	-1127930.37559333	
1649.432351	1	15	84	0.03166171337	0.0003997008596	0.4756322403	7.163961069	92.36040669	1.017051726	15.25602443	83.72692384				0	0	0	-1649.432351	0.0003997008596	-1129088.52653837	
1649.352351	1	15	84	0.03205379664	0.0003996300428	0.4757364577	7.166491502	92.35777204	1.017268138	15.25925855	83.72347331				0	0	0	-1649.352351	0.0003996300428	-1130250.5960628	
1649.272351	1	15	84	0.0324456523	0.000399559298	0.4758406586	7.169022432	92.35513691	1.017484557	15.26249237	83.72002307				0	0	0	-1649.272351	0.000399559298	-1131415.11607868	
1649.192351	1	15	84	0.03283728059	0.0003994886269	0.4759448431	7.171553859	92.3525013	1.017700982	15.2657259	83.71657312				0	0	0	-1649.192351	0.0003994886269	-1132595.63947595	
1649.112351	1	15	84	0.03322868171	0.0003994180295	0.476049011	7.174085783	92.34986521	1.017917414	15.26895914	83.71312345				0	0	0	-1649.112351	0.0003994180295	-1133764.13795242	
1649.032351	1	15	84	0.03361985589	0.000399347504	0.4761531625	7.176618206	92.34722863	1.018133853	15.27219208	83.70967406				0	0	0	-1649.032351	0.000399347504	-1134939.14350987	
1648.952351	1	15	84	0.03401080334	0.0003992770527	0.4762572974	7.179151126	92.34459158	1.018350298	15.27542474	83.70622496				0	0	0	-1648.952351	0.0003992770527	-1136122.1688704	
1648.872351	1	15	84	0.03440152428	0.000399206674	0.4763614158	7.181684544	92.34195404	1.01856675	15.2786571	83.70277615				0	0	0	-1648.872351	0.000399206674	-1137293.13536105	
1648.792351	1	15	84	0.03479201892	0.0003991363677	0.4764655177	7.18421846	92.33931602	1.018783209	15.28188918	83.69932761				0	0	0	-1648.792351	0.0003991363677	-1138473.01882045	
1648.712351	1	15	84	0.0351822875	0.0003990661348	0.4765696031	7.186752875	92.33667752	1.018999674	15.28512096	83.69587936				0	0	0	-1648.712351	0.0003990661348	-1139655.31927411	
1648.632351	1	15	84	0.03557233021	0.0003989959743	0.4766736719	7.189287789	92.33403854	1.019216147	15.28835246	83.6924314				0	0	0	-1648.632351	0.0003989959743	-1140839.29655154	
1648.552351	1	15	84	0.03596214729	0.0003989258871	0.4767777242	7.191823201	92.33139907	1.019432626	15.29158366	83.68898371				0	0	0	-1648.552351	0.0003989258871	-1142019.98826559	
1648.472351	1	15	84	0.03635173894	0.0003988558716	0.47688176	7.194359113	92.32875913	1.019649112	15.29481457	83.68553631				0	0	0	-1648.472351	0.0003988558716	-1143213.82170779	
1648.392351	1	15	84	0.03674110539	0.0003987859307	0.4769857792	7.196895524	92.3261187	1.019865604	15.2980452	83.6820892				0	0	0	-1648.392351	0.0003987859307	-1144396.93133605	
1648.312351	1	15	84	0.03713024684	0.0003987160599	0.4770897819	7.199432434	92.32347778	1.020082104	15.30127553	83.67864236				0	0	0	-1648.312351	0.0003987160599	-1145590.04304345	
1648.232351	1	15	84	0.03751916352	0.0003986462646	0.4771937681	7.201969844	92.32083639	1.020298611	15.30450558	83.67519581				0	0	0	-1648.232351	0.0003986462646	-1146793.69624753	
1648.152351	1	15	84	0.03790785564	0.0003985765404	0.4772977377	7.204507754	92.31819451	1.020515125	15.30773533	83.67174954				0	0	0	-1648.152351	0.0003985765404	-1147976.0964659	
1648.072351	1	15	84	0.03829632342	0.0003985068888	0.4774016907	7.207046165	92.31555214	1.020731645	15.3109648	83.66830355				0	0	0	-1648.072351	0.0003985068888	-1149174.94661399	
1647.992351	1	15	84	0.03868456706	0.00039843731	0.4775056272	7.209585075	92.3129093	1.020948173	15.31419398	83.66485785				0	0	0	-1647.992351	0.00039843731	-1150358.89177202	
1647.912351	1	15	84	0.03907258679	0.0003983678017	0.4776095471	7.212124486	92.31026597	1.021164708	15.31742287	83.66141242				0	0	0	-1647.912351	0.0003983678017	-1151571.93610615	
1647.832351	1	15	84	0.03946038282	0.0003982983694	0.4777134505	7.214664398	92.30762215	1.02138125	15.32065147	83.65796728				0	0	0	-1647.832351	0.0003982983694	-1152795.67156476	
1647.752351	1	15	84	0.03984795537	0.0003982290086	0.4778173372	7.217204811	92.30497785	1.021597799	15.32387978	83.65452242				0	0	0	-1647.752351	0.0003982290086	-1153977.96338806	
1647.672351	1	15	84	0.04023530464	0.0003981597185	0.4779212074	7.219745724	92.30233307	1.021814355	15.32710781	83.65107784				0	0	0	-1647.672351	0.0003981597185	-1155177.75375955	
1647.592351	1	15	84	0.04062243086	0.0003980905017	0.4780250611	7.22228714	92.2996878	1.022030919	15.33033554	83.64763354				0	0	0	-1647.592351	0.0003980905017	-1156390.00107894	
1647.512351	1	15	84	0.04100933423	0.0003980213568	0.4781288981	7.224829056	92.29704205	1.02224749	15.33356299	83.64418952				0	0	0	-1647.512351	0.0003980213568	-1157605.68387756	
1647.432351	1	15	84	0.04139601497	0.0003979522853	0.4782327186	7.227371475	92.29439581	1.022464068	15.33679015	83.64074578				0	0	0	-1647.432351	0.0003979522853	-1158817.14422207	
1647.352351	1	15	84	0.04178247329	0.0003978832849	0.4783365224	7.229914395	92.29174908	1.022680653	15.34001703	83.63730232				0	0	0	-1647.352351	0.0003978832849	-1160029.53817774	
